date,open,high,low,close,volume,amount,pctChg
2025-01-02,104.4000,104.9300,98.9900,100.5800,20914025,2132763511.2200,-3.668200
2025-01-03,100.9500,101.2700,98.1100,98.5000,15931269,1588228432.2400,-2.068000
2025-01-06,98.8800,100.7900,97.8000,98.1400,13061296,1293913059.3600,-0.365500
2025-01-07,98.6000,102.3000,98.2800,101.9200,19650384,1983374835.4600,3.851600
2025-01-08,101.4100,101.9000,98.0100,100.6300,18010136,1799511978.7400,-1.265700
2025-01-09,100.0000,101.8600,99.6800,99.9600,11700606,1176919877.1500,-0.665800
2025-01-10,99.9600,104.1000,99.0200,100.5500,22027675,2243940351.1100,0.590200
2025-01-13,98.6800,100.4800,98.2300,99.7500,13725184,1362280520.2200,-0.795600
2025-01-14,99.7800,104.7500,97.5600,104.7500,22311329,2284011804.7800,5.012500
2025-01-15,104.6400,104.6400,102.2600,102.5600,14022282,1446501126.8800,-2.090700
2025-01-16,103.1200,105.0800,101.3000,101.8100,16413090,1688491930.9700,-0.731300
2025-01-17,101.0000,104.0500,100.6800,102.6400,15320730,1571225173.6100,0.815200
2025-01-20,103.5000,105.6500,103.0100,104.8600,18187884,1903187215.6400,2.162900
2025-01-21,105.1700,106.9900,104.0800,106.6500,19499902,2065997713.9900,1.707000
2025-01-22,108.5000,110.5000,106.7000,108.2700,33130617,3601947861.2100,1.519000
2025-01-23,109.4400,109.7100,106.3500,106.3600,22643372,2446722162.6800,-1.764100
2025-01-24,106.0300,107.6800,105.9200,107.3600,15722433,1683209580.6600,0.940200
2025-01-27,107.8300,108.2900,105.5000,105.5100,13168942,1401176059.2000,-1.723200
2025-02-05,107.8500,111.0000,105.9000,110.5900,28283021,3079772311.0700,4.814700
2025-02-06,109.9200,113.5500,109.0000,113.5500,29341434,3277449180.8800,2.676600
2025-02-07,114.9800,120.5700,114.8800,117.1000,50996634,6006232735.2300,3.126400
2025-02-10,117.3600,119.7800,116.9100,118.3400,28317643,3353437581.4100,1.058900
2025-02-11,120.1000,123.3900,119.8000,123.0000,36131369,4374274066.0800,3.937800
2025-02-12,122.2500,135.3000,121.5100,135.3000,47143894,6113325007.8700,10.000000
2025-02-13,139.0000,141.6500,135.5900,136.0500,58663319,8086916050.4500,0.554300
2025-02-14,134.0000,138.3000,131.0100,135.9200,42683056,5737966767.6300,-0.095600
2025-02-17,136.0100,138.9600,132.2600,136.2000,42084831,5713609182.1400,0.206000
2025-02-18,140.0000,149.6600,137.6000,143.6000,72095333,10302840111.0500,5.433200
2025-02-19,145.0000,157.9600,143.6000,157.9600,60590926,9198127336.5000,10.000000
2025-02-20,161.0000,161.9600,151.7000,152.9900,64964129,10101458102.2300,-3.146400
2025-02-21,152.9500,160.5000,151.2000,157.9800,52661621,8203232733.7900,3.261700
2025-02-24,155.4400,155.4400,148.4600,150.0000,54857913,8277731647.4000,-5.051300
2025-02-25,146.0000,150.8900,145.5000,147.2000,39823395,5899527978.9600,-1.866700
