date,open,high,low,close,volume,amount,pctChg
2025-01-02,23.7500,23.9700,23.0200,23.1300,3105898,72744199.4200,-2.569500
2025-01-03,23.2200,23.8000,23.2000,23.3300,3070663,71912222.7500,0.864700
2025-01-06,23.2000,23.9700,23.2000,23.6900,3020348,71283533.8400,1.543100
2025-01-07,23.6600,23.9000,23.2800,23.4600,2076076,48914113.6400,-0.970900
2025-01-08,23.4500,23.4500,22.3200,22.7500,4807780,109095522.3000,-3.026400
2025-01-09,22.6800,23.4500,22.5300,23.1400,3698244,85366086.2000,1.714300
2025-01-10,23.0400,23.4900,22.9800,23.0800,2491387,57654699.1300,-0.259300
2025-01-13,23.0000,24.6900,22.7300,24.2400,5743143,137777729.6000,5.026000
2025-01-14,24.1700,24.7500,23.8500,24.5000,6189599,151131936.0500,1.072600
2025-01-15,24.5000,24.5000,24.0500,24.2900,2247449,54467242.9800,-0.857100
2025-01-16,24.4300,24.6000,24.0400,24.0800,3666951,89246484.4800,-0.864600
2025-01-17,24.0500,24.7000,23.9500,24.4900,3767113,91940965.3100,1.702700
2025-01-20,24.5600,25.3200,24.5000,24.6100,3647540,90616578.7000,0.490000
2025-01-21,24.7600,25.9200,24.3100,25.7000,8026440,204089460.8400,4.429100
2025-01-22,25.7000,26.2500,25.3000,26.0800,5856124,152192242.3000,1.478600
2025-01-23,26.4000,26.4000,25.4200,25.4800,4933958,127741554.9000,-2.300600
2025-01-24,25.4700,25.7700,25.3000,25.5200,2737900,69904999.0000,0.157000
2025-01-27,25.6000,25.7700,25.3100,25.3300,2093881,53447568.9900,-0.744500
2025-02-05,25.5800,25.7700,25.1000,25.5700,3650552,92613569.6800,0.947500
2025-02-06,25.4100,25.5800,24.5200,25.4600,6054668,151566849.8800,-0.430200
2025-02-07,25.3000,25.6300,24.8800,24.9700,5980841,150805591.3500,-1.924600
2025-02-10,25.0200,25.1100,24.1300,24.2400,7274683,177176602.2900,-2.923500
2025-02-11,24.2500,24.3300,23.9000,24.0200,3731288,89640796.9100,-0.907600
2025-02-12,24.0700,24.6500,23.9200,24.3200,4164757,101313241.8500,1.249000
2025-02-13,24.3600,24.3600,23.9600,24.0200,3158112,76150982.3200,-1.233600
2025-02-14,24.0200,24.4600,23.9400,24.1600,4408900,106424061.2000,0.582800
2025-02-17,24.1500,24.1500,23.6300,23.7100,4426126,105200010.5200,-1.862600
2025-02-18,23.7100,24.5000,23.5700,24.1100,5848359,140724453.1700,1.687100
2025-02-19,24.0000,24.3900,23.7400,24.2200,4456288,107823945.6600,0.456200
2025-02-20,24.2800,24.3500,23.8700,23.8800,4846304,116461508.7600,-1.403800
2025-02-21,23.8300,24.0500,23.6700,23.7000,4412168,104952720.9800,-0.753800
2025-02-24,23.7500,23.8300,23.4600,23.5300,3277112,77356882.5200,-0.717300
2025-02-25,23.5300,24.0400,23.3200,23.7300,3550382,84163952.3200,0.850000
2025-02-26,23.8000,25.3200,23.8000,24.7500,10087747,250248554.6000,4.298400
2025-02-27,24.7500,24.9000,24.5100,24.7700,3930048,97158454.9100,0.080800
2025-02-28,24.7300,25.1000,24.3600,24.9000,5855087,144876312.4300,0.524800
2025-03-03,24.8100,25.5500,24.8100,25.2000,7399424,187173889.4200,1.204800
2025-03-04,25.1000,25.2000,24.6100,24.8000,3968502,98762009.9200,-1.587300
2025-03-05,24.8000,25.2300,24.7000,25.1000,3526892,88086843.7200,1.209700
2025-03-06,25.1000,25.2000,24.5000,24.8600,4707888,116862618.3900,-0.956200
2025-03-07,24.7500,25.3400,24.7200,25.1500,6221510,156132501.0200,1.166500
2025-03-10,25.2500,26.2300,25.1100,25.7400,8516972,218487217.6300,2.345900
2025-03-11,25.5900,26.1700,25.4200,26.1200,7100008,184269137.8400,1.476300
2025-03-12,26.1500,26.3000,25.5600,25.5800,5077580,130795354.7200,-2.067400
2025-03-13,25.5600,25.5900,25.1800,25.3600,3486473,88403173.1100,-0.860000
2025-03-14,25.4300,25.6900,25.2000,25.3200,5067728,128601661.0400,-0.157700
2025-03-17,25.3500,25.3800,25.0500,25.1100,3420056,86007182.6000,-0.829400
2025-03-18,25.1100,25.3600,24.9000,24.9300,4169073,104610023.0500,-0.716800
2025-03-19,24.9700,25.0100,24.5000,24.5500,4361694,107759272.2800,-1.524300
2025-03-20,24.6000,24.6900,24.4100,24.5600,2241481,54979422.8100,0.040700
2025-03-21,24.5200,24.6400,24.1800,24.3300,3232281,78749085.9000,-0.936500
2025-03-24,24.3000,25.1900,24.2000,24.9700,5300376,131385078.4700,2.630500
2025-03-25,25.1900,25.5300,24.7000,25.3000,7005571,176781357.9100,1.321600
2025-03-26,25.1100,25.4400,24.8800,25.0800,5051711,127068303.2400,-0.869600
2025-03-27,24.9600,25.4600,24.8800,25.2700,3620159,91190961.4300,0.757600
2025-03-28,25.1500,25.4900,24.7500,25.2600,6150256,154642944.7200,-0.039600
2025-03-31,25.0500,25.1900,24.3000,24.4000,4670700,115407253.9300,-3.404600
2025-04-01,24.4300,24.7900,24.3300,24.5000,2326983,57078971.1400,0.409800
2025-04-02,24.5000,24.8500,24.3800,24.5800,2555383,63019045.5100,0.326500
2025-04-03,24.4000,24.6600,24.1600,24.4000,2101892,51248281.0400,-0.732300
2025-04-07,23.4500,23.6800,21.9600,21.9600,6951043,157954463.8900,-10.000000
2025-04-08,21.8700,22.6200,21.8200,22.3700,6675631,147587708.2200,1.867000
2025-04-09,22.1100,22.4500,21.2500,22.3300,5437671,119862174.3000,-0.178800
2025-04-10,22.7700,23.0000,22.5200,22.6800,3984533,90746214.0200,1.567400
2025-04-11,22.4800,23.1600,22.3700,22.9500,3352543,76790472.7700,1.190500
2025-04-14,23.0700,23.4800,22.9200,22.9300,3965710,91695547.4500,-0.087100
2025-04-15,22.9900,23.0000,22.3100,22.4200,3784608,85353951.1600,-2.224200
2025-04-16,22.3600,22.4400,22.0300,22.4200,2447872,54370837.6600,0.000000
2025-04-17,22.2100,22.9700,22.2100,22.6500,3038252,68907315.7200,1.025900
2025-04-18,22.6500,22.8300,22.3200,22.5000,1420600,31953925.0000,-0.662300
2025-04-21,22.4900,22.6500,22.4400,22.6300,1683388,37939104.1200,0.577800
2025-04-22,22.5400,23.1500,22.4000,22.9600,2997642,68540944.9700,1.458200
2025-04-23,22.5500,23.3300,22.5500,22.8400,4154783,94971795.5900,-0.522600
2025-04-24,22.8300,22.8900,22.4400,22.4900,3547012,80098972.7200,-1.532400
2025-04-25,22.5000,22.9800,22.5000,22.7200,3221907,73472198.0400,1.022700
2025-04-28,22.8900,22.9600,22.4100,22.4400,2142040,48298168.4000,-1.232400
2025-04-29,22.4400,22.8000,22.4000,22.7100,2208126,50062264.6900,1.203200
2025-04-30,22.7300,23.0400,22.7000,22.8300,2634996,60179980.1200,0.528400
2025-05-06,22.9800,23.9500,22.7100,23.7000,6151829,144365608.6800,3.810800
2025-05-07,23.8800,23.8900,23.3600,23.5000,3515276,83012285.2400,-0.843900
2025-05-08,23.4600,23.6600,23.2500,23.4200,2680609,62892701.0900,-0.340400
2025-05-09,23.4300,23.5200,22.9800,23.0900,4067604,94009048.4400,-1.409100
2025-05-12,23.1700,23.3500,22.8900,22.9700,5300182,122366167.6700,-0.519700
2025-05-13,23.1900,23.4000,23.0400,23.2600,4260997,98944183.2900,1.262500
2025-05-14,23.2900,23.5000,23.0300,23.3000,3280429,76418234.2900,0.172000
2025-05-15,23.2100,23.4400,23.0700,23.1000,2172500,50441886.0000,-0.858400
2025-05-16,23.0900,23.5500,23.0100,23.1200,4295899,99833192.7700,0.086600
2025-05-19,23.3000,23.8000,23.0500,23.0900,6729615,157410823.0500,-0.129800
2025-05-20,23.1000,23.1200,22.4500,22.6000,7648786,172939662.0500,-2.122100
2025-05-21,22.6300,22.7600,22.5300,22.6400,2767392,62647097.7600,0.177000
2025-05-22,22.5500,22.5800,22.2200,22.2600,3080900,68823987.0000,-1.678400
2025-05-23,22.2600,22.4300,22.0500,22.1500,3075940,68376324.4000,-0.494200
2025-05-26,22.1200,22.1200,21.7600,21.9300,3165760,69396179.6000,-0.993200
2025-05-27,21.9000,21.9900,21.8000,21.9200,1474574,32257129.3100,-0.045600
2025-05-28,21.9800,21.9900,21.6700,21.7800,1871773,40785317.0100,-0.638700
2025-05-29,21.8000,22.0300,21.3300,21.5800,7402000,160331261.7100,-0.918300
2025-05-30,21.5100,21.7400,21.3800,21.4300,3135476,67429106.4400,-0.695100
2025-06-03,21.4200,21.4900,21.2900,21.4400,2480612,53094467.8000,0.046700
2025-06-04,21.5800,21.8500,21.4500,21.7700,3618926,78538278.4700,1.539200
2025-06-05,21.8500,21.8500,21.5800,21.7200,1832793,39717412.4900,-0.229700
2025-06-06,21.7100,22.4800,21.7000,22.1000,5393510,119413799.7900,1.749500
2025-06-09,22.0000,22.1800,21.9400,22.1000,2463123,54371035.1300,0.000000
2025-06-10,22.1100,22.1900,21.6900,21.8400,2379232,52170076.3300,-1.176500
2025-06-11,21.9400,22.4200,21.8200,22.2000,3424243,75851484.1200,1.648400
2025-06-12,22.2000,22.4200,22.0100,22.2500,2983635,66361063.6000,0.225200
2025-06-13,22.1200,22.3900,21.9500,22.0100,3346215,74102161.3500,-1.078700
2025-06-16,22.0200,22.1200,21.6000,21.7800,3691850,80788251.1600,-1.045000
2025-06-17,21.7600,21.9800,21.5200,21.5700,3055354,66101939.0900,-0.964200
2025-06-18,21.5700,21.6400,21.3800,21.5400,2954555,63527440.1800,-0.139100
2025-06-19,21.5500,21.6900,20.9200,21.0600,5461653,116092954.8000,-2.228400
2025-06-20,21.1200,21.3300,21.0000,21.0800,2266796,47899035.2000,0.095000
2025-06-23,21.0000,21.1500,20.8200,20.9800,2686735,56246746.3500,-0.474400
2025-06-24,20.9800,21.4700,20.8700,21.4500,4028348,85705117.6500,2.240200
2025-06-25,21.4000,21.6600,21.3200,21.5900,3183660,68382272.0800,0.652700
2025-06-26,21.6000,21.6400,21.2800,21.3600,3549852,76093642.6500,-1.065300
2025-06-27,21.2800,21.9700,21.2800,21.8900,4755908,103402289.1000,2.481300
2025-06-30,21.8500,21.8900,21.6300,21.7200,2675680,58117559.7500,-0.776600
2025-07-01,21.7300,21.7400,21.3600,21.6200,3222896,69405949.2400,-0.460400
2025-07-02,21.5500,21.7400,21.4400,21.7200,2915000,62782933.6000,0.462500
2025-07-03,21.6100,21.6800,21.4300,21.6200,4194252,90424085.8000,-0.460400
2025-07-04,21.6200,21.6200,21.3100,21.3600,3018548,64603725.6400,-1.202600
2025-07-07,21.3000,21.6000,21.0100,21.1100,4806295,102228384.9400,-1.170400
2025-07-08,21.0100,21.5000,21.0100,21.4400,5279377,112591270.2500,1.563200
2025-07-09,21.6100,21.6900,21.2200,21.2600,5408240,115677098.6500,-0.839600
2025-07-10,21.3000,21.4400,21.1700,21.3600,3760140,80094830.2000,0.470400
2025-07-11,21.3600,22.4700,21.3600,22.1600,12909026,284380978.4100,3.745300
2025-07-14,22.1200,22.4000,21.9800,21.9900,6550058,145019790.8200,-0.767100
2025-07-15,15.8000,16.0000,15.5900,15.6200,9233760,145534429.9700,-0.319100
2025-07-16,15.5900,15.8000,15.4300,15.7300,5429708,84940267.0700,0.704200
2025-07-17,15.7000,15.7600,15.5600,15.6800,5481388,85762492.6200,-0.317900
2025-07-18,15.7100,16.0700,15.6000,15.8700,9508766,151088706.0800,1.211700
2025-07-21,15.8700,16.0400,15.8400,15.8800,6306094,100364847.9600,0.063000
2025-07-22,15.8800,16.2500,15.8500,16.2500,14132845,228053317.2800,2.330000
2025-07-23,16.3100,16.5600,15.9900,16.0500,11234492,182698266.7500,-1.230800
2025-07-24,16.0400,16.8500,15.9900,16.7100,17082968,280850856.2800,4.112100
2025-07-25,16.7000,16.8000,16.4100,16.5100,10545347,174510200.1500,-1.196900
2025-07-28,16.4800,16.5000,16.1600,16.2400,7146097,116298854.7800,-1.635400
2025-07-29,16.2500,16.4000,16.1700,16.2600,5880527,95584126.6700,0.123200
2025-07-30,16.2500,16.4400,15.9400,16.1000,8503024,137379492.1200,-0.984000
2025-07-31,16.0300,16.0900,15.6800,15.7400,7749055,122836323.8300,-2.236000
2025-08-01,15.7500,15.9000,15.7100,15.7900,4439491,70120340.2500,0.317700
2025-08-04,15.7200,15.8700,15.6200,15.8200,3855137,60717051.6600,0.190000
2025-08-05,15.8200,16.0100,15.7200,15.8300,5949634,94455238.1300,0.063200
2025-08-06,15.8800,15.9500,15.6800,15.9300,9242921,146166214.1800,0.631700
2025-08-07,15.9900,16.3400,15.9000,16.2400,13398849,216893391.9900,1.946000
2025-08-08,16.2300,16.2400,15.8800,15.9100,8286169,132718964.0400,-2.032000
2025-08-11,16.0500,16.3500,15.9900,16.2600,10988754,178286261.0200,2.199900
2025-08-12,16.2600,16.6200,16.1300,16.3200,10898140,178098131.9000,0.369000
2025-08-13,16.2100,17.0800,16.2100,16.7100,21727703,364649785.9800,2.389700
2025-08-14,16.7000,16.7900,16.2400,16.2800,11216040,184791005.6000,-2.573300
2025-08-15,16.3000,16.7600,16.2900,16.7300,10671680,177349757.2900,2.764100
2025-08-18,17.0700,17.4800,16.9000,17.2000,21320272,367372091.5000,2.809300
2025-08-19,17.2800,17.3200,17.0300,17.0800,11066774,189758463.5900,-0.697700
2025-08-20,17.0000,17.6500,16.9500,17.4200,15314380,266050309.7900,1.990600
2025-08-21,17.1700,17.1700,16.7700,16.8700,20188367,342002179.0000,-3.157300
2025-08-22,16.8500,16.9900,16.6300,16.8000,12678699,212901036.9500,-0.414900
2025-08-25,16.8200,17.1900,16.8000,17.1000,16142096,274903991.7200,1.785700
2025-08-26,17.1000,17.2500,16.8800,16.9400,11545414,197141414.4500,-0.935700
2025-08-27,16.9500,16.9900,16.5000,16.5200,13648739,228813766.2800,-2.479300
2025-08-28,16.5100,16.6800,16.1000,16.5900,12391439,203837573.9500,0.423700
2025-08-29,16.5900,17.8000,16.5900,17.4100,34966392,608216932.7600,4.942700
2025-09-01,17.6100,17.7400,17.3200,17.6400,18681998,327600931.5400,1.321100
2025-09-02,17.6400,17.8600,17.1100,17.3100,17960301,312164761.8700,-1.870700
2025-09-03,17.3200,17.4400,16.7200,16.7900,11552079,195818668.7200,-3.004000
2025-09-04,16.7000,17.1900,16.2900,16.5800,13191227,220897594.7000,-1.250700
2025-09-05,16.6000,17.3800,16.5100,17.3600,17355431,296777284.3000,4.704500
2025-09-08,17.4200,17.5000,17.0100,17.4400,15485701,267905787.0600,0.460800
2025-09-09,17.4000,17.6800,17.2600,17.6100,16283201,285841631.8100,0.974800
2025-09-10,17.7300,17.8100,17.3000,17.3600,14044383,245798374.8100,-1.419600
2025-09-11,17.5000,17.7500,17.2600,17.4900,13433475,234806338.3700,0.748800
2025-09-12,17.4800,18.4900,17.1800,17.9800,32673944,583172153.4400,2.801600
2025-09-15,17.9700,18.0000,17.6300,17.6600,15184976,269497668.8800,-1.779800
2025-09-16,17.6300,17.7700,17.1800,17.3900,17535460,304229754.4300,-1.528900
2025-09-17,17.3800,17.4500,17.1000,17.3700,10968520,189948936.9600,-0.115000
2025-09-18,17.3600,17.4200,16.8900,17.0300,18451589,316591724.1900,-1.957400
2025-09-19,17.0100,17.4900,17.0100,17.2500,12206161,211072581.2400,1.291800
2025-09-22,17.2000,17.3700,16.8600,16.9700,10216326,173621937.8600,-1.623200
2025-09-23,17.2700,17.2700,16.6200,16.8500,10230024,172351530.8100,-0.707100
2025-09-24,16.7200,17.0900,16.7100,17.0500,8726071,147595812.2900,1.186900
2025-09-25,17.0800,17.2300,16.9100,17.0300,8044498,137193074.1400,-0.117300
2025-09-26,17.2400,18.3100,17.1200,18.1900,44440802,798597546.5700,6.811500
2025-09-29,18.2500,18.6200,18.2100,18.4200,24909518,458198074.8900,1.264400
2025-09-30,18.4500,19.3800,18.2800,19.0000,25254659,478759453.2200,3.148800
2025-10-09,19.2700,19.4000,18.8400,19.2400,19366052,370445834.3200,1.263200
2025-10-10,19.2600,19.4200,18.9500,19.0900,13730947,262790242.6000,-0.779600
2025-10-13,18.5000,19.3400,18.3700,19.1900,19192782,362899848.6700,0.523800
2025-10-14,19.3700,19.5500,18.4500,18.5600,19637158,372312734.1300,-3.283000
2025-10-15,18.6100,18.9900,18.5300,18.7000,11803610,221117914.3600,0.754300
2025-10-16,18.6900,18.7500,17.8800,17.9400,16602275,302022104.8400,-4.064200
2025-10-17,18.1700,18.8900,17.8000,17.8000,20566136,375887956.5000,-0.780400
2025-10-20,18.0700,18.1800,17.5800,17.6400,11486552,204415038.0000,-0.898900
2025-10-21,17.7100,18.0900,17.5400,17.7400,9024604,160751961.7600,0.566900
2025-10-22,17.5600,17.6700,17.3600,17.5300,7706549,135095547.8600,-1.183800
2025-10-23,17.5500,18.0300,17.3000,18.0300,10706130,189183451.2000,2.852300
2025-10-24,18.0000,18.1700,17.6000,17.7100,11671485,207750104.4400,-1.774800
2025-10-27,17.7700,17.9400,17.6300,17.8000,8630999,153489552.6600,0.508200
2025-10-28,17.7100,18.1500,17.5800,17.7800,11539235,206498169.4800,-0.112400
2025-10-29,18.1000,18.4200,17.9100,18.3000,19633351,357453357.7500,2.924600
2025-10-30,18.2700,18.4500,17.9000,18.1500,14715268,266061253.0700,-0.819700
2025-10-31,18.1200,18.9700,18.1200,18.3800,20389670,379990977.5900,1.267200
2025-11-03,18.5200,18.5200,17.8200,18.1100,12963897,234205755.0000,-1.469000
2025-11-04,18.0000,18.5100,17.9300,18.2700,14814054,270207148.7800,0.883500
2025-11-05,18.0100,18.4300,17.8300,18.1600,14231048,258133336.6000,-0.602100
2025-11-06,18.1200,19.1000,18.1200,18.8900,23007033,432012698.7700,4.019800
2025-11-07,18.8900,19.9900,18.8900,19.6700,33252612,649558534.9100,4.129200
2025-11-10,20.2000,20.6500,19.7700,19.8900,42221496,852548764.6700,1.118500
2025-11-11,19.8300,20.2600,19.5300,19.7300,22553132,446370943.9000,-0.804400
2025-11-12,19.5800,19.9600,19.1700,19.7800,22547707,440956024.0400,0.253400
2025-11-13,19.7000,21.1400,19.7000,20.5100,33695405,693850513.2000,3.690600
2025-11-14,20.2600,20.6800,19.8500,20.2000,20716239,417928217.0700,-1.511500
2025-11-17,20.2200,20.6500,20.0200,20.1900,15958222,323156367.3200,-0.049500
2025-11-18,19.8600,20.5700,19.6500,19.8100,18036859,360445911.4000,-1.882100
2025-11-19,19.6700,20.2600,19.2400,19.5900,17643437,345577640.0500,-1.110600
2025-11-20,19.6100,20.3500,19.5600,19.6200,24373705,485865313.1100,0.153100
2025-11-21,19.3100,19.5100,18.0500,18.0500,28074343,517946383.6100,-8.002000
2025-11-24,18.2200,18.2500,17.5600,17.7000,15273512,272201176.9400,-1.939100
2025-11-25,17.7400,18.2600,17.6100,18.0200,13857249,249058628.5000,1.807900
2025-11-26,18.0100,18.0800,17.6200,17.6300,9591613,170836274.8500,-2.164300
2025-11-27,17.6100,17.9400,17.6100,17.6900,7895994,140580884.6300,0.340300
2025-11-28,17.7300,17.8600,17.5300,17.6200,8189407,144477506.8600,0.000000
2025-12-01,17.8000,18.0700,17.6200,17.9200,12247174,218375712.0200,1.702600
2025-12-02,17.8300,17.8900,17.5500,17.8100,7724676,137043477.7700,-0.613800
2025-12-03,17.8000,18.4800,17.7900,18.2300,19033257,345344885.7400,2.358200
2025-12-04,18.1300,18.2000,17.5500,17.5800,14231398,252033146.7300,-3.565600
2025-12-05,17.5900,17.8400,17.4100,17.7900,8166550,144348826.5200,1.194500
2025-12-08,17.8600,18.0500,17.4400,17.9400,14813372,262491143.1800,0.843200
2025-12-09,17.8500,18.1600,17.6500,17.9500,9272324,166355720.1500,0.055700
2025-12-10,17.9100,18.3100,17.8100,18.0900,9108025,164681167.6200,0.779900
2025-12-11,18.3800,18.5200,17.9200,17.9500,8685375,157243126.9600,-0.773900
2025-12-12,18.0500,18.1400,17.8000,17.8300,6577559,118209007.7400,-0.668500
2025-12-15,17.8300,18.1800,17.7300,17.9700,5556408,100038641.8400,0.785200
2025-12-16,18.0000,18.0000,17.5600,17.7000,7839184,138696724.9200,-1.502500
2025-12-17,17.6200,18.1500,17.6200,18.1000,8276208,148449138.4600,2.259900
2025-12-18,17.9600,18.1800,17.8700,17.8800,5715756,103050414.5300,-1.215500
2025-12-19,17.9900,18.3900,17.7800,18.2700,10454818,189385503.0800,2.181200
2025-12-22,18.8000,18.8000,18.2500,18.3400,15185390,280231577.1800,0.383100
2025-12-23,18.3300,18.9100,18.2700,18.7000,14132123,263350506.8600,1.962900
2025-12-24,18.8000,18.8800,18.4300,18.7400,13799316,257823125.0800,0.213900
2025-12-25,18.6700,19.5700,18.6600,19.2300,18263725,352016754.5900,2.614700
2025-12-26,19.2000,19.2900,18.8900,19.1800,12286597,235178697.8500,-0.260000
2025-12-29,19.2100,19.2300,18.7300,18.9000,10725502,202734081.0600,-1.459900
2025-12-30,18.7500,19.2800,18.6600,18.9900,11194050,212565759.5300,0.476200
2025-12-31,18.9200,19.1000,18.6300,18.6800,10758480,202074929.7800,-1.632400
2026-01-05,18.7900,18.9800,18.4300,18.6600,10852068,202019601.1400,-0.107100
2026-01-06,18.7300,19.3900,18.7200,19.2700,20759204,396939064.2200,3.269000
2026-01-07,19.4400,19.6700,19.0800,19.5200,16331418,316690384.8200,1.297400
2026-01-08,19.5200,19.6400,19.2600,19.3000,11178052,217148190.4700,-1.127000
2026-01-09,19.3100,19.6200,19.2000,19.4500,11772069,228896894.2300,0.777200
2026-01-12,19.3900,19.6600,18.8300,19.0900,19704478,375444222.4400,-1.850900
2026-01-13,19.1000,19.7200,18.9400,19.3200,17236571,332928371.8400,1.204800
2026-01-14,19.4500,19.8500,19.0900,19.2500,16464494,320271384.3300,-0.362300
2026-01-15,19.2200,19.7500,19.1000,19.4700,14263071,278570506.1300,1.142900
2026-01-16,19.7700,19.7700,19.1200,19.2500,11519238,222301157.4100,-1.129900
2026-01-19,19.1000,20.1100,19.0700,19.8800,19080047,376797184.6800,3.272700
2026-01-20,19.8800,20.1300,19.3800,19.8900,15091040,297433652.5000,0.050300
2026-01-21,19.8600,20.3700,19.6000,20.1200,17534633,352309931.5000,1.156400
2026-01-22,20.1500,20.6000,19.9400,20.3000,18696292,378856338.6500,0.894600
2026-01-23,20.3600,20.6000,20.1300,20.5000,18289521,371879250.0300,0.985200
2026-01-26,20.6000,21.7400,20.6000,21.5200,35551513,757001708.4700,4.975600
2026-01-27,21.4600,21.5200,20.3600,20.9100,26244383,546581169.2600,-2.834600
2026-01-28,20.7700,21.4400,20.4600,21.2500,24632686,518768128.6700,1.626000
2026-01-29,21.3200,21.5200,20.5300,20.5700,24338765,509616335.2300,-3.200000
2026-01-30,20.3600,20.5000,19.3200,19.8700,20244007,401080313.1100,-3.403000
2026-02-02,19.6700,19.8500,18.9300,18.9300,15964560,309425931.4800,-4.730700
2026-02-03,19.3000,19.5100,18.9800,19.4300,11142987,214306594.4000,2.641300
2026-02-04,19.5900,19.6700,19.1300,19.4400,9732839,188197472.2800,0.051500
2026-02-05,19.2500,19.4700,18.8200,19.0300,9828715,187404384.5200,-2.109100
2026-02-06,18.8000,19.3300,18.6100,19.0100,9110561,174138611.4300,-0.105100
2026-02-09,19.31,19.35,19.07,19.16,6942563,133111664.03,0.7891
