date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.0000,13.4000,12.7400,12.9300,2965915,38930350.8500,-0.538500
2025-01-03,12.8600,13.0800,12.0900,12.1400,3106954,38643458.3000,-6.109800
2025-01-06,11.4600,12.1000,11.4600,11.8000,2899225,34099268.7100,-2.800700
2025-01-07,11.8300,11.9000,11.7000,11.8900,1491400,17622554.0000,0.762700
2025-01-08,11.8300,12.0800,11.7500,12.0400,1460944,17426606.0800,1.261600
2025-01-09,11.9200,12.3000,11.8700,11.9400,1339385,16097847.4500,-0.830600
2025-01-10,11.8200,11.9800,11.4000,11.4000,1684500,19653932.0000,-4.522600
2025-01-13,11.2600,11.4300,11.1400,11.3700,1007300,11375740.0000,-0.263200
2025-01-14,12.5100,12.5100,12.5100,12.5100,594600,7438446.0000,10.026400
2025-01-15,13.7600,13.7600,13.7600,13.7600,1037100,14270496.0000,9.992000
2025-01-16,15.1400,15.1400,15.0200,15.1400,13886487,210233633.1800,10.029100
2025-01-17,15.0000,16.6500,14.3500,16.6500,20178911,320328090.2100,9.973600
2025-01-20,17.9000,18.3200,16.3000,18.3200,24154847,434520421.4400,10.030000
2025-01-21,16.9300,18.5000,16.4900,16.4900,19626183,333053603.3800,-9.989100
2025-01-22,14.8400,14.8400,14.8400,14.8400,1041700,15458828.0000,-10.006100
2025-01-23,13.3600,14.1000,13.3600,13.4500,26383553,357519809.5200,-9.366600
2025-01-24,13.0000,13.3900,12.7700,13.1300,13178658,171715138.5200,-2.379200
2025-01-27,13.1600,13.2500,12.7900,12.8500,6853058,88847334.5800,-2.132500
2025-02-05,12.8500,13.0800,12.5300,13.0600,6723200,86550353.0000,1.634200
2025-02-06,12.8800,13.1000,12.8600,13.1000,6264700,81390297.0000,0.306300
2025-02-07,13.0300,13.2600,12.9400,13.2000,9976400,130577780.0000,0.763400
2025-02-10,13.1000,13.3100,13.0200,13.2800,7725980,101480738.0000,0.606100
2025-02-11,13.3900,14.6100,13.2100,14.6100,14980056,206268586.7500,10.015100
2025-02-12,14.6100,14.8800,14.1800,14.3100,15452800,222927094.6000,-2.053400
2025-02-13,14.3200,14.5000,14.0100,14.1600,10070239,143393165.6200,-1.048200
2025-02-14,14.1000,14.2600,13.7700,13.9000,7186689,100105867.2100,-1.836200
2025-02-17,13.9000,14.5000,13.9000,14.4000,9146800,130009791.0000,3.597100
2025-02-18,14.3900,14.3900,13.5000,13.5400,7600001,105562771.5600,-5.972200
