date,open,high,low,close,volume,amount,pctChg
2025-01-02,16.0000,18.0400,16.0000,17.3600,30234845,530737997.3000,5.853700
2025-01-03,17.2400,17.3200,15.6200,15.6200,25137115,402605421.7200,-10.023000
2025-01-06,15.3000,15.5000,14.2200,14.3600,15761965,233535823.7000,-8.066600
2025-01-07,14.5200,14.9700,14.0500,14.5400,13544835,194660369.9400,1.253500
2025-01-08,14.5000,15.5800,14.1000,15.0700,18613746,275763357.1300,3.645100
2025-01-09,14.7800,16.5000,14.4700,15.6600,17661406,268763712.4800,3.915100
2025-01-10,15.2900,15.4700,14.3800,14.4500,13837200,207383325.0000,-7.726700
2025-01-13,14.0000,15.5600,13.7100,14.6900,11973955,173616276.7100,1.660900
2025-01-14,14.5000,15.3800,14.5000,15.3600,14182648,214120682.9800,4.560900
2025-01-15,15.3300,16.3500,15.2300,15.9500,19574665,307293033.4500,3.841100
2025-01-16,15.7800,16.2900,15.4100,16.1200,19813287,315697100.1500,1.065800
2025-01-17,15.8000,16.0000,15.4000,15.4000,12377562,193356090.6700,-4.466500
2025-01-20,15.5000,15.5800,14.9400,15.0700,10577098,161178860.9800,-2.142900
2025-01-21,15.0600,15.5700,14.7700,15.4900,11803299,180147684.2700,2.787000
2025-01-22,15.4000,15.4000,14.7900,14.8000,8840230,132808414.6500,-4.454500
2025-01-23,15.0000,15.0800,14.7000,14.7000,7634431,113823377.2200,-0.675700
2025-01-24,14.6000,14.8200,14.4600,14.6900,6097801,89431948.6900,-0.068000
2025-01-27,14.7800,14.9700,14.3600,14.4200,5142500,75096248.0000,-1.838000
2025-02-05,14.4300,14.5300,13.9200,14.0000,6533871,91885466.2900,-2.912600
2025-02-06,13.9900,14.4000,13.9000,14.3800,7184700,102092114.0000,2.714300
2025-02-07,14.2700,14.6100,14.2500,14.4300,7810404,112917925.0300,0.347700
2025-02-10,14.5300,14.8300,14.4000,14.8300,9255249,135177864.9100,2.772000
2025-02-11,14.8500,14.9000,14.5200,14.5700,5984099,87409027.4500,-1.753200
2025-02-12,14.4000,14.6400,14.3200,14.6300,5882300,85295869.0000,0.411800
2025-02-13,14.6000,14.7800,14.4100,14.5700,8172800,119407744.1700,-0.410100
2025-02-14,14.5000,14.5400,14.2700,14.3200,6051700,87152769.0000,-1.715900
2025-02-17,14.3300,14.6400,14.2300,14.6300,7490400,108545715.0000,2.164800
2025-02-18,14.6300,14.8000,14.1600,14.2200,7684200,110809854.0000,-2.802500
2025-02-19,14.1500,14.2800,14.0800,14.2700,4950665,70322921.7000,0.351600
2025-02-20,14.2300,14.5100,14.2000,14.4200,5354591,77217367.6800,1.051200
2025-02-21,14.3500,14.4800,14.0700,14.2100,6054445,85987802.0000,-1.456300
2025-02-24,14.1900,14.4000,14.1400,14.2300,5233445,74649837.5100,0.140700
2025-02-25,14.3100,14.6900,14.2300,14.2900,6732772,96737874.5200,0.421600
2025-02-26,14.2700,14.6800,14.2500,14.6800,9139426,132479876.1800,2.729200
2025-02-27,14.6800,16.1300,14.6000,15.5200,23779276,365329469.8000,5.722100
2025-02-28,15.3000,15.7700,14.8500,14.9200,16076737,246278005.6300,-3.866000
2025-03-03,14.9700,15.3500,14.5700,14.6800,12441656,185895137.6300,-1.608600
2025-03-04,14.6900,14.6900,14.3000,14.4900,6919100,99601409.0000,-1.294300
2025-03-05,14.4500,14.4800,14.0600,14.2000,7580354,107487610.7800,-2.001400
2025-03-06,14.2000,14.4200,14.1100,14.4000,6552600,93751763.0000,1.408500
2025-03-07,14.3000,14.5300,14.2200,14.3200,5194800,74407237.1100,-0.555600
2025-03-10,14.3400,14.4200,14.1800,14.4000,4551900,65031062.0000,0.558700
2025-03-11,14.2900,14.4100,14.1800,14.3900,4578699,65437304.7900,-0.069400
2025-03-12,14.3800,14.5000,14.2200,14.2700,5264815,75283035.7400,-0.833900
2025-03-13,14.2600,14.3100,13.9300,14.0600,5443649,76730247.8800,-1.471600
2025-03-14,14.0600,14.9000,14.0500,14.8600,16460848,241511767.5500,5.689900
2025-03-17,14.8600,15.1700,14.7300,14.7900,11146500,166012796.0000,-0.471100
2025-03-18,14.7900,14.8200,14.5300,14.5900,5630365,82186799.7500,-1.352300
2025-03-19,14.5800,14.5900,14.3300,14.3700,4776300,68766847.0000,-1.507900
2025-03-20,14.3800,14.5500,14.2300,14.2700,5449588,78083202.0400,-0.695900
2025-03-21,14.2000,14.2800,13.9500,14.0500,5777100,81457096.0000,-1.541700
2025-03-24,14.0500,14.1600,13.8100,14.0400,5376633,75197584.6800,-0.071200
2025-03-25,14.0000,14.2300,13.8600,14.1500,5134716,72140687.2000,0.783500
2025-03-26,14.0600,14.1600,13.9600,14.1200,3348200,47151052.0000,-0.212000
2025-03-27,14.0500,14.8000,14.0300,14.4100,8578326,123287475.4100,2.053800
2025-03-28,14.2800,14.3300,13.9900,14.0100,6002800,84750077.0000,-2.775900
2025-03-31,13.9800,14.0400,13.5300,13.6100,4915894,67685333.5400,-2.855100
2025-04-01,13.5900,13.8600,13.5900,13.7300,3314616,45577453.3200,0.881700
2025-04-02,13.6700,13.9500,13.6700,13.8000,2912600,40231296.6700,0.509800
2025-04-03,13.6700,13.9500,13.6200,13.8900,3507800,48584684.0000,0.652200
2025-04-07,13.2500,13.5000,12.5000,12.5000,6523200,83802781.0000,-10.007200
2025-04-08,12.5200,13.3000,12.5200,13.3000,8037549,104337822.0600,6.400000
2025-04-09,13.0600,13.8200,12.5700,13.6900,8360000,110285413.0000,2.932300
2025-04-10,13.6500,14.1300,13.5300,13.9800,8067315,112223852.4500,2.118300
2025-04-11,13.9300,13.9800,13.7000,13.7900,4952900,68421077.8500,-1.359100
2025-04-14,13.9000,14.1400,13.8100,13.9900,4831200,67610305.0000,1.450300
2025-04-15,14.0000,14.3100,13.9600,14.2100,7628100,108064745.0000,1.572600
2025-04-16,14.0200,14.2900,13.8300,14.2300,5923600,83691079.0000,0.140700
2025-04-17,14.0700,14.7000,14.0000,14.5400,10887022,157534271.1800,2.178500
2025-04-18,14.4400,14.7300,14.1800,14.2700,7296350,105099123.5000,-1.856900
2025-04-21,14.2200,14.4300,14.0100,14.1700,6107400,86558039.0000,-0.700800
2025-04-22,14.0600,14.3000,14.0400,14.1100,4508000,63761171.0000,-0.423400
2025-04-23,14.0800,14.2000,13.8800,14.0400,6369900,89166131.0000,-0.496100
2025-04-24,14.0100,14.4500,13.9000,14.0200,5589200,78996371.0000,-0.142500
2025-04-25,13.9000,14.2800,13.9000,14.0200,3900100,55039205.0000,0.000000
2025-04-28,13.7100,13.7300,12.6800,12.7800,12846172,165536618.4000,-8.844500
2025-04-29,12.7900,13.0000,12.6500,12.8600,4840400,62279667.0000,0.626000
2025-04-30,12.9300,13.0600,12.7100,12.8100,4326900,55784314.0000,-0.388800
2025-05-06,12.8300,13.0300,12.8300,13.0100,4788560,62015888.8000,1.561300
2025-05-07,13.1600,13.3200,12.9700,13.0600,4717141,61936081.7900,0.384300
2025-05-08,13.0600,13.2300,12.9600,13.2100,4467022,58873244.2600,1.148500
2025-05-09,13.1800,13.2600,13.0100,13.0900,3149900,41287590.0000,-0.908400
2025-05-12,13.1100,13.1600,13.0200,13.1200,3230350,42254152.5000,0.229200
2025-05-13,13.2500,13.2800,13.0700,13.1100,3307900,43500668.0000,-0.076200
2025-05-14,13.1100,13.1700,13.0000,13.1100,3055500,39950904.0000,0.000000
2025-05-15,13.1100,13.2100,13.0300,13.1300,3694300,48541352.0000,0.152600
2025-05-16,13.1400,13.1400,12.9700,13.1000,2830700,36956500.0000,-0.228500
2025-05-19,13.1000,13.3800,13.0300,13.3700,4547900,60189233.0000,2.061100
2025-05-20,13.3900,13.7400,13.3300,13.5700,5502800,74702947.0000,1.495900
2025-05-21,13.5600,13.8000,13.4000,13.4700,3744800,50654306.0000,-0.736900
2025-05-22,13.4100,13.5800,13.1000,13.1200,4905900,64952528.0000,-2.598400
2025-05-23,13.1000,13.4000,12.9500,12.9600,5114100,66968647.0000,-1.219500
2025-05-26,12.9000,13.3800,12.8800,13.1700,4766500,62602886.0000,1.620400
2025-05-27,13.2500,13.9300,13.2400,13.6300,11871600,162349960.0000,3.492800
2025-05-28,13.6400,14.5000,13.4400,14.0600,14015447,195796122.0200,3.154800
2025-05-29,13.8500,13.9500,13.5900,13.8300,9591847,131797383.7800,-1.635800
2025-05-30,13.8300,13.8300,13.4100,13.4300,4896200,66219989.0000,-2.892300
2025-06-03,13.3800,13.7500,13.3300,13.6500,5635015,76509193.1500,1.638100
2025-06-04,13.6300,15.0200,13.5000,15.0200,13919233,201768470.6600,10.036600
2025-06-05,15.8000,15.9600,14.7400,14.8300,30555914,466776498.9600,-1.265000
2025-06-06,14.7500,14.8100,14.2200,14.4000,14206764,204295737.8000,-2.899500
2025-06-09,14.2000,14.4300,14.2000,14.3500,9301414,133340225.3700,-0.347200
2025-06-10,14.2800,14.4500,14.0300,14.2200,8469525,120647173.2300,-0.905900
2025-06-11,14.2200,14.3500,14.1800,14.2700,6073733,86646714.6000,0.351600
2025-06-12,14.2300,14.2500,14.0000,14.1100,6388611,90069239.2100,-1.121200
2025-06-13,14.0100,14.0600,13.6800,13.8000,5400300,74774652.0000,-2.197000
2025-06-16,13.7100,14.3000,13.6900,13.9900,5256611,73725658.0000,1.376800
2025-06-17,13.9700,14.1300,13.8000,14.0100,4599100,64291969.0000,0.143000
2025-06-18,14.0100,14.0100,13.7000,13.8700,4349800,60137940.0000,-0.999300
2025-06-19,13.8900,13.9500,13.5300,13.6000,4220800,57788297.0000,-1.946600
2025-06-20,13.5200,13.6800,13.5000,13.5100,3137000,42552730.0000,-0.661800
2025-06-23,13.3100,13.6100,13.2200,13.6100,3082200,41525757.0000,0.740200
2025-06-24,13.5800,13.8200,13.4800,13.8000,3733600,51316989.0000,1.396000
2025-06-25,13.9800,14.0400,13.8000,13.9300,4341800,60369712.0000,0.942000
2025-06-26,13.8600,14.1700,13.8300,14.0200,5232000,73373686.0000,0.646100
2025-06-27,14.0800,14.0800,13.9000,13.9300,3046200,42538489.0000,-0.641900
2025-06-30,13.9000,14.0100,13.8100,13.9600,2872282,40043546.2200,0.215400
2025-07-01,13.9500,14.1500,13.8800,14.0800,3925283,55007703.4400,0.859600
2025-07-02,14.0800,14.2000,13.9800,14.0500,3726200,52480078.0000,-0.213100
2025-07-03,14.0000,14.0800,13.9100,14.0000,2967937,41416776.6700,-0.355900
2025-07-04,14.0000,14.0000,13.8200,13.8300,3073700,42708011.0000,-1.214300
2025-07-07,14.1000,14.7500,14.0900,14.1300,7370232,104881730.8900,2.169200
2025-07-08,14.0000,14.3700,14.0000,14.2000,5953500,84443772.0000,0.495400
2025-07-09,14.0200,14.3000,13.8500,13.9800,6192637,86714793.6200,0.215100
2025-07-10,13.8500,13.9600,13.8100,13.9000,3865600,53683991.0000,-0.572200
2025-07-11,13.8700,13.9000,13.7000,13.8400,3789100,52319120.0000,-0.431700
2025-07-14,13.5000,13.8000,13.2900,13.7700,4232800,57663511.0000,-0.505800
2025-07-15,13.6800,13.7400,13.4500,13.5600,3080199,41732568.5100,-1.525100
2025-07-16,13.5600,13.7400,13.5200,13.6000,2086000,28400225.0000,0.295000
2025-07-17,13.6100,13.7600,13.5400,13.6000,2836200,38668534.0200,0.000000
2025-07-18,13.5700,13.6300,13.5500,13.6000,2025600,27519718.0000,0.000000
2025-07-21,13.6100,13.6900,13.5400,13.6700,2572500,35051649.0000,0.514700
2025-07-22,13.6700,13.7300,13.5800,13.6900,2515850,34354300.5000,0.146300
2025-07-23,13.7400,13.7800,13.5800,13.6100,2885099,39503776.2500,-0.584400
2025-07-24,13.6100,13.8000,13.5400,13.8000,4390400,60327664.0000,1.396000
2025-07-25,13.8000,13.8400,13.7200,13.8000,3133763,43180266.9100,0.000000
2025-07-28,13.8000,13.8500,13.7000,13.8000,2750401,37899937.7300,0.000000
2025-07-29,13.8100,14.0000,13.6100,13.7100,4056300,55746996.0000,-0.652200
2025-07-30,13.7200,13.9000,13.6200,13.8000,5110700,70400952.0000,0.656500
2025-07-31,13.8500,13.8500,13.4800,13.5000,4270815,58128850.3500,-2.173900
2025-08-01,13.4900,13.5800,13.4700,13.5400,1751385,23668544.3500,0.296300
2025-08-04,13.5100,13.6100,13.3600,13.6000,1962415,26498148.2500,0.443100
2025-08-05,13.6200,14.1100,13.6200,13.7900,6009400,83306422.0000,1.397100
2025-08-06,13.7200,13.8300,13.6300,13.7500,3159200,43287139.0000,-0.290100
2025-08-07,13.7500,13.8000,13.6700,13.7400,2833300,38951031.0000,-0.072700
2025-08-08,13.7200,13.7400,13.5700,13.6200,2672100,36418132.0000,-0.873400
2025-08-11,13.6600,13.7400,13.6100,13.7400,3056415,41845501.6500,0.881100
2025-08-12,13.7400,13.8000,13.6500,13.7100,2469515,33906044.1000,-0.218300
2025-08-13,13.7300,13.7800,13.6500,13.6900,2935576,40149322.1600,-0.145900
2025-08-14,13.6700,13.7000,13.5100,13.5200,3311000,45005467.0000,-1.241800
2025-08-15,13.5100,13.5500,13.4500,13.5300,3286900,44333711.0000,0.074000
2025-08-18,13.5300,13.6100,13.5000,13.6000,2983700,40486305.0000,0.517400
2025-08-19,13.6000,13.6500,13.5600,13.6200,3461500,47122560.5000,0.147100
2025-08-20,13.6000,13.8900,13.5200,13.8600,8094327,111434995.3500,1.762100
2025-08-21,13.8700,13.9700,13.7300,13.8900,6199900,86044244.0000,0.216500
2025-08-22,13.8900,13.9100,13.7200,13.8000,4115300,56675880.0000,-0.647900
2025-08-25,13.8200,13.9800,13.7400,13.8500,7750300,107256895.0000,0.362300
2025-08-26,13.8600,14.0700,13.7800,14.0500,8257599,115271709.2000,1.444000
2025-08-27,13.9100,14.2000,13.7500,13.7700,7479319,104409576.2100,-1.992900
2025-08-28,13.7400,13.8400,13.2000,13.6100,6635400,89652937.0000,-1.161900
2025-08-29,13.6100,13.7300,13.4700,13.5200,3476700,47232330.0000,-0.661300
2025-09-01,13.4600,13.6400,13.3700,13.5700,3141600,42498812.0000,0.369800
2025-09-02,13.5700,13.6500,13.4000,13.4900,3237500,43716238.0000,-0.589500
2025-09-03,13.4500,13.6300,13.2200,13.2400,3061200,40833664.0000,-1.853200
2025-09-04,13.2500,13.7400,13.1800,13.5900,5127500,69164062.0000,2.643500
2025-09-05,13.4900,13.5700,13.2300,13.5500,4044700,54220726.6300,-0.294300
2025-09-08,13.5000,13.6500,13.4700,13.6400,2909500,39603499.0000,0.664200
2025-09-09,13.6300,13.7400,13.5500,13.6800,3409700,46487136.0000,0.293300
2025-09-10,13.6500,13.7800,13.5900,13.7600,4022306,55106092.7800,0.584800
2025-09-11,13.7600,13.8000,13.5700,13.7300,3395300,46406546.0000,-0.218000
2025-09-12,13.7200,13.7600,13.5300,13.5300,2898300,39453374.0000,-1.456700
2025-09-15,13.5000,13.6200,13.4000,13.5200,2359279,31902590.0800,-0.073900
2025-09-16,13.5000,13.6300,13.4800,13.5400,1949679,26374493.4000,0.147900
2025-09-17,13.5100,13.5400,13.4200,13.4400,2593000,34921954.0000,-0.738600
2025-09-18,13.4100,13.4400,13.2100,13.2800,3773967,50297066.9500,-1.190500
2025-09-19,13.2100,13.3300,13.2100,13.3300,1843217,24439903.8200,0.376500
2025-09-22,13.3500,13.3600,13.1400,13.1400,2166700,28606285.8500,-1.425400
2025-09-23,13.1600,13.1800,12.7100,12.8600,2984300,38350606.0000,-2.130900
2025-09-24,12.8600,13.2300,12.7900,13.1500,2415100,31512487.0400,2.255100
2025-09-25,13.1500,13.1900,12.9400,12.9600,1651600,21520959.0000,-1.444900
2025-09-26,12.9100,13.0800,12.8600,13.0200,1210100,15739842.0000,0.463000
2025-09-29,13.0500,13.0600,12.8000,12.9800,1473100,19048650.0000,-0.307200
