date,open,high,low,close,volume,amount,pctChg
2025-01-02,42.7900,42.8600,40.8700,41.1100,2763119,115622431.5200,-3.497700
2025-01-03,41.1100,41.7500,40.1100,40.3000,2873100,117568473.2000,-1.970300
2025-01-06,40.1300,40.5100,39.2000,40.0100,2949598,117781172.2300,-0.719600
2025-01-07,39.8400,40.3800,39.4900,40.1700,2185072,87367384.9200,0.399900
2025-01-08,39.9000,40.5200,38.0300,38.9000,3972540,154401922.2000,-3.161600
2025-01-09,38.5000,40.4900,38.3900,39.5000,3314395,132225587.9000,1.542400
2025-01-10,39.7100,40.1700,38.3100,38.3200,2815520,110218659.0800,-2.987300
2025-01-13,38.2000,38.8600,37.8300,38.5500,3674436,141370724.0000,0.600200
2025-01-14,38.5800,39.3200,38.1400,39.3000,3190021,124066588.4500,1.945500
2025-01-15,39.4700,39.7200,37.0200,38.0000,5309502,201687956.4400,-3.307900
2025-01-16,38.0100,39.5000,37.6000,39.2900,5448677,212804743.0200,3.394700
2025-01-17,39.0800,42.3500,38.7600,41.5800,5134396,210536332.4200,5.828500
2025-01-20,41.7000,42.8200,41.1500,41.5200,3695598,154525543.0600,-0.144300
2025-01-21,41.5300,42.5500,40.6800,41.9600,3491020,146141062.8200,1.059700
2025-01-22,41.6000,41.8500,40.0000,40.8200,2941333,119560319.4900,-2.716900
2025-01-23,41.1600,43.1000,41.0500,42.5400,5007030,211883356.4600,4.213600
2025-01-24,42.5400,43.3500,41.9700,42.6000,2735540,116365467.4700,0.141000
2025-01-27,42.5900,43.6900,42.4300,42.5800,2065377,88809430.2000,-0.046900
2025-02-05,42.5400,42.9900,40.2000,40.3100,3711265,151394153.7900,-5.331100
2025-02-06,40.4500,41.0100,39.7500,40.3100,3270259,131786121.0400,0.000000
2025-02-07,40.3100,42.4400,39.8000,41.9000,3784779,157325674.1600,3.944400
2025-02-10,41.5000,42.7800,41.0100,42.3800,2961444,124601691.8000,1.145600
2025-02-11,42.4500,42.7700,40.8000,41.3200,2784474,114641236.0200,-2.501200
2025-02-12,41.0900,41.8400,40.7400,41.8200,2211100,91252074.9000,1.210100
2025-02-13,41.4000,44.2100,41.3900,42.8700,6325586,272418481.0600,2.510800
2025-02-14,42.8800,43.5200,41.9000,42.3800,4093839,174272275.6800,-1.143000
2025-02-17,42.2900,44.2400,41.3300,44.1800,4630362,199391286.0300,4.247300
2025-02-18,44.0300,44.1000,42.8800,43.2800,3578323,155085794.2200,-2.037100
2025-02-19,42.8000,44.7800,42.2800,44.1100,3789362,167104313.8200,1.917700
2025-02-20,44.1300,45.5500,43.7300,45.2200,4139998,184691355.0500,2.516400
2025-02-21,45.1500,47.5000,45.1000,46.9200,3986734,186040369.8100,3.759400
2025-02-24,46.9800,47.5900,46.1000,46.2500,2725220,127033947.7700,-1.428000
2025-02-25,45.8500,46.1500,43.8800,44.2000,3786765,169658603.7000,-4.432400
2025-02-26,44.2000,47.0200,44.1600,46.9500,3961475,181836313.1600,6.221700
2025-02-27,46.9500,48.7800,46.6500,47.8900,4144170,199321362.8000,2.002100
2025-02-28,47.9900,49.9100,46.5900,46.9500,4136098,198403850.1000,-1.962800
