date,open,high,low,close,volume,amount,pctChg
2025-01-02,61.9200,62.0900,58.5100,58.8000,1640583,97663387.7600,-4.854400
2025-01-03,58.7000,59.1100,56.4000,57.2400,2267200,129792069.5900,-2.653100
2025-01-06,56.4900,58.5000,56.4900,57.8200,1202973,69478123.5400,1.013300
2025-01-07,57.8200,58.4000,57.0200,58.4000,912946,52821178.3900,1.003100
2025-01-08,57.0100,59.7600,57.0100,59.4000,1202973,70450620.4300,1.712300
2025-01-09,59.4000,59.8900,58.6600,59.4800,740912,44007687.8000,0.134700
2025-01-10,60.1100,63.4000,59.1200,61.7500,1947426,120422955.2600,3.816400
2025-01-13,61.0000,62.8800,58.9600,59.8000,1744481,105876621.8000,-3.157900
2025-01-14,60.2000,61.9000,59.0000,61.4600,883350,53682184.8900,2.775900
2025-01-15,61.4800,61.5600,59.8800,60.1400,802173,48611633.4100,-2.147700
2025-01-16,60.4100,60.6800,58.1300,59.2900,1473479,87076900.1800,-1.413400
2025-01-17,59.1100,61.4700,58.9700,61.0400,1096100,66175552.0000,2.951600
2025-01-20,61.5400,62.6600,60.3400,61.3000,882450,54416752.8000,0.426000
2025-01-21,61.4000,62.5000,60.3000,61.8500,781799,48158245.3800,0.897200
2025-01-22,61.4800,63.1700,60.2000,62.8800,1455033,90167866.8200,1.665300
2025-01-23,62.9600,63.7000,61.8000,62.1200,859726,53877954.2200,-1.208700
2025-01-24,62.0300,64.1600,61.8000,61.8400,932222,58392798.7000,-0.450700
2025-01-27,63.6300,63.6800,61.1800,61.1800,667400,41170797.7000,-1.067300
2025-02-05,61.1000,62.3300,60.0100,61.9500,1496672,91631798.2000,1.258600
2025-02-06,61.2500,68.1500,61.2500,68.1500,2671688,176233593.5400,10.008100
2025-02-07,71.0000,74.4700,69.2000,71.6500,4734057,340123599.0900,5.135700
2025-02-10,71.5800,71.7400,69.5100,71.5400,3094113,218724223.7000,-0.153500
2025-02-11,71.0000,72.0000,69.6400,71.5000,1801364,128082953.4400,-0.055900
2025-02-12,71.0000,73.0000,70.0900,72.5000,1738285,125441082.0700,1.398600
2025-02-13,73.0000,76.7600,70.7800,70.9700,2429595,177649310.4200,-2.110300
2025-02-14,71.2900,75.6300,70.0000,75.5000,2942305,215813136.4900,6.383000
2025-02-17,75.1900,76.9700,73.6100,74.2000,2276316,170506620.2600,-1.721900
2025-02-18,74.6800,76.1600,73.2100,73.7600,1730643,129072970.0000,-0.593000
2025-02-19,73.7000,75.6400,73.5000,74.4000,1529211,114018365.8500,0.867700
2025-02-20,73.9100,74.0100,70.7400,71.7000,2408300,173237047.5800,-3.629000
2025-02-21,71.6000,74.5000,71.3400,73.1700,2898842,212622153.4900,2.050200
2025-02-24,72.8000,72.9000,69.7700,70.3900,2819264,198870985.4200,-3.799400
2025-02-25,69.9100,71.9000,67.8800,70.2300,3002423,209737445.4800,-0.227300
2025-02-26,70.2900,70.8200,66.8800,68.4000,3799707,259552152.9300,-2.605700
2025-02-27,68.2600,68.4000,65.5300,66.2300,2982960,198860983.9900,-3.172500
2025-02-28,66.5200,66.5200,61.9600,62.4300,2911997,186259598.3100,-5.737600
2025-03-03,62.8000,63.0800,60.5100,60.8800,2870959,176888272.6700,-2.482800
2025-03-04,60.6600,61.8100,60.4700,61.1700,2012437,123109738.5700,0.476300
2025-03-05,61.4300,62.1300,60.6100,61.0300,1780400,108728452.0000,-0.228900
2025-03-06,61.1600,62.6100,60.5000,61.9900,3276067,202161549.1500,1.573000
2025-03-07,62.1300,63.2600,61.2500,62.5000,2739534,171311572.7300,0.822700
2025-03-10,62.9000,63.9800,62.0100,63.1500,2947467,186283352.6600,1.040000
