date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.6100,5.6600,5.4500,5.5000,6720600,37445923.0000,-2.309100
2025-01-03,5.5200,5.5400,5.2800,5.3200,7627285,41106372.9000,-3.272700
2025-01-06,5.4300,5.8500,5.4100,5.8500,7806900,44817292.0000,9.962400
2025-01-07,6.1600,6.4400,5.9500,6.4200,48165909,304776498.5200,9.743600
2025-01-08,6.1500,6.4900,5.9800,6.1700,30091300,186220662.0800,-3.894100
2025-01-09,6.1400,6.1800,5.9800,6.0900,12854192,78529647.3600,-1.296600
2025-01-10,6.1300,6.1400,5.7100,5.8300,16712192,98160461.3600,-4.269300
2025-01-13,5.7300,6.4100,5.7200,6.4100,21098692,130448122.9600,9.948500
2025-01-14,6.4500,6.6600,6.2900,6.6100,31195092,204135195.2800,3.120100
2025-01-15,6.5500,6.6100,6.4700,6.5200,14355000,93500891.0000,-1.361600
2025-01-16,6.5200,6.5700,6.4100,6.4400,11837900,76675633.0000,-1.227000
2025-01-17,6.4000,6.5700,6.3000,6.5000,16730300,108204755.0000,0.931700
2025-01-20,6.5800,6.5800,6.3500,6.4100,12946800,83516827.0000,-1.384600
2025-01-21,6.4100,6.6000,6.3200,6.5300,13118200,85059170.0000,1.872100
2025-01-22,6.4700,6.5500,6.3800,6.4300,7789800,50347310.0000,-1.531400
2025-01-23,6.4800,6.5800,6.3800,6.4500,8455900,54611452.0000,0.311000
2025-01-24,6.4500,6.4700,6.3100,6.3800,9220400,58903160.0000,-1.085300
2025-01-27,6.3800,6.4200,6.3100,6.3500,4594200,29188406.0000,-0.470200
2025-02-05,6.3500,6.4000,6.2900,6.3200,4426944,28049588.1000,-0.472400
2025-02-06,6.3000,6.3300,6.1500,6.3300,6800200,42496419.0000,0.158200
2025-02-07,6.3400,6.4600,6.2600,6.3600,9250800,58877986.0000,0.473900
2025-02-10,6.3700,6.5200,6.3500,6.5000,9749700,62650369.0000,2.201300
2025-02-11,6.4600,6.5400,6.3500,6.4000,6981200,44721850.0000,-1.538500
2025-02-12,6.3800,6.4000,6.2800,6.3300,6530800,41297483.0000,-1.093800
2025-02-13,6.3300,6.9600,6.3000,6.9600,17774800,118971909.0000,9.952600
2025-02-14,7.1700,7.1700,6.7100,6.7900,33196900,230902823.0100,-2.442500
2025-02-17,6.7300,7.2800,6.7300,7.0600,29087300,205814917.0000,3.976400
2025-02-18,7.0200,7.0900,6.8400,6.8600,14198500,98737029.0000,-2.832900
2025-02-19,6.8600,7.0500,6.7800,6.8500,11311923,77827701.4200,-0.145800
2025-02-20,6.8300,6.8600,6.7400,6.8100,8439100,57361072.0000,-0.583900
2025-02-21,6.7700,6.8100,6.5600,6.7100,12076400,80393504.0000,-1.468400
2025-02-24,6.7100,6.8500,6.6400,6.6800,11650775,78258100.0000,-0.447100
2025-02-25,6.6400,6.6800,6.5200,6.5800,9246700,60826166.0000,-1.497000
2025-02-26,6.6000,6.6500,6.5300,6.5700,8369800,54965539.0000,-0.152000
2025-02-27,6.5600,6.6800,6.5400,6.6800,10344300,68500804.0000,1.674300
2025-02-28,6.6600,6.7300,6.5100,6.5400,8524700,56198919.0000,-2.095800
2025-03-03,6.5000,6.7000,6.4400,6.4900,8000600,52325243.0000,-0.764500
2025-03-04,6.4300,6.6100,6.4200,6.5900,5583200,36591484.0000,1.540800
2025-03-05,6.5900,6.6100,6.4600,6.4900,5224600,33953575.0000,-1.517500
2025-03-06,6.5000,6.6400,6.3900,6.6300,9647400,62923492.0000,2.157200
2025-03-07,6.6300,6.7600,6.4900,6.5400,9421952,62150391.0800,-1.357500
2025-03-10,6.5200,6.5800,6.4800,6.5200,5631300,36711204.0000,-0.305800
2025-03-11,6.4800,6.5100,6.4100,6.4800,5427833,35016173.5100,-0.613500
2025-03-12,6.4800,6.5300,6.4300,6.5300,4569000,29644538.0000,0.771600
2025-03-13,6.5300,7.1100,6.4400,6.7900,23450649,158784516.6500,3.981600
2025-03-14,6.7500,6.8300,6.6800,6.7100,11323200,76160040.0000,-1.178200
2025-03-17,6.7000,6.8700,6.6800,6.7300,8265348,55705165.1800,0.298100
2025-03-18,6.7400,6.7700,6.6700,6.7300,6756300,45401482.0000,0.000000
2025-03-19,6.7300,6.8300,6.6700,6.7200,6559400,44060173.0000,-0.148600
2025-03-20,6.7200,6.9900,6.6900,6.8400,13833210,95105105.9000,1.785700
2025-03-21,6.8300,7.0700,6.8300,6.9600,15624172,108851609.4000,1.754400
2025-03-24,6.9800,7.1500,6.8200,7.0200,20755043,145822712.0300,0.862100
2025-03-25,6.9900,7.2500,6.9400,7.1600,20983724,149577158.3600,1.994300
2025-03-26,7.2000,7.3400,7.1300,7.2600,15516224,112150895.9600,1.396600
2025-03-27,7.2200,7.6400,7.2000,7.5600,24062600,179596801.0000,4.132200
2025-03-28,7.5100,7.7900,7.3900,7.4600,24595082,186479555.7800,-1.322800
2025-03-31,7.5100,7.8500,7.4000,7.4800,20024700,151676580.3200,0.268100
2025-04-01,7.5400,7.7300,7.4300,7.6900,18127500,138195775.0000,2.807500
2025-04-02,7.7100,7.7700,7.5300,7.7200,17408900,133264512.0000,0.390100
2025-04-03,7.6200,7.7800,7.6100,7.7200,12096600,93188488.0000,0.000000
2025-04-07,7.4500,7.5700,6.9500,6.9500,25346921,183618392.8300,-9.974100
2025-04-08,7.0300,7.6400,7.0300,7.2400,16962252,122206633.1900,4.172700
2025-04-09,7.1600,7.3200,6.7300,7.2700,15808400,111561337.0000,0.414400
2025-04-10,7.3900,7.5900,7.2800,7.5000,13683500,102226672.0000,3.163700
2025-04-11,7.4500,7.6800,7.3200,7.5200,18874252,141563923.6000,0.266700
2025-04-14,7.5300,7.6200,7.4200,7.4200,13334252,100115176.4000,-1.329800
2025-04-15,7.4300,7.4600,7.3000,7.3100,7462200,54875044.0000,-1.482500
2025-04-16,7.2700,7.3100,7.0000,7.2300,8583500,61686991.0000,-1.094400
2025-04-17,7.1800,7.3400,7.1700,7.2700,6314190,45793551.7000,0.553300
2025-04-18,7.2800,7.4900,7.1900,7.2200,8614500,62868324.4000,-0.687800
2025-04-21,7.1900,7.9300,7.1300,7.9300,26320352,201219941.4800,9.833800
2025-04-22,7.8800,8.1500,7.7800,8.1400,22406652,180021333.2000,2.648200
2025-04-23,8.0800,8.2200,7.9900,8.0200,17929552,145145722.5200,-1.474200
2025-04-24,7.9300,8.2400,7.9300,8.0900,10720900,86867983.0000,0.872800
2025-04-25,8.1500,8.1500,8.0200,8.0500,8222500,66351350.0000,-0.494400
2025-04-28,8.0200,8.0900,7.7500,7.8200,10427200,81981582.0000,-2.857100
2025-04-29,7.8700,7.9500,7.6800,7.8900,8985900,70124917.0000,0.895100
2025-04-30,7.8900,8.0900,7.8900,7.9900,8756700,69922179.0000,1.267400
2025-05-06,7.9900,8.1200,7.9400,8.0700,9597700,77307589.0000,1.001300
2025-05-07,8.1100,8.3700,8.0200,8.3000,14966800,122728936.0000,2.850100
2025-05-08,8.1300,8.3300,8.1300,8.2800,8933800,73566683.0000,-0.241000
