date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.5400,5.7500,5.4800,5.5400,5658000,31645487.0000,-0.894500
2025-01-03,5.5300,5.6000,5.0900,5.1400,6106700,32145070.0000,-7.220200
2025-01-06,5.1700,5.1700,4.8000,5.0000,6820260,33778235.8000,-2.723700
2025-01-07,5.0500,5.2400,5.0000,5.2300,4852100,24894186.0000,4.600000
2025-01-08,5.2500,5.2800,5.0000,5.2300,5246400,27047253.0000,0.000000
2025-01-09,5.2400,5.7500,5.1800,5.7500,5611800,30986521.0000,9.942600
2025-01-10,5.9900,6.3000,5.6300,6.1600,17628400,107450140.0000,7.130400
2025-01-13,5.8100,6.6000,5.6500,6.3900,16347701,102193825.4200,3.733800
2025-01-14,6.3100,6.4800,6.3000,6.4300,9400301,60054558.4100,0.626000
2025-01-15,6.4300,6.4300,5.9800,6.0700,8975300,55010345.0000,-5.598800
2025-01-16,6.1000,6.1900,5.8100,5.9100,7652402,45798529.2600,-2.635900
2025-01-17,5.8300,5.8600,5.3200,5.4000,12654602,68992264.8000,-8.629400
2025-01-20,5.4300,5.9400,5.4300,5.9400,3674200,21565324.0000,10.000000
2025-01-21,5.9800,6.2100,5.7300,5.8200,15598100,92692822.0000,-2.020200
2025-01-22,5.2400,5.2400,5.2400,5.2400,4981000,26100440.0000,-9.965600
2025-01-23,4.7200,5.4800,4.7200,5.1200,19054045,96224803.8000,-2.290100
2025-01-24,4.9900,5.1300,4.9000,5.0100,8081700,40417408.0000,-2.148400
2025-01-27,5.0500,5.2100,4.9500,4.9800,5050900,25621633.0000,-0.598800
2025-02-05,5.0300,5.1800,5.0300,5.1200,4259200,21746508.0000,2.811200
2025-02-06,5.2000,5.2000,4.9800,5.1300,4677300,23785138.0000,0.195300
2025-02-07,5.1800,5.3000,5.0800,5.2000,5142600,26824750.0000,1.364500
2025-02-10,5.2600,5.4800,5.2400,5.4800,5714000,30726195.0000,5.384600
2025-02-11,5.4700,5.6000,5.3200,5.3700,4766500,25613539.0000,-2.007300
