date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.8900,8.9600,8.5200,8.6500,12233340,107406545.4100,-2.259900
2025-01-03,8.7000,8.7700,8.4300,8.4600,11618516,99950251.6000,-2.196500
2025-01-06,8.4700,8.6500,8.3400,8.5700,9875181,84184806.1300,1.300200
2025-01-07,8.5500,8.6900,8.5100,8.6800,8020240,68962150.6000,1.283500
2025-01-08,8.6400,8.6600,8.3400,8.5100,12034860,102177631.6000,-1.958500
2025-01-09,8.4700,8.5600,8.4500,8.4600,7545820,64172254.8000,-0.587500
2025-01-10,8.4600,8.5500,8.2600,8.2700,7235260,60625410.2000,-2.245900
2025-01-13,8.2000,8.4000,8.1600,8.3600,6170539,51269970.5100,1.088300
2025-01-14,8.3600,8.6100,8.3000,8.6000,15141380,128301866.4000,2.870800
2025-01-15,8.6000,8.6300,8.4500,8.5200,9106879,77533082.2900,-0.930200
2025-01-16,8.5600,8.6900,8.5100,8.5700,10838314,93155992.1600,0.586900
2025-01-17,8.5300,8.6000,8.5000,8.5700,6503760,55685293.6000,0.000000
2025-01-20,8.5800,8.6400,8.5500,8.5900,6482900,55754154.2000,0.233400
2025-01-21,8.6000,8.6300,8.4400,8.4500,7411020,62944428.6000,-1.629800
2025-01-22,8.4300,8.4500,8.3500,8.3900,5335900,44755547.0000,-0.710100
2025-01-23,8.4400,8.5700,8.3900,8.3900,9085140,77076138.6000,0.000000
2025-01-24,8.3800,8.4700,8.3500,8.4600,6983243,58876119.5300,0.834300
2025-01-27,8.4700,8.5700,8.4300,8.4300,7037895,59804941.7000,-0.354600
2025-02-05,8.5000,8.5600,8.4700,8.5300,7967526,67865328.5100,1.186200
2025-02-06,8.5000,8.7200,8.4700,8.7100,10157680,87671516.4000,2.110200
2025-02-07,8.7500,8.8900,8.7000,8.8400,12938882,114155543.6600,1.492500
2025-02-10,8.8600,8.9000,8.7500,8.8100,10131506,89167094.0000,-0.339400
2025-02-11,8.7900,8.8400,8.6700,8.7300,7649754,66654507.2800,-0.908100
2025-02-12,8.7200,8.9100,8.6800,8.8500,11253946,98881976.3800,1.374600
2025-02-13,8.8400,8.9500,8.8100,8.8500,10986540,97472441.1000,0.000000
2025-02-14,8.8300,8.9300,8.7800,8.8300,8393049,74284259.0000,-0.226000
2025-02-17,8.8200,8.8300,8.6800,8.7200,12475660,108911344.0000,-1.245800
2025-02-18,8.7300,8.7800,8.5700,8.6200,11143334,96826163.2300,-1.146800
2025-02-19,8.6100,8.7200,8.5900,8.7100,9816587,85014409.7600,1.044100
2025-02-20,8.6300,8.6600,8.4900,8.6100,13558800,116153986.4000,-1.148100
2025-02-21,8.6000,8.6600,8.5600,8.6000,13766460,118461179.9200,-0.116100
2025-02-24,8.6000,8.7600,8.5500,8.6900,13991806,121163412.1200,1.046500
2025-02-25,8.6200,8.7500,8.6000,8.6600,8671115,75356975.7500,-0.345200
2025-02-26,8.6500,8.9300,8.6300,8.9000,18972899,167901034.9100,2.771400
2025-02-27,8.9400,8.9400,8.7700,8.8700,14140107,125202308.5800,-0.337100
2025-02-28,8.8800,8.9400,8.7900,8.8100,15868855,140832823.2500,-0.676400
2025-03-03,8.8500,9.6900,8.8400,9.6900,68804039,650393911.6600,9.988600
2025-03-04,9.7500,10.5000,9.4400,10.0000,113759701,1125464665.3900,3.199200
2025-03-05,9.7500,9.8700,9.3700,9.5400,74452731,707933165.6900,-4.600000
2025-03-06,9.5300,9.8200,9.4900,9.6800,51622826,497283819.1000,1.467500
2025-03-07,9.5900,9.8100,9.5400,9.7000,41199028,399561144.6400,0.206600
2025-03-10,9.6500,9.8000,9.5500,9.8000,32415251,313317403.1400,1.030900
2025-03-11,9.6800,10.2900,9.6300,9.9300,54751327,545210142.5700,1.326500
2025-03-12,9.8500,9.9600,9.7200,9.7300,40306761,394610017.4500,-2.014100
2025-03-13,9.7000,9.7800,9.5000,9.6200,27660809,266295639.8400,-1.130500
2025-03-14,9.6600,9.7300,9.5100,9.6100,24163031,231777490.1100,-0.104000
2025-03-17,9.6100,9.6400,9.5200,9.5600,18739186,179405809.9500,-0.520300
2025-03-18,9.5700,9.6400,9.5200,9.6100,19011645,182192882.9400,0.523000
2025-03-19,9.5700,9.5700,9.4000,9.4600,18383590,173941046.9400,-1.560900
2025-03-20,9.4600,9.5300,9.4100,9.4800,15150341,143635370.7300,0.211400
2025-03-21,9.4500,9.5100,9.2200,9.2300,19892245,185940000.0100,-2.637100
2025-03-24,9.2300,9.2700,8.9500,9.1000,19161636,174104134.8700,-1.408500
2025-03-25,9.0600,9.2200,9.0500,9.2200,18243109,166749093.3600,1.318700
2025-03-26,9.1500,9.2600,9.1000,9.1800,14128048,129876793.3800,-0.433800
2025-03-27,9.1800,9.2000,9.0000,9.1500,12407181,113163363.6200,-0.326800
2025-03-28,9.1600,9.3800,9.0700,9.3300,24880965,230029574.0500,1.967200
2025-03-31,9.3000,9.3000,9.0300,9.0300,16533059,150706441.7600,-3.215400
2025-04-01,9.0000,9.0900,8.9600,8.9900,14483167,130655773.8100,-0.443000
2025-04-02,8.9600,9.1200,8.8600,8.9500,13832299,124130262.7000,-0.444900
2025-04-03,8.7800,8.9300,8.7700,8.8300,13689090,121038562.0300,-1.340800
2025-04-07,8.3300,8.4100,7.9500,7.9500,18926313,153252279.8200,-9.966000
2025-04-08,7.9500,8.0500,7.6200,7.7300,23991333,187281243.5200,-2.767300
2025-04-09,7.6500,7.8300,7.2000,7.7700,22103090,166573432.4100,0.517500
2025-04-10,7.9200,8.0300,7.8600,7.9300,15857409,126094607.2600,2.059200
2025-04-11,7.9000,7.9900,7.8800,7.9200,12154586,96600045.2800,-0.126100
2025-04-14,8.0100,8.0700,7.9900,8.0600,11464620,92198316.0800,1.767700
2025-04-15,8.0800,8.0900,7.9600,8.0600,7770269,62289517.2900,0.000000
2025-04-16,8.0300,8.0500,7.8500,7.9300,8464567,67135958.6900,-1.612900
2025-04-17,7.8700,8.0200,7.8700,7.9500,6461372,51471518.4100,0.252200
2025-04-18,7.9900,8.0400,7.8900,8.0100,6530897,52063292.5500,0.754700
2025-04-21,8.0200,8.1100,7.9800,8.1100,8617511,69436900.9000,1.248400
2025-04-22,8.1700,8.4400,8.1300,8.1800,14146113,116579729.3800,0.863100
2025-04-23,8.1900,8.2600,8.1700,8.2000,8408890,68963107.3900,0.244500
2025-04-24,8.2000,8.2300,8.0500,8.0800,8657606,70353307.3400,-1.463400
2025-04-25,8.1000,8.1800,8.0800,8.0900,7913401,64323219.1900,0.123800
2025-04-28,8.0600,8.1900,8.0300,8.1500,10216100,82865464.9000,0.741700
2025-04-29,8.1600,8.2000,8.0600,8.0700,9913520,80321477.2100,-0.981600
2025-04-30,8.1800,8.6800,8.1600,8.6100,32030878,272075077.1100,6.691400
2025-05-06,8.7000,8.8300,8.5900,8.7800,20224012,176591546.1300,1.974400
2025-05-07,8.9000,8.9200,8.6400,8.7100,13393367,116954484.2900,-0.797300
2025-05-08,8.6900,8.7400,8.5900,8.6800,9574763,83164494.6600,-0.344400
2025-05-09,8.6900,8.7200,8.5800,8.6100,7751991,66776896.9600,-0.806500
2025-05-12,8.6800,8.7700,8.6500,8.7600,11293315,98594133.6100,1.742200
2025-05-13,8.8500,8.8800,8.6800,8.7100,9391740,82076922.4000,-0.570800
2025-05-14,8.7100,8.7600,8.6600,8.7200,7168999,62403753.5900,0.114800
2025-05-15,8.7400,8.7500,8.6300,8.6500,6918879,60029399.9900,-0.802800
2025-05-16,8.6400,8.7100,8.6300,8.6500,7080505,61393151.7600,0.000000
2025-05-19,8.6500,8.8000,8.6000,8.7300,9550235,83052580.2100,0.924900
2025-05-20,8.7400,8.8100,8.7000,8.8100,8444635,74043325.2800,0.916400
2025-05-21,8.8300,8.9500,8.7500,8.9200,13926259,123408316.6600,1.248600
2025-05-22,8.9200,8.9200,8.7000,8.7000,9780231,86025474.0200,-2.466400
2025-05-23,8.7000,8.7700,8.6200,8.6200,7937049,69038902.0900,-0.919500
2025-05-26,8.6300,8.7300,8.6000,8.6700,5624755,48730657.5900,0.580000
2025-05-27,8.6900,8.7000,8.4800,8.5500,8815173,75296174.0100,-1.384100
2025-05-28,8.5500,8.5900,8.4900,8.5200,6412341,54739708.1800,-0.350900
2025-05-29,8.5200,8.6500,8.5000,8.6300,6941599,59720915.4200,1.291100
2025-05-30,8.6000,8.6000,8.4900,8.5100,5961959,50828131.8000,-1.390500
2025-06-03,8.5300,8.6300,8.5000,8.6000,6498636,55772783.1200,1.057600
2025-06-04,8.6300,8.8100,8.6100,8.7600,9128311,79770600.5500,1.860500
2025-06-05,8.7000,8.7300,8.6600,8.7100,7177248,62434601.1000,0.114900
2025-06-06,8.7300,8.8100,8.7100,8.7300,7277300,63686966.1200,0.229600
2025-06-09,8.7500,8.8200,8.7300,8.8100,7922615,69636747.3400,0.916400
2025-06-10,8.8300,8.8600,8.6700,8.7500,7856871,68904273.1400,-0.681000
2025-06-11,8.7700,8.9400,8.7500,8.8500,10284852,91353603.9900,1.142900
2025-06-12,8.8600,8.8700,8.7900,8.8200,9575087,84479173.1500,-0.339000
2025-06-13,8.7900,8.8200,8.6700,8.6900,11147172,97356045.0600,-1.473900
2025-06-16,8.6600,8.7500,8.6200,8.6800,7476791,64961208.9600,-0.115100
2025-06-17,8.6800,8.8100,8.6500,8.7800,7240266,63406968.3300,1.152100
2025-06-18,8.7700,8.7800,8.5700,8.7000,8251237,71404525.8600,-0.911200
2025-06-19,8.6700,8.7600,8.5100,8.5500,8167950,70424745.0900,-1.724100
2025-06-20,8.5200,8.7200,8.5100,8.5900,7277083,62909021.0500,0.467800
2025-06-23,8.5500,8.9700,8.5400,8.9300,16923111,149241927.8200,3.958100
2025-06-24,8.9200,9.1400,8.8800,9.1300,20794544,188159527.4300,2.239600
2025-06-25,9.1400,9.2100,9.1000,9.1700,19266099,176399767.1800,0.438100
2025-06-26,9.1700,9.2500,9.0300,9.0500,15932665,145719792.0700,-1.308600
2025-06-27,9.1400,9.2900,9.0700,9.1000,13553703,124334977.0200,0.552500
2025-06-30,9.1200,9.2000,9.0300,9.0900,11915088,108143428.8600,-0.109900
2025-07-01,9.0600,9.1700,8.9800,9.1700,13049203,118322586.9200,0.880100
2025-07-02,9.1100,9.2300,9.0800,9.2000,12670390,116071515.6200,0.327200
2025-07-03,9.2300,9.2600,9.1000,9.2200,11052827,101479459.8000,0.217400
2025-07-04,9.2300,9.2300,9.0200,9.0400,10363690,94018299.2300,-1.952300
2025-07-07,9.0500,9.0800,8.9900,9.0000,7204058,65015680.4000,-0.442500
2025-07-08,9.0200,9.2200,9.0100,9.1900,13780395,125931300.8900,2.111100
2025-07-09,9.2000,9.2200,9.0900,9.1100,11119001,101700030.6100,-0.870500
2025-07-10,9.0800,9.1900,9.0800,9.1800,11037862,100971860.4800,0.768400
2025-07-11,9.2000,9.4400,9.1300,9.2900,26264981,244320005.8100,1.198300
2025-07-14,9.3800,9.4100,9.2900,9.3000,13850822,129392027.0400,0.107600
2025-07-15,9.2700,9.3600,9.1600,9.2400,12666353,117160317.9200,-0.645200
2025-07-16,9.2400,9.2900,9.1700,9.2100,9878524,91060437.4600,-0.324700
2025-07-17,9.2200,9.3300,9.1900,9.3200,12371069,114744138.5300,1.194400
2025-07-18,9.3300,9.4200,9.3000,9.3500,12017419,112458964.9800,0.321900
2025-07-21,9.2200,9.3300,9.1500,9.3200,17584706,162863140.9900,-0.320900
2025-07-22,9.3200,9.5200,9.2800,9.4900,22634465,213403399.5100,1.824000
2025-07-23,9.5000,9.5000,9.3300,9.3500,16688483,156810252.3100,-1.475200
2025-07-24,9.3100,9.5200,9.3100,9.4900,19240508,181983988.9600,1.497300
2025-07-25,9.5000,9.5400,9.4400,9.4600,10390820,98571016.8000,-0.316100
2025-07-28,9.4200,9.4400,9.3000,9.3600,13335569,124878243.1900,-1.057100
2025-07-29,9.3200,9.7600,9.3000,9.6000,43215268,415227953.7200,2.564100
2025-07-30,9.5700,9.6100,9.3200,9.4200,24443730,231050056.8900,-1.875000
2025-07-31,9.3300,9.4800,9.1600,9.2200,20468150,190506502.7300,-2.123100
2025-08-01,9.2200,9.4000,9.1800,9.3200,14020738,130363644.6100,1.084600
2025-08-04,9.2400,9.3200,9.1200,9.3200,14872867,137068822.3600,0.000000
2025-08-05,9.3200,9.3700,9.2800,9.3200,11121264,103599466.0200,0.000000
2025-08-06,9.2900,9.4800,9.2600,9.4300,14305066,134429412.1200,1.180300
2025-08-07,9.4100,9.4900,9.3100,9.3800,12399977,116392749.4700,-0.530200
2025-08-08,9.3600,9.4600,9.3300,9.4000,11833580,111102319.5600,0.213200
2025-08-11,9.4100,9.5000,9.3600,9.4900,14943627,141275131.0200,0.957400
2025-08-12,9.5100,9.5300,9.3700,9.4400,10790980,101693300.2000,-0.526900
2025-08-13,9.4500,9.6000,9.4300,9.5700,20018665,190671489.0000,1.377100
2025-08-14,9.6000,9.6200,9.3800,9.3800,15262343,144806077.1700,-1.985400
2025-08-15,9.3100,9.5900,9.3100,9.5700,15096808,143912070.9800,2.025600
2025-08-18,9.5800,9.7000,9.5500,9.5700,21664667,208036221.7000,0.000000
2025-08-19,9.5600,9.6100,9.4800,9.5900,16353337,156113250.4500,0.209000
2025-08-20,9.5800,9.6800,9.5000,9.6700,17139103,164828568.6000,0.834200
2025-08-21,9.7000,9.7300,9.5700,9.6500,16135153,155352109.9900,-0.206800
2025-08-22,9.6700,9.7200,9.5700,9.6800,15304236,147472260.1800,0.310900
2025-08-25,9.7500,9.8600,9.7000,9.7800,24629059,240892153.7500,1.033100
2025-08-26,9.7800,9.8600,9.6500,9.7900,16375400,160409215.7600,0.102200
2025-08-27,9.7900,10.1700,9.7800,9.7900,39260103,390400561.5000,0.000000
2025-08-28,9.8000,9.9600,9.5500,9.8400,31027905,303304099.3900,0.510700
2025-08-29,9.8500,10.3600,9.8200,10.1600,48861885,492677430.6500,3.252000
2025-09-01,10.1600,10.1700,9.9500,10.0300,44975022,450717707.3200,-1.279500
2025-09-02,10.0200,10.7500,10.0100,10.5000,74115827,774197356.7400,4.685900
2025-09-03,10.7600,10.7600,10.2600,10.4000,55453103,580632162.6200,-0.952400
2025-09-04,10.4100,10.8500,10.3300,10.5600,66100265,697514915.7800,1.538500
2025-09-05,10.5000,11.2500,10.4100,11.1200,81378674,888420407.7000,5.303000
2025-09-08,11.1700,11.8000,10.8800,11.7800,80421075,911369274.6500,5.935300
2025-09-09,11.7800,12.9600,11.5200,12.0200,103687285,1271626309.7100,2.037400
2025-09-10,11.8000,12.7900,11.5100,12.4400,92153965,1110092062.3700,3.494200
2025-09-11,12.1500,12.6300,12.0700,12.2000,65441590,801474978.7000,-1.929300
2025-09-12,12.1500,12.2000,11.5000,11.5000,71420111,838128433.8100,-5.737700
2025-09-15,11.4300,11.7800,11.3400,11.3500,53027803,612386905.3300,-1.304300
2025-09-16,11.2800,11.3900,11.0000,11.2700,57203163,637587936.7700,-0.704800
2025-09-17,11.2000,11.3800,11.1100,11.3200,40566279,456420534.5700,0.443700
2025-09-18,11.2200,11.2300,10.8200,10.9100,47273784,521912412.6400,-3.621900
2025-09-19,10.9100,11.1400,10.9000,10.9800,30637245,337507522.2800,0.641600
2025-09-22,10.9700,11.1400,10.6600,10.7400,31507070,340086415.8000,-2.185800
2025-09-23,10.7000,10.8000,10.2700,10.4700,39419858,412668042.9900,-2.514000
2025-09-24,10.4500,10.8000,10.3800,10.7700,29519735,313270317.5600,2.865300
2025-09-25,10.7400,10.9600,10.7100,10.7600,28623754,310235336.3900,-0.092900
2025-09-26,10.6700,11.3800,10.6600,11.0200,54582746,606864099.0100,2.416400
2025-09-29,11.1900,11.4000,11.1100,11.1300,49644538,558798433.7400,0.998200
2025-09-30,11.0600,11.6500,11.0600,11.5800,52002026,593446987.0200,4.418400
2025-10-09,11.6900,11.8400,11.5600,11.6600,54320928,635283878.8000,0.690800
2025-10-10,11.5700,11.6500,11.2700,11.3000,38593500,439272739.2800,-3.087500
2025-10-13,10.7200,11.3000,10.6100,11.2500,32962882,362231816.4700,-0.442500
2025-10-14,11.3400,11.5300,10.9500,11.0300,33086521,372363967.3600,-1.955600
2025-10-15,11.1600,11.2500,10.9100,11.0800,21162366,234066505.8800,0.453300
2025-10-16,11.1300,11.1400,10.9000,11.0800,21083410,232188529.7400,0.000000
2025-10-17,11.0800,11.5400,10.8800,10.9100,31661960,352787831.0100,-1.534300
2025-10-20,11.0900,11.1500,10.9500,11.0800,21955795,242537703.6600,1.558200
2025-10-21,11.0500,11.2000,10.9800,11.0200,25825057,286091552.8600,-0.541500
2025-10-22,10.9200,10.9300,10.6400,10.6700,24720517,265185357.6200,-3.176000
2025-10-23,10.6300,10.8400,10.4400,10.7900,19535812,207163179.1700,1.124600
2025-10-24,10.8300,11.0100,10.7300,10.8200,16965873,184157164.9000,0.278000
2025-10-27,10.8800,10.9800,10.7300,10.8600,16544728,179816204.6000,0.369700
2025-10-28,10.7700,10.9300,10.7300,10.7900,13472508,145673289.1600,-0.644600
2025-10-29,10.7900,11.4400,10.7800,11.3700,39856479,446668765.0600,5.375300
2025-10-30,11.2500,11.8200,11.2500,11.6400,52383466,607666681.0800,2.374700
2025-10-31,12.1600,12.8000,12.1600,12.8000,90611595,1156215657.4600,9.965600
2025-11-03,12.9300,13.9500,12.7000,13.6500,160837454,2196363679.8300,6.640600
2025-11-04,13.6500,13.8800,13.2000,13.3900,95118346,1285335062.2500,-1.904800
2025-11-05,13.0100,14.1700,13.0100,13.9400,83871455,1150233230.1300,4.107500
2025-11-06,13.9000,14.2400,13.7000,13.7800,68054320,948154798.6400,-1.147800
2025-11-07,13.7100,14.8800,13.4000,14.3300,90745674,1285433878.8300,3.991300
2025-11-10,14.6600,14.9800,14.1500,14.3600,95489219,1388734616.9200,0.209400
2025-11-11,14.2400,14.6600,14.0600,14.3400,45824211,656416513.7200,-0.139300
2025-11-12,14.1600,14.5200,13.6400,14.0000,45014532,630132835.5300,-2.371000
2025-11-13,14.0500,15.3900,13.9000,15.0000,84253684,1250024249.7800,7.142900
2025-11-14,14.7800,15.2300,14.4200,14.4200,45847432,672466468.7500,-3.866700
2025-11-17,14.4800,15.3000,14.3500,15.1700,63041345,939510952.7800,5.201100
2025-11-18,15.2000,15.9200,14.3300,14.5000,68768594,1023487628.4800,-4.416600
2025-11-19,14.3400,14.8200,13.9500,14.3300,49356279,708014006.8800,-1.172400
2025-11-20,14.5000,14.7600,13.9500,13.9500,36723918,523545736.0600,-2.651800
2025-11-21,13.6600,13.8800,12.5600,12.6500,65216159,849156318.9600,-9.319000
2025-11-24,12.9400,13.1800,12.8000,12.9400,39001405,506944311.8700,2.292500
2025-11-25,13.0000,13.9500,12.8800,13.6000,59285632,795565662.3000,5.100500
2025-11-26,13.9900,14.4100,13.2500,13.2600,47855118,655324935.7400,-2.500000
2025-11-27,13.2000,13.7900,13.1400,13.3000,36144499,486065601.3500,0.301700
2025-11-28,13.3400,13.7800,13.2000,13.5800,33682113,458597636.9600,2.105300
2025-12-01,13.8000,14.0700,13.5500,13.6800,35466720,488481387.2400,0.736400
2025-12-02,13.6700,13.9600,13.4700,13.5700,26345947,359568390.1600,-0.804100
2025-12-03,13.7000,13.7200,13.3500,13.4200,28402097,383252591.0800,-1.105400
2025-12-04,13.4300,13.5100,13.0100,13.0900,22672520,298339678.8000,-2.459000
2025-12-05,13.3300,13.3300,12.8600,13.1400,17537500,229741728.5200,0.382000
