date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.6300,11.8700,11.2200,11.3800,12776880,147042372.2000,-2.901000
2025-01-03,11.4500,11.5500,10.6200,10.6600,12170160,133498885.9200,-6.326900
2025-01-06,10.6600,10.8800,10.4100,10.8000,8647345,92662336.7600,1.313300
2025-01-07,10.7000,11.0800,10.7000,11.0200,7449807,81186178.5800,2.037000
2025-01-08,11.0000,11.2700,10.5200,11.1100,10564842,115204178.3400,0.816700
2025-01-09,10.9900,12.2200,10.9300,11.7800,21205964,249676481.0600,6.030600
2025-01-10,11.7800,12.1600,11.6600,11.6700,19727689,235237956.1100,-0.933800
2025-01-13,11.4300,12.0200,11.3900,11.7200,13701580,161518437.0000,0.428400
2025-01-14,11.6100,12.5500,11.6100,12.5100,21410560,261877445.6000,6.740600
2025-01-15,12.5300,12.9400,12.4400,12.6900,22314580,283315686.6800,1.438800
2025-01-16,12.6900,12.8400,12.3500,12.3900,18060134,227148139.0000,-2.364100
2025-01-17,12.3900,13.0000,12.3300,12.5900,15764640,199869141.2000,1.614200
2025-01-20,12.7500,12.9200,12.4500,12.8800,18646580,236596534.2000,2.303400
2025-01-21,12.8800,13.3800,12.6000,13.2100,25827730,336076319.7000,2.562100
2025-01-22,13.0600,13.0900,12.6800,12.7900,18037400,231753722.4000,-3.179400
2025-01-23,13.5800,14.0700,13.5800,14.0700,13391218,187840497.8600,10.007800
2025-01-24,14.8800,15.4800,14.1900,15.0800,86015334,1272949621.1100,7.178400
2025-01-27,14.6000,15.1700,13.5700,13.6600,57075642,802231275.4300,-9.416400
2025-02-05,13.7700,14.1300,13.6300,13.6300,44479446,616988763.7200,-0.219600
2025-02-06,13.5400,14.9900,13.5400,14.5300,52046705,753044968.9000,6.603100
2025-02-07,14.7400,15.1200,14.4200,14.7100,44214340,651802076.8000,1.238800
2025-02-10,14.6000,14.7700,14.1800,14.2700,35530285,510873904.1500,-2.991200
2025-02-11,14.2600,14.7500,14.2600,14.7500,36140048,525493229.4000,3.363700
2025-02-12,14.5500,15.1900,14.3700,14.8900,33277730,493719462.1200,0.949200
2025-02-13,14.9500,16.1600,14.8100,14.8600,45653595,699296799.8000,-0.201500
2025-02-14,14.6800,14.8400,14.2100,14.3500,32927423,476743440.6800,-3.432000
2025-02-17,14.2800,14.9800,14.2600,14.9100,33140200,485310980.3000,3.902400
2025-02-18,14.8000,15.2500,14.6900,14.9500,33092939,493953794.8800,0.268300
2025-02-19,14.9100,15.9000,14.7800,15.8500,42384053,660360357.3700,6.020100
2025-02-20,15.8600,17.3900,15.6600,16.8200,56728643,932925545.8200,6.119900
2025-02-21,16.6000,18.1500,16.4500,18.0600,56502759,999177853.7400,7.372200
2025-02-24,18.0900,19.8000,16.9000,18.6200,58497455,1060114958.8700,3.100800
2025-02-25,18.3000,20.4800,18.3000,20.4800,30125720,595223162.8000,9.989300
2025-02-26,22.4000,22.4000,20.3000,20.7000,83781724,1802924285.4500,1.074200
2025-02-27,20.3600,22.0000,20.2100,21.3000,60639062,1283967039.2900,2.898600
2025-02-28,20.9700,21.0600,19.1700,19.1700,38133482,743983889.3200,-10.000000
2025-03-03,18.3800,18.5700,17.2500,17.4000,52248731,934924231.6900,-9.233200
2025-03-04,17.2400,18.4200,17.2400,17.8800,32286210,579795728.2000,2.758600
2025-03-05,17.8200,18.4500,17.7800,18.3900,28010640,507994279.5800,2.852300
2025-03-06,18.6900,19.0800,18.5000,18.6700,31860813,597365172.5400,1.522600
2025-03-07,18.5600,19.8600,18.5600,19.2100,30338140,582757088.4400,2.892300
2025-03-10,19.0000,19.7800,18.5800,18.6000,30308687,579981333.5000,-3.175400
2025-03-11,18.0500,18.8600,17.9000,18.5200,28337689,519531721.7900,-0.430100
2025-03-12,18.6400,18.7800,18.2800,18.3100,19992012,369002518.5200,-1.133900
2025-03-13,18.2000,18.3000,16.9100,17.0800,28401748,491600065.8200,-6.717600
2025-03-14,17.1100,17.8100,16.7100,17.6500,20231194,350600927.0900,3.337200
2025-03-17,17.5600,19.0600,17.5000,18.8600,34927605,648213225.4100,6.855500
2025-03-18,18.8600,20.7500,18.8100,20.7500,39825410,784815359.3000,10.021200
2025-03-19,20.5400,21.1700,19.9900,20.3900,42664381,871672372.1600,-1.734900
2025-03-20,20.8000,21.8800,20.2000,21.1500,51079406,1078824294.0800,3.727300
2025-03-21,21.0000,21.0000,19.4500,19.6300,38905925,776418986.9500,-7.186800
2025-03-24,19.7500,19.8300,17.9700,18.6300,31593374,589479638.0300,-5.094200
2025-03-25,18.6200,18.7300,17.9000,18.0700,19770903,361569399.8300,-3.005900
2025-03-26,18.0000,18.7400,17.9800,18.2200,17403560,320354808.1100,0.830100
2025-03-27,17.9800,18.5600,17.8000,17.8300,15109950,274649139.4600,-2.140500
2025-03-28,17.8300,18.1200,17.5000,17.5000,12401741,220559325.7100,-1.850800
2025-03-31,17.2800,17.5500,16.7800,17.3300,16861420,287835211.0000,-0.971400
2025-04-01,17.4100,17.5500,16.7300,16.7600,13636260,231202343.0000,-3.289100
2025-04-02,16.6800,17.1900,16.6400,16.9900,11031500,187334991.0000,1.372300
2025-04-03,16.5800,17.0900,16.2500,16.3300,11844800,196322266.0000,-3.884600
2025-04-07,15.0500,15.4800,14.7000,14.7000,6601000,98303076.0000,-9.981600
2025-04-08,14.5000,14.6000,13.2300,13.4500,27463042,375513251.6900,-8.503400
2025-04-09,12.9900,14.3100,12.2500,14.1700,26592161,359417264.3200,5.353200
2025-04-10,14.5000,15.1800,14.5000,14.9700,23125112,344704588.1800,5.645700
2025-04-11,14.6700,15.5700,14.6700,15.2700,17368640,264739451.4100,2.004000
2025-04-14,15.2000,15.7500,15.0900,15.2300,14906919,229781473.4900,-0.262000
2025-04-15,15.2700,15.4000,14.8800,15.1300,12526100,189285359.6000,-0.656600
2025-04-16,15.1200,15.1200,14.5100,14.6500,10483280,154781189.8000,-3.172500
2025-04-17,14.5700,14.8800,14.4200,14.5500,7880780,115834530.8000,-0.682600
2025-04-18,14.5000,14.7600,14.4000,14.6400,7148240,104110584.2000,0.618600
2025-04-21,14.5200,15.2900,14.3200,15.1600,12132965,180780673.1500,3.551900
2025-04-22,15.0500,15.2500,14.8300,14.9300,8404300,125808615.0000,-1.517200
2025-04-23,15.1500,15.9500,15.1500,15.7200,19248440,300025638.6000,5.291400
2025-04-24,15.8100,15.9400,15.2600,15.3400,13599933,211535097.9500,-2.417300
2025-04-25,15.4100,15.6000,15.2600,15.3800,8198699,126398438.6200,0.260800
2025-04-28,15.5300,15.5300,14.8500,14.8500,9850300,147717029.0000,-3.446000
2025-04-29,14.4600,15.5000,14.2500,15.3500,16863620,252902165.4900,3.367000
2025-04-30,15.3100,15.9800,15.3000,15.8100,15492540,242308724.6000,2.996700
2025-05-06,16.0600,16.7100,16.0000,16.6500,19257700,316809919.8000,5.313100
2025-05-07,16.8000,17.3000,16.4600,16.6500,23027900,387724613.0000,0.000000
2025-05-08,16.6500,17.6700,16.6500,17.4800,29736805,515111867.8500,4.985000
2025-05-09,17.2000,17.4000,16.1800,16.4200,23066199,382184683.8000,-6.064100
