date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.3500,8.4800,7.9400,8.0800,28881454,237304893.7600,-4.038000
2025-01-03,7.7900,7.9700,7.2700,7.2700,43253888,326229703.9600,-10.024800
2025-01-06,7.2300,7.4100,7.0700,7.2600,22933112,167024912.9900,-0.137600
2025-01-07,7.2500,7.5500,7.2500,7.5400,22187966,164136217.8500,3.856700
2025-01-08,7.4200,7.4500,7.0800,7.3500,29306361,213208975.4100,-2.519900
2025-01-09,7.2800,7.8800,7.2800,7.6700,35832400,275622523.0000,4.353700
2025-01-10,7.6300,7.7100,7.2800,7.2800,23298984,174496825.9200,-5.084700
2025-01-13,7.1800,7.3400,7.0300,7.3400,17600783,126890889.5800,0.824200
2025-01-14,7.3200,7.7300,7.3100,7.7200,21602155,163504277.5000,5.177100
2025-01-15,7.7300,7.8400,7.6100,7.7000,14512391,111788450.8600,-0.259100
2025-01-16,7.7500,7.8700,7.6700,7.7900,15832792,122869388.4000,1.168800
2025-01-17,7.7500,8.0800,7.7100,7.9300,21617788,170895058.1200,1.797200
2025-01-20,7.7700,7.9500,7.5500,7.9400,28184776,220108171.0000,0.126100
2025-01-21,7.9400,8.0200,7.8300,7.9000,14473680,114332114.8000,-0.503800
2025-01-22,7.9000,7.9700,7.8000,7.8400,15272680,120312034.2000,-0.759500
2025-01-23,7.9000,8.0300,7.6800,7.6900,18972550,149059301.7600,-1.913300
2025-01-24,7.6900,7.7900,7.6200,7.7700,14478220,111556592.8600,1.040300
2025-01-27,7.7800,7.8500,7.5600,7.5700,14395652,110571982.2800,-2.574000
2025-02-05,7.6900,7.7800,7.6400,7.7400,13075140,101014049.0400,2.245700
2025-02-06,7.8200,8.0600,7.7400,8.0600,22848814,181610221.9400,4.134400
2025-02-07,8.0600,8.2900,7.9800,8.0800,21607411,175948396.4500,0.248100
2025-02-10,8.1000,8.2200,8.0500,8.2000,16535112,134621062.0800,1.485100
2025-02-11,8.2100,8.3500,8.0900,8.2500,18010680,148340247.1500,0.609800
2025-02-12,8.2100,8.3300,8.1600,8.2900,19362446,159718163.5800,0.484800
2025-02-13,8.2900,8.5000,8.2300,8.2400,20027978,166598975.7300,-0.603100
2025-02-14,8.1800,8.4400,8.1600,8.3200,16601150,137814909.9000,0.970900
2025-02-17,8.3200,8.5400,8.3200,8.4400,19506700,164581416.0000,1.442300
2025-02-18,8.4500,8.4900,8.1800,8.2100,16517668,137774585.8400,-2.725100
2025-02-19,8.1800,8.7500,8.1800,8.6700,32230436,273885937.2400,5.602900
2025-02-20,8.5500,8.7500,8.5200,8.6700,25359904,218854521.0000,0.000000
2025-02-21,8.6500,8.7000,8.5600,8.6200,20807012,179287777.3600,-0.576700
2025-02-24,8.5900,8.7500,8.5300,8.6200,22291964,192249989.8800,0.000000
2025-02-25,8.4900,8.7300,8.4500,8.6100,18347471,158065137.3900,-0.116000
2025-02-26,8.7100,8.7700,8.6000,8.7400,18497124,160881602.9400,1.509900
2025-02-27,8.7300,8.8200,8.4500,8.6800,21730037,186857363.1900,-0.686500
2025-02-28,8.6000,8.6500,8.2300,8.2700,19532500,163819635.0000,-4.723500
2025-03-03,8.4000,9.1000,8.2300,9.1000,82184735,733604397.2800,10.036300
2025-03-04,9.0000,9.0700,8.5800,8.8900,99984037,882457239.4500,-2.307700
2025-03-05,8.9700,9.0200,8.7100,8.9600,53726017,478763427.5800,0.787400
2025-03-06,8.9600,9.0500,8.8800,8.9900,42831230,384718583.0800,0.334800
2025-03-07,8.9200,9.0800,8.8100,8.8900,34367210,307639895.8200,-1.112300
2025-03-10,8.8200,9.0600,8.8200,8.9200,20225939,180175537.9000,0.337500
2025-03-11,8.8200,9.0300,8.7500,8.9000,24524680,218376340.6000,-0.224200
2025-03-12,9.0000,9.2000,8.9400,9.0200,36087121,327179994.9100,1.348300
2025-03-13,9.0000,9.0400,8.7900,8.9300,30902410,274517891.9000,-0.997800
2025-03-14,8.8700,8.9500,8.7200,8.8700,26994906,239051647.6600,-0.671900
2025-03-17,8.8700,8.9600,8.8000,8.9100,19484440,173143205.0000,0.451000
2025-03-18,8.9400,9.0600,8.8200,8.9000,20502253,183066373.1300,-0.112200
2025-03-19,8.8500,8.8900,8.6600,8.7000,20545252,179200301.4000,-2.247200
2025-03-20,8.7300,8.7800,8.6200,8.6500,13154875,114517279.9800,-0.574700
2025-03-21,8.6300,8.6600,8.3700,8.4000,19083232,162209722.9200,-2.890200
2025-03-24,8.4500,8.4600,7.9300,8.1700,22714800,185220370.0000,-2.738100
2025-03-25,8.1500,8.1900,8.0200,8.0800,12211140,98862222.6000,-1.101600
