date,open,high,low,close,volume,amount,pctChg
2025-01-02,24.7600,24.7600,23.4000,23.6900,8334545,200980887.3100,-4.360100
2025-01-03,23.7100,23.8500,22.6600,22.7600,7686044,178151128.7600,-3.925700
2025-01-06,22.7600,23.0000,22.3900,22.6200,5553552,125834199.4800,-0.615100
2025-01-07,22.6500,23.0800,22.5400,23.0000,5913389,134871814.6000,1.679900
2025-01-08,22.8100,23.1300,22.1000,22.6900,7398248,167659609.9200,-1.347800
2025-01-09,22.5500,23.0700,22.5500,22.5600,5074150,115701708.2400,-0.572900
2025-01-10,22.5300,22.9800,22.1800,22.2000,6219402,140499217.0000,-1.595700
2025-01-13,22.0000,22.6200,21.8200,22.5400,5823776,129957968.7600,1.531500
2025-01-14,22.6700,23.5000,22.4600,23.4400,7258916,167660880.5300,3.992900
2025-01-15,23.4300,23.6800,23.2200,23.6000,5191504,121809692.1000,0.682600
2025-01-16,23.7200,24.2400,23.3300,23.5500,5845211,138686016.6400,-0.211900
2025-01-17,23.1000,23.9700,22.9000,23.6900,7966592,186550772.1600,0.594500
2025-01-20,23.8500,24.0200,23.5600,23.7300,5163865,122952303.9100,0.168800
2025-01-21,23.8400,23.8800,23.4500,23.6700,5301913,125299821.2400,-0.252800
2025-01-22,23.5100,23.6500,23.2300,23.4500,4395248,103052115.8000,-0.929400
2025-01-23,23.6900,24.0800,23.3200,23.3400,5881529,139493141.3800,-0.469100
2025-01-24,23.3400,23.8600,23.3000,23.7900,4782092,113145297.3700,1.928000
2025-01-27,23.8100,23.9100,22.8500,22.8500,5794661,135047194.0900,-3.951200
2025-02-05,23.3200,23.5700,23.0000,23.1100,5794560,134956899.8400,1.137900
2025-02-06,22.9600,24.4500,22.8200,24.1900,9307066,221924581.9400,4.673300
2025-02-07,24.4800,24.8400,23.9600,24.3900,9489520,232427755.6800,0.826800
2025-02-10,24.5700,25.2200,24.3000,24.9600,10404172,258385384.0000,2.337000
2025-02-11,24.9600,25.0000,24.3100,24.4100,6079144,148675521.4000,-2.203500
2025-02-12,24.2700,25.3200,24.2000,25.3000,11243396,279222025.0700,3.646000
2025-02-13,25.4000,25.5000,24.7000,24.7200,10471188,260293519.1800,-2.292500
2025-02-14,24.7100,24.8200,24.4100,24.6500,6861556,168819167.6000,-0.283200
2025-02-17,24.7600,24.8500,24.2700,24.4800,7444272,182190816.0400,-0.689700
2025-02-18,24.4600,24.6600,23.7500,23.8900,7240848,175250555.2400,-2.410100
2025-02-19,23.9800,25.9800,23.8900,25.6400,17705542,443057946.1400,7.325200
2025-02-20,25.6400,26.0500,25.4200,25.6200,12742415,327555651.6000,-0.078000
2025-02-21,25.5500,26.1400,25.3000,26.0700,13389921,345992836.6800,1.756400
2025-02-24,26.0100,26.0400,25.5000,25.7500,11553496,297826466.6800,-1.227500
2025-02-25,25.4300,27.0400,25.1500,26.3200,18204660,478869941.2600,2.213600
2025-02-26,26.4900,26.7800,26.0400,26.6000,11562340,305829440.6000,1.063800
2025-02-27,26.9000,26.9000,25.8300,26.3800,11086226,291524798.0000,-0.827100
2025-02-28,26.3600,26.3600,25.1200,25.2300,10613876,271724804.6800,-4.359400
