date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.0000,9.2900,8.8000,9.0900,9923776,90481114.4200,1.000000
2025-01-03,9.1200,9.1200,8.4300,8.4700,9392904,81224050.5600,-6.820700
2025-01-06,8.3100,8.3700,8.0300,8.1200,5821600,47587309.0000,-4.132200
2025-01-07,8.1200,8.2400,8.0400,8.2100,3961540,32253916.4000,1.108400
2025-01-08,8.2000,9.0300,8.2000,8.5700,12730422,110247476.8600,4.384900
2025-01-09,8.2300,8.8700,8.2300,8.6000,8372840,71508579.4000,0.350100
2025-01-10,8.5900,8.5900,8.2000,8.2000,5894694,49189102.4200,-4.651200
2025-01-13,8.0800,8.2300,7.9100,8.2000,4602400,37229967.0000,0.000000
2025-01-14,8.2100,8.5800,8.2100,8.5800,5685129,48100141.3700,4.634100
2025-01-15,8.6100,8.6800,8.4800,8.5500,3968300,34020263.0000,-0.349700
2025-01-16,8.5400,8.7500,8.5400,8.6400,5253900,45394113.0000,1.052600
2025-01-17,8.6000,8.7300,8.5000,8.6100,3893700,33463333.0000,-0.347200
2025-01-20,8.6500,8.7300,8.5200,8.6400,3711895,32115062.9500,0.348400
2025-01-21,8.8400,8.8500,8.5800,8.6600,4714700,40903600.0000,0.231500
2025-01-22,8.5900,8.6400,8.4000,8.4000,3930000,33343696.0000,-3.002300
2025-01-23,8.4200,8.6200,8.4200,8.4500,3824585,32658359.8000,0.595200
2025-01-24,8.4500,8.5500,8.3800,8.5000,3773700,31935210.0000,0.591700
2025-01-27,8.5300,8.8200,8.5200,8.5400,3894700,33693892.0000,0.470600
2025-02-05,8.5400,8.6200,8.4800,8.5400,3488500,29812549.0000,0.000000
2025-02-06,8.5700,8.6000,8.4700,8.6000,3526600,30112184.0000,0.702600
2025-02-07,8.6100,8.7500,8.5000,8.6700,4216858,36489099.4100,0.814000
2025-02-10,8.6800,9.3900,8.6600,9.2000,11959900,108205927.0000,6.113000
2025-02-11,9.2000,9.2000,8.8400,8.8900,8669900,77467775.0000,-3.369600
2025-02-12,8.8700,8.9400,8.8100,8.9000,4180800,37103911.0000,0.112500
2025-02-13,8.8500,8.9600,8.8100,8.8500,4252300,37851328.0000,-0.561800
2025-02-14,8.8000,8.9000,8.7500,8.7700,3513200,30972266.0000,-0.904000
2025-02-17,8.7800,8.9500,8.7200,8.9100,5543600,49157359.0000,1.596400
2025-02-18,8.8900,8.9300,8.5500,8.5900,4990400,43553768.0000,-3.591500
2025-02-19,8.6100,8.6900,8.5300,8.6900,2577900,22299014.0000,1.164100
2025-02-20,8.7000,8.8100,8.6700,8.7600,3068500,26899365.0000,0.805500
2025-02-21,8.7600,8.7900,8.5900,8.6600,3806300,32963187.0000,-1.141600
2025-02-24,8.6600,8.8400,8.6600,8.7400,3873600,33881068.0000,0.923800
2025-02-25,8.7200,8.7800,8.6300,8.6800,2750400,23922183.0000,-0.686500
2025-02-26,8.7200,8.7900,8.6800,8.7800,2890794,25277162.5600,1.152100
