date,open,high,low,close,volume,amount,pctChg
2025-01-02,35.0800,35.1200,33.1000,33.6800,1127202,38581404.0000,-4.724200
2025-01-03,33.6800,33.9400,31.9500,32.0100,1115540,36708147.4100,-4.958400
2025-01-06,32.0100,32.4800,30.6500,31.5400,587611,18603300.8000,-1.468300
2025-01-07,31.1000,32.1300,31.1000,32.1300,563062,17892382.9400,1.870600
2025-01-08,31.7400,32.5000,31.1600,32.0400,556424,17805786.3200,-0.280100
2025-01-09,32.2000,32.9300,32.0000,32.6300,461007,14986401.5600,1.841400
2025-01-10,32.9400,33.1000,31.9500,32.0300,659059,21370208.4000,-1.838800
2025-01-13,32.3000,34.9000,31.8600,34.0000,1467589,49468855.5200,6.150500
2025-01-14,33.9800,35.0000,33.0300,34.9800,1856650,63283727.5100,2.882400
2025-01-15,34.7500,35.0700,33.4700,33.6000,1644150,55755065.8700,-3.945100
2025-01-16,33.9700,34.5000,33.4000,33.7400,691957,23331118.4300,0.416700
2025-01-17,33.6800,34.4000,33.5200,33.8300,534529,18126365.5200,0.266700
2025-01-20,33.8400,34.5800,33.6500,34.4300,777567,26553370.8500,1.773600
2025-01-21,34.4200,34.4200,33.4100,33.8600,537419,18169619.6400,-1.655500
2025-01-22,33.9100,34.1300,33.4200,33.9300,439674,14853290.5700,0.206700
2025-01-23,34.0800,34.4400,33.2200,33.2800,637938,21528059.1600,-1.915700
2025-01-24,33.0100,34.0000,32.8600,33.8900,651726,21863985.6700,1.832900
2025-01-27,33.9400,34.0600,32.8700,32.8700,524876,17562848.8900,-3.009700
2025-02-05,33.4900,33.4900,32.7200,32.8500,615494,20362805.9000,-0.060800
2025-02-06,32.7600,33.8800,32.5700,33.8800,644506,21641841.9500,3.135500
2025-02-07,34.0000,34.5000,33.5900,33.9500,974620,33292018.9900,0.206600
2025-02-10,34.0000,35.2000,33.6100,34.8500,953119,32915315.2500,2.651000
2025-02-11,35.1800,35.1800,34.2000,34.6300,690563,23888557.9300,-0.631300
2025-02-12,34.7000,35.2600,34.3100,35.2500,855046,29787304.3800,1.790400
2025-02-13,35.2000,35.2000,34.2300,34.2500,718810,24840741.7900,-2.836900
2025-02-14,34.3700,35.2000,34.0300,34.6200,598376,20764237.9900,1.080300
2025-02-17,34.6200,35.5000,34.4000,34.8600,690775,24135529.4300,0.693200
2025-02-18,34.7700,35.0700,33.0700,33.0700,822236,27919207.1800,-5.134800
2025-02-19,33.1000,34.3900,33.1000,34.3700,704992,23954294.9200,3.931100
2025-02-20,34.6100,35.7800,34.3900,35.3900,1033150,36266415.6800,2.967700
2025-02-21,35.6000,36.8800,35.1900,36.3700,1564895,56755485.7600,2.769100
2025-02-24,36.3700,36.3700,35.4400,36.2300,1414709,50738925.0900,-0.384900
2025-02-25,35.5500,36.8600,35.5500,36.4300,990698,36012087.4800,0.552000
2025-02-26,36.4000,36.9000,36.1400,36.2800,1031303,37658056.7900,-0.411700
2025-02-27,36.6800,36.6800,35.4200,36.2600,1050382,37753498.6900,-0.055100
2025-02-28,36.2600,36.2600,34.4500,34.6100,1097015,38366640.3400,-4.550500
2025-03-03,34.3700,35.4800,34.0500,34.7300,922574,32146785.6500,0.346700
2025-03-04,34.6800,35.1200,34.4800,35.1200,552597,19287773.2600,1.122900
2025-03-05,35.0500,35.5000,34.6000,35.4000,553300,19357456.1300,0.797300
2025-03-06,35.5600,36.1000,35.2500,35.7200,800856,28579535.3200,0.904000
2025-03-07,35.4000,35.6700,34.6700,34.8800,752272,26469207.5400,-2.351600
2025-03-10,34.8800,38.2200,34.7600,36.6800,2346618,86496842.6400,5.160600
2025-03-11,36.0300,37.4500,35.7400,36.7000,1297399,47681626.2800,0.054500
2025-03-12,37.1900,37.1900,36.3600,36.5000,835477,30618322.7400,-0.545000
2025-03-13,36.3800,36.9200,35.6200,36.1900,1026960,37185618.2300,-0.849300
2025-03-14,35.8600,36.6000,35.7400,36.2900,724182,26263123.2400,0.276300
2025-03-17,36.3700,36.7000,35.9100,36.6100,606033,21994161.3400,0.881800
2025-03-18,37.3000,37.6800,36.7900,36.9200,814902,30276793.9800,0.846800
2025-03-19,36.8600,36.9400,35.8200,36.2500,1129279,40878856.8400,-1.814700
2025-03-20,36.1600,36.3300,35.7600,35.8900,659179,23741695.2800,-0.993100
2025-03-21,35.9300,35.9300,34.8800,35.3800,979785,34611616.3400,-1.421000
2025-03-24,35.0900,35.3800,33.7000,34.3800,922713,31770823.1400,-2.826500
2025-03-25,34.1000,34.5400,33.8100,33.9300,465616,15853757.3600,-1.308900
2025-03-26,33.8600,34.6000,33.7900,34.2400,416512,14275172.4800,0.913600
2025-03-27,34.1800,34.8000,33.5100,34.3900,489693,16740409.3200,0.438100
2025-03-28,34.3500,34.8300,33.7000,33.9300,437358,14910926.3500,-1.337600
2025-03-31,33.8300,33.9900,33.2800,33.6600,510048,17100623.8600,-0.795800
2025-04-01,33.8100,34.6000,33.7800,34.2600,388075,13311857.4700,1.782500
2025-04-02,34.1700,35.0800,34.1500,34.9000,618895,21493784.8900,1.868100
