date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.9600,11.1500,10.5600,10.7700,2574378,27970030.1500,-1.733600
2025-01-03,10.7700,10.8500,10.1100,10.2500,3493547,36484219.1900,-4.828200
2025-01-06,10.4800,12.3000,10.4300,12.3000,9527377,110589152.9600,20.000000
2025-01-07,12.3000,12.3000,11.6000,12.1100,9490800,113544012.1500,-1.544700
2025-01-08,12.1100,12.1800,11.7000,11.9900,7256528,87042182.8800,-0.990900
2025-01-09,11.9200,12.1500,11.7700,11.9000,6513592,77640133.7800,-0.750600
2025-01-10,12.1300,12.4500,11.1600,11.1600,7494786,88024593.0600,-6.218500
2025-01-13,10.9000,11.3200,10.6800,11.0600,3970430,43644557.7900,-0.896100
2025-01-14,11.0300,12.3700,11.0300,12.2100,6857299,80757472.3200,10.397800
2025-01-15,12.3400,12.4700,12.0400,12.1400,4387329,53609517.9100,-0.573300
2025-01-16,12.3000,12.4900,11.9100,12.0100,4007764,48895602.0300,-1.070800
2025-01-17,11.9900,12.1700,11.7500,11.8300,3350305,39900854.5100,-1.498800
2025-01-20,11.9800,12.0300,11.6200,11.7800,2523865,29836716.7800,-0.422700
2025-01-21,11.9000,11.9500,11.5100,11.7800,2767486,32463295.3500,0.000000
2025-01-22,11.7900,11.7900,11.4300,11.4900,2344782,27099497.9100,-2.461800
2025-01-23,11.8000,12.3500,11.6300,11.6300,5818760,70070896.7500,1.218500
2025-01-24,11.6800,12.5600,11.5100,12.4800,8709488,106304766.4000,7.308700
2025-01-27,11.9800,12.3100,11.5500,11.5700,8210880,97234901.7700,-7.291700
2025-02-05,11.6900,12.8500,11.6900,12.7600,9354669,117346121.6100,10.285200
2025-02-06,12.8000,13.6100,12.6300,13.4300,9176683,122082750.5200,5.250800
2025-02-07,13.4000,13.8900,13.0300,13.2900,8277839,111312136.7500,-1.042400
2025-02-10,13.4000,13.8700,13.1200,13.8300,7333630,99732690.0500,4.063200
2025-02-11,13.6300,13.7800,13.3000,13.4200,5420816,72877297.4400,-2.964600
