date,open,high,low,close,volume,amount,pctChg
2025-01-02,131.0800,132.0000,124.2000,126.0000,4473763,571935301.2000,-4.747500
2025-01-03,126.5000,127.8000,123.2800,123.6100,3181958,399401406.6500,-1.896800
2025-01-06,123.6800,124.8000,120.8000,122.0000,2464380,301385772.7600,-1.302500
2025-01-07,122.4000,126.8800,121.7000,126.5700,3418955,423937868.0200,3.745900
2025-01-08,124.8800,126.9800,121.2300,124.7000,3465557,431996821.3500,-1.477400
2025-01-09,123.9500,125.8700,122.7300,122.8100,2655260,329689152.6000,-1.515600
2025-01-10,122.5000,128.3000,122.0300,123.0000,4779505,599250408.4700,0.154700
2025-01-13,120.8500,123.8900,119.6800,122.1900,2918593,355065136.3200,-0.658500
2025-01-14,123.3000,126.5700,121.2000,126.5600,4009903,500079099.7900,3.576400
2025-01-15,126.0000,127.9600,124.2600,124.7400,3278383,412261773.7800,-1.438100
2025-01-16,125.8000,127.5800,121.5000,123.7100,3733134,464324079.9400,-0.825700
2025-01-17,122.5700,127.5900,121.5200,125.6200,3953264,494752806.3000,1.543900
2025-01-20,123.6800,125.9500,123.6800,124.8800,3176873,396181548.8400,-0.589100
2025-01-21,126.0000,126.0000,122.2200,123.3300,2609762,322499527.3300,-1.241200
2025-01-22,121.9600,121.9600,116.0000,118.3500,5908488,699568832.0600,-4.037900
2025-01-23,119.4000,126.3800,118.8000,121.7000,5590853,687607380.0500,2.830600
2025-01-24,121.8800,122.8900,119.5500,120.6300,4144673,502221216.1800,-0.879200
2025-01-27,121.1500,122.0000,116.8000,116.8800,2886133,342644803.4700,-3.108700
2025-02-05,119.9200,123.9900,117.7000,121.5400,5157322,624238847.7800,3.987000
2025-02-06,121.2100,136.1200,120.5000,132.9800,8625159,1106055585.4400,9.412500
2025-02-07,132.1000,137.3400,129.7000,131.7000,7688049,1025052696.4000,-0.962600
2025-02-10,136.8800,141.2100,135.0000,138.6900,8975563,1240408546.0400,5.307500
2025-02-11,138.3300,139.1800,133.6000,135.1600,5522700,749472734.4400,-2.545200
2025-02-12,134.5100,137.2000,133.1800,135.1600,5152570,694430855.6300,0.000000
2025-02-13,135.3000,135.7900,129.6300,130.0100,4807809,637133960.8600,-3.810300
2025-02-14,130.6000,135.8000,129.3000,133.2000,4581907,606728507.9200,2.453700
2025-02-17,134.0000,136.2600,130.0900,131.6000,5019883,667964817.5700,-1.201200
2025-02-18,131.8000,134.2000,127.7700,128.9300,4372693,571897109.5600,-2.028900
2025-02-19,129.0000,132.1700,127.5800,131.4600,4661532,608336143.0800,1.962300
2025-02-20,131.3700,131.8800,128.0300,130.2000,4160635,540372738.0600,-0.958500
2025-02-21,130.9000,138.9900,129.8800,136.6500,9164980,1236184840.4300,4.953900
2025-02-24,136.1100,139.7800,134.2100,138.8800,7813904,1073739382.8000,1.631900
2025-02-25,137.0000,145.0000,136.1000,139.9700,8110584,1139072657.8000,0.784900
2025-02-26,141.4000,146.0000,138.0000,143.9500,8032987,1141908902.0200,2.843500
2025-02-27,143.2500,146.4900,136.7500,140.0500,7593869,1067866436.0000,-2.709300
2025-02-28,139.5000,139.5000,131.3200,132.5800,6199061,833427053.8200,-5.333800
2025-03-03,133.8800,135.6900,132.0000,133.2500,3474779,463607468.2000,0.505400
2025-03-04,131.0100,145.3600,131.0000,141.7000,8017301,1116103409.5200,6.341500
2025-03-05,140.9800,140.9800,134.6500,136.8300,5933248,814413869.0500,-3.436800
