date,open,high,low,close,volume,amount,pctChg
2025-01-02,24.6100,24.7700,23.1800,23.6000,1185156,28466589.2700,-3.712800
2025-01-03,23.6000,23.6900,22.0200,22.2800,934204,21416575.0700,-5.593200
2025-01-06,22.7600,22.7600,21.5700,22.0200,678169,14936804.3800,-1.167000
2025-01-07,22.1900,22.8600,21.8000,22.7900,684609,15367736.2500,3.496800
2025-01-08,22.8200,23.0500,21.8000,22.6300,835088,18798714.8500,-0.702100
2025-01-09,22.3400,22.9300,22.3400,22.6100,534784,12149510.5100,-0.088400
2025-01-10,22.6100,22.8800,21.8200,21.8200,674143,15024226.7900,-3.494000
2025-01-13,21.8200,22.3900,21.1700,22.0500,673058,14705551.9900,1.054100
2025-01-14,22.3800,23.3000,22.2500,23.2900,724258,16639257.8800,5.623600
2025-01-15,23.4200,23.5500,23.1700,23.3600,652083,15236365.4600,0.300600
2025-01-16,23.6000,23.9400,23.3100,23.5900,677358,15982776.2700,0.984600
2025-01-17,23.5900,23.8300,23.0800,23.3300,467558,10909378.6100,-1.102200
2025-01-20,23.7100,23.8500,23.0600,23.6100,501460,11823857.7700,1.200200
2025-01-21,24.7200,25.1500,24.1800,24.3800,1629703,40205161.7100,3.261300
2025-01-22,24.2900,24.6800,24.1500,24.4200,771343,18789439.2000,0.164100
2025-01-23,24.5000,25.3700,24.5000,24.9000,1178764,29492898.2800,1.965600
2025-01-24,24.4100,25.5800,24.2200,25.5200,1052816,26649249.1500,2.490000
2025-01-27,25.9600,26.2500,25.4200,25.6600,969663,25065490.4500,0.548600
2025-02-05,26.3600,27.5000,26.1700,27.1800,1920259,51799959.4200,5.923600
2025-02-06,27.4500,27.5000,26.7400,27.3000,1638623,44590074.5200,0.441500
2025-02-07,27.2800,27.6800,26.8100,27.2600,1633744,44536223.8000,-0.146500
2025-02-10,27.3400,30.5000,27.3400,29.6000,3886237,112908382.1000,8.584000
2025-02-11,29.4300,30.7700,27.8400,29.3200,4293756,127254401.0000,-0.945900
2025-02-12,28.9500,29.9400,28.9500,29.4200,2540544,74798161.2800,0.341100
2025-02-13,29.2900,29.5100,28.2100,28.5000,2182012,62532792.8600,-3.127100
2025-02-14,28.2700,29.9000,28.1000,29.5800,2328438,67854987.8400,3.789500
2025-02-17,29.7300,29.9100,28.8900,29.2400,2233026,65488686.7500,-1.149400
2025-02-18,29.2600,29.3900,27.8100,27.9900,1902915,54238905.9700,-4.275000
2025-02-19,28.1500,28.7900,28.0000,28.5300,1370876,39038287.7700,1.929300
2025-02-20,29.5000,30.4200,28.7900,29.1200,2756533,80991169.4300,2.068000
2025-02-21,29.1900,29.9000,28.8000,29.7100,2471753,72885036.6300,2.026100
2025-02-24,29.7100,29.9400,29.0100,29.6000,1947455,57537432.3000,-0.370200
2025-02-25,29.8000,30.5500,29.2200,29.8000,2598098,77605657.4300,0.675700
2025-02-26,30.0700,30.3500,29.5200,29.9500,2212523,66233010.4400,0.503400
2025-02-27,30.1100,30.3500,29.0000,29.5100,2043286,60547310.1800,-1.469100
2025-02-28,29.4300,29.7800,27.6900,27.8000,1681461,47988252.0400,-5.794600
2025-03-03,28.3000,28.7800,27.6700,27.9700,1570060,44335838.6200,0.611500
2025-03-04,27.7100,28.8700,27.7100,28.7000,1447702,41234413.6200,2.609900
2025-03-05,28.5700,29.2000,28.3000,28.8100,1099456,31619761.6500,0.383300
2025-03-06,28.9800,30.9900,28.9000,30.3400,3463943,104583541.7900,5.310700
2025-03-07,30.5300,30.6100,29.2700,29.5600,2102356,62779429.7100,-2.570900
2025-03-10,30.0000,30.0000,29.1000,29.3100,1436001,42251324.7500,-0.845700
2025-03-11,29.1400,29.4900,28.7700,29.1400,936326,27253094.3300,-0.580000
2025-03-12,29.3400,29.6600,29.0600,29.1400,1219126,35845945.9100,0.000000
2025-03-13,29.2300,29.2300,27.6000,28.1800,1479996,41632443.0300,-3.294400
2025-03-14,28.0100,29.8600,27.7100,29.8000,2074899,59968839.0300,5.748800
2025-03-17,29.8000,30.2800,29.3200,29.7700,1787563,53149947.9900,-0.100700
2025-03-18,29.5300,30.9000,29.4100,29.6300,1780135,53214718.1600,-0.470300
2025-03-19,29.4500,30.3000,29.1600,29.4200,1212722,35913872.0200,-0.708700
2025-03-20,29.1300,29.6200,28.8500,29.2000,907743,26528133.5800,-0.747800
2025-03-21,29.3000,29.3000,28.1400,28.2700,889800,25314542.7800,-3.184900
2025-03-24,28.2700,28.2900,26.3000,27.0500,1468893,40067356.1500,-4.315500
2025-03-25,26.5000,27.1200,26.2000,26.6200,996895,26577296.1000,-1.589600
2025-03-26,26.7500,27.5000,26.5500,27.3000,953052,25909702.7600,2.554500
2025-03-27,27.3100,27.7000,26.8000,27.0100,781488,21225812.6500,-1.062300
2025-03-28,26.8000,27.2800,26.6300,26.7000,413012,11098659.7300,-1.147700
2025-03-31,26.0000,26.8000,25.9100,26.6100,805537,21192725.8100,-0.337100
2025-04-01,26.4800,27.4900,26.4800,27.0500,776071,21068131.1000,1.653500
2025-04-02,27.1200,27.5000,26.8000,27.3200,481815,13147484.2100,0.998200
2025-04-03,27.3600,27.4800,26.5300,26.9400,591412,15972772.8900,-1.390900
2025-04-07,24.9000,25.7900,21.6500,21.7500,1493059,35171925.8600,-19.265000
2025-04-08,22.2200,23.5600,22.2200,23.0000,1612301,36974673.7900,5.747100
2025-04-09,22.4600,24.4900,21.3100,24.1800,1694125,39123055.3600,5.130400
2025-04-10,24.6000,25.4500,24.6000,24.8000,1086676,27215350.1700,2.564100
2025-04-11,25.0300,25.5000,24.6400,25.4000,923688,23256337.0400,2.419400
2025-04-14,25.8600,27.2000,25.4600,27.0400,1428793,38042690.3200,6.456700
2025-04-15,27.3700,28.6300,26.9100,28.1900,2570649,72188809.9200,4.253000
2025-04-16,27.6000,29.2700,27.3900,27.9400,1854704,52519577.9600,-0.886800
2025-04-17,27.7200,28.8200,27.7200,28.2500,1156346,32782121.0700,1.109500
2025-04-18,28.3800,28.4000,27.5000,28.2400,745925,20891810.2300,-0.035400
2025-04-21,28.0000,28.5800,27.6900,28.1600,1175560,33184499.6600,-0.283300
2025-04-22,28.8700,28.8700,27.8400,28.2300,866551,24344700.6000,0.248600
2025-04-23,28.4000,29.1600,28.2500,28.7700,1131392,32443795.7100,1.912900
2025-04-24,28.8800,29.1900,28.1200,28.5700,974367,27949224.0000,-0.695200
2025-04-25,28.5300,29.5200,27.7000,28.8800,1423691,40857742.0800,1.085100
2025-04-28,29.0000,29.0100,27.7900,27.8300,1167128,32754576.0800,-3.635700
2025-04-29,27.5500,28.5300,27.5500,28.3300,865781,24443125.4000,1.796600
2025-04-30,28.4400,29.2200,28.3800,28.5500,911142,26257183.4300,0.776600
2025-05-06,29.0700,29.7600,28.9000,29.1300,1883705,55108268.1700,2.031500
2025-05-07,29.4600,29.7500,28.9600,29.5000,1863271,54633383.3300,1.270200
2025-05-08,29.3500,29.6900,29.2300,29.4800,1108202,32630467.7900,-0.067800
2025-05-09,29.3300,29.7300,28.8900,29.0200,668936,19503744.1000,-1.560400
2025-05-12,29.1100,29.5000,29.0100,29.2000,862716,25215444.6800,0.620300
2025-05-13,29.3900,29.5500,28.5100,28.6600,794224,23028242.4900,-1.849300
2025-05-14,28.6600,28.9200,27.7600,27.9000,1185757,33400611.0300,-2.651800
2025-05-15,27.9000,28.0600,27.3400,27.7400,796460,21997876.4600,-0.573500
2025-05-16,27.7500,28.0500,27.5400,28.0000,924002,25704064.1000,0.937300
2025-05-19,28.0600,28.2700,27.7000,27.7700,889406,24832538.2400,-0.821400
2025-05-20,27.8000,28.0800,27.5600,27.7500,910770,25301536.7000,-0.072000
2025-05-21,27.9900,27.9900,27.2800,27.6600,843005,23237850.9500,-0.324300
2025-05-22,27.5600,28.3500,27.1700,27.3600,1142880,31792836.7700,-1.084600
2025-05-23,27.2200,27.6200,26.5600,26.6500,912895,24649446.7100,-2.595000
2025-05-26,26.6800,27.1200,26.5000,27.0600,452419,12172098.9300,1.538500
2025-05-27,27.0300,27.2300,26.6700,26.8100,629639,16933246.0800,-0.923900
2025-05-28,26.9600,27.2200,26.3200,26.5000,760940,20291436.5800,-1.156300
2025-05-29,26.6300,27.7600,26.4600,27.7600,895245,24398843.7100,4.754700
2025-05-30,27.3700,27.4600,26.7700,27.0100,616548,16626864.1100,-1.387400
2025-06-03,26.7500,28.3800,26.7500,27.6700,1299236,35996832.8900,2.443500
2025-06-04,27.6700,28.0500,27.5100,27.6900,869303,24140806.2800,0.072300
2025-06-05,27.6900,28.1800,27.6100,27.9500,765104,21320647.1300,0.939000
2025-06-06,27.6000,28.1500,27.4100,27.7100,1018616,28242761.9400,-0.858700
2025-06-09,27.8000,28.9800,27.7100,28.5400,1653876,47224542.7900,2.995300
2025-06-10,28.4300,28.7500,27.7700,28.2700,1217811,34519976.7200,-0.946000
2025-06-11,28.0200,28.5600,28.0000,28.1000,629250,17760756.0900,-0.601300
2025-06-12,28.1000,29.1400,27.6400,28.8900,1413264,40425225.2000,2.811400
2025-06-13,28.8900,29.7100,27.9200,28.2000,1459592,41643253.0100,-2.388400
2025-06-16,28.2000,31.1700,28.2000,30.5000,2887201,85431245.0200,8.156000
2025-06-17,30.4000,30.4900,29.5100,29.8400,2066449,61846271.1900,-2.163900
2025-06-18,29.6000,29.8900,29.3400,29.8100,1136182,33667921.8300,-0.100500
2025-06-19,29.7300,29.9300,28.6800,28.9500,1165607,34060393.5800,-2.884900
2025-06-20,29.1000,29.1000,28.3300,28.4300,827734,23707437.7400,-1.796200
2025-06-23,28.4200,29.3300,28.3400,29.0800,866491,25078917.4500,2.286300
2025-06-24,29.1000,30.9000,29.0800,30.2900,1816702,54628365.9500,4.160900
2025-06-25,31.0000,32.5100,30.0300,31.4900,3159329,99761807.5000,3.961700
2025-06-26,31.4900,31.9500,30.6000,31.6200,1804949,56779021.5500,0.412800
2025-06-27,31.6600,32.0800,31.1500,31.3900,1254819,39573830.8400,-0.727400
2025-06-30,31.5600,31.7600,30.7500,31.1300,1606805,49887246.1600,-0.828300
2025-07-01,31.1400,32.8800,31.1400,32.7200,3124425,100953081.0600,5.107600
2025-07-02,32.7200,32.7200,30.6000,31.2900,2235759,70264890.8900,-4.370400
2025-07-03,31.3700,31.8000,31.2400,31.4300,1267360,39917497.8300,0.447400
2025-07-04,31.0900,31.6100,30.6800,30.7500,1415785,43774005.9900,-2.163500
2025-07-07,30.7500,31.1300,30.3800,30.9200,812092,24937510.2000,0.552800
2025-07-08,30.9900,31.3800,30.4500,31.0500,905927,28109971.9200,0.420400
2025-07-09,30.9600,31.4500,30.8100,31.3200,971267,30230709.4400,0.869600
2025-07-10,31.2500,31.2500,30.2100,30.8000,1238202,38080588.5400,-1.660300
2025-07-11,30.9300,31.6900,30.4100,31.6400,1389256,43220843.3800,2.727300
2025-07-14,31.7500,32.9900,31.7000,32.8000,2150888,70036221.1400,3.666200
2025-07-15,32.8000,33.0000,31.9200,32.8500,1321247,42886327.7300,0.152400
2025-07-16,33.1000,33.1000,32.4500,32.8800,978650,32014128.9500,0.091300
2025-07-17,34.8000,36.4400,33.2100,34.6600,5713789,198312389.5900,5.413600
2025-07-18,34.3300,35.0700,33.8000,34.4500,3142487,107687386.8600,-0.605900
2025-07-21,34.6900,36.8100,34.0100,36.5000,4156633,149949633.3600,5.950700
2025-07-22,36.4800,36.4800,33.8200,33.9200,4373818,153053409.4800,-7.068500
2025-07-23,34.0200,34.6900,33.5700,34.3100,2623884,89881666.1100,1.149800
2025-07-24,34.3100,34.8200,34.0000,34.3200,1659696,57084577.9200,0.029100
2025-07-25,34.3500,35.4900,34.0200,35.3100,2045986,71491204.9100,2.884600
