date,open,high,low,close,volume,amount,pctChg
2025-01-02,28.1000,28.4300,26.6900,26.9900,612700,16793809.7300,-4.527800
2025-01-03,27.0400,27.1700,25.9400,26.1700,452356,11992841.8600,-3.038200
2025-01-06,26.0100,26.5900,25.0300,26.5100,387135,10117140.5900,1.299200
2025-01-07,26.7600,27.0000,26.1200,26.9600,390528,10375702.8400,1.697500
2025-01-08,26.8600,28.1200,26.5200,27.6400,476952,13012668.2100,2.522300
2025-01-09,27.9500,28.8400,27.0500,27.9800,331425,9347240.1400,1.230100
2025-01-10,28.3500,28.4800,27.2000,27.2200,300111,8353472.4000,-2.716200
2025-01-13,26.5100,27.2400,26.2900,26.9400,234812,6277783.5100,-1.028700
2025-01-14,27.2100,28.5400,26.5300,28.3600,485242,13576413.9800,5.271000
2025-01-15,28.7900,28.7900,27.7700,27.9300,226647,6364646.3200,-1.516200
2025-01-16,27.5200,28.4500,27.5200,28.0900,351069,9896044.4200,0.572900
2025-01-17,28.5500,28.5500,27.8100,27.9600,256939,7205868.8800,-0.462800
2025-01-20,27.9600,28.7800,27.8000,28.2100,410935,11573398.1000,0.894100
2025-01-21,28.4600,28.4600,27.4600,27.7400,398330,11085676.3700,-1.666100
2025-01-22,27.8200,27.8900,27.1100,27.1500,374712,10271301.2000,-2.126900
2025-01-23,27.5500,28.8800,27.1700,27.8400,635891,17910727.1000,2.541400
2025-01-24,28.0000,28.3500,27.7300,28.2200,493014,13865703.8700,1.364900
2025-01-27,28.8800,28.8800,27.5300,27.6100,329379,9231427.5000,-2.161600
2025-02-05,28.5000,28.7300,27.8200,28.6000,373367,10612722.7200,3.585700
2025-02-06,28.3000,29.2600,28.2800,29.0700,473605,13716235.5000,1.643400
2025-02-07,29.1000,30.3000,29.1000,29.6500,723488,21464367.1200,1.995200
2025-02-10,29.4200,30.8600,29.4000,30.7100,762237,23200028.9300,3.575000
2025-02-11,30.7000,31.5000,30.3300,30.8500,679814,21074091.3900,0.455900
2025-02-12,30.8100,31.0600,30.3600,30.6300,561770,17226954.1600,-0.713100
2025-02-13,30.7200,30.9500,29.7100,29.9100,435494,13100009.1400,-2.350600
2025-02-14,29.8700,30.2100,29.6600,29.8000,328714,9833769.8000,-0.367800
2025-02-17,29.8000,30.1200,29.5200,29.8800,466531,13897030.1300,0.268500
2025-02-18,29.8900,30.1900,28.6600,28.9900,517050,15226065.1700,-2.978600
2025-02-19,29.1300,30.0800,29.0800,30.0800,535704,15998360.9900,3.759900
2025-02-20,30.0500,30.8600,29.8800,30.8200,839108,25494480.6300,2.460100
2025-02-21,30.7000,31.0500,30.2800,31.0200,852987,26204000.5200,0.648900
2025-02-24,31.0200,31.4400,30.5100,31.0500,610330,18895127.9200,0.096700
2025-02-25,30.8900,31.2000,30.6000,31.0500,433900,13460120.2900,0.000000
2025-02-26,31.2000,31.9200,31.2000,31.5500,576272,18176636.0700,1.610300
2025-02-27,31.6900,32.0900,30.7800,31.4600,707157,22206021.8100,-0.285300
2025-02-28,31.9800,34.4400,30.3000,30.7000,1456244,46196104.4800,-2.415800
2025-03-03,30.8900,31.7500,30.4000,31.0800,855864,26607788.4400,1.237800
2025-03-04,30.6800,31.7300,30.6400,31.6300,644682,20212682.9600,1.769600
2025-03-05,31.6300,31.6900,30.6700,31.1800,691878,21486624.3700,-1.422700
2025-03-06,31.2300,32.4000,31.2300,32.0100,982416,31461298.5800,2.662000
2025-03-07,32.1600,32.1700,31.3800,31.5300,526969,16715514.9700,-1.499500
2025-03-10,31.4200,33.0000,31.4000,32.5500,1042050,33631241.3500,3.235000
2025-03-11,32.3400,33.2400,31.8000,33.1600,933245,30420383.4400,1.874000
2025-03-12,33.1600,33.4400,32.6100,32.8300,738762,24354205.8300,-0.995200
2025-03-13,32.8300,32.8300,31.6100,32.0500,558257,17856904.3800,-2.375900
2025-03-14,32.2000,32.8000,31.6000,32.7500,536172,17323576.3500,2.184100
2025-03-17,33.0400,33.0400,32.5000,32.6400,307529,10036935.8800,-0.335900
2025-03-18,32.7200,33.1200,32.5200,32.8600,356172,11695860.2100,0.674000
2025-03-19,32.6800,33.0100,32.3600,32.6400,424335,13894536.7100,-0.669500
2025-03-20,32.6900,33.3900,32.0500,33.0000,719981,23682076.3500,1.102900
2025-03-21,32.7500,32.8100,31.8000,32.0000,550919,17713514.7900,-3.030300
2025-03-24,32.0000,32.3800,30.1500,30.9000,581261,17956632.2000,-3.437500
2025-03-25,30.5500,31.1500,30.3500,30.7000,310573,9557098.3800,-0.647200
2025-03-26,30.9700,31.4700,30.4100,31.0900,341391,10655714.8400,1.270400
2025-03-27,30.7900,31.4100,30.3000,30.8600,369348,11400439.5800,-0.739800
2025-03-28,31.2500,31.2500,30.2900,30.3200,263684,8088983.7200,-1.749800
2025-03-31,30.1100,30.3000,29.7000,30.1200,351992,10554848.5400,-0.659600
2025-04-01,29.9700,31.0500,29.8900,30.4300,369367,11339268.4600,1.029200
2025-04-02,30.8300,31.1600,30.4300,30.5900,289396,8920810.0700,0.525800
2025-04-03,30.4900,31.0000,29.8100,30.1300,342703,10370397.8400,-1.503800
2025-04-07,29.3700,29.3700,25.1800,25.8300,699756,19050670.3500,-14.271500
2025-04-08,26.2700,27.0000,25.6200,26.1200,647680,16968446.1900,1.122700
2025-04-09,26.0000,27.4800,24.0900,27.1300,669423,17377438.7300,3.866800
2025-04-10,27.5800,28.4400,27.5200,27.5600,483510,13505868.0200,1.585000
2025-04-11,27.8800,28.1200,27.0300,28.0300,464113,12900982.3400,1.705400
2025-04-14,28.5400,28.6700,28.0400,28.3300,360283,10218499.9500,1.070300
2025-04-15,28.3000,28.9200,28.1000,28.3100,432067,12249543.1000,-0.070600
2025-04-16,28.7600,28.7600,27.1100,27.7500,467621,13036463.4400,-1.978100
