date,open,high,low,close,volume,amount,pctChg
2025-01-02,26.8300,27.8400,26.0000,26.4100,9784070,263109757.1000,-2.546100
2025-01-03,26.4000,27.1600,25.7200,25.8500,8816518,232943429.6100,-2.120400
2025-01-06,25.6700,26.1900,24.4000,24.9200,12816837,321715864.8400,-3.597700
2025-01-07,25.0600,25.8500,25.0000,25.5200,7942949,201922811.8800,2.407700
2025-01-08,25.5300,25.5300,23.4200,24.1000,16135066,390596491.1500,-5.564300
2025-01-09,23.9900,25.2100,23.6100,24.4200,9840465,243507310.2700,1.327800
2025-01-10,24.0000,25.0600,23.7000,23.7800,9288257,225987999.8700,-2.620800
2025-01-13,23.6400,24.1100,22.7600,23.9800,7605270,178723983.4200,0.841000
2025-01-14,23.9800,25.6100,23.6500,25.6000,8962667,222256137.6800,6.755600
2025-01-15,25.4900,25.6000,24.6800,24.9100,5159862,128990234.6200,-2.695300
2025-01-16,25.2800,25.9800,24.6100,24.9600,9991093,251653192.5400,0.200700
2025-01-17,24.9800,25.9000,24.7100,25.5600,7502365,190505453.2300,2.403800
2025-01-20,25.9500,27.6600,25.6000,27.3300,12376489,330870600.1100,6.924900
2025-01-21,27.3400,29.3000,27.2100,28.9800,14616762,417551813.4000,6.037300
2025-01-22,28.5800,28.9800,28.2000,28.5000,8110560,231158780.8600,-1.656300
2025-01-23,28.0000,28.3000,25.8800,26.4300,15703916,418922452.7600,-7.263200
2025-01-24,26.2000,27.7500,26.2000,27.6500,11607344,314543734.6100,4.616000
2025-01-27,27.5700,27.9300,27.0500,27.1900,5569947,152909824.9400,-1.663700
2025-02-05,27.4100,27.5600,26.5300,26.7700,5533248,148714673.4000,-1.544700
2025-02-06,26.4900,28.5500,26.4000,28.4100,7982378,221954589.2000,6.126300
2025-02-07,28.9000,30.0000,28.4000,28.9400,9847854,289006023.7700,1.865500
2025-02-10,29.2800,30.1900,28.0800,29.9800,10874560,316288365.5000,3.593600
2025-02-11,30.0200,30.6900,29.3800,30.3200,8751794,263812312.1800,1.134100
2025-02-12,30.1800,31.8000,29.7000,31.7800,8738082,269920888.7700,4.815300
2025-02-13,31.5900,31.9000,30.2800,30.5100,8572772,265866979.7600,-3.996200
