date,open,high,low,close,volume,amount,pctChg
2025-01-02,39.7000,39.7000,38.1200,38.6000,523349,20265626.0800,-1.806200
2025-01-03,38.6000,38.8800,37.3000,37.7500,596363,22671431.0900,-2.202100
2025-01-06,37.9900,37.9900,35.2600,35.6300,1379103,50467726.4400,-5.615900
2025-01-07,35.3500,36.6600,34.8200,36.6000,836302,29789417.0200,2.722400
2025-01-08,36.5000,36.6800,34.7000,36.0000,1001951,35694391.3500,-1.639300
2025-01-09,35.5900,36.3500,35.2000,35.5200,748097,26722179.9900,-1.333300
2025-01-10,35.6200,36.2500,34.3800,34.4900,621214,21922267.8200,-2.899800
2025-01-13,33.0000,34.5900,33.0000,33.7000,1349513,45405287.2000,-2.290500
2025-01-14,33.7000,34.9200,33.5600,34.8500,914109,31476824.8700,3.412500
2025-01-15,34.8100,35.0200,34.3100,34.5300,630428,21784454.4800,-0.918200
2025-01-16,34.6000,35.2000,34.0700,34.6000,596062,20605645.1100,0.202700
2025-01-17,34.4700,34.9000,34.0000,34.3200,782716,26974138.8200,-0.809200
2025-01-20,34.5600,35.4400,34.1000,35.2500,898592,31281806.8500,2.709800
2025-01-21,35.4500,35.9500,34.6000,35.5800,832871,29407968.9400,0.936200
2025-01-22,35.9000,38.3800,35.1700,37.0900,1750888,64741104.1900,4.244000
2025-01-23,37.1600,37.6800,36.4100,36.4700,858278,31850991.0400,-1.671600
2025-01-24,36.4300,37.0000,36.0100,37.0000,574951,21004889.1800,1.453200
2025-01-27,37.0000,37.2600,36.0600,36.2100,526464,19299982.0800,-2.135100
2025-02-05,36.5800,36.8500,35.8200,35.9100,486525,17680108.6000,-0.828500
2025-02-06,35.7100,36.7000,35.4800,36.6500,663987,24007415.7500,2.060700
2025-02-07,36.6500,37.5700,36.4100,36.8500,985190,36503412.3500,0.545700
2025-02-10,37.0000,38.8000,37.0000,38.3800,1148263,43871247.8100,4.152000
2025-02-11,38.4000,38.4700,37.5000,37.9500,515768,19523182.8900,-1.120400
2025-02-12,37.9400,38.3400,37.5300,38.3100,814797,30942277.6800,0.948600
2025-02-13,38.2600,38.7300,37.2000,37.2900,601028,22684544.5900,-2.662500
2025-02-14,36.6600,38.6000,36.6300,37.7500,769522,29038036.0800,1.233600
2025-02-17,37.6000,37.7000,36.5100,36.9100,938787,34719139.8600,-2.225200
2025-02-18,36.7100,38.2800,36.5400,37.3100,1139866,42623151.1800,1.083700
2025-02-19,37.3100,39.7400,36.6100,39.0800,1540147,59807724.6400,4.744000
2025-02-20,39.0000,39.5800,38.8100,39.3600,1041898,40867885.8100,0.716500
2025-02-21,39.3000,42.9800,39.3000,41.9300,2132288,88740166.3900,6.529500
2025-02-24,41.8000,43.9900,41.2300,43.7700,2335152,99905068.1500,4.388300
2025-02-25,42.9700,44.6300,42.7700,43.2800,1400992,61220895.7100,-1.119500
2025-02-26,43.1500,43.9500,42.2800,42.7700,1316852,56430632.0500,-1.178400
2025-02-27,43.0000,44.3900,42.3100,43.4100,1510109,65547818.7400,1.496400
2025-02-28,44.0000,44.8000,42.6900,42.7200,1081165,47332948.1700,-1.589500
2025-03-03,42.4300,44.9900,42.1600,44.1200,1107613,48900571.4500,3.277200
2025-03-04,44.3100,45.1100,43.3500,44.9900,985621,43719389.6300,1.971900
2025-03-05,44.3500,45.9600,44.1800,45.6900,836591,37718494.9700,1.555900
2025-03-06,45.6900,46.4700,45.0600,46.0000,882148,40474283.6200,0.678500
2025-03-07,46.0000,47.8400,45.5000,45.8400,994896,46376098.8500,-0.347800
2025-03-10,45.6000,46.2700,45.1100,45.9100,641718,29457661.9900,0.152700
2025-03-11,45.9800,46.5800,45.0000,46.4000,744807,34091509.1900,1.067300
2025-03-12,46.6200,47.8400,46.2300,47.4400,655618,31019508.8800,2.241400
2025-03-13,47.7400,47.7400,46.0300,46.2000,451142,21038514.7600,-2.613800
2025-03-14,45.9400,46.7400,44.1700,44.3500,1842181,82752486.8000,-4.004300
2025-03-17,44.5500,46.1900,44.3600,46.0100,1175397,53238704.4600,3.743000
2025-03-18,46.2400,46.2400,45.2000,45.4800,555592,25280233.8600,-1.151900
2025-03-19,45.4800,46.1000,44.9100,45.5100,398751,18126949.5200,0.066000
2025-03-20,45.4900,45.5400,44.1800,44.6700,715588,32083422.8900,-1.845700
2025-03-21,44.5000,44.6400,43.8600,44.3000,474509,20955471.1200,-0.828300
2025-03-24,44.4000,44.8800,43.1300,43.6600,546523,23860433.0100,-1.444700
2025-03-25,43.5900,45.1900,43.4200,44.5900,733083,32582614.9600,2.130100
2025-03-26,44.5200,45.5500,44.4000,45.0000,480416,21625039.6700,0.919500
2025-03-27,44.9200,46.3500,44.5000,45.4400,891003,40551210.0900,0.977800
2025-03-28,45.6100,45.6100,43.7100,43.9100,414349,18381650.6200,-3.367100
2025-03-31,43.5800,43.8400,42.9100,43.1300,684058,29698099.7200,-1.776400
2025-04-01,43.0900,44.2000,42.9200,43.7900,712352,31121823.9000,1.530300
2025-04-02,43.4400,44.2400,42.5600,42.8200,430226,18680993.8600,-2.215100
2025-04-03,42.6000,42.9000,41.9600,42.4000,692140,29277320.2900,-0.980900
2025-04-07,41.0700,41.8800,36.1300,38.1200,1411008,56043390.6600,-10.094300
2025-04-08,38.0400,39.9000,37.1800,39.4400,1111959,42354687.2100,3.462700
2025-04-09,38.4600,39.5800,37.2100,38.8500,830242,32020441.9900,-1.495900
2025-04-10,39.4400,41.2200,39.1500,40.1400,667209,27027411.2000,3.320500
2025-04-11,39.9200,43.3900,39.9100,42.3800,1108946,46880637.6300,5.580500
2025-04-14,42.4900,42.9800,41.2300,41.5700,830601,34752162.4400,-1.911300
2025-04-15,41.5600,41.8100,40.5100,41.1200,483496,19795695.4700,-1.082500
2025-04-16,40.5600,41.6500,38.7500,39.4600,1054630,42074569.3200,-4.037000
2025-04-17,39.0800,40.5400,38.7000,39.9000,410339,16417076.3500,1.115100
2025-04-18,40.0000,40.1100,39.0300,39.8100,244908,9685443.2500,-0.225600
2025-04-21,39.6000,41.5800,39.5100,41.0700,537478,21879582.2800,3.165000
2025-04-22,41.0300,41.1300,40.3000,40.7600,217271,8836688.8300,-0.754800
2025-04-23,40.7600,41.5300,40.0600,41.4300,458509,18833409.3500,1.643800
2025-04-24,41.4400,41.5900,40.3900,41.0900,270802,11123545.7000,-0.820700
