date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.9500,13.9500,13.3000,13.4500,2583972,35248043.6600,-2.536200
2025-01-03,13.4500,13.6000,13.0600,13.1000,2077278,27485210.5300,-2.602200
2025-01-06,13.1300,13.3900,12.8100,13.2000,2594874,34161136.7900,0.763400
2025-01-07,13.4400,13.4800,13.0900,13.4600,1348299,17935425.1600,1.969700
2025-01-08,13.3100,13.4500,12.7600,13.2000,2785371,36534291.2000,-1.931600
2025-01-09,13.1000,13.5400,13.0600,13.3900,2432228,32547183.5800,1.439400
2025-01-10,13.3900,14.4000,13.3200,14.0300,5908045,82720918.8700,4.779700
2025-01-13,13.8800,14.1300,13.6200,13.8500,1731455,24002230.1600,-1.283000
2025-01-14,13.9300,14.7000,13.8600,14.6700,3444375,49586762.9600,5.920600
2025-01-15,14.8600,14.8600,14.1600,14.2700,2825106,40684378.1600,-2.726700
2025-01-16,14.0400,14.4200,13.8600,14.1000,2272607,32102323.7800,-1.191300
2025-01-17,14.0100,15.0200,14.0100,14.7600,3825525,56098120.1600,4.680900
2025-01-20,14.9300,15.4300,14.8000,15.2500,2872519,43779407.4600,3.319800
2025-01-21,15.3000,15.8400,15.2600,15.5400,3490087,54557903.4800,1.901600
2025-01-22,15.2000,15.4500,14.5100,15.0100,4907799,72942323.8600,-3.410600
2025-01-23,15.0300,15.7400,15.0000,15.2400,3711364,56945564.7400,1.532300
2025-01-24,15.2900,15.3200,15.0000,15.2000,1806883,27383112.0000,-0.262500
2025-01-27,15.2400,15.3700,14.9100,15.1200,1784542,26975992.0800,-0.526300
2025-02-05,15.1600,15.3200,14.6500,14.8000,2660042,39591677.0700,-2.116400
2025-02-06,14.7900,15.3200,14.6700,15.1900,2405739,36234508.7600,2.635100
2025-02-07,15.0600,15.6600,15.0500,15.4100,3129911,48317405.0400,1.448300
2025-02-10,15.3900,15.5800,15.1600,15.5300,2573501,39630801.0500,0.778700
2025-02-11,15.5000,15.5000,15.1400,15.3600,1668995,25540848.8300,-1.094700
2025-02-12,15.2800,15.7300,15.2100,15.5700,2864242,44478169.6600,1.367200
2025-02-13,15.5300,15.6100,15.0500,15.1300,2219250,33847329.3800,-2.825900
2025-02-14,15.1200,15.9500,15.1000,15.7100,4886667,76692616.0200,3.833400
2025-02-17,15.7200,15.9300,15.5400,15.7100,3570507,56115568.0700,0.000000
2025-02-18,15.6000,15.6900,15.2100,15.2300,2575780,39871078.6500,-3.055400
2025-02-19,15.3000,15.6700,15.1700,15.4100,2481796,38320520.4600,1.181900
2025-02-20,15.3000,15.9400,15.1100,15.8400,3707384,58253216.9400,2.790400
2025-02-21,15.8400,16.1700,15.6700,15.9900,4050110,64668264.0900,0.947000
2025-02-24,16.0100,16.0800,15.3900,15.5400,3950983,61629258.4900,-2.814300
2025-02-25,15.3300,15.4500,15.1000,15.1500,4562818,69573522.3300,-2.509700
2025-02-26,15.0400,15.3300,14.8800,15.2300,4194404,63475846.8300,1.196000
2025-02-27,15.3900,15.7000,15.0300,15.2400,5079544,77926879.1700,0.065700
2025-02-28,15.1500,15.2600,14.2700,14.3700,5513655,80605175.2200,-5.708700
2025-03-03,14.3800,15.0200,14.2400,14.7600,4441216,65849202.7800,2.714000
2025-03-04,15.0900,16.0500,14.7200,15.9300,10001583,157555469.1700,7.926800
2025-03-05,15.7200,16.3300,15.5600,15.9100,5549410,88139479.7800,-0.125500
2025-03-06,16.1500,16.8600,16.1300,16.2700,7735022,127041105.5500,2.262700
2025-03-07,16.1600,16.9300,16.0500,16.4700,6108157,101095252.3700,1.229300
2025-03-10,16.6500,16.6500,15.8500,15.9900,5003754,80405105.4000,-2.914400
2025-03-11,15.7100,16.0200,15.6500,15.9600,3359487,53112960.3400,-0.187600
2025-03-12,15.9600,16.1600,15.8000,15.8600,3091635,49249234.7800,-0.626600
2025-03-13,15.8000,15.8300,15.1600,15.2900,4218773,65018238.4800,-3.593900
2025-03-14,15.3900,15.5100,15.0300,15.5000,4532695,69312731.0000,1.373400
2025-03-17,15.5600,15.6400,15.1500,15.3500,4214757,64409293.6500,-0.967700
2025-03-18,15.3900,15.8700,15.3000,15.3900,3833497,59514977.8300,0.260600
2025-03-19,15.3400,15.5700,15.2900,15.3800,2247327,34625579.3000,-0.065000
2025-03-20,15.3800,15.3800,14.9500,15.0400,4475996,67542279.2800,-2.210700
2025-03-21,15.0200,15.1900,14.8000,14.9500,2945791,44147112.4400,-0.598400
2025-03-24,14.9600,15.0700,14.4000,14.7200,3034701,44769670.4800,-1.538500
2025-03-25,14.7400,14.8300,14.4100,14.5800,1868029,27354927.0600,-0.951100
2025-03-26,14.6300,14.9000,14.5500,14.7600,1652808,24437638.2400,1.234600
2025-03-27,14.7100,15.1900,14.5000,15.0200,2648317,39649552.6600,1.761500
2025-03-28,14.9700,15.4600,14.7900,14.7900,3683903,55808265.3500,-1.531300
2025-03-31,14.7000,14.9900,14.5100,14.7100,2414249,35526373.4100,-0.540900
2025-04-01,14.8500,15.4800,14.7000,15.1200,3602275,54878381.7700,2.787200
2025-04-02,15.2300,15.9300,15.1500,15.7000,5930355,93222505.1500,3.836000
2025-04-03,15.5100,15.9800,15.1700,15.1900,4330973,66969035.7800,-3.248400
2025-04-07,13.8700,14.5000,12.4600,13.0700,8286287,112857890.2800,-13.956600
2025-04-08,13.2000,13.8800,12.8800,13.3400,5204701,69463145.0800,2.065800
2025-04-09,12.9300,14.1500,12.0100,13.9100,7070215,93279215.2700,4.272900
2025-04-10,14.0600,14.7000,13.9000,14.6300,7633948,108877834.2000,5.176100
2025-04-11,14.4300,15.7900,14.4200,15.4000,9764137,148619200.9400,5.263200
2025-04-14,15.7200,16.1000,15.4400,15.5000,6756268,106324420.1800,0.649400
