date,open,high,low,close,volume,amount,pctChg
2025-01-02,16.2300,16.7400,15.7200,15.8200,4236190,68054519.5000,3.061900
2025-01-03,15.9800,16.8800,15.6700,15.8500,5043277,81935230.9100,0.189600
2025-01-06,15.7300,16.7600,15.2400,16.2000,5147960,82865012.2300,2.208200
2025-01-07,16.1800,16.8400,15.9600,16.5500,3706002,61084271.5800,2.160500
2025-01-08,16.5300,16.5300,15.8100,16.1900,2400109,38732660.3300,-2.175200
2025-01-09,16.0400,16.5100,16.0000,16.2500,1393225,22722374.3800,0.370600
2025-01-10,16.1300,16.7500,16.0200,16.2200,2959324,48498915.8600,-0.184600
2025-01-13,16.1700,17.3700,16.0000,17.2200,6483268,109827076.0900,6.165200
2025-01-14,17.2500,18.0800,17.2500,18.0400,5776320,102970610.1100,4.761900
2025-01-15,18.0000,18.2300,17.6600,18.0200,3760401,67395034.1200,-0.110900
2025-01-16,17.9900,18.6900,17.8700,18.6200,4867594,89547404.6400,3.329600
2025-01-17,18.6900,18.8800,18.1200,18.5800,3984494,73803607.0300,-0.214800
2025-01-20,18.3300,18.8800,18.3300,18.7900,3825155,71117270.7800,1.130200
2025-01-21,18.7800,19.3100,18.6500,19.2800,3574180,67867422.8400,2.607800
2025-01-22,19.2800,19.5000,19.1400,19.3000,3106348,59983738.3800,0.103700
2025-01-23,19.3900,19.4900,18.3100,18.6400,4955485,92892234.3900,-3.419700
2025-01-24,18.5000,18.7700,18.2500,18.6500,3542348,65494475.6000,0.053600
2025-01-27,18.9000,18.9000,18.2000,18.2000,2002943,36906959.9400,-2.412900
2025-02-05,18.3600,18.4900,17.7100,17.8500,3320946,59482265.0100,-1.923100
2025-02-06,17.7400,18.1000,17.7400,17.9400,3098009,55604446.4400,0.504200
2025-02-07,17.9200,18.5000,17.9000,18.3300,4271319,77602898.5100,2.173900
2025-02-10,18.2000,18.3700,17.5100,18.2000,5172018,92186132.4200,-0.709200
2025-02-11,18.2000,18.3900,17.9800,18.3500,2591729,47279939.3300,0.824200
2025-02-12,18.0800,18.6300,17.7800,18.4700,3515772,64027684.0600,0.654000
2025-02-13,18.5500,18.7600,18.2200,18.4600,2494699,46181090.0300,-0.054100
2025-02-14,18.4000,18.8700,18.3100,18.5600,2134406,39577369.8700,0.541700
2025-02-17,18.4400,18.5800,17.9400,18.0900,3746827,67981951.5500,-2.532300
2025-02-18,18.0000,18.2300,17.2400,17.3700,2732078,48367670.6400,-3.980100
2025-02-19,16.9100,17.6500,16.8500,17.4100,2373182,41315543.9800,0.230300
2025-02-20,17.4500,17.7500,17.3600,17.5400,1685909,29571783.5400,0.746700
2025-02-21,17.5400,18.4800,17.4200,18.1300,3231674,58091592.2500,3.363700
2025-02-24,18.2700,19.0400,18.2700,18.5200,3604147,67204756.0100,2.151100
2025-02-25,18.4000,20.3500,18.3200,19.5500,8036802,156469309.8700,5.561600
2025-02-26,19.6500,20.3100,19.4000,20.0300,6184131,122721407.3900,2.455200
2025-02-27,20.0700,20.3100,19.7800,20.0500,4622756,92498905.9700,0.099900
2025-02-28,20.0600,20.0600,19.3500,19.3900,3718917,72969873.5000,-3.291800
2025-03-03,19.5200,19.7900,19.3100,19.5300,4266171,83399685.2500,0.722000
2025-03-04,19.3600,19.9900,19.3600,19.7900,2131301,42021847.9000,1.331300
2025-03-05,20.1800,20.4900,19.6100,20.2000,3962635,79409039.2700,2.071800
2025-03-06,20.2500,20.2500,19.7800,19.9700,3559206,70837126.7600,-1.138600
2025-03-07,20.1900,20.8700,19.7800,20.8200,6176885,126618931.2700,4.256400
2025-03-10,20.9800,21.3800,20.2800,20.6500,4548325,94338525.1900,-0.816500
2025-03-11,20.7000,21.0700,20.3400,20.7600,3555283,73632086.3600,0.532700
2025-03-12,21.7000,23.3800,21.2900,21.4300,10887835,240722909.0500,3.227400
2025-03-13,21.4300,21.5500,20.7100,21.0900,3540039,74585254.2400,-1.586600
2025-03-14,21.0000,21.1800,20.4600,20.9100,4000988,83450762.7000,-0.853500
2025-03-17,20.8000,21.3900,20.7500,21.1300,2159104,45542606.3300,1.052100
