date,open,high,low,close,volume,amount,pctChg
2025-01-02,20.1100,21.0700,19.8000,20.1100,571098,11648094.8100,-0.248000
2025-01-03,20.3100,20.3100,19.3600,19.4500,479084,9499517.0900,-3.281900
2025-01-06,19.5000,19.7700,18.7500,19.2300,367151,7077518.2700,-1.131100
2025-01-07,19.3100,20.0000,19.2700,19.9900,310933,6109299.7100,3.952200
2025-01-08,19.9900,20.2500,19.1100,19.9200,576900,11411733.7300,-0.350200
2025-01-09,19.9800,20.2100,19.7400,20.0100,319722,6390914.7300,0.451800
2025-01-10,19.8600,20.1500,19.3100,19.3400,287027,5674079.3700,-3.348300
2025-01-13,18.9500,19.7000,18.5000,19.4500,432263,8322885.3800,0.568800
2025-01-14,19.6400,21.0700,19.3100,20.9100,803092,16518273.2500,7.506400
2025-01-15,21.4000,21.4000,20.7200,20.8100,531845,11170234.3600,-0.478200
2025-01-16,21.0200,21.5400,20.6600,21.3500,573236,12207360.0200,2.594900
2025-01-17,21.2500,21.5000,21.0300,21.2500,381581,8105678.1500,-0.468400
2025-01-20,21.8800,22.2700,21.4000,22.0700,760013,16702445.8200,3.858800
2025-01-21,22.2200,22.5500,21.7200,22.0700,684114,15107582.8600,0.000000
2025-01-22,22.0100,22.5300,21.9100,22.3300,761037,16980473.9100,1.178100
2025-01-23,22.5000,22.9800,22.3400,22.6700,634417,14424540.8200,1.522600
2025-01-24,22.5600,23.2000,22.3800,23.1400,606544,13853579.1400,2.073200
2025-01-27,23.2200,23.5800,22.9800,23.1000,557660,12967885.4300,-0.172900
2025-02-05,23.7700,23.7700,23.1300,23.5200,597825,14058099.9900,1.818200
2025-02-06,23.5800,23.8600,23.4400,23.7600,467489,11081387.6500,1.020400
2025-02-07,23.8000,25.6600,23.7800,25.0000,1589876,39468599.4900,5.218900
2025-02-10,25.1600,25.8000,24.6800,25.8000,712655,18034278.9000,3.200000
2025-02-11,25.6000,26.3800,25.5400,26.1200,829700,21538697.3000,1.240300
2025-02-12,26.1200,26.5500,25.8000,26.4500,679432,17798103.6900,1.263400
2025-02-13,26.4100,26.6600,25.8700,26.1400,732727,19204733.5900,-1.172000
2025-02-14,26.1400,26.2600,25.3100,25.5700,886978,22772342.1300,-2.180600
2025-02-17,25.8600,25.9700,25.4100,25.9100,847194,21782672.6200,1.329700
2025-02-18,25.9100,26.2700,25.0400,25.1100,709438,18162901.7600,-3.087600
2025-02-19,25.2400,26.2200,25.1400,25.8500,584811,15040211.8400,2.947000
2025-02-20,25.8500,25.9900,25.3500,25.8800,393284,10144657.7300,0.116100
2025-02-21,25.8700,26.2100,25.3400,26.1600,707325,18225940.4600,1.081900
2025-02-24,26.1600,27.0000,25.4200,26.9700,1371056,36264547.8800,3.096300
2025-02-25,26.9000,27.7500,26.6200,27.5800,925309,25169758.2800,2.261800
