date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.1100,7.1700,6.9500,7.0100,53715256,378935838.1700,-1.406500
2025-01-03,7.0400,7.1100,6.9300,6.9300,37024602,259655056.9000,-1.141200
2025-01-06,6.9400,7.0700,6.8600,6.9200,36572777,254100923.4600,-0.144300
2025-01-07,6.9000,6.9300,6.7100,6.7900,49684605,338026464.6700,-1.878600
2025-01-08,6.7600,6.8600,6.6500,6.7400,40185866,271211605.1500,-0.736400
2025-01-09,6.7300,6.8200,6.6000,6.6400,43987374,294393382.1300,-1.483700
2025-01-10,6.6100,6.6600,6.3600,6.3700,48774182,315925662.6800,-4.066300
2025-01-13,6.3600,6.4800,6.3000,6.4000,40297392,258199413.5800,0.471000
2025-01-14,6.4200,6.5500,6.3700,6.5400,71368301,460905330.2900,2.187500
2025-01-15,6.5400,6.6400,6.3700,6.6100,102776300,668567110.1900,1.070300
2025-01-16,6.5500,6.8600,6.5300,6.7400,82778913,557445991.1400,1.966700
2025-01-17,6.7700,6.7900,6.4700,6.5200,79148736,518935342.2400,-3.264100
2025-01-20,6.5200,6.5900,6.3800,6.4100,48787895,315058469.1700,-1.687100
2025-01-21,6.4500,6.4700,6.2400,6.2500,54997742,346942428.2100,-2.496100
2025-01-22,6.2300,6.2500,6.1200,6.2000,43513882,269066448.0900,-0.800000
2025-01-23,6.2300,6.3100,6.1500,6.1500,57378762,357199278.5800,-0.806500
2025-01-24,6.1500,6.2600,6.1000,6.1800,54593844,338359204.2300,0.487800
2025-01-27,6.1600,6.3000,6.1200,6.1200,50086713,309983843.7600,-0.970900
2025-02-05,6.1500,6.2200,6.0200,6.1100,51291030,313767184.5500,-0.163400
2025-02-06,6.0900,6.2800,6.0300,6.2700,70091294,433179696.3500,2.618700
2025-02-07,6.2500,6.6900,6.2300,6.5400,124797713,811828506.4900,4.306200
2025-02-10,6.5500,6.5500,6.3900,6.4400,79740443,512978569.7700,-1.529100
2025-02-11,6.4500,6.4600,6.2700,6.3000,64690481,409252020.3300,-2.173900
2025-02-12,6.3300,6.3800,6.1900,6.3400,61745699,387605586.4900,0.634900
2025-02-13,6.3400,6.3700,6.2700,6.2800,47880292,302625997.9900,-0.946400
2025-02-14,6.2800,6.4800,6.2800,6.3500,64419040,410705771.3700,1.114600
2025-02-17,6.3800,6.4800,6.3100,6.4400,72025312,461808754.6100,1.417300
2025-02-18,6.4700,6.5000,6.2800,6.3100,70329481,450435527.9600,-2.018600
2025-02-19,6.2800,6.4100,6.2300,6.3700,66807752,422400138.7800,0.950900
2025-02-20,6.3500,6.3500,6.2500,6.2800,52953669,333078452.2200,-1.412900
2025-02-21,6.2900,6.3400,6.2200,6.2900,84361997,530431320.7200,0.159200
