date,open,high,low,close,volume,amount,pctChg
2025-01-02,160.6900,163.6000,156.3600,159.3500,2052471,328533473.6900,-1.037100
2025-01-03,160.0300,161.9900,157.9700,159.5500,1456525,232715856.5600,0.125500
2025-01-06,159.0000,161.2900,154.0900,156.8000,1974372,309210595.3500,-1.723600
2025-01-07,156.1700,158.3500,154.1000,156.1800,1000276,156415092.2000,-0.395400
2025-01-08,155.2200,156.7700,151.1300,155.0100,1351535,207987672.1900,-0.749100
2025-01-09,155.0800,161.9800,154.3900,159.2700,1503893,238662251.6200,2.748200
2025-01-10,158.5200,162.3700,157.5800,160.6500,1464554,235216025.8200,0.866500
2025-01-13,159.5000,165.2700,159.0000,163.2000,1424075,231596690.4200,1.587300
2025-01-14,167.2500,179.4900,167.0600,178.6000,3801202,662954851.4900,9.436300
2025-01-15,179.0000,180.9800,173.7000,175.6500,2190908,386675171.8000,-1.651700
2025-01-16,175.0000,179.8000,175.0000,178.5000,2062629,367334183.1500,1.622500
2025-01-17,178.6000,183.8000,177.7700,182.1800,2184554,395174623.3200,2.061600
2025-01-20,183.0200,192.9900,183.0200,187.8000,3299100,622910976.6500,3.084900
2025-01-21,188.6500,191.2900,186.0800,189.7800,1962102,370570271.8400,1.054300
2025-01-22,190.0000,191.8600,186.8600,190.1700,1658667,313818264.5100,0.205500
2025-01-23,191.0000,192.0000,186.9700,187.2500,1856845,351160731.6700,-1.535500
2025-01-24,188.1300,189.7800,186.6400,189.0000,1237584,233306886.3100,0.934600
2025-01-27,189.0000,192.8900,187.8600,190.6900,1470836,280879452.7200,0.894200
2025-02-05,189.0200,195.5900,187.1100,192.8600,2426197,467104301.9700,1.138000
2025-02-06,193.1800,199.3800,191.2900,198.9000,2048852,403058765.7700,3.131800
2025-02-07,197.7000,198.8800,192.2800,195.0000,2512187,489842534.4500,-1.960800
2025-02-10,193.8800,194.2700,189.5700,190.2300,2734848,524027813.7000,-2.446200
2025-02-11,189.6000,193.8000,188.8800,192.1800,1618617,310066405.7200,1.025100
2025-02-12,191.1800,193.3000,190.0200,191.2100,1318037,252313813.2300,-0.504700
2025-02-13,191.4900,193.7600,188.6500,189.0000,1763757,336625199.1600,-1.155800
2025-02-14,190.9900,199.9000,189.5000,197.7400,2730908,538195810.4900,4.624300
2025-02-17,197.9000,203.2700,197.4200,201.5400,2919523,585960915.1500,1.921700
2025-02-18,199.7300,210.0000,199.2000,205.9800,3001770,619056314.0200,2.203000
2025-02-19,205.9700,211.5000,203.7500,206.2800,2348676,488317709.5100,0.145600
2025-02-20,207.1000,210.2000,204.0000,207.0000,2213175,458448838.2300,0.349000
2025-02-21,209.8600,226.3000,209.5000,224.0000,5136834,1130286591.5900,8.212600
2025-02-24,221.7700,227.1900,217.9800,219.7700,3532769,782187528.0200,-1.888400
2025-02-25,218.0000,225.9500,216.6800,220.8800,3091663,685326113.9100,0.505100
2025-02-26,221.0000,230.0000,216.8200,228.2900,3812935,859088938.7900,3.354800
2025-02-27,224.8000,229.0700,220.6100,226.0000,2824469,634824279.1500,-1.003100
2025-02-28,235.0000,248.0000,235.0000,238.4100,5398816,1301638610.2300,5.491200
2025-03-03,234.9000,238.8800,227.8000,237.0000,3852177,906226848.4900,-0.591400
2025-03-04,220.0000,230.5800,216.1100,226.3500,4294510,969452868.9300,-4.493700
2025-03-05,230.9900,237.0400,230.6000,234.4600,2760429,647130161.9000,3.582900
2025-03-06,235.5800,241.0500,231.5500,232.4900,2878364,677363034.0000,-0.840200
2025-03-07,230.2700,237.2000,228.8800,230.2000,2940809,683894584.3600,-0.985000
2025-03-10,231.3700,231.3700,214.5500,218.3800,4350325,953418532.4400,-5.134700
2025-03-11,216.7000,221.6100,216.0600,218.3500,2356944,515131447.3200,-0.013700
2025-03-12,219.1000,220.4800,215.0100,216.3000,1536672,333721731.9100,-0.938900
2025-03-13,217.5000,218.9600,212.1000,213.5600,1583365,340399367.1000,-1.266800
2025-03-14,215.8100,217.7100,212.5000,215.5800,2079027,447868322.4800,0.945900
2025-03-17,217.0000,223.6000,213.5800,218.8000,2276265,498890359.5000,1.493600
2025-03-18,221.7900,225.7700,219.5300,224.2800,2436622,544519706.4400,2.504600
2025-03-19,223.8700,226.9900,220.5000,223.0000,1864187,417452760.6300,-0.570700
2025-03-20,224.0100,229.3300,221.8000,227.6200,1908966,431981994.7100,2.071700
2025-03-21,226.0300,227.9800,219.5000,224.0000,2138311,478480159.0000,-1.590400
2025-03-24,221.0000,228.9700,219.5000,223.0600,2200757,494424910.0100,-0.419600
2025-03-25,223.8000,226.9300,221.6500,222.5800,1588003,355615748.6900,-0.215200
2025-03-26,221.0000,223.6000,217.0000,217.6300,1605875,352738172.8100,-2.223900
2025-03-27,217.0100,233.8500,217.0100,231.6600,3132754,715713611.7500,6.446700
2025-03-28,230.9800,240.7500,230.5600,231.3800,2794727,657304951.1600,-0.120900
2025-03-31,234.1000,242.8100,230.0000,238.8400,3432386,815729816.9300,3.224100
2025-04-01,240.5000,251.2600,236.9900,249.5100,4499144,1110390314.6400,4.467400
2025-04-02,245.5000,254.0000,244.6600,248.2000,3123478,779936692.2100,-0.525000
2025-04-03,248.2200,254.7700,246.9000,250.7800,2775557,692923886.3800,1.039500
2025-04-07,222.0000,232.8000,200.7000,209.0000,5369329,1162309028.3400,-16.660000
2025-04-08,206.0000,223.2800,206.0000,220.0000,5081746,1106769943.9100,5.263200
