date,open,high,low,close,volume,amount,pctChg
2025-01-02,23.3300,23.5400,22.2300,22.4200,18841878,430053939.4100,-3.941700
2025-01-03,22.5500,22.6400,21.9800,22.0500,17828932,398510679.8200,-1.650300
2025-01-06,22.0000,22.2300,21.6100,21.9000,12842938,280981082.6600,-0.680300
2025-01-07,21.9900,22.4600,21.8700,22.3900,13669908,303282154.8000,2.237400
2025-01-08,22.1600,22.6000,21.6900,22.2800,16128609,358365039.4200,-0.491300
2025-01-09,22.1000,22.6700,22.0300,22.3100,13469405,302842420.9900,0.134600
2025-01-10,22.2000,22.7700,21.8600,21.9000,15676889,350428650.3000,-1.837700
2025-01-13,21.6600,22.3400,21.5400,22.2600,12491976,274597564.2200,1.643800
2025-01-14,22.4800,23.3900,22.2000,23.3000,19239337,440351507.9500,4.672100
2025-01-15,23.3300,23.3500,22.6200,22.7200,15902312,365474829.2500,-2.489300
2025-01-16,22.9300,23.3600,22.6200,22.7800,15014522,344356881.3400,0.264100
2025-01-17,22.8800,23.5400,22.6300,23.1600,16079927,372024682.4200,1.668100
2025-01-20,23.3100,23.5200,23.1100,23.1800,11214272,260969884.8500,0.086400
2025-01-21,23.3300,23.4000,22.8600,23.2800,11966485,277198470.7700,0.431400
2025-01-22,23.9400,23.9900,23.3800,23.6400,20701002,490162730.6900,1.546400
2025-01-23,23.9500,25.1800,23.8200,24.1000,35697046,870189830.7100,1.945900
2025-01-24,24.0900,24.4000,23.9200,24.1800,19723441,476627614.2800,0.332000
2025-01-27,24.3400,24.4000,23.2200,23.3000,15672839,372063287.1700,-3.639400
2025-02-05,24.2400,24.3000,23.4800,23.6600,18913086,450660642.6700,1.545100
2025-02-06,23.6400,24.6100,23.3800,24.3600,27328497,658571180.7700,2.958600
2025-02-07,24.4300,24.7700,24.0100,24.3900,28583574,698710578.8900,0.123200
2025-02-10,24.5000,24.5700,24.0200,24.1400,19716555,476842759.4300,-1.025000
2025-02-11,24.1000,24.1400,23.4000,23.6900,18919056,446672787.1700,-1.864100
2025-02-12,23.6400,24.7200,23.3600,24.7000,33116193,800750945.8600,4.263400
2025-02-13,24.7700,24.8700,23.9900,24.0300,21593639,525243523.3400,-2.712600
2025-02-14,23.7200,23.9200,22.9500,23.1000,28052247,654744952.2000,-3.870200
2025-02-17,23.0500,23.7900,22.9700,23.3500,26234462,610524869.8700,1.082300
2025-02-18,23.1300,23.4800,22.6200,22.8500,20345225,469564467.5900,-2.141300
2025-02-19,22.8000,24.1700,22.6600,24.0700,42125407,1002682860.8800,5.339200
2025-02-20,23.9900,24.0100,23.4800,23.6100,22447684,532800879.9400,-1.911100
2025-02-21,23.6000,24.9800,23.3200,24.7000,43536920,1058684898.4800,4.616700
2025-02-24,24.7100,25.1500,24.2000,24.7100,29768248,736400746.4400,0.040500
2025-02-25,24.3200,24.7500,23.9000,24.2500,27348992,665093790.3200,-1.861600
2025-02-26,24.7200,25.0800,24.2100,24.7800,31860756,787453181.1800,2.185600
2025-02-27,24.8500,24.9800,24.0900,24.7600,29568457,724775409.6500,-0.080700
2025-02-28,24.7000,24.8500,23.7400,23.7400,35379318,853930472.8500,-4.119500
2025-03-03,23.8800,23.9400,23.1900,23.4100,19771231,466007707.7600,-1.390100
2025-03-04,23.2100,24.0200,23.0800,23.7400,18169793,428588418.5300,1.409700
2025-03-05,23.7900,23.9500,23.1000,23.4800,16642834,390497558.6300,-1.095200
2025-03-06,23.6300,24.1000,23.6200,23.8100,22755993,543950641.7000,1.405500
