date,open,high,low,close,volume,amount,pctChg
2025-01-02,24.1500,24.5300,23.7900,24.0700,8783741,211999157.2100,-0.290000
2025-01-03,24.1200,24.5900,23.3600,23.4500,7926359,190216499.4600,-2.575800
2025-01-06,23.4300,23.9000,23.1000,23.4800,5993015,141021730.1900,0.127900
2025-01-07,23.4300,23.5400,22.8200,22.9500,4801289,110927611.6900,-2.257200
2025-01-08,23.1000,23.3300,22.4600,22.8200,5579719,127435966.4600,-0.566400
2025-01-09,23.1900,23.1900,22.2300,22.2900,6019360,135558476.9500,-2.322500
2025-01-10,22.0600,22.4500,21.6000,21.6000,6438815,140573199.9000,-3.095600
2025-01-13,21.6000,22.4400,21.3700,21.8600,7041239,154890691.8100,1.203700
2025-01-14,21.8600,22.4900,21.7000,22.3400,9878131,217742653.2700,2.195800
2025-01-15,22.2000,23.6900,21.6800,23.1200,13445112,306699838.1700,3.491500
2025-01-16,23.0700,24.4000,22.7900,24.2000,13319513,317083101.4600,4.671300
2025-01-17,24.2000,24.4000,23.2600,23.2900,8668451,204940740.1800,-3.760300
2025-01-20,23.2900,23.5000,22.1800,22.2700,10259206,231692815.9000,-4.379600
2025-01-21,22.4800,22.4800,20.3000,20.5900,15615629,327643237.1200,-7.543800
2025-01-22,20.4900,20.6100,19.8700,20.4300,9164220,184907531.9400,-0.777100
2025-01-23,20.4800,21.3500,20.4200,20.7800,9975236,208132332.0200,1.713200
2025-01-24,20.8100,21.9000,20.5700,21.3600,10302213,220257303.9800,2.791100
2025-01-27,21.3600,21.8900,21.2000,21.3600,5871418,126126762.8200,0.000000
2025-02-05,21.5000,21.5200,20.7600,20.8200,6926499,145044962.3300,-2.528100
2025-02-06,20.7700,22.0000,20.3600,21.9000,10419405,222023616.9000,5.187300
2025-02-07,21.9000,23.7000,21.8500,23.0000,16553152,380936995.9800,5.022800
2025-02-10,22.8500,22.9900,21.8300,22.1700,12698362,281223236.2200,-3.608700
2025-02-11,22.1000,22.2400,21.3000,21.4500,10092927,217138091.5200,-3.247600
2025-02-12,21.4000,21.8100,21.3400,21.7900,6766610,145850831.7300,1.585100
2025-02-13,21.8100,22.0200,21.5100,21.6100,6980944,152075477.2900,-0.826100
2025-02-14,21.7500,22.2000,21.4300,21.5500,6989441,152375417.1000,-0.277600
2025-02-17,21.5500,21.6400,21.2000,21.3500,8259085,176682668.7800,-0.928100
2025-02-18,21.4200,21.7000,20.6900,20.7900,10527350,223366374.4600,-2.623000
2025-02-19,20.7200,21.4200,20.6500,21.1100,7070394,148755428.4200,1.539200
2025-02-20,21.1500,21.2400,20.7900,20.8500,6616539,138673318.1600,-1.231600
2025-02-21,20.9700,21.3600,20.5200,21.1400,11549837,242233961.5500,1.390900
2025-02-24,21.0900,21.3400,20.6400,21.0900,8508018,179409868.8400,-0.236500
2025-02-25,20.8300,21.6900,20.7500,21.3700,11449931,244046655.7000,1.327600
2025-02-26,21.5000,22.4400,21.2100,22.2500,15128706,330114882.8900,4.117900
2025-02-27,22.4400,22.4900,21.6800,22.0500,11181146,244733630.0700,-0.898900
2025-02-28,22.0400,22.3200,21.3000,21.3800,11212028,244846266.4100,-3.038500
2025-03-03,21.3500,22.6600,21.3400,21.8500,11387351,252030309.0200,2.198300
2025-03-04,21.7100,21.9900,21.3600,21.6100,7229552,155562849.4100,-1.098400
2025-03-05,21.6200,21.9800,20.8600,20.9900,8272425,174990398.0800,-2.869000
2025-03-06,21.1000,21.3800,20.6200,21.1800,10510341,220783629.7200,0.905200
2025-03-07,21.1000,21.4400,20.6000,21.0400,9135608,191430554.2400,-0.661000
2025-03-10,20.9500,21.4600,20.9400,21.4000,8139378,172450117.9600,1.711000
2025-03-11,21.1300,21.6000,20.9600,21.5800,8424494,178883626.1700,0.841100
2025-03-12,21.5800,21.6700,21.1000,21.1100,7015372,149004300.9700,-2.177900
2025-03-13,21.1200,21.1800,20.6200,20.7000,7043510,146935343.5300,-1.942200
2025-03-14,20.7600,21.2000,20.5300,21.1900,7788778,163659070.7300,2.367100
2025-03-17,21.3000,21.8000,21.3000,21.4000,7956226,170956740.8200,0.991000
2025-03-18,21.4000,21.5800,21.1800,21.4000,7948274,169739552.9300,0.000000
2025-03-19,21.2600,21.4500,20.8300,21.0300,7722533,162922810.9500,-1.729000
2025-03-20,21.0900,21.1700,20.7900,20.8200,5193019,108850597.2300,-0.998600
2025-03-21,20.7500,21.0900,20.5800,20.6100,7036362,146303343.0800,-1.008600
2025-03-24,20.6700,20.6900,19.9100,20.1300,7717703,155870287.8700,-2.329000
2025-03-25,20.1000,20.4800,19.9900,20.2800,4838196,97959530.9400,0.745200
2025-03-26,20.2300,20.9000,20.1900,20.6700,6975016,143754688.4900,1.923100
2025-03-27,20.5000,20.6200,20.0800,20.1000,6253531,126562649.0800,-2.757600
2025-03-28,20.1000,20.4200,19.9200,19.9700,4220818,84852977.9100,-0.646800
2025-03-31,19.9500,19.9700,19.3600,19.4000,6094572,119473675.8800,-2.854300
2025-04-01,19.3800,19.6300,19.1100,19.1700,9031399,174244446.8100,-1.185600
2025-04-02,19.1400,19.1500,18.8900,18.9400,9081182,172508752.7800,-1.199800
2025-04-03,18.6600,19.0800,18.6300,18.8500,6140364,115788623.6600,-0.475200
2025-04-07,17.9500,18.1100,16.7500,17.5300,15898226,277665587.5800,-7.002700
2025-04-08,17.9000,18.3900,17.5300,18.3300,13277795,240260461.7500,4.563600
2025-04-09,18.0100,18.5600,17.7100,18.4800,13986434,254555365.6100,0.818300
2025-04-10,18.9400,18.9400,18.3500,18.4800,10951275,203157181.4500,0.000000
2025-04-11,18.4000,18.5800,18.2200,18.5500,7555266,139109659.6400,0.378800
2025-04-14,18.6000,18.8500,18.5300,18.5800,6067422,113255969.6500,0.161700
2025-04-15,18.6500,18.6500,18.1700,18.6500,6647532,122459599.9300,0.376700
2025-04-16,18.6500,18.9900,18.3600,18.9900,7936007,148567561.8900,1.823100
2025-04-17,19.0500,19.0500,18.3800,18.4500,8383087,155646401.7900,-2.843600
2025-04-18,18.3700,18.5900,18.1900,18.4400,3183430,58445667.8100,-0.054200
2025-04-21,18.4600,18.4600,18.0600,18.2100,3792229,69057255.3500,-1.247300
2025-04-22,18.1800,18.3600,18.0000,18.0100,5110682,92666353.7800,-1.098300
2025-04-23,18.1000,18.4100,18.0200,18.0800,5035145,91523769.0300,0.388700
