date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.5700,10.9300,10.5100,10.6400,2211480,23679718.0400,0.377400
2025-01-03,10.6300,10.8000,10.2000,10.3300,1838169,19255653.5300,-2.913500
2025-01-06,10.2600,10.8500,10.0700,10.6600,2549165,26923887.2100,3.194600
2025-01-07,10.5900,10.7900,10.5100,10.7700,1535494,16347107.4900,1.031900
2025-01-08,10.7700,10.8100,10.3800,10.7400,1393165,14799390.7500,-0.278600
2025-01-09,10.8000,10.8000,10.5200,10.5600,1357258,14398507.3200,-1.676000
2025-01-10,10.6700,10.7200,10.4500,10.5600,991702,10521938.7400,0.000000
2025-01-13,10.4800,10.7500,10.3400,10.7500,907307,9624835.1600,1.799200
2025-01-14,10.7700,11.1700,10.7200,11.1100,1965612,21646969.7900,3.348800
2025-01-15,11.1000,11.2000,10.7000,10.7500,2163532,23793901.2900,-3.240300
2025-01-16,10.8000,11.2500,10.7000,11.1500,2970036,32878353.8000,3.720900
2025-01-17,11.1200,11.7300,10.9600,11.6800,3253389,37178647.7900,4.753400
2025-01-20,11.6000,11.8000,11.5400,11.7000,2471817,28853353.0600,0.171200
2025-01-21,11.7600,11.8000,11.3700,11.4700,2057225,23602541.0600,-1.965800
2025-01-22,11.4500,11.5900,11.1100,11.2600,1361279,15358574.3100,-1.830900
2025-01-23,11.2800,11.4400,11.2000,11.2500,1924528,21725254.2700,-0.088800
2025-01-24,11.1900,11.3900,11.1200,11.3500,1580457,17844044.5900,0.888900
2025-01-27,11.4000,11.5900,11.3200,11.4900,1307955,14983108.7100,1.233500
2025-02-05,11.4900,11.6600,11.2300,11.3900,1708400,19485209.6300,-0.870300
2025-02-06,11.3400,11.5700,11.1900,11.4000,2219599,25278823.4900,0.087800
2025-02-07,11.4800,11.5600,11.2000,11.3400,3458742,39464078.1800,-0.526300
2025-02-10,11.3700,11.5900,11.2800,11.4100,2521106,28817945.4400,0.617300
2025-02-11,11.4000,11.5400,11.2300,11.4100,2388125,27119851.5900,0.000000
2025-02-12,11.4100,12.5700,11.3700,12.3800,7484535,90577746.1600,8.501300
2025-02-13,12.3700,12.5600,11.9000,12.3100,4859130,59716426.3500,-0.565400
2025-02-14,12.2800,12.6400,12.1400,12.4600,4608329,57085669.4100,1.218500
2025-02-17,12.4500,12.8500,12.2200,12.4000,4518987,56624760.1700,-0.481500
2025-02-18,12.3600,12.4700,11.8700,11.9000,3465640,42107345.7100,-4.032300
2025-02-19,11.8700,12.0800,11.8200,12.0800,2192144,26304570.5800,1.512600
2025-02-20,12.0900,12.4400,11.9800,12.2200,2880598,35180845.1600,1.158900
2025-02-21,12.1800,12.5500,12.1200,12.4700,3070241,37950439.8200,2.045800
2025-02-24,12.5500,12.6500,12.2200,12.4200,2197577,27089258.5700,-0.401000
2025-02-25,12.2500,12.4900,12.0700,12.1900,1714758,21032468.3300,-1.851900
2025-02-26,12.1600,12.8500,12.0900,12.7300,5006116,62824046.7900,4.429900
2025-02-27,12.7100,13.4600,12.6000,13.2800,6462703,83890565.1800,4.320500
2025-02-28,13.2800,14.0800,13.0100,13.6100,10299200,141512956.7800,2.484900
2025-03-03,13.5700,13.7900,12.9300,13.3000,6206116,83582244.2600,-2.277700
2025-03-04,13.2400,13.7800,13.0300,13.7300,3774483,50791651.1300,3.233100
2025-03-05,13.7300,14.3500,13.5300,14.2500,6118227,85985991.1800,3.787300
2025-03-06,14.1100,15.5000,14.1100,15.5000,7606002,113337967.6500,8.771900
2025-03-07,15.4800,16.1500,15.2100,15.5800,7716516,121234827.4900,0.516100
2025-03-10,15.7500,16.0000,15.3400,15.6300,5116460,80312047.4800,0.320900
2025-03-11,15.6000,15.9600,15.2800,15.7700,3969596,62082551.7500,0.895700
2025-03-12,15.7300,15.8800,14.7900,14.8500,5879319,89005201.9100,-5.833900
2025-03-13,14.6900,15.0500,14.6400,14.9800,3687531,54687274.9600,0.875400
2025-03-14,15.2300,15.2300,14.4000,14.4800,5363226,78269730.5600,-3.337800
2025-03-17,14.4800,15.0000,14.4000,14.8400,5420130,79635550.6900,2.486200
2025-03-18,14.8600,15.3000,14.7300,14.8800,4102768,61367636.0300,0.269500
2025-03-19,14.7200,14.9700,14.4800,14.5600,2735010,40150335.3200,-2.150500
2025-03-20,14.6000,14.6600,14.2300,14.2600,2904642,41584033.3500,-2.060400
2025-03-21,14.2500,14.6600,13.8900,13.9600,3754327,53569018.0300,-2.103800
2025-03-24,14.0800,14.7300,14.0100,14.4400,5528852,79345063.5100,3.438400
2025-03-25,14.4300,14.4400,14.1000,14.2300,3261990,46453452.5000,-1.454300
2025-03-26,14.3500,14.6800,14.2300,14.5000,2483038,35856066.2200,1.897400
2025-03-27,14.5100,14.7100,14.1900,14.3400,3545724,51083845.3000,-1.103400
2025-03-28,14.4900,14.8900,14.3200,14.4400,3298508,48110994.7900,0.697400
2025-03-31,14.5900,15.0100,14.1000,14.9500,6832824,99942058.1300,3.531900
2025-04-01,14.9700,15.4500,14.9700,15.2500,6287170,96088535.0000,2.006700
2025-04-02,15.1900,16.3500,15.1100,16.1600,9897683,157627303.2200,5.967200
2025-04-03,15.8000,16.4300,15.3400,15.5100,7470312,117551456.7100,-4.022300
2025-04-07,14.5300,14.7100,12.4500,12.7900,9955807,134077456.5200,-17.537100
2025-04-08,13.0900,13.5000,12.5100,13.4000,7397492,96318640.8100,4.769400
2025-04-09,13.3000,14.3100,12.5400,13.9900,7606570,103019244.4900,4.403000
2025-04-10,14.4400,14.8800,14.1800,14.5900,6947224,101651504.5200,4.288800
2025-04-11,14.4000,14.8100,14.2000,14.6300,5451811,79484368.9300,0.274200
2025-04-14,14.6400,15.4500,14.6400,15.2700,5659852,85977679.0800,4.374600
2025-04-15,15.2700,15.4800,14.9000,15.4100,4136877,62926359.2900,0.916800
2025-04-16,15.3900,15.6800,14.9500,15.2600,6928357,105889598.9900,-0.973400
2025-04-17,15.2300,16.2600,15.0500,16.0000,7751242,123218279.2800,4.849300
2025-04-18,16.0700,16.3900,16.0000,16.3900,5422264,88118709.4400,2.437500
2025-04-21,16.3600,16.4900,15.9000,16.3900,4767168,77432170.9400,0.000000
2025-04-22,16.3900,16.5100,16.0200,16.0600,2945443,47704334.8400,-2.013400
2025-04-23,16.2100,16.3400,15.6100,15.7000,4836566,77076020.5700,-2.241600
2025-04-24,15.7100,15.9400,15.6300,15.8400,2741949,43295442.1600,0.891700
2025-04-25,15.9300,16.1000,15.3000,15.5800,4412902,68781813.6000,-1.641400
2025-04-28,15.4200,15.8500,14.9500,15.7600,3197456,49512883.1700,1.155300
2025-04-29,15.7000,16.1000,15.5800,15.9900,2601184,41344615.2800,1.459400
2025-04-30,15.9900,16.2200,15.8800,15.9800,2364557,37898644.6900,-0.062500
2025-05-06,16.1200,16.3300,15.6500,15.9900,3269567,51914952.6500,0.062600
2025-05-07,16.0100,16.4500,15.4400,15.6900,5143824,81337916.0000,-1.876200
2025-05-08,15.6400,15.9700,15.4500,15.9000,2983570,46970163.8300,1.338400
2025-05-09,15.8300,16.1800,15.6800,15.7500,2064140,32787576.1300,-0.943400
2025-05-12,15.8200,15.8200,15.1400,15.5800,4003983,61623813.4200,-1.079400
2025-05-13,15.7200,15.8800,15.4100,15.4300,2350386,36714552.2400,-0.962800
2025-05-14,15.4000,15.4800,15.2100,15.2700,1794495,27481423.2900,-1.036900
2025-05-15,15.3000,15.3200,15.0600,15.2000,1327741,20166680.3100,-0.458400
2025-05-16,15.3300,15.5500,15.0600,15.4700,1427069,21941615.9700,1.776300
2025-05-19,15.4600,15.6000,14.9300,15.0000,3157924,47629440.1300,-3.038100
2025-05-20,15.1300,15.4600,15.0500,15.2000,3153085,48166953.0400,1.333300
2025-05-21,15.3000,15.9400,15.1100,15.7500,4069316,63519837.9400,3.618400
2025-05-22,15.7400,15.8300,15.2200,15.2500,3178375,49258069.4000,-3.174600
2025-05-23,15.2300,15.8300,15.0300,15.2400,3277695,50668757.0600,-0.065600
2025-05-26,15.6600,17.4500,15.5000,17.0800,16668382,274940110.8400,12.073500
2025-05-27,17.2000,17.2000,16.6100,17.0800,7273414,123142278.6000,0.000000
2025-05-28,17.2200,18.2000,17.0000,17.9600,10420398,185481333.9800,5.152200
2025-05-29,17.9600,18.7400,17.8500,18.3200,8129467,148840136.7800,2.004500
2025-05-30,18.3200,18.6300,17.9000,18.2300,5857164,107020301.0100,-0.491300
2025-06-03,18.2100,18.4800,17.6400,18.0300,8023782,144730405.3500,-1.097100
2025-06-04,18.0200,18.3800,17.7700,17.8400,3824787,68832678.9800,-1.053800
2025-06-05,17.6000,18.0400,17.5000,17.7200,3805274,67528509.9000,-0.672600
2025-06-06,17.7400,17.9300,17.2700,17.8000,4452309,78712507.5700,0.451500
2025-06-09,17.9900,18.1300,17.4000,18.0500,5249144,93828198.9300,1.404500
2025-06-10,17.9200,18.0500,17.1200,17.4000,6607850,115670006.1200,-3.601100
2025-06-11,17.5200,17.6500,17.1400,17.2900,3374614,58190576.6500,-0.632200
2025-06-12,17.0800,17.2000,16.6000,16.7700,7335864,123520975.8600,-3.007500
2025-06-13,16.6000,16.9300,16.3000,16.3100,5083616,84060547.3600,-2.743000
2025-06-16,16.5800,16.9900,16.2800,16.5700,4868562,80841573.6300,1.594100
2025-06-17,16.6800,16.6800,16.0100,16.1700,3458365,56252799.0800,-2.414000
2025-06-18,16.1700,16.2000,15.9500,16.0800,1839374,29545570.4400,-0.556600
2025-06-19,16.0700,16.6500,16.0700,16.3400,3814073,62373423.3900,1.616900
2025-06-20,16.2000,16.5500,15.7100,15.8200,4229126,67773005.4000,-3.182400
2025-06-23,15.7200,16.1400,15.6600,16.0500,3047818,48490668.2800,1.453900
2025-06-24,16.0000,16.3700,15.9000,15.9800,3595264,57816192.1700,-0.436100
2025-06-25,16.0500,16.1900,15.5800,15.8000,4814558,76193960.0300,-1.126400
2025-06-26,16.0000,16.2200,15.5500,15.7900,3689649,58233173.0400,-0.063300
2025-06-27,15.5600,15.9700,15.5200,15.7500,3172422,49698901.9100,-0.253300
2025-06-30,15.6100,15.8000,15.5000,15.6600,3619990,56599266.1400,-0.571400
2025-07-01,15.6600,16.0900,15.6100,15.9400,4868000,77274992.7900,1.788000
2025-07-02,15.9600,16.2100,15.5800,15.8800,3803032,60078999.9400,-0.376400
2025-07-03,15.8500,16.9100,15.7800,16.6000,8495586,138763493.0700,4.534000
2025-07-04,16.6000,16.8000,16.2000,16.2800,5024569,82276457.4000,-1.927700
2025-07-07,16.2900,16.5900,15.4100,15.5500,6176270,97642997.9800,-4.484000
2025-07-08,15.5400,15.8100,15.5000,15.5300,2905220,45361974.4800,-0.128600
2025-07-09,15.5300,15.7500,15.4200,15.6000,2086673,32608111.3800,0.450700
2025-07-10,15.6900,16.0900,15.6700,15.8300,3909171,61937031.7200,1.474400
2025-07-11,15.9400,17.2900,15.7300,17.1600,10547573,175510087.0900,8.401800
2025-07-14,17.1600,17.9800,16.7300,17.5000,10513588,183354717.2200,1.981400
2025-07-15,17.9000,17.9000,17.5100,17.7500,4695086,83064152.3200,1.428600
2025-07-16,17.7500,17.9500,17.3400,17.8500,4837082,85217138.0800,0.563400
2025-07-17,17.8900,18.3500,17.6100,18.1700,5350826,96326406.8800,1.792700
2025-07-18,18.3200,21.8000,18.2300,21.6100,22415067,451135501.1700,18.932300
2025-07-21,22.0000,23.5000,21.1100,22.5800,25570729,568162199.5000,4.488700
2025-07-22,22.4000,24.6000,22.4000,22.6200,23654629,551649477.3500,0.177100
2025-07-23,20.9800,22.2500,20.0500,22.1100,22507975,481074423.4700,-2.254600
2025-07-24,22.0000,23.0000,21.5700,21.6800,14384547,319100615.9800,-1.944800
2025-07-25,21.7000,21.9200,20.5100,20.8400,10333085,217563441.7700,-3.874500
2025-07-28,20.8400,21.6500,20.6000,21.4700,8008518,169849166.9800,3.023000
2025-07-29,21.4700,22.2900,20.9100,21.6100,9770860,210834917.5500,0.652100
