date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.4300,8.8500,8.2200,8.3100,1551086,13177333.1600,-1.423500
2025-01-03,8.3400,8.4300,7.9100,7.9900,981079,8010285.5300,-3.850800
2025-01-06,8.0400,8.1800,7.7000,8.1200,706504,5675520.8000,1.627000
2025-01-07,8.1500,8.3600,8.0000,8.3600,951096,7795768.0500,2.955700
2025-01-08,8.3500,8.3800,7.9800,8.2500,736540,6060211.7500,-1.315800
2025-01-09,8.2300,8.3300,8.1000,8.2600,548958,4521161.9000,0.121200
2025-01-10,8.3400,8.3400,7.9600,7.9600,558739,4530434.6200,-3.632000
2025-01-13,7.9000,8.1400,7.7300,8.1000,550467,4397781.8900,1.758800
2025-01-14,8.1600,8.5700,8.1600,8.5700,780199,6564657.7800,5.802500
2025-01-15,8.6500,8.7300,8.4700,8.6700,771155,6655237.0300,1.166900
2025-01-16,8.6700,8.7500,8.4200,8.4900,590423,5077694.3300,-2.076100
2025-01-17,8.5400,8.5900,8.4000,8.5300,662776,5633273.8700,0.471100
2025-01-20,8.3100,8.5900,8.2700,8.4700,913020,7701053.6200,-0.703400
2025-01-21,8.5000,8.5600,8.3300,8.3500,609662,5119608.5600,-1.416800
2025-01-22,8.3600,8.3900,8.2100,8.3100,654043,5430553.6600,-0.479000
2025-01-23,8.4000,8.5700,8.3000,8.4400,733194,6204650.9100,1.564400
2025-01-24,8.4300,8.7200,8.2000,8.6700,987054,8434992.8500,2.725100
2025-01-27,8.7100,8.8700,8.6300,8.6300,947250,8292110.1400,-0.461400
2025-02-05,8.6700,8.8500,8.5600,8.7800,994282,8684979.3500,1.738100
2025-02-06,8.6800,9.0400,8.6800,9.0300,757181,6748246.2600,2.847400
2025-02-07,9.0600,9.1700,8.8700,8.9500,747768,6765209.9500,-0.885900
2025-02-10,9.0100,9.1200,8.9400,8.9900,801431,7222609.8800,0.446900
2025-02-11,9.0000,9.0100,8.8500,8.9800,608934,5445952.9100,-0.111200
2025-02-12,8.9800,9.0700,8.8800,9.0600,534472,4809047.6500,0.890900
2025-02-13,9.0600,9.0600,8.7800,8.9000,692170,6157860.1400,-1.766000
2025-02-14,8.8900,9.0200,8.7600,8.9300,941802,8386167.2300,0.337100
2025-02-17,8.9000,9.1600,8.9000,9.1000,955101,8657688.6200,1.903700
2025-02-18,9.0200,9.1800,8.8400,8.8700,1073755,9666252.9700,-2.527500
2025-02-19,8.9800,9.0800,8.8100,8.9900,822712,7395322.5300,1.352900
2025-02-20,9.0500,9.2400,8.9800,9.1300,1153324,10484644.8700,1.557300
2025-02-21,9.1500,9.1500,8.9100,9.0300,1164308,10492169.9600,-1.095300
2025-02-24,9.0900,9.1800,8.9500,9.1600,1237048,11257087.0300,1.439600
2025-02-25,9.1200,9.1600,9.0400,9.0700,818439,7448403.3000,-0.982500
2025-02-26,9.1500,9.2200,9.0800,9.1600,811101,7419100.0600,0.992300
2025-02-27,9.1200,9.2000,8.9500,9.0900,1045233,9473777.6600,-0.764200
2025-02-28,8.9400,9.1600,8.8200,8.8700,941072,8424187.9900,-2.420200
2025-03-03,8.9400,9.1000,8.8600,8.9200,1477280,13280944.2400,0.563700
2025-03-04,9.0400,9.1900,8.8800,9.1300,1482977,13449130.1100,2.354300
2025-03-05,9.1800,9.2300,8.9100,8.9700,1067342,9619616.5500,-1.752500
2025-03-06,8.9800,9.3600,8.9600,9.2800,1789041,16482347.4300,3.456000
2025-03-07,9.2800,9.5600,9.1500,9.1600,1960171,18215965.5600,-1.293100
2025-03-10,9.3200,9.4500,9.2200,9.4200,1984791,18584915.4600,2.838400
2025-03-11,9.3400,9.4100,9.1700,9.3800,1566146,14528013.0700,-0.424600
2025-03-12,9.4000,9.4800,9.3100,9.3700,1145109,10751086.5000,-0.106600
2025-03-13,9.4600,9.4600,9.1200,9.2900,840091,7764515.5000,-0.853800
2025-03-14,9.3400,9.5600,9.1900,9.5400,1289517,12136128.1600,2.691100
2025-03-17,9.6400,9.7400,9.5200,9.6900,2358548,22740196.1700,1.572300
2025-03-18,9.7500,9.8400,9.5800,9.8200,1171058,11423923.7100,1.341600
2025-03-19,9.7700,9.8500,9.6600,9.8200,1485538,14519646.2300,0.000000
2025-03-20,9.7600,10.0300,9.6600,9.9300,1497231,14838341.3000,1.120200
2025-03-21,9.9000,10.0700,9.6300,9.7500,1914528,18822372.7900,-1.812700
2025-03-24,9.8200,9.8300,9.2800,9.4600,1789173,16929820.5800,-2.974400
2025-03-25,9.3100,9.4600,9.1900,9.4500,1773915,16590082.5800,-0.105700
2025-03-26,9.4500,9.8800,9.3000,9.6800,1503829,14638348.8600,2.433900
