date,open,high,low,close,volume,amount,pctChg
2025-01-02,18.6200,18.7400,17.4100,17.6000,2799240,50238019.6100,-5.274500
2025-01-03,17.6800,17.8800,16.8000,16.8000,2611521,45093615.0200,-4.545500
2025-01-06,16.9200,17.2600,16.4000,17.0500,1720010,29216902.8900,1.488100
2025-01-07,16.9400,17.6700,16.9200,17.6700,1296438,22387472.7300,3.636400
2025-01-08,17.4600,18.3800,17.0300,17.9800,2032386,36057577.7000,1.754400
2025-01-09,18.3000,18.9800,18.1200,18.2500,2295164,42513356.9900,1.501700
2025-01-10,18.1200,19.1000,18.0500,18.4600,3896005,72699121.4500,1.150700
2025-01-13,18.3700,18.6100,17.8100,18.2500,2161522,39353880.3300,-1.137600
2025-01-14,18.5900,20.1200,18.3300,19.8200,5547618,108057811.5400,8.602700
2025-01-15,19.8500,22.6000,19.6600,21.1800,11166469,237192057.4200,6.861800
2025-01-16,21.2700,21.7200,20.6800,21.0600,6506181,138191037.3500,-0.566600
2025-01-17,20.9400,21.2900,20.3500,20.9000,3897843,80918334.8200,-0.759700
2025-01-20,21.0000,21.1900,20.5700,20.9500,4203132,87739757.0300,0.239200
2025-01-21,20.9400,21.5200,20.5800,21.4600,5403111,114151958.1000,2.434400
2025-01-22,21.1800,21.1900,20.5900,20.6400,3861119,80290571.3300,-3.821100
2025-01-23,20.7800,21.4500,20.7800,20.8200,4392239,92609698.1700,0.872100
2025-01-24,20.8200,21.6100,20.6100,21.3700,4463760,94484961.3500,2.641700
2025-01-27,21.7700,21.8600,20.5800,20.8200,3675303,77259007.6500,-2.573700
2025-02-05,20.9400,22.1000,20.4000,21.5600,4679337,100637145.4800,3.554300
2025-02-06,21.5000,23.0000,21.3500,22.8600,6669958,149183997.1500,6.029700
2025-02-07,23.0000,24.6100,22.5300,23.2800,8128047,190855106.8900,1.837300
2025-02-10,23.2600,23.4400,22.3900,23.0000,5384922,123239540.4400,-1.202700
2025-02-11,23.0600,24.4700,22.8800,23.5600,6306569,150224024.8000,2.434800
2025-02-12,23.4000,24.0600,22.9400,23.5900,4611398,108210980.8400,0.127300
2025-02-13,23.4500,23.5900,22.4700,22.9000,4483053,102775227.3200,-2.925000
2025-02-14,22.7500,22.9800,21.8300,21.9600,5619482,125405188.3400,-4.104800
