date,open,high,low,close,volume,amount,pctChg
2025-01-02,29.7800,30.1500,28.0000,28.5500,10639235,309446221.8800,-4.515100
2025-01-03,28.5500,28.8000,27.3200,27.5000,9745459,273101088.7600,-3.677800
2025-01-06,27.2700,27.9500,26.5000,26.7900,7130260,192641048.0900,-2.581800
2025-01-07,26.9900,29.3000,26.8000,28.9800,12717423,356605338.2600,8.174700
2025-01-08,28.5600,31.3900,28.2000,30.8900,18477706,545744127.6900,6.590800
2025-01-09,30.0800,30.9700,29.9000,30.4000,12018432,366899961.6700,-1.586300
2025-01-10,30.4000,31.2700,28.9800,28.9900,14133098,428022606.0900,-4.638200
2025-01-13,28.0100,29.1700,27.5700,28.8900,8586140,244129624.9000,-0.344900
2025-01-14,28.9200,31.5800,28.8200,31.2500,17248558,528574523.2000,8.168900
2025-01-15,31.1000,32.1600,30.8700,31.5300,14365246,452637511.8400,0.896000
2025-01-16,31.6800,32.0800,30.7500,31.0700,11820094,370421495.1300,-1.458900
2025-01-17,30.8800,33.0000,30.5000,32.4000,17839406,570607315.1500,4.280700
2025-01-20,32.4000,32.6500,31.7200,32.4000,11523199,370694477.8600,0.000000
2025-01-21,32.5500,34.2000,32.2200,33.3100,15964047,529366828.7700,2.808600
2025-01-22,32.8000,33.1900,31.8000,32.2400,11243531,364778036.8400,-3.212200
2025-01-23,32.6300,33.3900,31.5700,31.6700,12508713,406740685.1100,-1.768000
2025-01-24,31.5100,32.2700,31.2000,32.0500,9258353,295440942.4900,1.199900
2025-01-27,32.2500,32.3900,31.0000,31.0800,8558391,271632036.5400,-3.026500
2025-02-05,31.8900,32.5400,31.0200,31.2400,11295825,357313676.8300,0.514800
2025-02-06,29.0200,30.9200,28.0000,30.5000,21291001,633974258.6300,-2.368800
2025-02-07,30.4000,31.5800,30.1600,30.9000,16759101,517098460.5300,1.311500
2025-02-10,30.8800,31.6200,30.5000,31.0200,11577662,359125552.4200,0.388300
2025-02-11,31.0500,31.0500,29.9000,30.1700,9374568,283024031.5700,-2.740200
2025-02-12,30.1000,31.1500,29.8200,31.1200,12476529,379571818.3900,3.148800
2025-02-13,31.1700,31.1700,29.8000,29.8000,11233827,339221879.5000,-4.241600
2025-02-14,29.7500,29.9800,28.9900,29.3900,7935226,232691637.3500,-1.375800
2025-02-17,29.4900,29.9800,29.3200,29.9200,8412319,249662370.7900,1.803300
2025-02-18,29.9200,30.3800,28.6000,28.7700,9578961,282641118.4100,-3.843600
2025-02-19,28.7100,29.9100,28.5000,29.8300,9190505,272218554.6000,3.684400
2025-02-20,29.7400,29.9400,29.1500,29.6200,6635784,196054471.7100,-0.704000
2025-02-21,29.4700,31.3600,29.4000,31.0000,16012673,488143190.4900,4.659000
2025-02-24,31.5000,31.6300,30.7200,31.1900,13447354,419941502.8200,0.612900
2025-02-25,30.7000,31.8500,30.4000,31.1500,12838716,399532386.8700,-0.128200
2025-02-26,31.2000,32.1300,30.5000,32.1100,16469374,519127312.1800,3.081900
2025-02-27,32.3000,33.7000,31.2800,32.9000,20908669,681630782.4600,2.460300
2025-02-28,32.5100,32.7500,30.7000,30.7600,13797189,432977308.5000,-6.504600
2025-03-03,30.6500,31.2000,29.7000,29.8800,9420115,286881025.1000,-2.860900
2025-03-04,29.8300,32.2800,29.3500,32.0100,17108361,532382541.2800,7.128500
2025-03-05,32.6400,35.9700,32.6400,33.7000,32348418,1109996706.1600,5.279600
2025-03-06,33.7000,34.9300,33.5100,33.9000,20208996,688303876.6600,0.593500
2025-03-07,33.8000,33.8300,32.6700,33.1600,13237064,440987740.1300,-2.182900
2025-03-10,33.2000,33.4500,32.0900,32.5500,10181795,330610544.0400,-1.839600
2025-03-11,31.6300,32.4500,31.3400,32.0600,9823877,313205076.3100,-1.505400
2025-03-12,32.1700,32.5000,31.7600,31.7800,9954168,319947376.6000,-0.873400
2025-03-13,31.7500,31.7700,30.1800,30.5300,11215777,344502019.9900,-3.933300
2025-03-14,30.6000,32.5800,30.4300,32.4600,14081596,444858134.6900,6.321700
2025-03-17,32.2500,32.4600,31.6400,32.2200,8095339,259789983.2600,-0.739400
2025-03-18,32.3200,32.9500,31.9600,32.1000,8314074,268469852.9400,-0.372400
2025-03-19,31.9000,32.1800,31.1900,31.3800,7554156,237917674.4200,-2.243000
2025-03-20,31.3300,31.6800,30.8800,30.9100,5978252,186847294.7200,-1.497800
2025-03-21,30.8000,31.0900,29.9000,29.9000,8038185,244486696.6000,-3.267600
2025-03-24,29.9200,30.5900,29.0200,30.5900,8255038,245887732.1400,2.307700
2025-03-25,30.5900,30.7700,29.5000,29.7000,6302837,189267558.0400,-2.909400
2025-03-26,29.6900,30.2000,29.5800,29.6400,4584438,137055816.1100,-0.202000
2025-03-27,29.6800,30.5900,29.4100,29.9900,6131528,184374711.9300,1.180800
2025-03-28,29.9200,30.2900,29.5100,29.5200,4292827,127884819.1900,-1.567200
2025-03-31,29.3500,29.7700,28.8200,29.5500,5037753,147514784.8400,0.101600
2025-04-01,29.6400,30.1600,29.4000,29.4800,4770648,142018935.0300,-0.236900
2025-04-02,29.3900,29.7600,29.0800,29.2700,4218610,124058150.2000,-0.712300
2025-04-03,29.0400,29.8700,28.9000,29.2600,5079297,149282138.3200,-0.034200
2025-04-07,26.5200,27.9500,23.4100,23.4200,12479982,312326170.7300,-19.959000
2025-04-08,23.5400,24.8400,23.5400,24.3000,9154172,221619468.0400,3.757500
2025-04-09,23.8700,25.6500,22.4500,25.3100,10649038,262266486.8500,4.156400
2025-04-10,26.2600,26.7800,25.8000,25.8400,9028434,237034708.4700,2.094000
2025-04-11,25.5700,28.2800,25.5700,27.3900,13976387,378839122.4000,5.998500
2025-04-14,28.1100,28.4500,27.3100,27.4700,9217460,255283972.9300,0.292100
2025-04-15,27.4500,27.4900,26.8500,27.1500,5758063,155929115.4100,-1.164900
2025-04-16,27.1100,27.5900,26.5000,27.0000,5218288,141164849.6000,-0.552500
2025-04-17,26.7500,27.9300,26.7500,27.2600,6814395,187307050.8600,0.963000
2025-04-18,27.1100,27.5700,26.9000,27.3600,5053257,137481592.1000,0.366800
2025-04-21,27.5000,27.8800,27.1700,27.8700,5511911,152124368.3500,1.864000
2025-04-22,27.7500,28.0600,27.5000,27.8100,5775257,160316366.1000,-0.215300
2025-04-23,28.0000,28.1800,27.7200,27.9400,5851315,163428547.2700,0.467500
2025-04-24,27.9000,27.9000,27.0300,27.2600,6227064,170663989.3300,-2.433800
2025-04-25,27.2500,27.5500,26.9400,27.2500,4053342,110485900.1700,-0.036700
2025-04-28,27.0400,27.3900,26.7100,26.9400,4082530,110290389.2300,-1.137600
2025-04-29,26.8700,27.2500,26.7200,27.1600,3238643,87554793.3800,0.816600
2025-04-30,27.1600,27.8700,27.0900,27.6000,5033946,138989561.8500,1.620000
2025-05-06,27.6600,28.4000,27.6600,28.3600,6897736,194006206.2600,2.753600
2025-05-07,28.6200,28.8700,27.8200,28.1100,6697856,189462374.2600,-0.881500
2025-05-08,28.0200,28.2700,27.9700,28.1900,4124575,116134319.9300,0.284600
2025-05-09,28.1000,28.1300,27.3000,27.3100,4771432,131253218.6600,-3.121700
2025-05-12,27.4700,27.9700,27.3900,27.7000,3810735,105454668.3700,1.428000
2025-05-13,28.0200,28.6900,27.6900,27.7000,6196865,174204386.5700,0.000000
2025-05-14,27.7600,28.1200,27.3900,27.7500,3994640,110782465.2700,0.180500
2025-05-15,27.6700,27.7700,26.9400,26.9400,3915829,106523906.3200,-2.918900
2025-05-16,26.9400,27.2200,26.6500,26.7100,3414975,91820755.8500,-0.853700
2025-05-19,26.7000,27.2000,26.5600,26.9900,2846065,76689949.9800,1.048300
2025-05-20,26.9800,27.2100,26.7300,27.0000,2764586,74784088.1000,0.037100
2025-05-21,26.8600,27.0100,26.5100,26.5100,3623681,96533383.6100,-1.814800
2025-05-22,26.4100,26.9700,26.3200,26.3600,2821204,75065745.5300,-0.565800
2025-05-23,26.3300,26.5000,25.5400,25.6000,4047905,105112181.9500,-2.883200
2025-05-26,25.6000,25.9600,25.4000,25.9200,2571570,66415250.9800,1.250000
2025-05-27,26.1000,26.9500,25.7200,26.3400,4899567,128862980.1400,1.620400
2025-05-28,26.3800,26.5300,25.8800,25.9200,3021792,78968914.2000,-1.594500
2025-05-29,25.9000,26.5500,25.9000,26.5300,3134171,82661646.9900,2.353400
2025-05-30,26.5800,26.5800,25.9000,26.0000,2345211,61247907.2200,-1.997700
2025-06-03,25.8100,26.3800,25.8100,26.0700,1887655,49424090.4900,0.269200
2025-06-04,26.1700,26.3400,26.0300,26.2300,1704356,44694344.7300,0.613700
2025-06-05,26.3300,26.8000,26.1300,26.7000,3427610,90808409.0800,1.791800
2025-06-06,26.6500,26.8000,26.4400,26.6000,2782912,73935975.6300,-0.374500
2025-06-09,26.5600,26.8500,26.4800,26.6700,3069080,81880593.8300,0.263200
2025-06-10,26.6900,26.6900,25.7200,26.0000,4608845,120449896.2300,-2.512200
2025-06-11,26.0000,26.3500,25.9900,26.0300,2405913,62980896.5700,0.115400
2025-06-12,26.0000,26.1500,25.7500,25.8100,2598615,67404049.7600,-0.845200
2025-06-13,25.7300,25.9400,25.2400,25.3300,3348877,85464844.6200,-1.859700
2025-06-16,25.3500,25.6500,25.1000,25.5400,1689243,43086127.0000,0.829100
2025-06-17,25.6700,25.8500,25.4400,25.5900,1872074,47985148.4000,0.195800
2025-06-18,25.6800,25.8700,25.3600,25.7500,2471849,63416547.5300,0.625200
2025-06-19,25.7500,26.2200,25.5100,25.5900,3580551,92664372.9400,-0.621400
2025-06-20,25.6800,25.9500,25.2700,25.2900,2176993,55611587.3500,-1.172300
2025-06-23,25.3100,25.8900,25.1500,25.8600,3511511,90213603.9700,2.253900
2025-06-24,25.9500,26.6300,25.9100,26.5700,4756694,125724355.0300,2.745600
2025-06-25,26.6000,26.9700,26.4200,26.9300,5655742,151181339.9300,1.354900
2025-06-26,27.0600,27.0600,26.5600,26.6300,4213347,112930072.3200,-1.114000
2025-06-27,26.8400,27.2100,26.6100,26.9100,4733372,127677182.7800,1.051400
2025-06-30,27.0900,27.5300,26.9300,27.1000,4473808,121621374.1000,0.706100
2025-07-01,27.1200,27.4500,26.8500,27.1300,3912830,106366122.7800,0.110700
2025-07-02,27.0500,27.0900,26.3600,26.5800,4091691,108744732.2200,-2.027300
2025-07-03,26.7000,26.7500,26.4500,26.5700,2694271,71678595.9100,-0.037600
2025-07-04,26.5800,26.8400,26.0300,26.3600,4405289,116276378.0200,-0.790400
2025-07-07,26.3100,26.5400,26.2100,26.3100,2147040,56544005.3300,-0.189700
2025-07-08,26.3100,26.7700,26.2500,26.6900,2946968,78415987.0200,1.444300
2025-07-09,26.5600,26.7600,26.3700,26.4900,2402351,63890643.4000,-0.749300
2025-07-10,26.5000,26.7400,26.3100,26.5800,2108954,55940138.2000,0.339800
2025-07-11,26.5800,27.0700,26.3000,26.9000,4410608,118404664.5900,1.203900
2025-07-14,26.9200,27.0400,26.7600,26.9500,2878902,77453154.0000,0.185900
2025-07-15,26.9900,27.0700,26.4400,26.8500,3447807,92137557.8900,-0.371100
2025-07-16,26.8800,27.5200,26.7000,27.1700,4614398,125558441.7000,1.191800
2025-07-17,26.9200,27.0700,26.6900,26.9600,3010530,80949045.9400,0.148600
2025-07-18,26.9500,27.2700,26.7600,27.0100,3217838,86800890.5500,0.185500
2025-07-21,27.0500,27.2300,26.9200,27.1900,3387146,91922570.8300,0.666400
2025-07-22,27.1200,27.3700,26.9100,27.1300,3991869,108457978.1800,-0.220700
2025-07-23,26.9000,27.6500,26.8800,27.4000,6383862,174613361.1900,0.995200
2025-07-24,27.4500,27.8700,27.3500,27.7900,6224662,172138984.4100,1.423400
2025-07-25,27.9000,28.5700,27.6000,28.4800,8123782,227789279.2200,2.482900
2025-07-28,28.6500,28.7400,28.1900,28.3400,6224216,176677783.7700,-0.491600
2025-07-29,28.1300,28.4500,28.0800,28.2300,5752981,162407000.8100,-0.388100
2025-07-30,28.2200,29.5000,27.8300,28.9900,11979847,342717405.7500,2.692200
2025-07-31,28.6500,29.2000,28.2500,28.3800,8814064,253791506.4100,-2.104200
2025-08-01,28.3500,28.7000,27.8300,28.0700,5723374,161469762.4500,-1.092300
2025-08-04,27.9700,28.4800,27.7700,28.4100,5020881,141986819.5600,1.211300
2025-08-05,28.5000,28.5700,28.1300,28.3000,4384987,124028224.9000,-0.387200
2025-08-06,28.3100,28.9700,28.0300,28.8300,6276485,178585694.4100,1.872800
2025-08-07,28.8200,29.6000,28.5900,29.2400,10455579,304770221.1200,1.422100
2025-08-08,29.2300,29.2300,28.2800,28.2800,7811021,223004648.4600,-3.283200
2025-08-11,28.3000,28.9600,28.3000,28.8800,6074272,174392208.0900,2.121600
2025-08-12,28.8000,29.4300,28.5300,29.0500,7726650,223879704.7500,0.588600
2025-08-13,29.0700,29.5000,29.0100,29.3400,8406251,246118078.4300,0.998300
2025-08-14,29.3500,29.9600,28.7000,28.7100,12315507,361745866.7900,-2.147200
2025-08-15,28.5000,29.6100,28.4700,29.5000,9714472,284032535.2800,2.751700
2025-08-18,29.6900,30.4500,29.3400,30.2600,13239494,397690137.3300,2.576300
2025-08-19,30.3100,30.4700,29.8000,30.0200,8263138,248736335.6000,-0.793100
2025-08-20,29.8900,30.8900,29.3900,30.8900,11279916,340194816.0800,2.898100
2025-08-21,30.8700,31.2900,30.0500,30.2600,10507069,321069002.7000,-2.039500
2025-08-22,30.3100,31.5400,30.2700,31.2800,14698459,455893174.8100,3.370800
2025-08-25,31.6900,33.9800,31.0600,32.5300,22473666,728333136.3700,3.996200
2025-08-26,32.0000,32.5300,31.6100,32.0700,11788657,377737744.3900,-1.414100
2025-08-27,32.0000,34.6800,31.8800,32.6300,23221640,773605615.1200,1.746200
2025-08-28,33.2000,33.9500,32.2900,33.8300,20737370,689757280.7000,3.677600
2025-08-29,33.8700,33.8700,32.4700,32.9000,13354494,439304647.2600,-2.749000
2025-09-01,33.8000,35.5500,33.6800,34.9800,20918861,724774542.5100,6.322200
2025-09-02,34.8000,34.8100,32.3700,32.6300,17924569,596496963.4800,-6.718100
2025-09-03,32.6400,33.1800,31.6300,31.8100,12663938,409356084.4400,-2.513000
2025-09-04,31.8200,32.2000,29.4900,29.9900,14258583,439141757.7000,-5.721500
2025-09-05,30.1600,31.7400,29.9300,31.5700,10153402,313236873.3600,5.268400
2025-09-08,31.5500,32.0700,31.0100,31.9900,9110645,286813923.8300,1.330400
2025-09-09,31.7200,31.7200,30.5200,30.7200,8223519,255614246.3300,-3.970000
2025-09-10,30.7600,31.6600,30.7600,30.9500,6891566,215052820.4600,0.748700
2025-09-11,30.9000,32.8500,30.5500,32.7500,12948560,414914441.7600,5.815800
2025-09-12,32.7500,33.6500,32.4500,33.0700,12081647,400997178.4400,0.977100
2025-09-15,33.8800,34.0000,32.7000,32.8500,10466376,348129121.8100,-0.665300
2025-09-16,32.8000,33.7800,32.7500,33.5900,9356126,312919123.0700,2.252700
2025-09-17,33.5000,34.1600,33.1000,33.7400,9230858,310808938.7600,0.446600
2025-09-18,33.6600,36.2500,33.5800,34.4300,22255833,774790469.7000,2.045100
2025-09-19,34.8200,35.4000,33.5700,34.0300,15185519,522852615.9700,-1.161800
2025-09-22,34.0300,34.6500,33.5600,34.5300,9829573,336712275.0400,1.469300
2025-09-23,34.5300,34.6700,32.7000,33.8800,13874953,464623652.8500,-1.882400
2025-09-24,33.9200,39.6000,33.5100,37.9400,31248017,1150410016.5800,11.983500
2025-09-25,38.0000,41.1800,37.9500,39.9600,29792124,1187854422.8800,5.324200
2025-09-26,39.9700,41.1900,39.2600,39.9900,22861017,917967859.5700,0.075100
2025-09-29,39.8000,39.9100,38.2700,38.8600,18786560,729378334.8900,-2.825700
2025-09-30,39.1900,40.1900,38.5800,39.0400,16471626,645683529.3800,0.463200
2025-10-09,39.0500,42.6000,39.0500,40.9600,23604073,956248008.2200,4.918000
