date,open,high,low,close,volume,amount,pctChg
2025-01-02,200.9900,201.5000,190.5000,193.0000,1276452,249799483.0500,-4.170800
2025-01-03,193.5100,195.3300,183.0000,183.0000,1066540,201834173.8600,-5.181300
2025-01-06,187.8000,203.6600,183.0000,194.4000,2271427,446227410.3200,6.229500
2025-01-07,194.3900,210.6600,194.0100,209.6900,1973066,401287317.3200,7.865200
2025-01-08,207.3000,215.6200,204.2000,212.1100,1539995,321916848.9200,1.154100
2025-01-09,209.8900,223.5800,209.8900,220.1000,1616631,354826216.1200,3.766900
2025-01-10,222.1000,245.8000,219.0800,228.1100,2025394,476312717.8400,3.639300
2025-01-13,220.0000,273.7000,216.0000,262.8500,3148574,771082002.3200,15.229500
2025-01-14,256.0000,268.0600,252.0200,268.0600,2701119,704157377.0200,1.982100
2025-01-15,262.6700,268.5000,247.0000,261.9800,2027192,520315806.9600,-2.268100
2025-01-16,267.9900,275.0000,251.8800,259.9000,2001533,526478110.7100,-0.794000
2025-01-17,255.3800,275.7200,248.3800,260.4000,1788738,466482921.2800,0.192400
2025-01-20,259.0000,260.0000,249.4800,251.3200,1454456,367419768.2700,-3.486900
2025-01-21,251.3000,255.0000,245.0500,254.6200,1275128,319596612.9400,1.313100
2025-01-22,251.9000,256.7200,245.0000,249.8000,1110066,276828400.8900,-1.893000
2025-01-23,253.5000,270.7700,246.0000,258.0000,1931965,503928984.9000,3.282600
2025-01-24,251.0000,265.6000,251.0000,260.4200,1109693,287995875.3600,0.938000
2025-01-27,260.4000,261.0000,235.6000,235.9800,1498846,364419209.5900,-9.384800
2025-02-05,235.9800,249.6600,235.9800,244.6300,1102949,269777404.2200,3.665600
2025-02-06,244.1400,270.0000,242.1500,262.9600,1732922,455114467.9600,7.492900
2025-02-07,263.5800,273.0000,258.0000,262.8000,1506372,401500727.2000,-0.060800
2025-02-10,262.0100,275.0000,257.8100,272.0500,1620293,433272902.2900,3.519800
2025-02-11,272.0500,285.8600,267.1000,282.6100,1546276,431731136.3500,3.881600
2025-02-12,279.7900,282.9800,272.2000,276.8600,1153707,318456060.9600,-2.034600
2025-02-13,275.0500,275.0500,248.0000,255.0000,2160223,550946616.4100,-7.895700
2025-02-14,249.0000,251.1300,236.7600,240.4900,1669784,402923747.1100,-5.690200
2025-02-17,240.0000,243.8800,234.3000,234.8100,1966993,466644374.4000,-2.361800
2025-02-18,234.3000,242.7700,228.0200,228.9000,1561355,369935838.4900,-2.516900
2025-02-19,226.0000,238.8800,226.0000,236.9800,1612654,379719243.0600,3.529900
2025-02-20,236.5000,239.0900,230.8900,234.1200,923874,216678845.5300,-1.206900
2025-02-21,229.8100,241.8700,229.8100,239.7500,1349908,321476168.7600,2.404700
2025-02-24,241.5000,255.8800,240.9300,243.5900,1669843,413273697.9200,1.601700
2025-02-25,241.0000,279.3000,238.1300,276.7600,3406922,899189903.4600,13.617100
2025-02-26,268.9000,272.9500,263.5000,268.1000,1573544,421423899.7600,-3.129100
2025-02-27,266.0100,273.8100,253.3800,260.4000,1425894,373208350.7800,-2.872100
2025-02-28,255.0000,262.0000,238.0000,239.3000,1373473,334940264.7500,-8.102900
2025-03-03,239.2900,266.8800,225.0000,251.0000,2601607,635162543.1200,4.889300
2025-03-04,242.5000,275.0000,233.8100,271.2900,2650591,675407122.0200,8.083700
2025-03-05,270.0000,270.9300,258.0000,266.6200,1610273,426258769.3500,-1.721400
2025-03-06,266.0000,297.5000,260.9600,295.5000,2382862,676482304.8300,10.831900
2025-03-07,286.0000,296.0000,281.5100,287.0000,1427205,411156089.8100,-2.876500
2025-03-10,303.0000,342.0000,294.9000,295.9000,2821265,877490898.1900,3.101000
2025-03-11,287.6200,289.0000,274.0000,278.0000,1788881,504294394.7500,-6.049300
2025-03-12,281.9600,288.8000,275.2400,275.2800,1307574,366823126.3700,-0.978400
2025-03-13,270.5100,276.2400,267.0000,271.6900,882934,239323984.8900,-1.304100
2025-03-14,268.0800,275.0000,265.1000,269.2000,907433,245613722.5200,-0.916500
2025-03-17,267.0000,275.7200,261.1000,272.8100,1025041,276397836.0100,1.341000
2025-03-18,271.0100,278.0000,270.8700,273.5900,777039,212375140.1800,0.285900
2025-03-19,272.0000,272.0000,258.0000,258.0000,979215,257858819.5200,-5.698300
2025-03-20,257.0000,266.8800,255.0000,258.0200,939391,246246806.5500,0.007800
2025-03-21,258.0200,269.8000,255.5200,266.0100,948215,250040438.1200,3.096700
2025-03-24,264.8800,285.0000,264.8800,275.9800,1392565,384608092.9900,3.748000
2025-03-25,273.4000,282.6000,265.0100,270.0800,974747,266220908.6300,-2.137800
2025-03-26,268.0000,274.9900,266.0200,268.4100,583625,157329243.8300,-0.618300
2025-03-27,265.0100,295.7000,256.0000,284.0000,1681581,466868311.2700,5.808300
2025-03-28,280.0300,288.0000,264.0000,264.5000,1236416,338779766.7900,-6.866200
2025-03-31,263.0000,264.5200,253.5000,258.6600,801970,208022362.8400,-2.207900
2025-04-01,262.4300,278.3000,262.0000,269.6200,1046100,283096602.6600,4.237200
2025-04-02,267.0000,270.9000,262.0900,269.0900,643034,171606445.3400,-0.196600
2025-04-03,266.0000,278.3100,262.8600,273.0000,860005,235958846.6200,1.453000
2025-04-07,259.0000,279.9800,235.0200,242.0000,1263999,328254726.6000,-11.355300
2025-04-08,245.0000,254.9000,230.5900,245.0000,1066889,260399882.2500,1.239700
2025-04-09,235.0400,278.0000,226.0800,268.2000,1317103,339327202.7400,9.469400
2025-04-10,267.9000,274.9900,265.0600,268.5500,995879,268826408.1400,0.130500
2025-04-11,266.6000,290.0000,264.8800,281.4500,1483859,415126136.7100,4.803600
2025-04-14,281.2900,307.7800,278.8000,301.5900,1519120,453545241.9900,7.155800
2025-04-15,298.0000,302.0000,287.0000,291.7000,976439,286461147.9600,-3.279300
2025-04-16,291.7000,309.9800,284.0200,289.9200,1276200,379351306.1700,-0.610200
2025-04-17,288.0000,325.8800,283.8000,308.0000,1677990,512159690.8200,6.236200
2025-04-18,306.0000,309.0000,291.5000,294.5500,992289,296027907.8000,-4.366900
2025-04-21,294.2600,298.9900,283.3800,292.9900,977014,282469669.3400,-0.529600
2025-04-22,291.0000,306.0000,288.8800,303.9100,1196450,358226481.8200,3.727100
2025-04-23,300.0200,302.5900,289.0000,295.3100,1134162,334244188.7500,-2.829800
2025-04-24,292.0400,292.0400,276.1100,278.3000,1012622,286544153.5000,-5.760000
2025-04-25,276.9100,301.0000,274.5000,295.0100,1513537,439344893.4800,6.004300
2025-04-28,294.0100,299.8900,288.9500,290.8800,847484,247857005.8500,-1.400000
2025-04-29,290.8200,293.5200,283.8800,288.3500,712038,205654350.5900,-0.869800
2025-04-30,300.0000,306.0100,292.0500,292.4500,1059260,316551867.4200,1.421900
2025-05-06,291.5300,306.5000,291.5300,302.5000,983588,295146649.0100,3.436500
2025-05-07,310.7000,332.0000,294.1200,302.0000,2046239,644340510.7200,-0.165300
2025-05-08,297.7000,301.8800,290.5100,294.2800,1207204,353743031.0900,-2.556300
2025-05-09,291.2000,292.7000,280.8600,284.8600,1169962,333945099.8600,-3.201000
2025-05-12,287.0000,288.0000,281.7300,283.2200,872172,247176005.0300,-0.575700
2025-05-13,284.9800,289.6600,277.3100,278.6500,922723,261402924.7100,-1.613600
2025-05-14,280.0000,287.8000,277.6800,283.0000,791533,223082977.8000,1.561100
2025-05-15,282.9800,283.0000,272.1000,274.5000,650244,179777588.9300,-3.003500
2025-05-16,274.0000,276.7900,270.0000,270.3700,674144,183842066.6200,-1.504600
2025-05-19,269.6000,279.9700,265.8800,277.5000,956096,262705121.6600,2.637100
2025-05-20,274.7000,282.0000,274.3000,277.8000,570922,158704175.5000,0.108100
2025-05-21,276.0000,277.4300,268.5000,270.1000,711903,193719611.2000,-2.771800
2025-05-22,271.1400,272.4300,266.3800,266.5600,448900,120674467.9000,-1.310600
2025-05-23,268.3500,273.5100,266.0300,267.0000,537386,144788636.1200,0.165100
2025-05-26,270.0000,278.6000,268.1000,275.7500,903747,248354239.9700,3.277200
2025-05-27,275.7500,277.0000,262.0100,263.4600,784760,210168883.3500,-4.456900
2025-05-28,262.8000,266.0000,248.0800,250.4800,1028555,262698817.2000,-4.926700
2025-05-29,250.8900,255.0000,246.8900,253.9900,973427,245301896.5500,1.401300
2025-05-30,251.9000,251.9000,238.2200,238.8700,1181145,286065638.6300,-5.953000
2025-06-03,237.0000,249.7600,237.0000,245.1900,994104,244312567.2600,2.645800
2025-06-04,243.1500,248.6000,242.9100,244.1000,458548,112351704.4300,-0.444600
2025-06-05,244.6400,259.8000,241.0000,257.7000,1285310,324718962.2100,5.571500
2025-06-06,259.8800,259.8800,253.0200,255.5800,807970,206037894.7700,-0.822700
2025-06-09,255.0000,255.9600,246.0000,255.6200,824934,207546440.8800,0.015700
2025-06-10,257.0000,257.0000,244.5000,247.2200,963466,239324600.3600,-3.286100
2025-06-11,245.0600,248.9500,242.8800,246.5900,545297,134147594.0900,-0.170000
2025-06-12,246.6700,255.3000,243.8900,251.2000,832925,209119709.6700,1.869500
2025-06-13,250.0200,254.8700,247.2900,248.9900,565265,141875036.3500,-0.879800
2025-06-16,248.8000,259.6700,246.0200,254.0000,916273,232958807.6100,2.012100
2025-06-17,254.3700,255.8800,248.0000,250.3600,535043,134495130.2300,-1.433100
2025-06-18,249.5900,254.7000,248.5000,253.2000,532315,134378340.3000,1.134400
2025-06-19,252.0000,258.9000,251.1000,253.0400,707050,180347964.2700,-0.063200
2025-06-20,258.0400,264.8800,256.1000,261.9200,1075062,280551754.3200,3.509300
2025-06-23,258.1800,282.2000,257.7400,274.8900,1895943,523247405.5800,4.951900
2025-06-24,273.0200,279.9800,273.0000,275.4000,942053,259666556.7200,0.185500
2025-06-25,274.4000,282.5000,274.4000,281.5500,1018819,284092912.8400,2.233100
