date,open,high,low,close,volume,amount,pctChg
2025-01-02,193.2500,196.2700,188.1700,192.5000,1106387,212485437.9700,0.401600
2025-01-03,192.4700,193.8800,187.6700,190.5600,940472,179282594.3700,-1.007800
2025-01-06,187.0000,196.5000,187.0000,193.0300,876432,169479996.6800,1.296200
2025-01-07,192.0000,192.0000,185.5000,187.9000,712975,133561238.3300,-2.657600
2025-01-08,188.0000,191.9800,185.0000,189.0400,662651,124934583.7200,0.606700
2025-01-09,188.5100,196.0800,186.2500,192.7000,647086,124865114.1400,1.936100
2025-01-10,194.0000,196.0000,177.3500,179.6000,1631834,298254670.6000,-6.798100
2025-01-13,179.6000,188.7000,176.1600,187.0400,1258021,232744482.4300,4.142500
2025-01-14,184.5100,193.5300,184.3300,193.3200,1077015,203657732.4900,3.357600
2025-01-15,194.0000,196.6000,187.0100,188.5800,635940,121596322.4900,-2.451900
2025-01-16,186.0000,195.8800,186.0000,193.9000,836184,161447192.4200,2.821100
2025-01-17,195.9000,198.5000,191.8000,192.5800,821305,159905379.4700,-0.680800
2025-01-20,193.9000,202.9000,193.2500,195.5800,995389,196997894.5200,1.557800
2025-01-21,198.0000,199.5000,193.0300,193.7100,779283,152598216.4700,-0.956100
2025-01-22,192.0000,197.0000,192.0000,196.5200,654600,127827086.5800,1.450600
2025-01-23,198.8800,200.4200,193.7800,199.6900,859665,169806590.4700,1.613100
2025-01-24,198.0000,199.5600,190.1800,194.7200,1005044,195059996.4600,-2.488900
2025-01-27,194.6400,196.2300,189.2100,192.8300,870183,167275331.7900,-0.970600
2025-02-05,191.8700,192.8100,180.0200,182.4300,1091404,199815161.2100,-5.393400
2025-02-06,182.0000,184.9500,176.5000,181.5600,1863176,333636244.5500,-0.476900
2025-02-07,181.0600,186.0000,177.5000,180.8100,1955227,353329400.2900,-0.413100
2025-02-10,181.7300,182.8600,178.1000,178.4700,1585493,284573477.0800,-1.294200
2025-02-11,178.4000,188.9600,173.9100,188.8800,2140730,390289218.7500,5.832900
2025-02-12,189.0200,195.8800,187.1100,191.3000,1736441,333239512.4900,1.281200
2025-02-13,191.3000,194.3100,184.2200,184.2200,1340338,251340669.6400,-3.701000
2025-02-14,183.9700,185.5700,177.8900,182.6600,1623107,293414726.6100,-0.846800
2025-02-17,182.8600,185.2000,179.8800,181.2200,981476,178202013.4100,-0.788300
2025-02-18,181.3000,189.9900,178.5600,187.9000,1639484,306177750.2300,3.686100
2025-02-19,187.8900,187.8900,181.5400,183.3000,1161084,213287000.5800,-2.448100
2025-02-20,183.3000,188.7000,182.0100,183.3500,870374,161177186.3900,0.027300
2025-02-21,185.0000,213.1300,184.5000,209.4300,3186350,636134195.8700,14.224200
2025-02-24,209.0000,214.0000,203.1500,210.0400,1501783,315666099.2500,0.291300
2025-02-25,208.9800,218.9800,207.2900,211.5300,1344967,287629240.9700,0.709400
