date,open,high,low,close,volume,amount,pctChg
2025-01-02,98.8000,100.0200,93.5000,95.0200,2254208,218535791.6300,-4.020200
2025-01-03,95.5100,96.5300,89.0000,89.3100,2071771,191923242.9500,-6.009300
2025-01-06,88.9800,90.3500,82.9600,84.4700,2147733,184372459.3800,-5.419300
2025-01-07,85.4900,88.1800,83.7600,87.6100,1749262,149727335.7400,3.717300
2025-01-08,87.3400,90.9000,84.0100,89.0000,2001782,175134473.4500,1.586600
2025-01-09,87.7000,90.4000,86.5300,87.2300,1544072,136537083.2500,-1.988800
2025-01-10,86.5000,91.9000,85.2300,85.4700,2150906,192283170.3700,-2.017700
2025-01-13,84.6200,86.9800,82.7100,86.3000,1370676,116846499.0600,0.971100
2025-01-14,86.3100,90.3400,85.4100,89.8000,2156649,191224062.3600,4.055600
2025-01-15,88.9900,91.2900,88.6800,89.7800,1396270,125686374.8500,-0.022300
2025-01-16,90.9000,91.9700,87.3800,88.5400,1407604,125894327.2400,-1.381200
2025-01-17,88.4900,92.7700,86.6100,90.4600,1787746,160423172.3700,2.168500
2025-01-20,91.2000,91.9500,89.5300,90.5500,1270673,115202373.6800,0.099500
2025-01-21,90.9800,93.5600,88.6800,92.5000,1776153,162629647.1300,2.153500
2025-01-22,91.2100,92.5000,86.5300,88.8600,2388196,212472362.3300,-3.935100
2025-01-23,90.0000,95.8700,89.1000,91.4500,3041965,284024273.6100,2.914700
2025-01-24,91.4500,96.4500,91.0000,94.0000,2515314,237775680.1500,2.788400
2025-01-27,92.0000,92.8900,88.4400,88.6000,2007248,181159833.3500,-5.744700
2025-02-05,90.0200,92.6600,88.9000,91.9100,1784524,162411727.7900,3.735900
2025-02-06,91.5000,103.8400,91.0200,102.2600,4321906,426118255.2500,11.261000
2025-02-07,103.2700,109.6800,101.6100,103.0200,5298338,558991893.6900,0.743200
2025-02-10,103.0000,107.0000,102.1000,106.0900,2582117,271214885.2200,2.980000
2025-02-11,105.9900,109.1900,101.6100,106.9400,3214414,338988683.3200,0.801200
2025-02-12,107.5300,112.2900,104.0500,111.0000,3330606,361775730.7000,3.796500
2025-02-13,110.0000,119.1900,109.5600,115.0200,4199312,482051756.3600,3.621600
2025-02-14,113.7000,114.0800,109.5200,112.8000,2535379,283810703.3800,-1.930100
2025-02-17,112.9900,114.6100,109.3300,111.4800,2150889,240048458.9000,-1.170200
2025-02-18,110.3700,112.9900,106.4800,107.0000,1609619,176457566.0500,-4.018700
2025-02-19,106.7800,120.0000,106.1700,115.5600,3024008,347406827.6600,8.000000
2025-02-20,115.0000,116.6900,111.5100,112.0000,1650954,187469716.9400,-3.080700
2025-02-21,112.2000,118.6600,110.4800,117.1200,2140421,247066531.7800,4.571400
2025-02-24,117.0000,117.0000,111.0100,112.2200,2177894,247785319.2000,-4.183700
2025-02-25,109.8000,119.8000,109.0000,117.5000,2620293,300621992.9600,4.705000
2025-02-26,117.5000,122.6900,116.1000,120.7500,2685877,320544455.5700,2.766000
2025-02-27,120.0000,122.5500,111.8800,114.1600,2635819,306439939.9600,-5.457600
2025-02-28,113.7000,114.4700,102.6700,104.2700,2918295,316152074.1500,-8.663300
2025-03-03,104.5000,107.4600,101.3400,104.7500,1779921,186749832.7400,0.460300
2025-03-04,103.8500,111.6600,102.9500,109.5900,1763394,189970746.8000,4.620500
2025-03-05,109.1600,111.9000,107.7000,109.5500,1123989,123239976.9600,-0.036500
2025-03-06,110.8000,113.3300,110.2300,110.7700,1329514,148325434.4400,1.113600
2025-03-07,110.0500,110.6700,105.5000,106.8500,1187917,128216421.9400,-3.538900
2025-03-10,106.8600,110.5000,106.1200,108.2600,1413725,153217377.5900,1.319600
2025-03-11,106.9900,113.8300,106.8000,110.6000,1551144,172149350.0300,2.161500
2025-03-12,111.4300,121.6600,111.0000,114.9200,2318790,272229531.9600,3.906000
2025-03-13,114.4400,116.5000,106.0200,106.7100,1734142,189695318.1700,-7.144100
2025-03-14,105.8800,109.8000,105.0000,108.5100,1219689,131614186.3500,1.686800
