date,open,high,low,close,volume,amount,pctChg
2025-01-02,15.0900,15.0900,14.4800,14.5900,3452820,51177384.9800,-4.013200
2025-01-03,14.5600,14.8800,14.2800,14.3900,3267699,47756510.9000,-1.370800
2025-01-06,14.4600,14.5500,14.1000,14.2800,3702255,52717418.8500,-0.764400
2025-01-07,14.3300,14.3500,13.7900,14.2000,3448473,48505503.1800,-0.560200
2025-01-08,14.1200,14.3100,13.7100,14.1500,2309573,32497990.3900,-0.352100
2025-01-09,14.1500,14.3500,14.0200,14.1500,2741996,38899455.7400,0.000000
2025-01-10,14.1600,14.2900,13.6200,13.6200,2992636,41525594.2300,-3.745600
2025-01-13,13.5200,13.8400,13.4000,13.7800,2011206,27442573.2000,1.174700
2025-01-14,13.7400,14.4400,13.7400,14.3500,3309401,47021331.2400,4.136400
2025-01-15,14.3400,14.3700,14.0500,14.0900,2081802,29474053.3800,-1.811800
2025-01-16,14.1200,14.3500,13.9100,14.0000,1745391,24635801.5800,-0.638800
2025-01-17,14.0000,14.1900,13.8800,14.0400,1708471,23948477.1200,0.285700
2025-01-20,14.1000,14.5600,14.0800,14.5100,3185465,45919781.6300,3.347600
2025-01-21,14.4900,14.5800,14.3200,14.5200,2211793,31937821.6100,0.068900
2025-01-22,14.4800,14.5200,14.3000,14.3500,1830643,26331544.3200,-1.170800
2025-01-23,14.4100,14.6700,14.2800,14.2800,3113569,45127317.9100,-0.487800
2025-01-24,14.2700,14.5400,14.2000,14.5200,2050577,29544526.5900,1.680700
2025-01-27,14.4100,14.7000,14.4000,14.4500,3065922,44593506.9800,-0.482100
2025-02-05,14.4300,14.7600,14.3600,14.6400,3802098,55465646.3000,1.314900
2025-02-06,14.5800,15.0000,14.5000,14.9500,3252518,48054031.6700,2.117500
2025-02-07,14.8800,15.0900,14.8300,14.9600,3659949,54831154.5100,0.066900
2025-02-10,14.9300,15.3000,14.8700,15.2800,3438931,52114349.9000,2.139000
2025-02-11,15.3000,15.3600,15.0200,15.0700,2709637,40962494.5000,-1.374300
2025-02-12,15.0800,15.2100,15.0400,15.1800,2391497,36175889.6000,0.729900
2025-02-13,15.1500,15.1800,14.8000,14.8300,3120957,46654603.1600,-2.305700
2025-02-14,14.7900,15.3400,14.7900,15.3000,5014128,76237206.4200,3.169300
2025-02-17,15.2500,15.6600,15.1500,15.5600,6130330,94501317.7800,1.699300
2025-02-18,15.4800,15.4800,15.0100,15.0500,3502256,53358457.3900,-3.277600
2025-02-19,15.0400,15.2500,15.0200,15.2500,2503556,37921201.2200,1.328900
2025-02-20,15.2900,15.7000,15.1900,15.4600,4064352,63046859.9300,1.377000
2025-02-21,15.4100,15.8400,15.2500,15.6600,4731363,73654101.8500,1.293700
2025-02-24,15.7900,15.7900,15.4400,15.5500,3734088,58255659.5300,-0.702400
2025-02-25,15.4100,15.6400,15.2800,15.5500,2973097,46016733.6200,0.000000
2025-02-26,15.5000,16.1200,15.5000,16.0200,5593152,88570548.0200,3.022500
2025-02-27,16.2100,18.1000,16.2100,17.5900,17696520,307445449.6100,9.800200
2025-02-28,17.6800,17.7600,16.6800,16.7800,10602440,182184809.7300,-4.604900
2025-03-03,16.8200,17.6700,16.7800,16.8900,10563795,181467331.9400,0.655500
2025-03-04,16.8900,16.9400,16.5200,16.6300,6025067,100530805.3800,-1.539400
2025-03-05,16.6300,16.6300,16.3000,16.5400,4301057,70713946.7600,-0.541200
2025-03-06,16.7000,16.7300,16.4200,16.5700,6301516,104477680.4800,0.181400
2025-03-07,16.4700,16.5700,16.2400,16.3900,3923481,64247797.2900,-1.086300
2025-03-10,16.5600,17.6700,16.5600,17.0500,11957821,206138402.4800,4.026800
2025-03-11,16.9200,16.9800,16.2400,16.4100,7664298,126598230.0700,-3.753700
2025-03-12,16.4900,16.5200,16.2800,16.3100,3983834,65170111.1400,-0.609400
2025-03-13,16.3200,16.3900,15.9300,16.0600,3868143,62307733.3400,-1.532800
2025-03-14,16.1500,16.3500,16.0200,16.3200,3285171,53252671.0200,1.618900
2025-03-17,16.4500,16.4600,16.2400,16.3800,3382895,55253461.5500,0.367600
2025-03-18,16.5400,16.7800,16.3900,16.5600,4528533,75247318.2900,1.098900
2025-03-19,16.5300,16.7000,16.3100,16.3900,3596448,59488643.6100,-1.026600
2025-03-20,16.4500,16.4500,16.1900,16.2100,3292437,53603172.2800,-1.098200
2025-03-21,16.2600,16.3400,15.8000,15.8500,4511172,72220401.8500,-2.220900
