date,open,high,low,close,volume,amount,pctChg
2025-01-02,50.3000,50.4900,46.8000,47.3400,6435761,311606616.3300,-5.903400
2025-01-03,47.5800,48.3600,46.1100,46.7800,4730306,223090643.2200,-1.182900
2025-01-06,46.7400,47.4800,45.5700,45.8500,3138028,145482491.5000,-1.988000
2025-01-07,46.0300,48.6900,46.0300,48.3300,4076885,193517209.6800,5.408900
2025-01-08,48.3300,48.6400,46.0000,48.0000,4902494,231933157.0600,-0.682800
2025-01-09,47.6000,50.1900,47.3800,49.2000,5585186,271500998.8500,2.500000
2025-01-10,49.1600,51.1000,48.6000,48.6700,5005058,249854104.5100,-1.077200
2025-01-13,47.5000,49.6800,47.1000,49.2000,3393436,164472915.2300,1.089000
2025-01-14,49.1900,52.3000,48.8400,52.2700,5653548,289309856.2600,6.239800
2025-01-15,52.4500,52.8500,51.5100,52.3000,3610085,188311010.0300,0.057400
2025-01-16,52.8800,53.1300,50.8400,51.2400,4489144,232918901.0700,-2.026800
2025-01-17,51.2400,52.8300,50.9100,52.1300,3881946,201876546.2300,1.736900
2025-01-20,55.0100,56.0000,52.7900,53.0200,7122613,383651969.9700,1.707300
2025-01-21,53.5400,55.1300,52.5000,54.7200,6663665,359705357.8500,3.206300
2025-01-22,54.9000,55.2900,53.2000,53.8100,4573910,248107363.2500,-1.663000
2025-01-23,53.9000,56.5800,53.6600,54.1900,7412125,408852634.7200,0.706200
2025-01-24,54.0000,56.6600,53.9900,55.8000,6554843,365711317.6200,2.971000
2025-01-27,55.9000,56.2200,54.3600,54.9800,4909651,271426005.8900,-1.469500
2025-02-05,56.0000,59.0000,55.0100,57.7200,8698466,498180558.8700,4.983600
2025-02-06,57.0000,61.2000,56.9000,59.7200,8737275,519445890.2900,3.465000
2025-02-07,59.3300,63.4900,59.0000,60.1200,11210724,686694111.5000,0.669800
2025-02-10,59.8000,60.5000,57.8100,59.0000,8931411,527552396.7400,-1.862900
2025-02-11,58.2000,59.7900,58.0600,59.2000,6305559,372056605.7900,0.339000
2025-02-12,59.0000,60.7200,57.0500,60.3000,9090660,534216870.7000,1.858100
2025-02-13,60.3000,61.3000,58.4600,59.8500,7821948,467201418.8800,-0.746300
2025-02-14,59.6000,60.2000,57.8600,58.3500,7212577,421852600.5400,-2.506300
2025-02-17,58.3500,59.4900,57.8000,58.7500,5480336,321995268.7700,0.685500
2025-02-18,58.6800,59.2000,56.5200,56.9900,5602348,325162018.7800,-2.995700
2025-02-19,56.7400,60.1500,56.7400,59.9600,7379547,436849102.0700,5.211400
2025-02-20,60.1200,61.6800,59.5500,61.1000,6923005,420143697.3800,1.901300
2025-02-21,61.2000,65.1300,60.7600,63.8800,9986440,630921056.4500,4.549900
2025-02-24,66.0500,73.1700,65.1800,70.0800,16500511,1130931065.2200,9.705700
2025-02-25,67.3200,70.5600,66.8900,68.8000,10195554,702944652.0600,-1.826500
2025-02-26,69.0000,70.3800,68.0300,69.1000,8776113,607645892.0900,0.436000
2025-02-27,68.5000,70.0000,64.8800,66.8000,10182219,681995516.6200,-3.328500
2025-02-28,66.6700,66.8000,60.5500,60.6800,10416951,651459710.3800,-9.161700
2025-03-03,61.6200,62.4000,60.0200,60.8000,6398389,391888478.6900,0.197800
2025-03-04,60.4800,65.1200,60.0200,63.9000,7688590,486998716.9600,5.098700
2025-03-05,63.4600,65.4600,63.2400,65.0200,5671477,365564669.3700,1.752700
2025-03-06,66.0000,67.2900,65.2600,65.5500,5665907,375460505.5200,0.815100
2025-03-07,65.1400,68.8800,64.6400,67.4000,7521141,506001521.5400,2.822300
2025-03-10,67.0700,69.2000,66.5000,68.4100,5432725,370044678.3500,1.498500
2025-03-11,66.6600,68.5400,66.0000,66.9900,5009081,335460048.7900,-2.075700
2025-03-12,67.3200,67.6600,65.6400,65.6900,4282376,285546396.0300,-1.940600
2025-03-13,65.6000,65.6600,61.6100,61.9000,7389111,463826087.9000,-5.769500
2025-03-14,62.0000,64.0800,61.5600,63.5900,4099997,258346992.4400,2.730200
2025-03-17,63.5800,63.5800,60.7500,62.7900,5208161,322736001.6700,-1.258100
2025-03-18,62.3800,62.6900,60.7300,60.9000,7113348,436892838.0800,-3.010000
2025-03-19,60.8800,61.3500,59.6900,60.2000,4745879,286960821.1700,-1.149400
2025-03-20,60.1000,61.6900,59.4600,60.1000,4602646,278812939.5600,-0.166100
2025-03-21,59.5000,60.4400,57.8500,58.2000,5499079,322977229.2500,-3.161400
2025-03-24,58.2000,59.6400,57.3800,58.8000,4725901,276558013.4800,1.030900
2025-03-25,58.8000,60.1700,57.9700,58.0000,4834240,285822973.9600,-1.360500
2025-03-26,57.9700,61.3000,57.9700,61.0000,6545796,392995979.2000,5.172400
2025-03-27,61.1500,63.5000,60.5600,62.6800,7347774,460666992.7500,2.754100
2025-03-28,62.6300,63.3900,60.2700,60.7000,5231395,321797877.0200,-3.158900
2025-03-31,60.2100,61.5000,59.2500,61.0000,4074096,245940359.5400,0.494200
2025-04-01,61.1800,62.1300,60.6800,60.7000,2792020,171107466.9200,-0.491800
2025-04-02,60.6200,65.1600,60.6200,63.5500,6236192,395683435.4200,4.695200
2025-04-03,63.0300,64.5900,61.8000,62.8800,4516376,285056412.6100,-1.054300
2025-04-07,56.5900,59.0100,51.1500,52.4700,10162560,561776472.5000,-16.555300
2025-04-08,53.0400,54.9800,49.5000,51.3800,10100873,523371217.4100,-2.077400
2025-04-09,53.8600,60.9800,53.0000,58.4600,12251194,704469615.0800,13.779700
2025-04-10,59.1100,63.7100,58.2300,62.3800,13134765,801003907.1600,6.705400
2025-04-11,61.7000,67.2900,61.7000,65.4800,10194300,663502510.5900,4.969500
2025-04-14,66.3300,66.8500,64.2500,64.8300,7942663,518472644.1000,-0.992700
2025-04-15,64.8300,65.8000,63.7000,64.7000,5202067,336034107.5500,-0.200500
2025-04-16,64.6200,64.8600,62.3000,63.6500,5074550,322450295.7200,-1.622900
2025-04-17,63.4900,65.3700,63.0000,63.0900,4833660,309606958.4000,-0.879800
2025-04-18,63.1600,64.1900,62.2800,62.9000,4010768,252456895.2900,-0.301200
2025-04-21,62.9800,65.5500,62.4400,65.0700,5707536,366784514.4100,3.449900
2025-04-22,64.5000,65.8900,63.5300,64.4000,5457387,353389095.1300,-1.029700
2025-04-23,64.7700,67.1000,64.7700,65.4000,6426985,422324510.9400,1.552800
2025-04-24,65.4500,66.2600,63.6000,64.4500,3758644,243062456.5000,-1.120000
2025-04-25,64.8600,65.0000,63.5500,64.4800,3242836,208414007.2000,0.046500
2025-04-28,66.8900,68.5200,66.3000,67.7000,8138219,549153687.4600,4.993800
2025-04-29,67.5800,68.9000,66.7100,66.9000,4593817,310423673.8500,-1.181700
2025-04-30,66.9000,68.2900,66.6600,66.8400,5019356,337197453.7000,-0.089700
2025-05-06,67.0700,67.8600,66.0200,67.7400,6663352,447003314.0400,1.346500
2025-05-07,68.1500,69.2600,64.9900,65.6700,7998292,532810913.0100,-3.055800
2025-05-08,65.3400,65.8200,64.6000,64.8900,5265715,342992121.8700,-1.187800
2025-05-09,65.0000,65.6300,62.9000,62.9000,6558819,418519809.3600,-3.066700
2025-05-12,63.6000,68.6300,63.6000,66.5100,9272648,615650978.7600,5.739300
2025-05-13,66.7400,66.8200,65.4900,65.9300,4737504,313055249.7700,-0.872000
2025-05-14,65.9300,66.5900,64.8100,65.2300,3771321,247086163.2300,-1.061700
2025-05-15,65.1200,65.2000,64.1000,64.3400,2667938,172119538.4100,-1.364400
2025-05-16,64.8000,64.8600,63.9100,64.0400,2810635,180881352.7300,-0.466300
2025-05-19,63.9200,64.4700,63.1500,64.3900,2642125,169121500.3400,0.546500
2025-05-20,64.2500,64.8000,62.8500,64.3800,3957630,253300084.2500,-0.015500
2025-05-21,63.8800,64.5800,63.4000,63.5700,2741118,174977004.6900,-1.258200
2025-05-22,63.5700,65.5800,63.1500,63.4200,3874632,248913723.3700,-0.236000
2025-05-23,63.5000,64.3000,62.0000,62.1700,4129296,259811120.3600,-1.971000
2025-05-26,61.5900,62.2000,60.9000,61.2500,6411893,393205228.6500,-1.479800
2025-05-27,61.0000,63.3800,60.9300,62.7000,5762129,361661805.0100,2.367300
2025-05-28,62.9800,63.7000,62.1000,63.6000,3338230,210225316.9800,1.435400
2025-05-29,63.6000,67.5000,63.5600,67.1500,7569750,499138958.5300,5.581800
2025-05-30,67.8000,67.9300,66.2000,67.1200,4396481,293899847.5800,-0.044700
2025-06-03,66.9800,71.1500,66.6600,69.7800,8060642,563134552.9700,3.963100
2025-06-04,69.6000,70.0700,69.0100,69.7900,3217734,224092247.9800,0.014300
2025-06-05,69.9500,71.1000,69.4500,70.9000,4340312,306245335.5700,1.590500
2025-06-06,70.8200,71.6800,69.8200,70.5000,4798229,338435051.2300,-0.564200
2025-06-09,68.1500,71.0600,67.5000,70.1000,6505945,453817324.1900,-0.567400
2025-06-10,69.9900,70.4800,68.0200,68.9200,4551410,313994826.7600,-1.683300
2025-06-11,68.3000,69.2000,67.7600,68.6100,3630376,248330829.9200,-0.449800
2025-06-12,68.0100,69.3000,67.5000,67.8600,5139171,351564951.2700,-1.093100
2025-06-13,67.8000,67.9700,64.7200,65.8200,13910439,917944133.7700,-3.006200
2025-06-16,65.5500,66.2800,64.7600,65.0800,5252500,344065770.8100,-1.124300
2025-06-17,65.6000,66.2200,63.0300,63.2200,5904904,379670135.4100,-2.858000
2025-06-18,63.0000,64.8700,62.9200,64.2400,3709561,237618770.2900,1.613400
2025-06-19,64.1600,64.7100,62.7900,63.1200,4347110,276469929.2900,-1.743500
2025-06-20,62.9000,63.8900,62.2300,62.2300,3474431,217788354.1200,-1.410000
2025-06-23,61.8000,63.3200,61.7000,62.5100,3338594,208070862.4500,0.449900
2025-06-24,62.6200,64.7500,62.6200,64.1000,4966996,318218815.9600,2.543600
2025-06-25,64.6000,66.3900,64.1000,65.3200,6342155,412865925.7900,1.903300
2025-06-26,65.3300,65.4900,63.7100,63.9900,5122667,329505582.3700,-2.036100
2025-06-27,64.0300,66.2300,64.0000,65.3900,4933225,322012304.8100,2.187800
2025-06-30,65.7700,68.3300,65.6600,67.2000,5647006,381260915.3500,2.768000
2025-07-01,67.0100,68.2400,66.5000,67.9500,4337798,292797746.4700,1.116100
2025-07-02,67.6800,67.9700,66.5000,66.9600,3417540,228777035.5100,-1.457000
2025-07-03,66.8600,67.5900,65.8800,66.0600,3986917,265066131.9800,-1.344100
2025-07-04,66.0600,67.0800,65.1700,66.4000,3329151,220622765.8300,0.514700
2025-07-07,70.0000,70.2100,66.3900,66.5800,8180359,555223143.0900,0.271100
2025-07-08,66.2100,68.1600,65.3100,65.6500,8430219,560718118.9100,-1.396800
2025-07-09,65.4400,66.7800,64.5500,64.7800,5204655,340202257.0800,-1.325200
2025-07-10,64.6800,65.3900,64.0700,65.0700,3678874,238340143.1800,0.447700
2025-07-11,64.9000,64.9500,63.8800,63.9000,6996610,449181846.1000,-1.798100
2025-07-14,64.0000,64.6200,63.0000,64.2800,5137050,328913396.3300,0.594700
2025-07-15,64.6500,66.8800,64.4200,66.5900,9260178,612816510.7200,3.593700
2025-07-16,66.3300,67.1200,65.5100,66.0000,5483183,363668626.4700,-0.886000
2025-07-17,65.8800,66.4700,64.8000,65.4600,6148204,402301317.3800,-0.818200
2025-07-18,65.5000,65.8800,64.6600,64.6900,5313217,345547606.7900,-1.176300
2025-07-21,64.8800,65.1000,63.6800,64.0700,5232584,335998302.9100,-0.958400
2025-07-22,64.0600,64.9100,63.7700,64.2500,4358647,280967190.9300,0.280900
2025-07-23,64.2700,64.7800,63.2800,64.5500,4651883,298315286.8100,0.466900
2025-07-24,64.5300,65.1200,64.1100,64.4800,4474650,289134414.1100,-0.108400
2025-07-25,64.4900,65.0500,63.6700,64.9600,4671257,300459824.7200,0.744400
2025-07-28,65.4800,66.1900,64.8300,65.2100,5632357,368999866.1200,0.384900
2025-07-29,65.2200,65.5000,64.2300,64.5300,4397280,284876154.1900,-1.042800
2025-07-30,64.6200,65.4000,63.9100,64.0300,4369090,281384104.0300,-0.774800
2025-07-31,63.8000,65.9000,63.8000,64.3000,6246073,405297862.6800,0.421700
2025-08-01,64.3500,64.7700,62.3100,64.7000,6649596,421427211.6600,0.622100
2025-08-04,64.7000,65.0700,63.6300,63.9000,4477419,287239906.7700,-1.236500
