date,open,high,low,close,volume,amount,pctChg
2025-01-02,37.4200,37.4500,35.6200,35.7000,630115,22995752.4100,-4.545500
2025-01-03,35.7100,36.2500,34.3800,34.3800,525056,18535128.6200,-3.697500
2025-01-06,34.2200,34.8500,33.6800,33.7800,445386,15148374.7900,-1.745200
2025-01-07,33.8000,34.7500,33.4500,34.6000,468166,15937434.7900,2.427500
2025-01-08,34.5700,35.6500,34.2600,35.4800,591580,20703584.2900,2.543400
2025-01-09,35.5000,36.8900,35.1100,36.4000,447853,16209494.8300,2.593000
2025-01-10,36.4000,37.3000,36.0000,36.4600,627977,23056193.2800,0.164800
2025-01-13,36.2800,36.7000,35.2300,36.0100,296025,10636352.0100,-1.234200
2025-01-14,35.9200,37.3000,35.9200,37.1800,718246,26421171.1900,3.249100
2025-01-15,36.9600,37.2300,36.1800,36.3000,405526,14875047.5600,-2.366900
2025-01-16,36.3000,39.5500,36.3000,39.3000,1537288,58541025.5700,8.264500
2025-01-17,39.4100,40.4200,38.5600,39.2000,900221,35552249.0600,-0.254500
2025-01-20,36.0000,37.9500,36.0000,37.2800,1169479,43330965.4100,-4.898000
2025-01-21,37.2800,38.9700,36.7000,38.5000,1046974,39619602.5400,3.272500
2025-01-22,38.2100,38.9200,37.7500,38.6600,598615,22897697.7200,0.415600
2025-01-23,38.6600,40.0600,38.3300,39.5100,913691,36101038.0800,2.198700
2025-01-24,39.9000,39.9000,39.0000,39.0000,591563,23336819.6700,-1.290800
2025-01-27,39.0900,39.0900,37.7900,38.0000,350261,13401706.0700,-2.564100
2025-02-05,38.9800,40.4500,38.3200,39.9900,923530,36863517.1400,5.236800
2025-02-06,40.3700,40.3700,39.5400,39.9400,562315,22447399.1500,-0.125000
2025-02-07,40.3300,40.8900,39.5000,40.0800,1219326,49031294.2600,0.350500
2025-02-10,40.8000,41.5900,39.7300,41.2200,1303743,53413242.0800,2.844300
2025-02-11,41.0000,42.4100,40.5000,40.5800,983709,40687143.1700,-1.552600
2025-02-12,40.4600,42.4500,40.3600,41.6700,1154302,47623549.8200,2.686100
2025-02-13,41.6700,42.0100,40.7800,40.8800,822204,33985673.5300,-1.895800
2025-02-14,40.7600,41.3600,40.2800,41.0800,474775,19438097.2600,0.489200
2025-02-17,41.6600,41.9500,40.6000,40.9500,659368,27218813.0700,-0.316500
2025-02-18,40.9900,42.1800,40.0900,40.4800,993053,41106972.4800,-1.147700
2025-02-19,40.1300,41.5700,40.1000,41.0000,786745,32210875.5000,1.284600
2025-02-20,40.6500,42.1200,40.5900,41.6800,780758,32485656.2200,1.658500
2025-02-21,41.6800,41.9500,40.6000,41.7000,868164,35996485.1600,0.048000
2025-02-24,42.4000,43.2000,41.3400,41.8400,940947,39553506.0000,0.335700
2025-02-25,41.1300,42.1500,40.7500,41.4700,887430,36884515.4200,-0.884300
2025-02-26,41.5300,43.6500,41.3500,42.5300,1719067,73586331.2400,2.556100
2025-02-27,42.8800,42.9500,40.0000,41.1700,1573709,65042251.4300,-3.197700
2025-02-28,40.9800,41.0600,38.8100,38.8700,1179895,46656489.2700,-5.586600
2025-03-03,38.7800,40.4600,38.5000,39.2000,836309,33039723.7600,0.849000
2025-03-04,39.3200,41.3500,38.5700,41.2800,1057088,43036501.6200,5.306100
2025-03-05,41.8600,43.2800,41.5000,41.8800,1524257,64436576.9100,1.453500
2025-03-06,41.9800,42.8200,41.5600,42.6200,1015329,43031115.9500,1.767000
2025-03-07,42.6200,43.0800,41.7900,42.1500,679089,28869932.5500,-1.102800
2025-03-10,42.1900,42.8000,41.6600,42.5400,700952,29669832.9700,0.925300
2025-03-11,41.7500,43.0000,41.7500,42.9700,951274,40507453.1300,1.010800
2025-03-12,43.1000,43.5900,42.4400,42.7000,764499,32869067.3300,-0.628300
2025-03-13,42.7000,42.7100,41.1000,41.8000,980094,40898864.0800,-2.107700
2025-03-14,41.5300,41.8000,40.9400,41.5000,747173,30954392.9400,-0.717700
2025-03-17,41.4200,42.0100,40.7900,41.1500,892140,36776172.6200,-0.843400
2025-03-18,41.0000,42.1000,40.8800,41.1800,712304,29435726.3000,0.072900
2025-03-19,41.5900,41.8000,40.5500,40.9700,695883,28677698.9400,-0.510000
2025-03-20,41.0200,41.3800,40.1700,40.7700,735677,29944019.0800,-0.488200
2025-03-21,40.3200,40.6400,39.7400,40.2900,528245,21208163.7600,-1.177300
2025-03-24,40.3300,40.7000,38.2500,38.7800,854976,33846058.7200,-3.747800
2025-03-25,39.1000,39.3900,37.8200,38.5200,612806,23632294.8400,-0.670400
2025-03-26,38.5200,39.9600,38.4900,39.3000,478614,18810092.6100,2.024900
2025-03-27,39.4300,39.5200,38.1800,38.9000,385873,14996596.8600,-1.017800
2025-03-28,38.6800,39.3300,38.0600,38.3000,490459,18880023.7800,-1.542400
2025-03-31,37.9600,41.3500,37.5500,39.7000,1065945,42061297.6800,3.655400
2025-04-01,39.5200,40.6800,39.5200,39.6900,542929,21746271.5200,-0.025200
2025-04-02,39.5000,40.7900,39.2700,40.4200,923225,37053626.5800,1.839300
2025-04-03,39.9500,41.0000,39.7100,40.1000,534261,21640873.0600,-0.791700
2025-04-07,39.0000,39.0000,35.0900,35.3900,1358245,50188161.7900,-11.745600
2025-04-08,36.0300,37.3700,35.5000,35.8300,944831,34107733.5000,1.243300
2025-04-09,35.0100,37.7700,33.3300,37.4400,1041879,37653772.5100,4.493400
2025-04-10,38.0000,39.8000,38.0000,38.8500,714287,27932741.4100,3.766000
2025-04-11,38.0000,40.6900,38.0000,39.9200,1148022,45674065.7000,2.754200
2025-04-14,40.0500,40.6800,39.7300,40.0000,693760,27924192.8400,0.200400
2025-04-15,39.6800,40.1900,39.2600,39.5100,495973,19664652.5000,-1.225000
2025-04-16,39.5100,40.6500,39.1200,40.5000,779131,31240984.9200,2.505700
2025-04-17,40.4900,41.4000,40.2500,40.4000,612192,24885933.0500,-0.246900
2025-04-18,40.0900,41.1500,40.0900,40.9900,670244,27323227.1500,1.460400
2025-04-21,41.4900,42.9700,41.0100,42.5700,1110691,47100190.0400,3.854600
2025-04-22,42.0000,42.9300,41.6100,42.4000,927087,39129418.1400,-0.399300
2025-04-23,42.3800,42.4000,41.3500,41.6700,690773,28810568.2400,-1.721700
2025-04-24,41.6600,41.6600,40.0800,40.4000,744667,30200593.9800,-3.047800
2025-04-25,40.7800,41.3300,40.0100,40.8700,436052,17693034.4300,1.163400
2025-04-28,40.4000,41.1600,40.1900,41.0700,382823,15626114.9400,0.489400
2025-04-29,40.1800,40.4100,38.4000,38.4800,1479472,57811371.2600,-6.306300
2025-04-30,38.8000,39.5100,38.5000,39.3000,598945,23443832.6600,2.131000
2025-05-06,39.2500,40.2600,39.2500,39.5000,817639,32426336.6000,0.508900
2025-05-07,39.8300,40.8000,39.6300,40.0800,1102476,44278927.5800,1.468400
2025-05-08,40.1000,43.4700,40.0000,42.8000,2051817,85954999.8500,6.786400
2025-05-09,42.8000,43.6600,41.3300,42.2500,1751920,74283544.1400,-1.285000
2025-05-12,42.0700,43.2500,42.0000,42.3400,1833093,77844685.5800,0.213000
2025-05-13,42.6900,42.6900,41.0100,41.2100,1157306,48384904.8300,-2.668900
