date,open,high,low,close,volume,amount,pctChg
2025-01-02,28.0000,28.6900,27.4700,27.5000,147636,4144256.4000,-1.785700
2025-01-03,27.5000,27.7700,26.6500,26.6900,131937,3583027.5400,-2.945500
2025-01-06,26.6900,26.9000,26.2800,26.6400,90032,2396715.6700,-0.187300
2025-01-07,26.3500,27.5900,26.3500,27.4200,79242,2154290.3500,2.927900
2025-01-08,27.2300,27.6500,26.5200,27.3200,141746,3837574.2000,-0.364700
2025-01-09,27.0300,27.5100,26.9100,27.1000,87085,2373250.3100,-0.805300
2025-01-10,27.9400,27.9400,26.5100,26.5100,154833,4197296.4000,-2.177100
2025-01-13,26.5000,27.0900,25.8000,26.4400,102567,2704079.5400,-0.264100
2025-01-14,26.9100,27.8100,26.7100,27.7600,161648,4447767.3700,4.992400
2025-01-15,28.0600,28.0600,27.3300,27.8500,89621,2482433.9800,0.324200
2025-01-16,27.8900,28.1700,27.3900,27.6500,135686,3764536.4100,-0.718100
2025-01-17,27.6500,27.9900,27.4300,27.5600,70636,1951833.5500,-0.325500
2025-01-20,27.9700,28.0000,27.5600,27.9600,102997,2867834.8400,1.451400
2025-01-21,28.0500,28.1900,27.6800,28.0000,122202,3405352.7600,0.143100
2025-01-22,28.1800,28.1800,27.3000,27.3400,97179,2682912.1500,-2.357100
2025-01-23,27.5100,28.3500,27.4000,27.7800,201851,5653870.6700,1.609400
2025-01-24,27.8000,27.9600,27.5300,27.9400,107644,2987936.6600,0.576000
2025-01-27,27.7000,28.4000,27.5000,27.5100,194904,5433863.6300,-1.539000
2025-02-05,27.9000,28.5600,27.5100,28.2700,164752,4643703.0000,2.762600
2025-02-06,28.5000,29.5000,28.2400,29.5000,334046,9680756.7100,4.350900
2025-02-07,29.5000,31.4900,29.4800,29.8000,721479,22168415.7500,1.016900
2025-02-10,30.0000,30.7500,29.8200,30.2000,353995,10655826.0900,1.342300
2025-02-11,30.1900,30.4500,29.7600,29.9000,348452,10472922.4300,-0.993400
2025-02-12,29.9400,30.1500,29.6600,30.0200,155313,4654981.4300,0.401300
2025-02-13,30.1000,30.1000,29.3500,29.4300,180259,5340447.1100,-1.965400
2025-02-14,29.4300,29.9300,29.3300,29.8100,193464,5723504.8300,1.291200
2025-02-17,29.8500,30.2500,29.5000,30.1400,227655,6818339.9300,1.107000
2025-02-18,30.2500,30.8000,29.8000,30.1600,465857,14195489.4600,0.066400
2025-02-19,30.0300,30.6900,29.9100,30.5700,257947,7846127.3000,1.359400
2025-02-20,30.5400,30.6900,30.2600,30.4200,199137,6057994.2600,-0.490700
2025-02-21,30.2700,30.7700,29.8200,30.7100,279803,8545261.3200,0.953300
2025-02-24,30.6500,31.1400,30.2000,31.1400,413452,12761193.5100,1.400200
2025-02-25,30.5300,31.3700,30.5000,31.1300,349541,10878628.8600,-0.032100
2025-02-26,30.8300,31.9000,30.8000,31.6300,543644,17121573.8200,1.606200
2025-02-27,31.6300,31.9800,30.7900,31.1600,433416,13555873.7500,-1.485900
2025-02-28,30.7600,31.1800,30.0500,30.5000,516451,15699113.3300,-2.118100
2025-03-03,31.3000,32.1600,30.5800,31.7800,1164773,36768663.9200,4.196700
2025-03-04,31.8000,31.9900,30.6800,31.8700,849746,26551172.6000,0.283200
2025-03-05,31.5200,31.8800,30.9400,31.0200,414248,12950448.9800,-2.667100
2025-03-06,31.0500,33.5000,31.0500,33.5000,1422845,46544847.5700,7.994800
2025-03-07,33.4500,33.9800,32.0000,32.4000,984115,32234874.4300,-3.283600
2025-03-10,32.4000,32.4800,31.5300,31.9500,549599,17519657.6000,-1.388900
