date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.7300,9.0200,8.0600,8.1100,79147420,661735411.2700,-9.888900
2025-01-03,8.0800,9.7300,7.6200,9.5000,145655925,1324773757.5600,17.139300
2025-01-06,8.9300,9.4400,8.7000,8.9500,91894549,827021949.4300,-5.789500
2025-01-07,9.0500,9.3700,8.8300,9.1800,64092202,581431452.8800,2.569800
2025-01-08,9.1000,9.1000,8.2900,8.7600,65676599,564522628.2900,-4.575200
2025-01-09,8.5500,9.9700,8.5500,9.3400,88034655,834912822.0900,6.621000
2025-01-10,9.3000,9.4500,8.9300,8.9800,54163088,494350923.9400,-3.854400
2025-01-13,8.9800,9.6400,8.8100,9.1000,47971213,440996554.0000,1.336300
2025-01-14,9.0000,9.6000,8.9500,9.5500,59867257,560421791.0300,4.945100
2025-01-15,9.4400,9.4600,8.8000,8.9900,54065097,489849852.8300,-5.863900
2025-01-16,9.0600,9.2600,8.8000,8.8100,38256487,343819977.4700,-2.002200
2025-01-17,8.7700,9.0600,8.7100,8.8600,32878511,292692916.5100,0.567500
2025-01-20,8.8000,9.0300,8.3500,8.8800,32020137,279449857.3300,0.225700
2025-01-21,8.9100,9.0900,8.8300,8.9500,27141273,242621617.0500,0.788300
2025-01-22,8.8700,9.4300,8.8300,9.0300,41206348,376360397.1700,0.893900
2025-01-23,9.1000,9.4500,9.0000,9.1900,44278824,409043796.4000,1.771900
2025-01-24,9.1500,9.4500,8.8100,9.3700,40008889,367688951.4000,1.958700
2025-01-27,9.2600,9.4300,8.9000,8.9500,31545825,284286387.2800,-4.482400
2025-02-05,8.8800,8.9300,8.0000,8.1700,36038306,297468332.4000,-8.715100
2025-02-06,8.2000,8.4500,7.8200,8.2700,28372636,232683532.8100,1.224000
2025-02-07,8.3500,8.4000,8.1500,8.3000,30770385,254727274.8800,0.362800
2025-02-10,8.3400,8.5800,8.2600,8.4400,28095133,237074441.8600,1.686700
2025-02-11,8.4200,8.4300,8.0800,8.1500,26596513,216898812.7000,-3.436000
2025-02-12,8.1500,9.0600,8.0800,8.7200,60513107,524848669.2000,6.993900
2025-02-13,8.6300,8.8400,8.4300,8.5500,39441179,340092821.7700,-1.949500
2025-02-14,8.5000,8.5400,8.3000,8.4100,23637966,198245988.1600,-1.637400
2025-02-17,8.3500,8.4300,8.2200,8.3200,23765846,197933298.6600,-1.070200
2025-02-18,8.2800,8.3400,8.0000,8.0800,22707554,185035573.3900,-2.884600
2025-02-19,8.0000,8.2300,7.9500,8.1700,20693894,168070493.1200,1.113900
2025-02-20,8.1000,8.5700,8.0200,8.3700,37451887,310947632.5100,2.448000
2025-02-21,8.2800,8.4500,8.1600,8.4500,32786004,272309714.3800,0.955800
2025-02-24,8.4600,8.6500,8.2500,8.3100,24081689,202359823.0100,-1.656800
2025-02-25,8.2000,8.6800,8.1800,8.3600,32426650,274534848.7100,0.601700
2025-02-26,8.4000,8.4400,8.2700,8.3000,22295136,185099649.5900,-0.717700
2025-02-27,8.3300,8.3600,8.1100,8.2900,22727575,186980057.2500,-0.120500
2025-02-28,8.4400,8.5500,8.2000,8.2000,28424819,237771833.6100,-1.085600
2025-03-03,8.2300,8.3500,7.9300,8.1600,21755613,177271755.9400,-0.487800
2025-03-04,8.1100,8.4800,8.0200,8.3900,26380140,217684149.8700,2.818600
2025-03-05,8.3500,8.5500,8.2800,8.4000,17727926,148561537.1000,0.119200
2025-03-06,8.3900,8.5500,8.3400,8.4000,23871414,201613640.5400,0.000000
2025-03-07,8.4000,8.4700,8.2000,8.2600,21173495,175901356.3300,-1.666700
2025-03-10,8.2000,8.8700,8.1700,8.5000,42825981,366676686.6400,2.905600
2025-03-11,8.3100,8.4800,8.2600,8.4500,22220875,185393917.8700,-0.588200
2025-03-12,8.4300,8.5900,8.2900,8.3800,22412412,188327563.0200,-0.828400
2025-03-13,8.3400,8.3800,8.1200,8.2000,22247827,182503590.0700,-2.148000
2025-03-14,8.1800,8.3800,8.1700,8.3200,15692915,130128110.8600,1.463400
2025-03-17,8.3300,8.7600,8.2600,8.4400,32263264,275657528.3000,1.442300
2025-03-18,8.4700,8.6300,8.3500,8.4700,16086140,136561750.9200,0.355500
2025-03-19,8.4300,8.7300,8.3100,8.4700,22297035,189868220.6400,0.000000
2025-03-20,8.5000,8.8100,8.4400,8.6600,37569067,325828938.0200,2.243200
2025-03-21,8.6100,9.0300,8.6000,8.6800,45594995,402144047.0600,0.230900
2025-03-24,8.7200,8.7400,8.1100,8.3200,36287584,301046727.6600,-4.147500
2025-03-25,8.2900,8.4400,8.1100,8.2800,14715416,121421217.7100,-0.480800
2025-03-26,8.2900,8.3400,8.1700,8.2900,13125783,108268433.8600,0.120800
2025-03-27,8.3000,8.4200,8.1500,8.2500,13806840,114225314.9700,-0.482500
2025-03-28,8.2100,8.2400,8.0300,8.0300,12881352,104751264.5600,-2.666700
2025-03-31,7.9400,7.9500,7.3600,7.4600,27791760,210297779.0500,-7.098400
2025-04-01,7.4700,7.6400,7.4700,7.5500,10412287,78442164.9800,1.206400
2025-04-02,7.5500,7.5900,7.4200,7.5700,8726976,65654344.2500,0.264900
2025-04-03,7.5000,7.6400,7.2800,7.4300,12949210,96056536.8100,-1.849400
2025-04-07,6.6600,6.7900,5.9400,5.9400,32686896,206843636.6600,-20.053800
2025-04-08,5.9000,6.3400,5.8800,6.2500,29468704,182076801.8400,5.218900
2025-04-09,6.1100,6.4800,5.8300,6.4200,29538946,182711002.6000,2.720000
2025-04-10,6.5900,6.7500,6.4500,6.5000,22607340,148864560.1800,1.246100
2025-04-11,6.4500,6.7000,6.3600,6.6800,18159190,119995152.3500,2.769200
2025-04-14,6.7700,7.0900,6.7600,6.9200,20132072,139461880.5400,3.592800
2025-04-15,7.0000,7.0000,6.7600,6.8400,11069702,75645313.0200,-1.156100
2025-04-16,6.8000,6.8400,6.6200,6.7700,12565998,84765138.4700,-1.023400
2025-04-17,6.7500,6.8500,6.7200,6.7600,8593823,58179314.4700,-0.147700
2025-04-18,6.7300,7.1100,6.6600,7.0500,15906143,109783616.6300,4.289900
2025-04-21,7.0000,7.0900,6.8700,7.0600,14234615,100003133.9200,0.141800
2025-04-22,7.0700,7.2400,7.0100,7.0200,11251232,79802723.4700,-0.566600
2025-04-23,7.0700,7.2100,7.0500,7.1100,12470433,88835594.4100,1.282100
2025-04-24,7.0800,8.5000,7.0700,7.9700,54917705,433095751.9600,12.095600
2025-04-25,7.9700,8.5600,7.7600,8.4200,47194384,385490126.4700,5.646200
2025-04-28,8.2200,8.2200,7.6300,7.7100,34151293,266412691.2300,-8.432300
2025-04-29,7.6800,7.8600,7.5500,7.6900,16537756,127099275.5000,-0.259400
2025-04-30,7.6500,8.0500,7.6500,7.7600,16124110,125977870.1600,0.910300
2025-05-06,7.6000,7.8200,7.6000,7.8100,17455851,135017535.3700,0.644300
2025-05-07,7.8800,7.9500,7.7800,7.8000,17217294,135328667.2500,-0.128000
2025-05-08,7.7900,7.8500,7.7700,7.8100,10276719,80306628.6100,0.128200
2025-05-09,7.8300,7.8300,7.6300,7.7100,10733769,82627140.7900,-1.280400
2025-05-12,7.7800,7.8100,7.6000,7.7000,12460905,96011663.1000,-0.129700
2025-05-13,7.8100,7.8100,7.6000,7.6300,10307342,79143714.8700,-0.909100
2025-05-14,7.6000,7.8600,7.5300,7.7700,19012026,145827482.0500,1.834900
2025-05-15,7.7300,7.7300,7.4400,7.5000,14679232,110717102.1900,-3.474900
2025-05-16,7.4600,7.6300,7.4500,7.6000,9674766,73200941.5400,1.333300
2025-05-19,7.8000,8.0300,7.6700,7.8500,31380876,245901550.8300,3.289500
2025-05-20,7.8100,7.8800,7.7200,7.8000,14843443,115616843.8900,-0.636900
2025-05-21,7.7900,7.9500,7.7100,7.8400,16552998,129637955.5600,0.512800
