date,open,high,low,close,volume,amount,pctChg
2025-01-02,40.0100,40.2500,38.3000,38.6900,331768,13045845.1300,-3.732300
2025-01-03,39.0000,39.0000,37.0000,37.1100,306923,11646725.7700,-4.083700
2025-01-06,36.5300,37.3000,35.6400,35.9900,368449,13402313.2900,-3.018100
2025-01-07,36.0000,37.2500,35.9900,36.6600,313371,11429450.0200,1.861600
2025-01-08,36.9900,36.9900,35.1100,36.2000,311523,11257847.5200,-1.254800
2025-01-09,36.9200,36.9200,36.0600,36.2400,165038,6013443.0600,0.110500
2025-01-10,36.1100,37.8800,35.9000,36.4300,337098,12458929.2300,0.524300
2025-01-13,36.1100,37.3900,35.6500,36.4900,353530,12933794.9100,0.164700
2025-01-14,36.6000,39.2300,36.5800,39.2000,479403,18213771.0100,7.426700
2025-01-15,38.8400,40.7400,38.8400,40.5900,493761,19676576.2300,3.545900
2025-01-16,40.5900,40.5900,40.5900,40.5900,,,
2025-01-17,40.5900,40.5900,40.5900,40.5900,,,
2025-01-20,40.5900,40.5900,40.5900,40.5900,,,
2025-01-21,40.5900,40.5900,40.5900,40.5900,,,
2025-01-22,40.5900,40.5900,40.5900,40.5900,,,
2025-01-23,40.5900,40.5900,40.5900,40.5900,,,
2025-01-24,40.5900,40.5900,40.5900,40.5900,,,
2025-01-27,40.5900,40.5900,40.5900,40.5900,,,
2025-02-05,40.5900,40.5900,40.5900,40.5900,,,
2025-02-06,44.5000,44.5000,41.8500,43.6800,1078024,46794912.3200,7.612700
2025-02-07,43.3100,45.4500,43.0000,43.8600,1911923,85010355.4200,0.412100
2025-02-10,43.8600,46.0000,43.7000,46.0000,828784,37473471.0600,4.879200
2025-02-11,45.5700,46.0000,43.9300,44.2900,1000337,44553642.6300,-3.717400
2025-02-12,44.3800,47.5100,43.7600,47.3000,2427737,112126002.3400,6.796100
2025-02-13,47.3000,47.7200,45.8300,46.0000,680732,31719696.1300,-2.748400
2025-02-14,46.5500,46.5500,45.1100,45.5200,496079,22605705.0600,-1.043500
2025-02-17,45.5200,45.6900,44.0000,44.5900,614044,27344492.8900,-2.043100
2025-02-18,44.6600,44.7400,42.7800,43.2000,570116,24931797.7800,-3.117300
2025-02-19,43.0800,44.6000,42.7700,43.6400,462015,20346602.8000,1.018500
2025-02-20,43.6000,43.9800,43.2200,43.7800,395803,17267118.8600,0.320800
2025-02-21,43.3800,44.5800,42.8800,44.4300,580698,25445248.6700,1.484700
2025-02-24,44.3500,44.5500,43.0700,44.0900,546791,23972764.8500,-0.765200
2025-02-25,43.5000,45.5800,43.4000,44.7600,453675,20251066.0000,1.519600
2025-02-26,45.2000,48.5600,44.8000,47.1000,966213,45584635.1300,5.227900
2025-02-27,47.5400,48.3700,46.2700,47.3600,804792,38188892.4000,0.552000
2025-02-28,47.4100,48.1700,44.0300,44.2900,777516,35337255.4200,-6.482300
2025-03-03,44.3400,45.6000,43.8500,44.3700,543763,24391994.9000,0.180600
2025-03-04,43.8000,47.1600,43.7800,46.7000,772177,35507013.3700,5.251300
2025-03-05,46.6700,47.2700,45.5200,45.9000,617444,28495869.7000,-1.713100
2025-03-06,45.9400,47.4200,45.9000,46.6800,555481,25958654.7400,1.699300
2025-03-07,46.6600,47.5600,46.1000,47.1200,594018,27882058.4600,0.942600
2025-03-10,47.3600,49.5000,46.6000,48.3800,915382,44334410.4000,2.674000
2025-03-11,47.7700,48.7800,46.5800,47.3500,647513,30759070.7100,-2.129000
2025-03-12,47.8900,48.6800,47.3500,47.8100,581629,27917972.3900,0.971500
2025-03-13,47.8100,48.3300,46.0600,46.8100,538370,25123866.5200,-2.091600
2025-03-14,46.3800,47.4500,46.1300,47.1300,382349,17927624.2100,0.683600
2025-03-17,47.0700,47.9000,46.7100,47.6200,435083,20655978.7300,1.039700
2025-03-18,47.6900,48.2600,47.4000,47.9600,374767,17967822.1300,0.714000
2025-03-19,48.1800,48.3000,47.1000,48.0800,453449,21669777.4600,0.250200
2025-03-20,48.1600,52.8400,47.2600,51.7000,1740439,87985246.1700,7.529100
2025-03-21,51.4000,52.3000,50.4200,52.2600,1149140,59176412.7500,1.083200
2025-03-24,52.2600,53.9900,50.2400,51.5000,1374376,71447739.5600,-1.454300
2025-03-25,51.5000,51.5100,49.0000,50.1400,870433,43800991.1500,-2.640800
2025-03-26,49.9500,51.4700,49.0300,50.3000,451524,22847475.5000,0.319100
2025-03-27,50.2300,50.9500,49.2300,49.3000,451671,22584163.8000,-1.988100
2025-03-28,49.5000,49.9800,48.3100,49.0000,668577,32727969.2000,-0.608500
2025-03-31,49.0000,49.0000,47.5800,48.4000,344226,16623884.2400,-1.224500
2025-04-01,48.9800,49.4200,48.1200,48.6500,284481,13848150.0200,0.516500
2025-04-02,48.6600,50.3600,48.4400,50.2400,483717,24030629.7500,3.268200
2025-04-03,49.9000,50.7400,48.2400,50.2000,368893,18310633.0500,-0.079600
2025-04-07,48.1000,48.5800,41.5000,41.8300,866177,39085175.3000,-16.673300
2025-04-08,43.6900,44.2000,41.8100,42.6500,444968,19083403.1100,1.960300
2025-04-09,42.2900,43.6800,39.3000,43.1900,422933,17664074.8400,1.266100
2025-04-10,44.1800,44.9700,43.5300,43.7900,326120,14409137.5100,1.389200
2025-04-11,43.9000,45.5700,43.6800,44.7900,306599,13638710.7100,2.283600
2025-04-14,44.9000,45.7100,44.6600,45.1200,249378,11276479.9600,0.736800
2025-04-15,45.3500,45.5600,44.3100,45.3300,248144,11167182.9100,0.465400
2025-04-16,45.3400,45.5100,43.7500,44.0000,320265,14214948.8000,-2.934000
2025-04-17,43.6500,44.7500,42.8600,43.8600,250011,11060160.6000,-0.318200
2025-04-18,44.4400,44.4400,43.0200,43.2900,205205,8906272.9600,-1.299600
2025-04-21,42.8000,44.2800,42.8000,44.0600,264686,11562329.6100,1.778700
2025-04-22,43.5500,45.3600,43.5500,44.7500,291345,12959471.7700,1.566000
2025-04-23,45.2900,46.7600,45.1900,46.4000,393242,18131663.5400,3.687200
2025-04-24,46.4000,46.7800,44.3000,44.7000,384177,17423773.7300,-3.663800
2025-04-25,44.7000,45.2900,44.1200,44.7400,244238,10916026.8100,0.089500
2025-04-28,44.8100,45.3000,43.7100,43.8900,205928,9076205.7100,-1.899900
2025-04-29,43.6700,45.9600,43.6700,45.7500,340301,15357708.9900,4.237900
2025-04-30,47.5500,54.9000,47.5500,54.9000,2364320,125597991.3800,20.000000
2025-05-06,55.8000,61.0000,55.8000,57.4300,3547463,205096532.2700,4.608400
2025-05-07,57.3200,67.2900,56.2900,59.0000,3917041,236520002.0100,2.733800
2025-05-08,59.1800,60.6800,56.5600,57.6200,2442253,142306475.7700,-2.339000
2025-05-09,57.8900,58.2900,54.7000,55.0900,1840046,102711132.1500,-4.390800
2025-05-12,55.5600,56.4000,55.0200,56.0700,1171789,65374137.3900,1.778900
2025-05-13,56.4100,56.9800,55.2000,55.4300,899208,50272768.8700,-1.141400
2025-05-14,55.4300,55.9700,54.2600,54.5200,1206576,66350016.2900,-1.641700
2025-05-15,54.9900,55.1200,53.5800,54.5000,990763,53876015.7500,-0.036700
2025-05-16,54.7700,56.5400,54.1100,56.1300,1508476,84105672.1900,2.990800
2025-05-19,56.2100,58.1700,54.0000,57.7000,1544862,87393068.2700,2.797100
2025-05-20,57.7900,57.9000,56.1300,57.3100,974432,55717441.7900,-0.675900
2025-05-21,57.5000,57.6000,55.3200,55.5800,877497,49166925.8200,-3.018700
2025-05-22,55.9000,56.9300,55.0200,55.2700,591611,33068736.0800,-0.557800
2025-05-23,55.5000,56.4400,53.7200,53.7500,1109208,61043373.6500,-2.750100
2025-05-26,53.4000,54.7000,53.3300,54.3100,667837,36139613.4700,1.041900
2025-05-27,54.9700,56.2900,54.0000,56.0200,898112,49639331.5800,3.148600
2025-05-28,56.1000,57.2800,55.4400,56.5400,832467,46897986.6900,0.928200
2025-05-29,57.1900,61.0000,56.8000,58.3800,2138124,125855831.8000,3.254300
2025-05-30,58.2700,58.2700,54.5100,55.3300,1405599,77954933.9200,-5.224400
2025-06-03,55.8000,55.8000,54.5000,54.7300,865914,47503363.8100,-1.084400
2025-06-04,54.5100,55.2400,53.8800,54.5200,727433,39488233.3000,-0.383700
2025-06-05,54.9600,56.7800,54.9600,55.4800,927805,51792197.1500,1.760800
2025-06-06,55.9700,55.9700,54.0200,54.4800,675900,36882094.7600,-1.802500
2025-06-09,54.4800,55.8600,54.0400,54.8000,611914,33770656.2700,0.587400
2025-06-10,54.8700,55.4700,52.7500,53.7700,807315,43387102.8300,-1.879600
2025-06-11,54.3000,55.2700,53.7500,53.9500,552234,30094957.2500,0.334800
2025-06-12,54.2600,54.5300,53.0000,53.3400,424324,22754608.5500,-1.130700
2025-06-13,53.2000,53.5000,51.3800,51.5100,594366,30964898.7100,-3.430800
2025-06-16,50.9600,54.5900,50.9600,53.8300,909940,48309100.9400,4.504000
2025-06-17,53.3300,54.1400,51.8500,52.3500,482019,25309457.1400,-2.749400
2025-06-18,52.4000,52.8500,51.5900,52.7100,376106,19573377.1600,0.687700
2025-06-19,52.8300,54.4200,51.0000,51.1000,564081,29605733.8200,-3.054400
2025-06-20,51.2000,51.9800,50.2700,50.8200,405132,20643826.7300,-0.547900
2025-06-23,51.0700,51.3300,50.0500,51.0400,240501,12240557.1900,0.432900
2025-06-24,51.0500,52.9200,50.6700,52.8300,601871,31549578.1200,3.507100
2025-06-25,53.3500,53.3500,51.9400,52.7600,549851,28811703.0000,-0.132500
2025-06-26,52.8800,52.9000,51.9300,52.1600,453517,23732585.7000,-1.137200
2025-06-27,52.1600,53.5200,52.1600,52.5300,370923,19555640.7500,0.709400
