date,open,high,low,close,volume,amount,pctChg
2025-01-02,98.0400,99.3300,92.1000,94.4800,1367870,130567996.4300,-3.611500
2025-01-03,93.9100,98.0000,93.3000,93.5100,881248,83903930.0500,-1.026700
2025-01-06,93.0000,95.6500,91.4000,93.2200,967219,90437166.2100,-0.310100
2025-01-07,94.6200,102.7400,93.0500,102.0000,1589094,158079144.3200,9.418600
2025-01-08,102.0000,106.4900,99.7700,104.7000,1238838,127480129.2100,2.647100
2025-01-09,104.5000,106.4800,102.3400,105.1500,1040486,108765583.0200,0.429800
2025-01-10,105.2100,106.9500,101.2000,102.0000,816695,84852949.9800,-2.995700
2025-01-13,101.0000,105.0500,100.0000,101.9100,616961,63176815.6900,-0.088200
2025-01-14,103.0000,105.8500,101.5600,103.9500,800122,83288014.7200,2.001800
2025-01-15,103.7400,104.5200,101.0500,101.1200,912962,93336132.6000,-2.722500
2025-01-16,101.5800,103.0000,95.1400,97.2500,1965358,193310538.5800,-3.827100
2025-01-17,97.8000,98.9900,95.5300,97.9100,836091,81206015.3100,0.678700
2025-01-20,99.9200,104.5800,98.5100,102.3800,1300894,133192998.5500,4.565400
2025-01-21,102.3800,107.9300,102.0000,106.9500,1309927,137926933.9400,4.463800
2025-01-22,106.9500,108.4700,104.6200,106.0100,1110065,118317196.2700,-0.878900
2025-01-23,107.3700,110.2600,105.1500,108.0000,1315491,141772010.0100,1.877200
2025-01-24,106.3800,117.3000,104.0000,114.1900,2769001,313614804.4100,5.731500
2025-01-27,114.5500,114.5500,110.0000,113.1700,952266,107339531.4200,-0.893200
2025-02-05,113.1700,113.9800,109.0000,112.9100,965400,107677810.2500,-0.229700
2025-02-06,112.3200,119.9600,111.3800,119.1500,1702325,198569125.4100,5.526500
2025-02-07,119.7800,123.2700,117.8000,120.8000,1505632,182481973.7400,1.384800
2025-02-10,120.8100,126.6600,120.0300,121.7000,1583198,196009109.5800,0.745000
2025-02-11,122.5000,125.8800,119.7900,120.5100,1325362,161705353.5400,-0.977800
2025-02-12,118.6700,121.0800,114.1000,114.6200,2287547,265928185.5600,-4.887600
2025-02-13,114.6200,115.8800,112.4000,113.1100,1505477,171280334.0700,-1.317400
