date,open,high,low,close,volume,amount,pctChg
2025-10-28,88.0000,91.3200,73.3300,91.1000,34322894,2781753187.1000,213.489300
2025-10-29,90.0100,120.0300,90.0000,113.2200,20884216,2171458296.2300,24.281000
2025-10-30,115.0000,123.8800,113.0300,117.9000,16602025,1951353887.4000,4.133500
2025-10-31,120.0000,132.0300,115.2000,123.5500,15513015,1898219261.7100,4.792200
2025-11-03,120.0000,129.8600,115.4400,128.0100,13270696,1603318681.2300,3.609900
2025-11-04,127.0000,131.0200,122.8800,128.0800,10057075,1274269484.9300,0.054700
2025-11-05,126.8000,128.7700,111.6800,112.0000,18578572,2205837449.1800,-12.554700
2025-11-06,112.9800,113.8000,100.5000,102.2100,16267386,1729168501.1000,-8.741100
2025-11-07,101.0000,104.0000,94.5000,94.9600,12626705,1249339479.2100,-7.093200
2025-11-10,92.5000,94.7000,90.6600,93.5000,9435858,872582009.0500,-1.537500
2025-11-11,92.8900,92.8900,86.0000,86.0000,10760101,951933385.6200,-8.021400
2025-11-12,85.7500,89.9900,85.0700,88.4900,11283528,990287554.8300,2.895300
2025-11-13,87.7600,87.7800,83.6100,85.4900,7987094,685181898.0900,-3.390200
2025-11-14,86.1200,90.1400,84.8800,86.0200,8263841,721117381.9800,0.620000
2025-11-17,82.6800,84.3000,81.7000,83.1900,6405339,530663162.5500,-3.289900
2025-11-18,82.8200,83.7800,79.3600,79.9500,5680774,458445393.1900,-3.894700
2025-11-19,79.9600,80.0900,78.0000,78.3800,3392308,267218224.5900,-1.963700
2025-11-20,79.3000,80.6000,77.9700,78.5100,3909094,309039947.5700,0.165900
2025-11-21,77.0000,79.8000,76.5700,77.0000,4236128,330884282.3100,-1.923300
2025-11-24,77.5000,77.5400,74.4200,76.6400,3432469,259590378.4200,-0.467500
2025-11-25,76.9800,79.5000,76.6400,77.4000,4622969,360785431.3700,0.991600
2025-11-26,76.8000,81.3500,76.7000,79.0400,5520467,440372998.6600,2.118900
2025-11-27,78.3000,81.2400,77.9800,79.0000,4179455,332430200.1000,-0.050600
2025-11-28,78.6000,79.0000,76.6700,79.0000,3128800,243558772.8000,0.000000
2025-12-01,79.1900,81.6900,79.1000,81.6000,4156200,336463936.1000,3.291100
2025-12-02,82.5000,84.4700,80.7100,81.6900,4940582,409904869.8000,0.110300
2025-12-03,80.2800,81.4500,78.9000,78.9400,3198329,255363451.5100,-3.366400
2025-12-04,78.0700,79.8700,77.3900,77.9600,2299250,180784805.7800,-1.241400
2025-12-05,77.9500,78.8800,75.5000,78.5800,2772306,214299010.2000,0.795300
2025-12-08,78.0000,78.7900,77.3300,78.2600,2896835,225688469.5600,-0.407200
2025-12-09,78.0800,79.6900,77.7900,77.9200,2217024,174474556.7400,-0.434400
2025-12-10,77.5000,79.3400,76.3100,78.2000,2743384,213984260.4100,0.359300
2025-12-11,78.2100,83.2300,77.6000,80.5000,5650541,456183526.4800,2.941200
2025-12-12,79.3300,79.5600,77.4800,77.5400,4162939,324962616.7900,-3.677000
2025-12-15,77.0000,77.0500,74.4200,74.4200,2943335,222488475.3000,-4.023700
2025-12-16,74.4000,74.4000,72.0000,72.0000,2429728,177085905.6100,-3.251800
2025-12-17,71.9500,72.4000,70.5700,72.0900,2010552,143858854.6700,0.125000
2025-12-18,71.7800,73.0900,71.1000,71.8500,1347546,97197650.1000,-0.332900
2025-12-19,72.0500,73.4000,71.5200,72.3100,1676030,121670533.0200,0.640200
2025-12-22,72.3100,72.5000,70.8500,71.1200,2281820,162764299.0800,-1.645700
2025-12-23,71.0000,71.0100,69.2000,69.4900,2555054,178065555.3500,-2.291900
2025-12-24,69.1300,69.9100,68.9300,69.7100,1386031,96387778.3200,0.316600
2025-12-25,69.6000,69.8200,69.2200,69.4100,1391750,96654647.9000,-0.430400
2025-12-26,69.4100,72.3300,68.6800,71.6100,3386837,238521414.2500,3.169600
2025-12-29,71.4400,71.4800,70.0800,70.2700,1687915,118940348.0100,-1.871200
2025-12-30,70.6000,71.9900,70.2000,70.2600,1541085,109324394.2900,-0.014200
2025-12-31,70.0100,70.8200,69.0900,69.1100,1362231,94549214.3100,-1.636800
2026-01-05,69.1000,72.5100,68.8200,72.3000,3059707,218152664.9400,4.615800
2026-01-06,72.0000,72.8200,71.8000,72.2800,2373432,171566224.2200,-0.027700
