date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.3700,10.6000,10.1900,10.3000,4707700,49057275.0000,-0.675000
2025-01-03,10.3200,10.3800,9.7900,9.8300,5175700,51812322.0000,-4.563100
2025-01-06,9.8000,9.8700,9.4800,9.7300,4777900,46334414.0000,-1.017300
2025-01-07,9.7500,9.8700,9.6500,9.8600,3324624,32448983.5200,1.336100
2025-01-08,9.8300,9.8700,9.5000,9.8000,3663800,35621399.3700,-0.608500
2025-01-09,9.7300,9.8200,9.6400,9.7000,4794600,46573277.0000,-1.020400
2025-01-10,9.6800,9.7200,9.4300,9.4500,5307600,50747115.0000,-2.577300
2025-01-13,9.3900,9.5400,9.1800,9.5200,4345699,40820703.5800,0.740700
2025-01-14,9.5300,9.8000,9.5100,9.8000,4568500,44239549.0000,2.941200
2025-01-15,9.7500,9.9100,9.7200,9.8400,3819500,37478286.0000,0.408200
2025-01-16,9.8900,10.0500,9.8300,9.9100,3047300,30295891.0000,0.711400
2025-01-17,9.9100,9.9100,9.7900,9.8600,3004200,29575775.0000,-0.504500
2025-01-20,9.9900,10.0500,9.8700,9.9900,2864199,28600724.0100,1.318500
2025-01-21,10.0500,10.0600,9.8300,9.9300,2475501,24497787.8600,-0.600600
2025-01-22,9.9000,9.9300,9.7300,9.7900,2528800,24753977.0000,-1.409900
2025-01-23,9.8400,9.9200,9.7700,9.8000,2918424,28783997.4000,0.102100
2025-01-24,9.7900,9.9700,9.7200,9.9600,3134567,30885321.2500,1.632700
2025-01-27,9.9900,10.1900,9.9600,10.0300,2898900,29278182.0000,0.702800
2025-02-05,10.0900,10.0900,9.8700,9.9600,3015934,30057201.6800,-0.697900
2025-02-06,9.9600,10.1200,9.9000,10.1200,4827954,48314648.9200,1.606400
2025-02-07,10.1000,10.3600,10.0700,10.2100,7026740,71550518.8000,0.889300
2025-02-10,10.2300,10.4200,10.1600,10.3700,7101360,72974555.0000,1.567100
2025-02-11,10.4000,10.5500,10.3600,10.4900,5676378,59322234.6000,1.157200
2025-02-12,10.4500,10.5400,10.3200,10.4700,5694964,59314479.9800,-0.190700
2025-02-13,10.4300,10.4900,10.3300,10.3600,5898800,61422721.0000,-1.050600
2025-02-14,10.4000,10.4000,10.2700,10.3200,3407660,35183323.2000,-0.386100
2025-02-17,10.3500,10.4000,10.2800,10.3800,4317800,44628324.0000,0.581400
2025-02-18,10.3800,10.4300,10.1300,10.1900,3603540,37133448.0000,-1.830400
2025-02-19,10.2000,10.3400,10.1500,10.3300,4280802,43803945.3800,1.373900
2025-02-20,10.3600,10.5300,10.2600,10.5200,6690983,69871583.2300,1.839300
2025-02-21,10.4600,10.6700,10.3800,10.5200,7382924,77521961.1100,0.000000
2025-02-24,10.5200,10.5500,10.3300,10.3900,7188260,74895728.4000,-1.235700
2025-02-25,10.3500,10.4200,10.2600,10.3300,4317387,44593767.6400,-0.577500
2025-02-26,10.3000,10.4900,10.3000,10.4200,5770294,60095123.2300,0.871200
2025-02-27,10.4500,11.1900,10.4100,11.1300,18859720,205282217.2500,6.813800
2025-02-28,11.0000,11.2500,10.8600,10.9200,13022982,143360262.6500,-1.886800
2025-03-03,10.9800,11.0700,10.7500,10.8600,7912138,85995328.4000,-0.549500
2025-03-04,10.8600,10.9200,10.8000,10.8900,6941542,75308853.3500,0.276200
2025-03-05,10.8900,10.9500,10.7300,10.8900,5443961,59052023.0300,0.000000
2025-03-06,10.9200,11.0900,10.8300,10.9600,9907410,108731753.6000,0.642800
2025-03-07,10.9800,11.1600,10.9100,10.9900,5740860,63274093.6000,0.273700
2025-03-10,11.0500,11.1000,10.8900,11.0100,5023883,55130564.9500,0.182000
2025-03-11,10.9200,11.0700,10.8500,11.0700,6249180,68457842.6000,0.545000
2025-03-12,11.0700,11.4000,11.0100,11.1100,13028143,144792729.4900,0.361300
2025-03-13,11.1100,11.1100,10.7500,10.9400,6561400,71579638.0000,-1.530200
2025-03-14,10.9300,11.0800,10.8300,11.0300,10823601,118405578.9700,0.822700
2025-03-17,11.0300,11.2600,11.0300,11.1100,15392421,171579233.4700,0.725300
2025-03-18,11.0800,11.1200,10.9400,11.0900,9620006,105871633.0800,-0.180000
2025-03-19,11.1000,11.5900,11.0900,11.4500,18340143,208923860.3000,3.246200
2025-03-20,11.3400,11.4900,11.2800,11.3700,9112460,103706265.7800,-0.698700
2025-03-21,11.4600,11.4700,11.0600,11.1200,7513643,84281603.1600,-2.198800
2025-03-24,11.1500,11.3900,10.8900,11.0900,8188600,91077279.0000,-0.269800
2025-03-25,11.0900,11.3700,11.0000,11.2400,6701180,75161498.4000,1.352600
2025-03-26,11.2300,11.3300,11.1400,11.2900,6327600,71165392.0000,0.444800
2025-03-27,11.3000,11.3000,11.0400,11.1600,5453400,60776237.0000,-1.151500
2025-03-28,11.1500,11.1800,11.0000,11.0500,4415900,48876640.0000,-0.985700
2025-03-31,11.0000,11.1000,10.8300,10.9600,5817400,63683425.0000,-0.814500
2025-04-01,10.9500,11.1800,10.9500,11.0300,4121900,45666840.0000,0.638700
2025-04-02,11.0000,11.1500,10.9400,11.0700,3574200,39491335.0000,0.362600
2025-04-03,10.9600,11.0500,10.8800,10.9800,3884000,42586133.0000,-0.813000
