date,open,high,low,close,volume,amount,pctChg
2025-01-02,22.3800,22.4900,21.4900,21.9000,15159440,334334462.0000,-2.232100
2025-01-03,21.8800,22.0000,20.6600,20.7100,18701960,395929651.8500,-5.433800
2025-01-06,20.5900,20.8300,20.2700,20.5600,14864785,305590877.2500,-0.724300
2025-01-07,20.5600,20.9500,20.5500,20.9500,12930495,269203266.4500,1.896900
2025-01-08,21.0300,21.0400,20.2100,20.9300,13144740,272681292.2500,-0.095500
2025-01-09,20.9300,21.3800,20.8300,21.0300,12394895,261378174.1600,0.477800
2025-01-10,21.0000,21.2300,20.4600,20.4700,11615200,242796001.0000,-2.662900
2025-01-13,20.1800,20.5000,19.9400,20.4000,9280907,188170392.3000,-0.342000
2025-01-14,20.5300,21.7200,20.4000,21.6300,21571917,458661252.5000,6.029400
2025-01-15,21.5500,21.8400,21.3800,21.4100,15042480,324526634.3500,-1.017100
2025-01-16,21.5800,21.9700,21.1800,21.4500,13281690,286346840.2000,0.186800
2025-01-17,21.3700,21.6600,21.2000,21.4600,10227712,219000661.4500,0.046600
2025-01-20,21.5300,21.7900,21.4000,21.6500,12601831,272658951.7600,0.885400
2025-01-21,21.7300,21.7800,21.2000,21.3900,9153590,196042127.7000,-1.200900
2025-01-22,21.3300,21.3400,20.9700,21.0700,8957670,189271511.6000,-1.496000
2025-01-23,21.2200,21.6800,20.8900,20.8900,13235774,281989873.4500,-0.854300
2025-01-24,20.8600,21.2300,20.7700,21.1400,9864047,208135935.5300,1.196700
2025-01-27,21.1400,21.2800,20.3400,20.3500,10607770,219678507.3600,-3.737000
2025-02-05,20.7300,21.0600,20.5500,20.8300,12934800,270264866.4000,2.358700
2025-02-06,20.7800,21.6600,20.6000,21.6200,18557322,396679985.0600,3.792600
2025-02-07,21.6300,23.1700,21.5200,22.4400,39786658,893469377.1400,3.792800
2025-02-10,22.6000,24.6800,22.5100,24.6800,46541642,1105256491.3000,9.982200
2025-02-11,25.0000,25.7900,24.8200,24.8600,76127297,1920649440.0400,0.729300
2025-02-12,24.3600,25.4000,24.2800,25.1000,45473814,1137198952.8300,0.965400
2025-02-13,25.0300,25.0800,23.8800,24.2600,42143937,1026634058.6300,-3.346600
2025-02-14,24.1700,24.4800,23.6000,23.8500,24983073,597254120.7400,-1.690000
2025-02-17,23.8500,24.3800,23.6100,23.8200,21506552,514777207.1800,-0.125800
2025-02-18,23.7200,24.6000,23.0800,23.1300,30870877,737031451.9000,-2.896700
2025-02-19,23.0500,23.3200,22.9000,23.2900,21576280,499623534.1600,0.691700
2025-02-20,23.0900,23.2500,22.8300,23.0500,20419851,469612781.5700,-1.030500
2025-02-21,23.1800,24.1000,22.9000,23.8000,35895878,842977842.5000,3.253800
2025-02-24,24.0000,25.4500,23.4000,24.9800,52509042,1285106197.1500,4.958000
2025-02-25,24.2900,25.1000,24.1000,24.3400,35869811,879147478.1600,-2.562000
2025-02-26,24.4000,24.6400,24.0000,24.1700,23708569,573083494.0800,-0.698400
2025-02-27,24.1500,24.2500,23.2700,23.6800,22163480,524928829.5600,-2.027300
2025-02-28,23.5200,23.5200,22.1600,22.1700,20484180,466895145.1000,-6.376700
2025-03-03,22.2000,23.1300,21.9000,22.5700,20723458,467169259.1300,1.804200
2025-03-04,22.1800,22.7500,22.1000,22.6700,13157154,295641857.4500,0.443100
2025-03-05,22.6900,22.7700,22.2200,22.5800,13103156,294693099.1800,-0.397000
2025-03-06,22.6800,23.2900,22.5500,23.0900,20365555,467649397.5600,2.258600
2025-03-07,23.0000,23.0200,22.3200,22.4800,14940691,339350870.9500,-2.641800
2025-03-10,22.4000,22.6100,22.3100,22.5400,8942040,200514404.4300,0.266900
2025-03-11,22.3000,22.5000,22.0600,22.3700,9115116,203061228.1100,-0.754200
2025-03-12,22.4800,22.7900,22.4000,22.5000,10798611,244075364.6100,0.581100
2025-03-13,22.4000,22.4400,21.7600,21.8600,14979924,329831333.7800,-2.844400
2025-03-14,21.8300,22.0400,21.3200,22.0000,15587677,338871775.4500,0.640400
2025-03-17,22.1000,24.2000,22.1000,24.2000,27284264,646201683.3500,10.000000
2025-03-18,25.2400,26.6000,24.9700,25.6100,110316041,2834071631.3100,5.826400
2025-03-19,25.6000,27.1900,25.1000,25.9900,83485534,2181334915.0400,1.483800
2025-03-20,25.5600,25.7000,24.6000,24.6400,59187016,1484582398.6400,-5.194300
2025-03-21,24.2200,24.5500,22.9900,23.0600,46860771,1106796787.6600,-6.412300
2025-03-24,23.0000,23.5400,22.0000,22.5000,30658393,694963105.9000,-2.428400
2025-03-25,22.4400,22.4800,21.8200,21.9000,21125751,466053551.6900,-2.666700
2025-03-26,21.7000,22.1800,21.7000,21.8300,17519322,383991489.7800,-0.319600
2025-03-27,21.8300,24.0100,21.7800,24.0100,32803984,763968854.2800,9.986300
2025-03-28,24.0000,24.9800,23.5000,24.4400,71510474,1728507751.5400,1.790900
2025-03-31,24.0500,24.5000,23.4000,23.5200,36409261,863643362.4700,-3.764300
2025-04-01,23.7200,23.7800,23.2700,23.3000,23496915,551873357.5500,-0.935400
2025-04-02,23.0000,23.4000,22.8900,23.0400,17333368,399388714.3600,-1.115900
2025-04-03,22.7200,24.5000,22.7100,23.9600,49320238,1176902793.2100,3.993100
2025-04-07,21.6600,22.5400,21.5600,21.5600,19338400,419853913.0000,-10.016700
2025-04-08,20.5000,21.3300,19.4000,19.9000,43367398,866379066.9200,-7.699400
2025-04-09,19.5900,21.5000,17.9100,20.6100,41422408,800037148.3200,3.567800
2025-04-10,20.9700,21.8200,20.6000,21.0800,36777600,779551436.4500,2.280400
2025-04-11,20.6700,23.1900,20.5300,23.1900,45511380,1034666749.0300,10.009500
2025-04-14,24.0100,25.5100,23.7800,25.5100,97686204,2392585167.7600,10.004300
2025-04-15,26.6800,27.9800,24.9400,25.9100,120678411,3151757051.7100,1.568000
2025-04-16,26.0900,26.8700,25.1000,25.7300,85784420,2238298477.9000,-0.694700
2025-04-17,25.1600,27.5100,25.0100,26.2300,90104582,2369269811.6500,1.943300
2025-04-18,25.5100,25.6000,24.4600,24.6200,65193439,1625674881.5600,-6.138000
2025-04-21,24.7000,25.0300,24.4000,24.8900,41094831,1015187366.2700,1.096700
2025-04-22,25.4400,25.6000,24.6500,24.7000,45010729,1130056946.8400,-0.763400
2025-04-23,25.0000,25.0800,24.4500,24.5100,38889871,960196840.4400,-0.769200
2025-04-24,24.5000,24.5200,23.8400,23.9200,27720586,667025335.8700,-2.407200
2025-04-25,24.0300,25.6800,23.7800,24.8600,63007149,1565557690.5600,3.929800
2025-04-28,24.5600,24.9900,24.3100,24.3300,29834395,732859307.7100,-2.131900
2025-04-29,24.4800,25.8800,24.1300,25.4200,58898576,1481561965.6700,4.480100
