date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.9500,11.0300,10.3800,10.5000,24930064,266642254.4300,-4.371600
2025-01-03,10.5000,10.5500,10.0000,10.0600,22884701,234736426.2900,-4.190500
2025-01-06,10.0600,10.1500,9.8100,9.9600,18736645,187089999.5800,-0.994000
2025-01-07,10.0000,10.1200,9.8600,10.0900,13684200,136757794.0000,1.305200
2025-01-08,10.1500,10.3000,9.7300,10.0400,18932424,189758855.0800,-0.495500
2025-01-09,9.9600,10.2100,9.9200,10.1600,15941300,161424791.0000,1.195200
2025-01-10,10.1500,10.3400,9.9700,10.1200,18789482,190406273.2000,-0.393700
2025-01-13,9.9600,10.0900,9.7400,9.9700,15394478,152809663.9800,-1.482200
2025-01-14,10.0200,10.5000,9.9800,10.4900,26349500,271325000.0000,5.215600
2025-01-15,10.5000,10.5300,10.1300,10.2900,17336100,178030734.0900,-1.906600
2025-01-16,10.3500,10.5800,10.1600,10.2200,16052501,165908350.1900,-0.680300
2025-01-17,10.1500,10.4900,10.0600,10.2700,18689741,191899451.4600,0.489200
2025-01-20,10.2500,10.4300,10.1900,10.2300,16162077,166065114.2900,-0.389500
2025-01-21,10.1600,10.3000,9.9600,10.0000,15799200,158859476.0000,-2.248300
2025-01-22,9.9400,10.0000,9.8000,9.8500,13087510,129317426.2900,-1.500000
2025-01-23,9.9700,10.2300,9.6600,9.6600,21182562,210191874.7200,-1.928900
2025-01-24,9.6600,9.8800,9.6000,9.7600,21562841,210384800.9600,1.035200
2025-01-27,9.8600,9.9500,9.6300,9.6800,12940010,126219616.0000,-0.819700
2025-02-05,9.9000,10.6500,9.8300,10.6500,42122145,435760374.7400,10.020700
2025-02-06,10.8500,10.9700,10.4500,10.8300,50806106,544224218.2800,1.690100
2025-02-07,10.8300,11.9100,10.7500,11.5000,80928036,924383483.4000,6.186500
2025-02-10,11.7500,12.2000,11.5100,11.9800,73895884,876312999.4600,4.173900
2025-02-11,11.8400,11.8800,11.2900,11.4000,50722000,580364974.0000,-4.841400
2025-02-12,11.3300,11.9800,11.2800,11.7300,44592578,520104484.8100,2.894700
2025-02-13,11.7400,11.8000,11.3700,11.3800,31162218,357689933.3600,-2.983800
