date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.5000,4.6100,4.3700,4.4400,86295325,387819550.1500,-1.552100
2025-01-03,4.4400,4.5000,4.1600,4.1800,93999487,401776946.4900,-5.855900
2025-01-06,4.1400,4.1900,4.0100,4.0800,72066400,294932336.0000,-2.392300
2025-01-07,4.1200,4.2800,4.1000,4.2800,95927920,404606019.6000,4.902000
2025-01-08,4.2900,4.3500,4.1000,4.3200,102563130,434922942.2000,0.934600
2025-01-09,4.3200,4.4700,4.3000,4.3800,89443807,392073605.8800,1.388900
2025-01-10,4.3600,4.4100,4.1600,4.1600,72756860,311920914.4000,-5.022800
2025-01-13,4.1000,4.2000,4.0000,4.1500,56567240,232405608.6000,-0.240400
2025-01-14,4.1800,4.4800,4.1700,4.4800,107740922,469182900.4200,7.951800
2025-01-15,4.4800,4.4800,4.3400,4.3900,77734600,342340834.4000,-2.008900
2025-01-16,4.4500,4.5700,4.4100,4.4600,86574850,388487527.5000,1.594500
2025-01-17,4.4300,4.5100,4.3600,4.4700,69255413,307334261.6800,0.224200
2025-01-20,4.5400,4.5800,4.4100,4.4500,61409889,275266645.5700,-0.447400
2025-01-21,4.4900,4.5000,4.3000,4.3600,55629602,243108441.7200,-2.022500
2025-01-22,4.3000,4.3600,4.2500,4.2700,45653800,195863465.0000,-2.064200
2025-01-23,4.3300,4.4700,4.2000,4.2000,76694382,332605243.2600,-1.639300
2025-01-24,4.2000,4.2600,4.1600,4.2000,46732982,196613422.4000,0.000000
2025-01-27,4.2300,4.2800,4.1000,4.1000,44552980,185520382.4000,-2.381000
2025-02-05,4.2000,4.3800,4.1700,4.2700,92614587,397622821.0400,4.146300
2025-02-06,4.2800,4.4800,4.2100,4.4500,113324217,498427884.9100,4.215500
2025-02-07,4.4500,4.9000,4.4300,4.9000,161235384,764149508.4000,10.112400
2025-02-10,5.1500,5.3900,5.0100,5.3900,345686774,1792884958.1900,10.000000
2025-02-11,5.3800,5.3800,5.0800,5.1200,229236528,1186216493.4700,-5.009300
2025-02-12,5.1500,5.3300,5.1200,5.2200,186762530,969720166.8100,1.953100
2025-02-13,5.1800,5.3700,5.0600,5.2400,210678672,1096155208.8400,0.383100
2025-02-14,5.1900,5.1900,5.0500,5.0900,125036292,637534057.5200,-2.862600
2025-02-17,5.0900,5.3300,5.0500,5.2600,165481627,860293549.7900,3.339900
2025-02-18,5.3000,5.6600,5.1600,5.3900,294125618,1598100872.2400,2.471500
