date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.7100,8.8300,8.4300,8.5000,7376550,63698420.7600,-2.634600
2025-01-03,8.5300,8.6400,8.3100,8.3300,6212642,52630543.4400,-2.000000
2025-01-06,8.3500,8.4600,8.2000,8.3900,4735704,39473997.9000,0.720300
2025-01-07,8.3800,8.4100,8.2300,8.3700,4665500,38799548.6800,-0.238400
2025-01-08,8.3600,8.3800,8.1500,8.3600,5445788,45149388.6800,-0.119500
2025-01-09,8.3100,8.3500,8.2300,8.2500,3289480,27219585.9200,-1.315800
2025-01-10,8.2600,8.2600,8.1300,8.1300,3195397,26227070.9900,-1.454500
2025-01-13,8.1200,8.1400,8.0100,8.1100,3593275,29023216.7800,-0.246000
2025-01-14,8.1100,8.3600,8.1100,8.3600,4505420,37237777.9000,3.082600
2025-01-15,8.3000,8.4300,8.3000,8.3500,3320900,27791815.0000,-0.119600
2025-01-16,8.4000,8.5500,8.3800,8.5300,5162350,43717208.5000,2.155700
2025-01-17,8.5300,8.5300,8.4400,8.4600,3186900,27038225.0000,-0.820600
2025-01-20,8.5200,8.5500,8.4500,8.5200,3001520,25539309.2000,0.709200
2025-01-21,8.5000,8.5600,8.4400,8.4900,2617926,22241811.7800,-0.352100
2025-01-22,8.5200,8.5200,8.3800,8.4400,2006600,16927009.0000,-0.588900
2025-01-23,8.5000,8.6400,8.4900,8.5100,3597104,30786929.0400,0.829400
2025-01-24,8.4600,8.5400,8.4100,8.5100,3766874,31926735.0000,0.000000
2025-01-27,8.5500,8.6700,8.5200,8.5900,4860449,41841188.9100,0.940100
2025-02-05,8.5900,8.6200,8.3300,8.3600,5659545,47735863.3400,-2.677500
2025-02-06,8.3200,8.4100,8.3000,8.4100,3733579,31218244.7300,0.598100
2025-02-07,8.4200,8.5300,8.3600,8.4900,4914359,41576632.8800,0.951200
2025-02-10,8.5300,8.6300,8.4900,8.5300,3921400,33488819.5000,0.471100
2025-02-11,8.5100,8.5800,8.4700,8.5800,3762030,32101996.5200,0.586200
2025-02-12,8.5700,8.6000,8.4900,8.5900,3943452,33711194.0600,0.116600
2025-02-13,8.5700,8.6300,8.4500,8.4900,3817848,32606781.4400,-1.164100
2025-02-14,8.4500,8.5100,8.4100,8.4500,3648000,30825836.0000,-0.471100
2025-02-17,8.4200,8.4800,8.3500,8.4600,3806300,32090425.5300,0.118300
2025-02-18,8.4700,8.4700,8.3000,8.3300,3721400,31200397.0000,-1.536600
2025-02-19,8.3300,8.3700,8.2900,8.3100,4453300,37033713.4200,-0.240100
2025-02-20,8.3300,8.3400,8.2200,8.3300,3683961,30555180.3200,0.240700
2025-02-21,8.3300,8.3900,8.2700,8.3300,4459206,37102499.0000,0.000000
2025-02-24,8.2900,8.5000,8.2800,8.4600,6220550,52390060.5000,1.560600
2025-02-25,8.4100,8.4400,8.3200,8.3400,4204800,35248942.0000,-1.418400
2025-02-26,8.4000,8.5800,8.3400,8.5400,7344418,62460834.3400,2.398100
2025-02-27,8.5600,8.6700,8.4300,8.5400,5548400,47306816.3200,0.000000
2025-02-28,8.5100,8.5300,8.3300,8.3500,4824650,40599083.5000,-2.224800
2025-03-03,8.3800,8.4200,8.3100,8.3600,4716550,39496486.5000,0.119800
2025-03-04,8.3400,8.4400,8.3200,8.4000,2936818,24629659.2000,0.478500
2025-03-05,8.3500,8.4100,8.2300,8.3400,4269001,35387771.2800,-0.714300
2025-03-06,8.3500,8.3900,8.3200,8.3600,5085667,42452019.3200,0.239800
2025-03-07,8.3400,8.4700,8.3100,8.4300,6354382,53391168.6300,0.837300
2025-03-10,8.4600,8.5200,8.4300,8.4900,5713750,48453117.0000,0.711700
2025-03-11,8.4300,8.6000,8.3900,8.5900,4405750,37377688.2900,1.177900
2025-03-12,8.6000,8.7700,8.5600,8.7500,8449399,73496438.8300,1.862600
2025-03-13,8.7300,8.8200,8.6700,8.8200,6253050,54625694.4400,0.800000
2025-03-14,8.8200,8.8900,8.7700,8.8400,6890550,60883455.5000,0.226800
2025-03-17,8.8400,8.9500,8.8100,8.9300,6547826,58238122.4000,1.018100
2025-03-18,8.9600,8.9600,8.8300,8.8800,4984950,44250240.5000,-0.559900
2025-03-19,8.8900,8.9600,8.8400,8.9000,4628200,41197073.5000,0.225200
2025-03-20,8.9100,8.9200,8.8100,8.8500,4843000,42909168.4900,-0.561800
2025-03-21,8.8300,8.9300,8.7400,8.8000,6243868,55218089.5500,-0.565000
2025-03-24,8.6200,8.6500,8.4200,8.5300,12965750,110490583.6600,-3.068200
2025-03-25,8.5200,8.6400,8.5100,8.6100,7254192,62304265.2000,0.937900
2025-03-26,8.5900,8.6600,8.5500,8.6500,5085450,43869282.5000,0.464600
2025-03-27,8.6500,8.6600,8.5300,8.6200,4518900,38882492.0000,-0.346800
2025-03-28,8.6300,8.7200,8.5400,8.5700,6150900,53072874.0000,-0.580000
2025-03-31,8.5400,8.5800,8.3800,8.4200,7672167,64921484.9600,-1.750300
2025-04-01,8.4600,8.6500,8.4200,8.6100,6004817,51476498.8500,2.256500
2025-04-02,8.6400,8.6700,8.5600,8.6100,3633185,31316105.3900,0.000000
2025-04-03,8.6000,8.7400,8.5700,8.6800,4333810,37555146.1400,0.813000
2025-04-07,8.4700,8.4700,7.8100,7.8100,13399749,107415828.9200,-10.023000
2025-04-08,7.8600,8.0100,7.7800,7.8900,9501477,74864774.3800,1.024300
2025-04-09,7.8200,7.9700,7.6000,7.9200,8621390,67166774.1200,0.380200
2025-04-10,7.9800,8.1300,7.9600,8.0200,6689269,53871529.4200,1.262600
2025-04-11,7.9700,8.0700,7.9700,7.9900,4676338,37487172.2400,-0.374100
2025-04-14,8.0500,8.0800,8.0100,8.0800,4922488,39644074.7800,1.126400
2025-04-15,8.0900,8.1200,8.0300,8.1100,3360875,27139870.4000,0.371300
2025-04-16,8.1000,8.1200,7.9500,8.0600,4401550,35345818.5000,-0.616500
2025-04-17,8.0300,8.1000,8.0100,8.0500,3118600,25162067.0000,-0.124100
2025-04-18,8.0400,8.1000,8.0100,8.0900,2815748,22675608.3600,0.496900
2025-04-21,8.0600,8.1200,8.0600,8.1000,2979350,24109892.5000,0.123600
