date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.4100,5.5000,5.2600,5.3100,4333400,23276833.6300,-1.848400
2025-01-03,5.3500,5.3500,4.9700,4.9800,5972200,30490541.0000,-6.214700
2025-01-06,4.9800,5.0200,4.7200,4.9600,4777450,23478294.5000,-0.401600
2025-01-07,4.9600,5.0900,4.9600,5.0900,3120450,15683103.0000,2.621000
2025-01-08,5.0900,5.1300,4.8900,5.0300,3437750,17264037.7500,-1.178800
2025-01-09,5.0900,5.2100,5.0000,5.1300,3795700,19411855.5000,1.988100
2025-01-10,5.1300,5.2100,4.9400,4.9500,3461850,17497107.0000,-3.508800
2025-01-13,4.9400,5.0200,4.7600,5.0100,3315750,16267993.0000,1.212100
2025-01-14,5.0700,5.2300,5.0500,5.2300,3807303,19671032.6000,4.391200
2025-01-15,5.2300,5.2600,5.1700,5.2200,2778080,14499354.0000,-0.191200
2025-01-16,5.2500,5.3500,5.1800,5.2400,3611250,19067369.5000,0.383100
2025-01-17,5.2400,5.2700,5.1500,5.2400,2805100,14625648.0000,0.000000
2025-01-20,5.2900,5.4000,5.1800,5.3500,3614400,19254849.0000,2.099200
2025-01-21,5.4000,5.5900,5.2100,5.2800,7485203,40233680.6600,-1.308400
2025-01-22,5.2500,5.3000,5.1500,5.2000,3569400,18587321.0000,-1.515200
2025-01-23,5.2500,5.3700,5.2200,5.2400,3614950,19180261.0000,0.769200
2025-01-24,5.2500,5.2700,5.1700,5.2500,3546650,18536652.5000,0.190800
2025-01-27,5.3000,5.5000,5.2900,5.3100,5732903,30851862.1700,1.142900
2025-02-05,5.3700,5.4400,5.3200,5.3800,3568995,19215925.1100,1.318300
2025-02-06,5.3800,5.4200,5.2400,5.4200,4540950,24313948.0000,0.743500
2025-02-07,5.4000,5.5200,5.3700,5.4500,4524301,24738494.4900,0.553500
2025-02-10,5.4800,5.6300,5.4200,5.5600,3698800,20504730.0000,2.018300
2025-02-11,5.6000,5.6000,5.4500,5.4800,3299700,18098863.0000,-1.438800
2025-02-12,5.4800,5.5400,5.4300,5.4800,3127967,17132342.4700,0.000000
2025-02-13,5.5100,5.5300,5.3600,5.3800,4035624,21852704.3800,-1.824800
2025-02-14,5.4300,5.4300,5.3100,5.3500,3148824,16906370.8800,-0.557600
2025-02-17,5.3700,5.5900,5.3100,5.5200,6803848,37332853.4300,3.177600
2025-02-18,5.5400,5.5400,5.3200,5.3400,3907063,21177253.5900,-3.260900
2025-02-19,5.4100,5.5000,5.3400,5.4500,3136350,17082941.0000,2.059900
