date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.8800,8.2900,7.8700,8.0500,65759185,533361946.4900,2.157400
2025-01-03,8.2000,8.2500,7.9100,7.9500,45681610,368259989.8400,-1.242200
2025-01-06,7.9000,8.2200,7.8100,8.0800,46888869,378904263.6900,1.635200
2025-01-07,8.0900,8.2100,8.0000,8.1300,32890973,266966283.3900,0.618800
2025-01-08,8.1000,8.3300,8.0000,8.0900,44051241,360469077.6800,-0.492000
2025-01-09,8.0300,8.2500,7.9400,8.1800,39940976,324409966.4100,1.112500
2025-01-10,8.1700,8.4000,8.1100,8.2900,53863221,445757691.5500,1.344700
2025-01-13,8.2700,8.4500,8.0800,8.3500,44675746,369904645.9500,0.723800
2025-01-14,8.2800,8.5800,8.2700,8.5500,49050564,414839743.9700,2.395200
2025-01-15,8.5000,8.6500,8.4000,8.4300,41067270,349623260.0300,-1.403500
2025-01-16,8.4300,8.5800,8.2700,8.5500,52286854,439685799.0000,1.423500
2025-01-17,8.4600,8.7400,8.3500,8.5800,46771900,400700968.3600,0.350900
2025-01-20,8.5600,8.6200,8.4500,8.4800,31074895,265359776.8500,-1.165500
2025-01-21,8.4900,8.5100,8.3900,8.4200,16883366,142321243.7100,-0.707500
2025-01-22,8.4000,8.4200,8.2300,8.2800,20349601,168988618.3400,-1.662700
2025-01-23,8.3300,8.5100,8.2700,8.4500,23414073,196630547.1700,2.053100
2025-01-24,8.3900,8.4800,8.2100,8.4300,24800936,206636484.9100,-0.236700
2025-01-27,8.4500,8.6700,8.4100,8.5300,26490810,227289559.0000,1.186200
2025-02-05,8.6400,8.6600,8.3900,8.4600,19597311,166849686.2700,-0.820600
2025-02-06,8.4300,8.4500,8.3200,8.3800,19696954,165098474.6400,-0.945600
2025-02-07,8.3800,8.5600,8.3400,8.5300,22857372,193951284.5800,1.790000
2025-02-10,8.5300,8.5400,8.2700,8.3400,29077839,242702980.2300,-2.227400
2025-02-11,8.3400,8.6400,8.3000,8.5000,30148971,257154141.2400,1.918500
2025-02-12,8.4800,8.5200,8.3500,8.4300,15285924,128515130.0200,-0.823500
2025-02-13,8.4300,8.5000,8.3400,8.3500,16806445,141275268.0200,-0.949000
2025-02-14,8.3200,8.3600,8.1700,8.2200,22512715,185302822.3500,-1.556900
2025-02-17,8.2100,8.2600,8.0800,8.2500,18067039,147647666.0500,0.365000
2025-02-18,8.2500,8.3000,8.1100,8.1700,13399819,110243161.9800,-0.969700
2025-02-19,8.1800,8.1900,8.0800,8.1400,12858500,104428579.0000,-0.367200
2025-02-20,8.1400,8.1400,8.0600,8.0700,11345030,91789820.0000,-0.860000
2025-02-21,8.1000,8.1300,8.0300,8.1100,12417149,100392090.9200,0.495700
2025-02-24,8.1000,8.2500,8.0600,8.1700,17837268,145998674.2000,0.739800
2025-02-25,8.1700,8.1700,8.0100,8.0200,20300200,163516100.8100,-1.836000
2025-02-26,8.0400,8.1200,8.0300,8.1000,14255666,115126668.9500,0.997500
2025-02-27,8.1000,8.1600,8.0600,8.1500,12164059,98753208.9300,0.617300
2025-02-28,8.1500,8.1600,8.0300,8.0600,12993600,105134524.3900,-1.104300
2025-03-03,8.0500,8.1200,8.0000,8.0700,16273822,131006699.0000,0.124100
2025-03-04,8.0500,8.2200,8.0300,8.1400,16642674,135412953.9500,0.867400
2025-03-05,8.1500,8.2700,8.1100,8.1800,15736584,128896345.1200,0.491400
2025-03-06,8.1800,8.1900,8.0900,8.1700,18277471,148472207.6500,-0.122200
2025-03-07,8.1500,8.3900,8.1300,8.2500,22084007,182461822.6600,0.979200
2025-03-10,8.2400,8.4600,8.2100,8.4100,22326784,186931039.6600,1.939400
2025-03-11,8.3700,8.4000,8.3100,8.3600,11532530,96313680.7500,-0.594500
2025-03-12,8.3700,8.3900,8.2100,8.2500,16916706,139822996.9400,-1.315800
2025-03-13,8.2500,8.3200,8.1600,8.2200,14400428,118609939.6000,-0.363600
2025-03-14,8.2400,8.3000,8.2000,8.2800,18749586,154923248.1200,0.729900
2025-03-17,8.3000,8.4300,8.2800,8.3400,16118387,134735739.4700,0.724600
2025-03-18,8.3500,8.5600,8.2700,8.4700,41196751,347913348.8900,1.558800
2025-03-19,8.4600,8.5700,8.3300,8.5100,35807598,302337750.6800,0.472300
2025-03-20,8.5200,8.6700,8.4200,8.4500,19844765,168962879.0500,-0.705100
2025-03-21,8.4100,8.5100,8.3500,8.4000,15317339,129123812.8000,-0.591700
2025-03-24,8.4300,8.4600,8.2900,8.4400,20973011,175689091.6800,0.476200
2025-03-25,8.4300,8.6600,8.4100,8.5500,26970554,230819112.9700,1.303300
2025-03-26,8.5500,9.0000,8.5000,8.7600,61818940,540590130.1100,2.456100
2025-03-27,8.6500,8.8700,8.6300,8.6800,36945538,322609209.6400,-0.913200
2025-03-28,8.6800,8.6800,8.4500,8.4900,23457038,200225357.4800,-2.188900
2025-03-31,8.4900,8.5500,8.3800,8.4800,15752240,133401717.9900,-0.117800
2025-04-01,8.5000,8.6500,8.4200,8.6300,17004460,145705967.3000,1.768900
2025-04-02,8.6300,8.7300,8.5300,8.6000,17327300,148903254.0000,-0.347600
2025-04-03,8.5100,9.1100,8.4900,9.0800,56838449,507343753.1200,5.581400
2025-04-07,8.6000,8.7900,8.1700,8.1700,59904699,504093509.3600,-10.022000
2025-04-08,8.1600,8.5100,8.1400,8.4400,44539395,371632457.0900,3.304800
2025-04-09,8.3600,9.2800,8.0200,9.2800,76265881,661640679.6200,9.952600
2025-04-10,9.9800,10.2100,9.4000,9.5300,208599420,2044450038.8700,2.694000
2025-04-11,10.2800,10.4800,9.7300,10.4800,278898411,2861595553.3800,9.968500
2025-04-14,10.1100,11.5000,9.9900,10.8000,344170557,3662427657.3800,3.053400
2025-04-15,10.5900,10.6800,9.7200,9.7200,224285876,2261184230.4500,-10.000000
2025-04-16,9.3700,10.1700,9.1900,9.4600,188046340,1812777870.3500,-2.674900
2025-04-17,9.4500,9.5700,9.0900,9.1900,156446867,1451400531.7900,-2.854100
2025-04-18,9.1300,9.2200,8.7500,8.7500,124205417,1104649020.5200,-4.787800
2025-04-21,8.6800,8.8700,8.6700,8.7200,80449811,702900640.3200,-0.342900
2025-04-22,8.8100,9.3300,8.8000,9.2700,166923174,1515140052.6000,6.307300
2025-04-23,9.0800,9.3300,9.0100,9.0600,111538584,1019298514.9700,-2.265400
2025-04-24,9.0100,9.2000,8.8500,9.0200,68536151,617491484.9000,-0.441500
2025-04-25,8.9800,9.0400,8.8000,8.8900,59096269,525686160.2200,-1.441200
2025-04-28,8.8900,9.0600,8.7500,8.8400,46605602,413894538.3400,-0.562400
2025-04-29,8.7000,8.9100,8.6100,8.6900,57602916,506131903.4600,-1.696800
2025-04-30,8.6900,8.7400,8.4400,8.4500,68871606,589331653.3200,-2.761800
2025-05-06,8.4900,8.6100,8.4500,8.6000,43054406,367349574.1400,1.775100
2025-05-07,8.6500,8.7900,8.5900,8.6700,44822978,389023513.2100,0.814000
2025-05-08,8.6500,8.6900,8.5900,8.6400,29994253,259561041.5100,-0.346000
2025-05-09,8.6600,8.6800,8.4700,8.5200,32926658,281537974.8700,-1.388900
2025-05-12,8.5500,8.6000,8.4500,8.5100,33847944,288047330.5900,-0.117400
2025-05-13,8.6000,9.0400,8.6000,8.9700,112756909,992183134.2200,5.405400
2025-05-14,8.8900,9.2500,8.7700,9.1900,125777871,1138102097.5100,2.452600
2025-05-15,9.2100,9.4700,8.8900,8.8900,101886369,932873997.1600,-3.264400
2025-05-16,8.8000,8.9300,8.6600,8.7400,63655602,556612251.2600,-1.687300
2025-05-19,8.7000,9.2000,8.6900,9.0200,80395323,725800569.8000,3.203700
2025-05-20,9.0000,9.0200,8.7400,8.7700,62394619,548615548.2700,-2.771600
2025-05-21,8.7000,9.6500,8.6600,9.1700,134705711,1236345321.6200,4.561000
2025-05-22,9.1100,9.4900,9.0500,9.3200,136411608,1260016655.6600,1.635800
2025-05-23,9.2100,9.2200,8.8500,8.8600,90499302,815050171.2200,-4.935600
2025-05-26,8.8500,8.9200,8.7700,8.9200,40924491,362072534.4600,0.677200
2025-05-27,8.8800,8.9000,8.8100,8.8400,31510893,278625503.7200,-0.896900
2025-05-28,8.8000,8.8100,8.5300,8.5600,49176991,424521086.3800,-2.616600
2025-05-29,8.5000,8.6900,8.4800,8.6200,32843187,282893051.7500,0.700900
2025-05-30,8.5900,8.8000,8.5800,8.6600,35237276,306026890.1500,0.464000
2025-06-03,8.6100,8.7400,8.5800,8.6700,23819419,206716230.3000,0.115500
2025-06-04,8.6600,8.6900,8.5800,8.6800,23495614,202926281.9700,0.115300
2025-06-05,8.6700,8.7000,8.5800,8.6000,23163053,199583269.0500,-0.921700
2025-06-06,8.6200,8.7900,8.5800,8.6900,30473777,264552081.2300,1.046500
2025-06-09,8.6500,8.7200,8.6200,8.6700,27753276,240641300.4600,-0.230100
2025-06-10,8.6400,8.9800,8.6000,8.8600,69036847,604740000.0100,2.191500
2025-06-11,8.7800,8.8800,8.6800,8.7800,49301571,431945288.2400,-0.902900
2025-06-12,8.7200,8.7400,8.6500,8.6600,30299338,262888377.4800,-1.366700
2025-06-13,8.6400,8.7000,8.5700,8.6300,39488234,340090169.3600,-0.346400
2025-06-16,8.5800,8.6300,8.5400,8.6100,16299969,140168647.7500,-0.231700
2025-06-17,8.6000,8.6100,8.5500,8.5800,17022787,145970232.8800,-0.348400
2025-06-18,8.5600,8.6100,8.3300,8.3500,33878805,286136700.1700,-2.680700
2025-06-19,8.3400,8.3400,8.1200,8.1400,32223761,264501719.7100,-2.515000
2025-06-20,8.1500,8.2200,8.1500,8.1900,16915832,138483220.1900,0.614300
2025-06-23,8.2700,8.4300,8.2300,8.3900,28610903,238598121.8300,2.442000
2025-06-24,8.2800,8.3500,8.2000,8.3000,25654595,212624380.4900,-1.072700
2025-06-25,8.3000,8.3500,8.2700,8.3400,18495077,153766099.7200,0.481900
2025-06-26,8.3200,8.3400,8.2500,8.2600,19221828,159243828.6000,-0.959200
2025-06-27,8.2700,8.3100,8.2500,8.2600,14391635,119058873.7300,0.000000
2025-06-30,8.2600,8.2700,8.2300,8.2500,14213553,117244652.4500,-0.121100
2025-07-01,8.2600,8.3300,8.2400,8.3000,16856348,139468094.3100,0.606100
2025-07-02,8.3300,8.3800,8.2800,8.3000,20149456,167480722.1600,0.000000
2025-07-03,8.3100,8.3200,8.2300,8.2700,15695464,129686323.0000,-0.361400
2025-07-04,8.2900,8.3400,8.2800,8.3000,17227611,143059747.6900,0.362800
2025-07-07,8.2700,8.2800,8.1800,8.2100,20565254,169257517.8200,-1.084300
2025-07-08,8.2100,8.2400,8.1600,8.2200,20018743,164210585.7400,0.121800
2025-07-09,8.2100,8.2300,8.1500,8.1600,25820476,211457291.7700,-0.729900
2025-07-10,8.1600,8.2400,8.1400,8.2200,19223421,157292654.2300,0.735300
2025-07-11,8.2200,8.2600,8.1900,8.2200,19320861,158925965.5400,0.000000
2025-07-14,8.2200,8.2500,8.2100,8.2300,12310812,101329343.4000,0.121700
2025-07-15,8.2200,8.2400,8.1300,8.1500,26457390,216006816.1900,-0.972100
2025-07-16,8.1400,8.1900,8.1300,8.1700,11205764,91435226.0800,0.245400
2025-07-17,8.1700,8.1800,8.1300,8.1600,10869247,88593088.3500,-0.122400
2025-07-18,8.1700,8.1900,8.1500,8.1700,11099640,90626586.4000,0.122500
2025-07-21,8.1700,8.2600,8.1700,8.2600,26691498,219620690.9200,1.101600
2025-07-22,8.2600,8.4100,8.2500,8.4000,42725853,356310805.5900,1.694900
2025-07-23,8.4100,8.4300,8.3200,8.3400,28439584,238326865.0800,-0.714300
2025-07-24,8.3300,8.4800,8.3100,8.4800,28649917,241160677.6100,1.678700
2025-07-25,8.4800,8.4800,8.3900,8.3900,23933223,201678043.5500,-1.061300
2025-07-28,8.4000,8.4100,8.3000,8.3200,18630061,155267561.1700,-0.834300
2025-07-29,8.3200,8.3400,8.2400,8.2900,17700871,146515651.4600,-0.360600
2025-07-30,8.2800,8.3800,8.2700,8.3000,19080213,159063642.4500,0.120600
2025-07-31,8.3000,8.3000,8.1500,8.1600,26296972,215721878.3300,-1.686700
2025-08-01,8.1600,8.2000,8.1400,8.1700,10608255,86660670.5600,0.122500
