date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.3500,5.6000,5.2600,5.3100,10690401,57969594.5300,-2.568800
2025-01-03,5.3900,5.3900,5.0300,5.0600,8140500,42112674.4300,-4.708100
2025-01-06,5.0600,5.1300,4.8400,5.0800,6042220,30245751.2000,0.395300
2025-01-07,5.0800,5.2000,5.0600,5.2000,4971101,25613844.0900,2.362200
2025-01-08,5.2000,5.2600,5.0100,5.1800,5744300,29558435.0000,-0.384600
2025-01-09,5.1400,5.1900,5.1200,5.1600,4132200,21341986.0000,-0.386100
2025-01-10,5.1500,5.1800,5.0100,5.0100,4318700,21968913.0000,-2.907000
2025-01-13,4.9700,5.1000,4.9200,5.0800,4493901,22513177.0400,1.397200
2025-01-14,5.1300,5.3000,5.0900,5.2900,7060850,36947548.0000,4.133900
2025-01-15,5.3100,5.3500,5.2600,5.2900,4010100,21254155.0000,0.000000
2025-01-16,5.3100,5.3900,5.2500,5.3300,4742957,25256499.1000,0.756100
2025-01-17,5.3200,5.3500,5.2300,5.3100,3410300,18038910.0000,-0.375200
2025-01-20,5.3400,5.5100,5.2500,5.4600,6349800,34416290.0000,2.824900
2025-01-21,5.5000,5.6100,5.3900,5.4600,7219593,39585544.2600,0.000000
2025-01-22,5.4400,5.4800,5.3600,5.3800,3521550,19017387.5000,-1.465200
2025-01-23,5.4400,5.4900,5.4000,5.4000,4633538,25245364.2800,0.371700
2025-01-24,5.4300,5.4400,5.3200,5.3900,5514450,29574427.5000,-0.185200
2025-01-27,5.4000,5.5400,5.4000,5.4300,5169750,28337752.0000,0.742100
2025-02-05,5.4400,5.4900,5.4100,5.4700,4105150,22396429.0000,0.736600
2025-02-06,5.4600,5.4900,5.3500,5.4900,4693600,25509228.0000,0.365600
2025-02-07,5.4900,5.5600,5.4400,5.5100,5799000,31981402.0000,0.364300
2025-02-10,5.5300,5.6100,5.5200,5.6000,5340378,29768937.4600,1.633400
2025-02-11,5.6100,5.6300,5.5300,5.5700,3910835,21778600.6000,-0.535700
2025-02-12,5.6000,5.6000,5.5400,5.6000,3697301,20599906.5700,0.538600
2025-02-13,5.6100,5.6200,5.5200,5.5200,3874501,21517553.5300,-1.428600
2025-02-14,5.5100,5.5500,5.4400,5.4600,3407165,18697823.9000,-1.087000
2025-02-17,5.4600,5.5800,5.4300,5.5600,5478502,30205868.1200,1.831500
2025-02-18,5.5600,5.6100,5.3800,5.4000,5355019,29368005.4100,-2.877700
