date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.5500,14.5000,13.4100,14.2500,43253839,607982314.6400,4.319200
2025-01-03,13.9800,13.9900,12.8900,12.9100,30261100,400064755.4800,-9.403500
2025-01-06,12.5700,12.5700,11.9000,12.1200,21455488,262444881.4000,-6.119300
2025-01-07,12.2100,12.5000,12.0700,12.3500,12235710,150072302.2000,1.897700
2025-01-08,12.2000,12.5100,12.0200,12.3300,14374300,176696259.8300,-0.161900
2025-01-09,12.2100,12.4500,12.0900,12.2800,11241800,138168578.0000,-0.405500
2025-01-10,12.2500,12.3200,11.6100,11.6400,15133600,180713323.0000,-5.211700
2025-01-13,11.3600,11.8500,11.3000,11.7600,9304168,108140121.0200,1.030900
2025-01-14,12.1000,12.3900,12.0300,12.3700,15968463,195410244.1800,5.187100
2025-01-15,12.3000,13.0800,12.2500,12.7300,21959008,279908593.1000,2.910300
2025-01-16,12.6400,13.1600,12.6400,12.9100,18918001,244621250.9800,1.414000
2025-01-17,12.8400,12.9900,12.6000,12.6800,11714400,149191026.0000,-1.781600
2025-01-20,12.8400,13.0000,12.5700,12.8200,13016800,167198230.0000,1.104100
2025-01-21,12.7100,12.8600,12.3200,12.4100,12670510,158257943.1000,-3.198100
2025-01-22,12.4400,12.4700,11.9600,12.0100,11134200,134369199.7000,-3.223200
2025-01-23,12.2100,12.2700,11.9800,11.9800,9291000,112526573.0000,-0.249800
2025-01-24,12.0500,12.2000,11.8700,12.1100,8905175,107285745.5000,1.085100
2025-01-27,12.1200,12.2300,11.9900,12.0200,8428506,101986553.9400,-0.743200
2025-02-05,12.1000,12.1500,11.7100,11.8300,9466400,112011302.0000,-1.580700
2025-02-06,11.8000,11.9400,11.7000,11.9300,8592869,101871369.1000,0.845300
2025-02-07,11.9100,12.1800,11.8500,12.0200,12429410,149221659.1000,0.754400
2025-02-10,12.0200,12.5800,12.0100,12.5700,19063501,234488877.2300,4.575700
2025-02-11,12.5500,12.5500,12.2600,12.3100,12206400,150556395.0000,-2.068400
2025-02-12,12.2900,12.4600,12.2100,12.3400,10091501,124265897.2700,0.243700
2025-02-13,12.2600,12.4000,12.2200,12.3200,10209606,125879113.8000,-0.162100
2025-02-14,12.2800,12.3000,12.1500,12.1900,8296500,101289958.0000,-1.055200
2025-02-17,12.2000,12.2900,12.1200,12.2300,7837668,95694252.9000,0.328100
2025-02-18,12.2300,12.2300,11.8700,11.9000,10528200,126482005.0000,-2.698300
2025-02-19,11.9300,11.9800,11.8400,11.9800,5896900,70306884.0100,0.672300
2025-02-20,11.9500,12.2700,11.9100,12.1500,11189411,136136063.9800,1.419000
2025-02-21,12.0900,12.1400,11.9400,12.0800,7785306,93657960.4900,-0.576100
2025-02-24,12.0600,12.2900,12.0000,12.1900,9337600,113682900.0000,0.910600
2025-02-25,12.1000,12.2900,12.0100,12.1100,8360602,101677316.4100,-0.656300
2025-02-26,12.1200,12.3100,12.1100,12.3100,10922715,133780912.0000,1.651500
2025-02-27,12.3100,12.7500,12.3000,12.6700,24141667,303542961.1800,2.924500
2025-02-28,12.5700,13.0500,12.5000,12.5100,22880191,292263500.0600,-1.262800
2025-03-03,12.4300,12.7900,12.3900,12.5300,14779435,186331605.2000,0.159900
2025-03-04,12.4500,12.6600,12.4300,12.5500,9781300,122661650.9900,0.159600
2025-03-05,12.6100,12.6100,12.3000,12.4800,9343601,115756224.4500,-0.557800
2025-03-06,12.4400,12.5900,12.3300,12.5600,10912026,136251881.9200,0.641000
