date,open,high,low,close,volume,amount,pctChg
2025-01-02,1.7200,1.7200,1.6500,1.6600,135250403,226594945.9500,-4.046200
2025-01-03,1.6600,1.7300,1.6100,1.7200,144413000,241869028.0000,3.614500
2025-01-06,1.7500,1.7900,1.6800,1.6900,155087976,268356587.4400,-1.744200
2025-01-07,1.6900,1.7100,1.6700,1.7000,100514900,169858922.0000,0.591700
2025-01-08,1.6800,1.6900,1.6400,1.6500,114088400,189516137.0000,-2.941200
2025-01-09,1.6300,1.6500,1.6100,1.6100,106029400,172307320.0000,-2.424200
2025-01-10,1.6000,1.6300,1.5900,1.6100,72973903,117539146.8300,0.000000
2025-01-13,1.6000,1.6900,1.5700,1.6800,108266864,176337769.6700,4.347800
2025-01-14,1.6500,1.7000,1.6400,1.6800,106981900,178456341.0000,0.000000
2025-01-15,1.6800,1.7000,1.6600,1.6800,77712200,130480797.0000,0.000000
2025-01-16,1.6700,1.7000,1.6700,1.6900,75493300,127033095.0000,0.595200
2025-01-17,1.6700,1.7000,1.6600,1.6800,70872000,119258230.0000,-0.591700
2025-01-20,1.6800,1.6900,1.6400,1.6500,78501800,130442713.0000,-1.785700
2025-01-21,1.6500,1.7200,1.6400,1.6700,95533500,160325774.0000,1.212100
2025-01-22,1.6600,1.6600,1.6100,1.6100,95999100,156553410.0000,-3.592800
2025-01-23,1.6600,1.6700,1.6000,1.6000,94478995,154511084.0000,-0.621100
2025-01-24,1.5200,1.5200,1.5200,1.5200,41004800,62327296.0000,-5.000000
2025-01-27,1.4400,1.5100,1.4400,1.4500,140306384,205165363.9100,-4.605300
2025-02-05,1.4500,1.4800,1.4200,1.4600,84033103,122107993.4300,0.689700
2025-02-06,1.4600,1.5300,1.4500,1.5200,120855754,181290644.7800,4.109600
2025-02-07,1.5100,1.5400,1.5000,1.5200,106975401,162479228.5100,0.000000
2025-02-10,1.5200,1.5400,1.5000,1.5200,71606600,109285560.0000,0.000000
2025-02-11,1.5300,1.5700,1.5100,1.5400,90782934,139809847.0200,1.315800
2025-02-12,1.5400,1.5500,1.5100,1.5400,87615200,133704428.0000,0.000000
2025-02-13,1.5400,1.5800,1.5300,1.5500,92860200,143830919.0000,0.649400
2025-02-14,1.5600,1.6300,1.5500,1.6100,116457226,183848582.3500,3.871000
2025-02-17,1.6100,1.6800,1.6000,1.6800,144849105,239484373.3200,4.347800
2025-02-18,1.6800,1.6900,1.6000,1.6000,152256903,248073976.8000,-4.761900
2025-02-19,1.5200,1.5500,1.5200,1.5400,145299904,222734673.0800,-3.750000
2025-02-20,1.5300,1.5500,1.5000,1.5100,98207714,149035466.7400,-1.948100
2025-02-21,1.5100,1.5200,1.4800,1.5000,90321200,135250219.0000,-0.662300
2025-02-24,1.4900,1.4900,1.4600,1.4700,111043660,163488248.6000,-2.000000
2025-02-25,1.4500,1.5000,1.4500,1.4900,77407815,114832077.5900,1.360500
2025-02-26,1.4900,1.5000,1.4500,1.4600,106970504,156885072.8400,-2.013400
2025-02-27,1.4600,1.4600,1.4200,1.4300,100266822,144021549.4600,-2.054800
2025-02-28,1.4200,1.4500,1.4100,1.4200,71755030,102646798.6000,-0.699300
2025-03-03,1.4200,1.4800,1.4200,1.4600,78142340,113601563.0000,2.816900
2025-03-04,1.4500,1.4600,1.4400,1.4500,51324955,74384876.7500,-0.684900
2025-03-05,1.4500,1.4900,1.4400,1.4700,67864100,99327213.0000,1.379300
2025-03-06,1.4800,1.5100,1.4700,1.4800,73132801,108665700.4800,0.680300
2025-03-07,1.4700,1.4800,1.4500,1.4600,47770300,69774020.0000,-1.351400
2025-03-10,1.4500,1.4500,1.4300,1.4300,55156700,79254103.0000,-2.054800
2025-03-11,1.4300,1.4800,1.4200,1.4500,66223733,96393688.5200,1.398600
2025-03-12,1.4500,1.4600,1.4400,1.4500,45415477,65862829.6200,0.000000
2025-03-13,1.4500,1.4500,1.4200,1.4300,52836800,75752107.0000,-1.379300
2025-03-14,1.4400,1.4500,1.4300,1.4500,42696010,61529178.4000,1.398600
2025-03-17,1.4400,1.4600,1.4300,1.4500,52067400,75240127.0000,0.000000
2025-03-18,1.4400,1.5000,1.4400,1.4800,98812737,145143036.6300,2.069000
2025-03-19,1.4700,1.4800,1.4600,1.4600,57969300,85242426.0000,-1.351400
2025-03-20,1.4600,1.4900,1.4500,1.4700,59988600,88456281.0000,0.684900
2025-03-21,1.4600,1.4800,1.4400,1.4500,57517040,83910843.0000,-1.360500
2025-03-24,1.4500,1.4500,1.4100,1.4200,69874523,99765454.8900,-2.069000
2025-03-25,1.4200,1.4400,1.4100,1.4200,83843534,119172759.6200,0.000000
2025-03-26,1.4200,1.4700,1.4100,1.4500,92167593,132212946.4700,2.112700
2025-03-27,1.4400,1.4500,1.4100,1.4200,82534200,118136705.0000,-2.069000
2025-03-28,1.4200,1.4600,1.4000,1.4200,98096700,140012108.0000,0.000000
2025-03-31,1.4400,1.4600,1.4200,1.4500,114291721,164511184.1500,2.112700
2025-04-01,1.4400,1.4500,1.3800,1.3800,193024196,271769749.4000,-4.827600
2025-04-02,1.3500,1.3700,1.3100,1.3200,133083824,177227336.6800,-4.347800
2025-04-03,1.3100,1.3500,1.3100,1.3500,69752064,93119980.7600,2.272700
2025-04-07,1.2800,1.2900,1.2800,1.2800,53022900,67909832.0000,-5.185200
2025-04-08,1.2200,1.2400,1.2200,1.2200,67804300,82840344.0000,-4.687500
2025-04-09,1.1700,1.2600,1.1600,1.2100,149789163,178900002.7600,-0.819700
2025-04-10,1.2100,1.2500,1.2000,1.2400,100309234,123323191.0200,2.479300
2025-04-11,1.2200,1.2500,1.2200,1.2400,67982000,84053221.0000,0.000000
2025-04-14,1.2400,1.2600,1.2300,1.2500,69042976,86089232.4700,0.806500
2025-04-15,1.2600,1.3100,1.2500,1.3100,94036600,121844213.0000,4.800000
2025-04-16,1.3300,1.3800,1.3100,1.3400,153201241,206797080.9400,2.290100
2025-04-17,1.3500,1.4100,1.3400,1.4100,75002141,104301903.8100,5.223900
2025-04-18,1.4200,1.4400,1.3500,1.3500,148455700,205246308.0000,-4.255300
2025-04-21,1.3600,1.3700,1.3100,1.3500,76945168,103611693.4400,0.000000
2025-04-22,1.3500,1.3500,1.3200,1.3300,50775500,67925083.0000,-1.481500
2025-04-23,1.3300,1.3800,1.3200,1.3500,65244300,88272832.0000,1.503800
2025-04-24,1.3500,1.3600,1.3200,1.3300,57898900,77216528.0000,-1.481500
2025-04-25,1.3300,1.3500,1.3100,1.3100,63359990,84163177.7000,-1.503800
2025-04-28,1.3200,1.3200,1.2400,1.2400,93852700,117926370.0000,-5.343500
2025-04-29,1.2400,1.3000,1.2300,1.3000,68127630,87419045.8700,4.838700
2025-04-30,1.3300,1.3600,1.3000,1.3500,98849507,132585733.4500,3.846200
2025-05-06,1.3600,1.4100,1.3600,1.3900,67928200,94350863.0000,2.963000
2025-05-07,1.4000,1.4100,1.3600,1.3900,69172500,95861817.0000,0.000000
2025-05-08,1.4100,1.4600,1.3900,1.4600,148826401,214348142.0200,5.036000
2025-05-09,1.4800,1.5200,1.4300,1.4900,200790444,298049923.9100,2.054800
2025-05-12,1.5600,1.5600,1.5600,1.5600,8704700,13579332.0000,4.698000
2025-05-13,1.6400,1.6400,1.6400,1.6400,7404500,12143380.0000,5.128200
2025-05-14,1.6900,1.6900,1.5800,1.6000,359499365,589665302.8600,-2.439000
2025-05-15,1.6000,1.6100,1.5200,1.5200,199427420,308644856.8000,-5.000000
2025-05-16,1.4900,1.5800,1.4600,1.5500,164876039,251129087.5900,1.973700
2025-05-19,1.5300,1.5600,1.5300,1.5400,88378000,136628315.0000,-0.645200
2025-05-20,1.5500,1.5500,1.4800,1.5000,110721489,168124960.5000,-2.597400
2025-05-21,1.5000,1.5800,1.4900,1.5800,144972514,223092430.1200,5.333300
2025-05-22,1.5600,1.5700,1.5200,1.5300,108770114,167918881.6200,-3.164600
2025-05-23,1.5300,1.5800,1.5200,1.5500,82836508,128411258.3200,1.307200
2025-05-26,1.5300,1.5500,1.5100,1.5300,55034100,84220468.0000,-1.290300
2025-05-27,1.5500,1.5900,1.5300,1.5400,88072877,136928412.8900,0.653600
2025-05-28,1.5300,1.5300,1.5000,1.5000,75153900,113719336.0000,-2.597400
2025-05-29,1.5000,1.5400,1.4900,1.5100,64057700,97018994.0000,0.666700
2025-05-30,1.5100,1.5200,1.4900,1.4900,63221300,95052419.0000,-1.324500
2025-06-03,1.4900,1.5400,1.4800,1.5000,85943475,129244499.5000,0.671100
2025-06-04,1.4900,1.5100,1.4800,1.4900,61054500,91219854.0000,-0.666700
2025-06-05,1.4900,1.5100,1.4800,1.4900,58307600,87095008.0000,0.000000
2025-06-06,1.4900,1.4900,1.4600,1.4700,68654012,101315523.6400,-1.342300
2025-06-09,1.4700,1.4800,1.4500,1.4500,75825512,110576270.5200,-1.360500
2025-06-10,1.4600,1.4900,1.4500,1.4600,90505981,132839484.2600,0.689700
2025-06-11,1.4600,1.4700,1.4400,1.4500,60389881,87812961.4500,-0.684900
2025-06-12,1.4500,1.4500,1.4200,1.4200,64858525,92902323.5000,-2.069000
2025-06-13,1.4100,1.4300,1.3900,1.4200,81039700,114067400.0000,0.000000
2025-06-16,1.4100,1.4500,1.4000,1.4200,72503800,103019838.0000,0.000000
2025-06-17,1.4200,1.4200,1.4000,1.4100,47307603,66686071.2000,-0.704200
2025-06-18,1.4100,1.4100,1.3800,1.3900,52136200,72628156.0000,-1.418400
2025-06-19,1.3800,1.4200,1.3800,1.4000,67741300,94765181.0000,0.719400
2025-06-20,1.3900,1.4000,1.3800,1.3900,38085200,52930157.0000,-0.714300
2025-06-23,1.4000,1.4300,1.3900,1.4100,58310620,82364783.2000,1.438800
2025-06-24,1.4200,1.4200,1.4000,1.4100,62175600,87533148.0000,0.000000
2025-06-25,1.4100,1.4100,1.3800,1.4000,78311400,108988503.0000,-0.709200
2025-06-26,1.3900,1.4200,1.3800,1.4000,70760539,99231448.7100,0.000000
2025-06-27,1.3900,1.4200,1.3900,1.4000,69814200,97908736.0000,0.000000
2025-06-30,1.4000,1.4300,1.3900,1.4300,91871100,129645607.6000,2.142900
2025-07-01,1.4200,1.4300,1.4100,1.4100,44789200,63430311.0000,-1.398600
2025-07-02,1.4100,1.4800,1.4100,1.4600,124967240,180421675.2000,3.546100
2025-07-03,1.4400,1.4600,1.4400,1.4400,58070940,83924539.6000,-1.369900
2025-07-04,1.4500,1.5100,1.4400,1.4800,106453250,157441497.0000,2.777800
2025-07-07,1.4800,1.5100,1.4600,1.4900,75406300,112282206.0000,0.675700
2025-07-08,1.5000,1.5200,1.4800,1.4900,71618550,107276366.5000,0.000000
2025-07-09,1.4900,1.5000,1.4600,1.4700,84489800,124425407.5000,-1.342300
2025-07-10,1.5100,1.5400,1.5100,1.5400,189391195,290211265.4500,4.761900
2025-07-11,1.5500,1.5600,1.4800,1.5000,164045918,249022689.5000,-2.597400
2025-07-14,1.4900,1.5000,1.4500,1.4700,88781089,130568281.9400,-2.000000
2025-07-15,1.4600,1.4800,1.4500,1.4600,66562848,97317856.5300,-0.680300
2025-07-16,1.4600,1.4700,1.4500,1.4600,41206803,60087989.3500,0.000000
2025-07-17,1.4600,1.4600,1.4300,1.4400,56825765,82025192.6000,-1.369900
2025-07-18,1.4500,1.4800,1.4300,1.4600,82113312,119528575.1600,1.388900
2025-07-21,1.4500,1.4600,1.4400,1.4500,55212700,80018729.0000,-0.684900
2025-07-22,1.4500,1.4600,1.4300,1.4400,54721600,78831230.0000,-0.689700
2025-07-23,1.4400,1.4500,1.4300,1.4400,49637100,71503657.0000,0.000000
2025-07-24,1.4400,1.4600,1.4300,1.4500,70148700,101497373.0000,0.694400
2025-07-25,1.4500,1.4600,1.4400,1.4500,49248900,71125803.0000,0.000000
2025-07-28,1.4400,1.4500,1.4300,1.4400,43369400,62367301.0000,-0.689700
2025-07-29,1.4400,1.4500,1.4200,1.4500,70762955,101531482.2000,0.694400
2025-07-30,1.4400,1.4500,1.4200,1.4300,54939400,78708130.0000,-1.379300
2025-07-31,1.4200,1.4300,1.4100,1.4100,60714900,86043639.0000,-1.398600
2025-08-01,1.4100,1.4300,1.4000,1.4200,36287200,51416745.0000,0.709200
2025-08-04,1.4100,1.4200,1.4000,1.4100,38918900,54836180.3200,-0.704200
2025-08-05,1.4100,1.4200,1.4000,1.4100,38249000,53954847.0000,0.000000
2025-08-06,1.4100,1.4200,1.4000,1.4100,54407600,76495425.0000,0.000000
2025-08-07,1.4000,1.4100,1.3900,1.4000,52337900,73323212.0000,-0.709200
2025-08-08,1.4000,1.4000,1.3900,1.3900,43752925,60933640.7500,-0.714300
2025-08-11,1.3900,1.4300,1.3900,1.4200,92630300,130781512.0000,2.158300
2025-08-12,1.4100,1.4200,1.4000,1.4100,43185300,60828522.0000,-0.704200
2025-08-13,1.4100,1.4200,1.4000,1.4100,45002800,63408407.0000,0.000000
2025-08-14,1.4100,1.4200,1.3900,1.3900,61716300,86554247.0000,-1.418400
2025-08-15,1.4000,1.4200,1.3900,1.4100,66774600,93793232.0000,1.438800
2025-08-18,1.4000,1.4100,1.3900,1.4000,93567896,130874126.4000,-0.709200
2025-08-19,1.4000,1.4100,1.3800,1.3900,113865696,158253805.4000,-0.714300
2025-08-20,1.3800,1.3900,1.3600,1.3600,118731620,162594829.8400,-2.158300
2025-08-21,1.3700,1.3800,1.3600,1.3700,97194434,133070079.5800,0.735300
2025-08-22,1.3700,1.3800,1.3300,1.3500,132007056,178335131.0600,-1.459900
2025-08-25,1.3500,1.3900,1.3400,1.3700,163108927,223354958.9100,1.481500
2025-08-26,1.3600,1.3700,1.3500,1.3600,96836601,131619626.3500,-0.729900
2025-08-27,1.3500,1.3600,1.3300,1.3400,98872100,132993668.0000,-1.470600
2025-08-28,1.3400,1.3600,1.3300,1.3400,105030643,141146655.0500,0.000000
2025-08-29,1.3400,1.3500,1.3100,1.3200,103800009,137836202.8800,-1.492500
2025-09-01,1.3200,1.3400,1.3200,1.3300,91033912,120800772.9300,0.757600
2025-09-02,1.3200,1.3300,1.3100,1.3200,84342203,111116290.9600,-0.751900
2025-09-03,1.3200,1.3300,1.3100,1.3200,64264301,84666593.3200,0.000000
2025-09-04,1.3200,1.3900,1.3100,1.3600,208757629,284414113.5700,3.030300
2025-09-05,1.3500,1.3600,1.3300,1.3300,118185910,158137164.3000,-2.205900
2025-09-08,1.3400,1.3700,1.3300,1.3600,83135700,112331945.0000,2.255600
2025-09-09,1.4000,1.4300,1.3800,1.4300,211119903,298294366.2600,5.147100
2025-09-10,1.4300,1.4800,1.4100,1.4500,257063685,372527387.7100,1.398600
2025-09-11,1.4500,1.4500,1.4500,1.4500,,,
2025-09-12,1.4600,1.4700,1.4000,1.4100,192053814,274545072.1300,-2.758600
2025-09-15,1.4000,1.4100,1.3600,1.3800,135607155,186879206.3500,-2.127700
2025-09-16,1.3900,1.4300,1.3800,1.4100,113925400,160490510.0000,2.173900
2025-09-17,1.4200,1.4300,1.4000,1.4100,75689803,107136897.2600,0.000000
2025-09-18,1.4100,1.4600,1.4000,1.4300,132048347,189075104.3000,1.418400
2025-09-19,1.4300,1.4400,1.4000,1.4300,97200938,137601675.3400,0.000000
2025-09-22,1.4300,1.4400,1.4000,1.4100,68572600,97169890.0000,-1.398600
2025-09-23,1.4200,1.4400,1.4000,1.4200,86987035,123411638.3500,0.709200
2025-09-24,1.4200,1.4300,1.4000,1.4100,76516100,108352198.0000,-0.704200
2025-09-25,1.4100,1.4200,1.3900,1.4000,73958200,103959413.0000,-0.709200
2025-09-26,1.4000,1.4100,1.3900,1.3900,58602108,81858059.6500,-0.714300
2025-09-29,1.3900,1.4000,1.3800,1.3900,61637500,85553137.0000,0.000000
2025-09-30,1.3900,1.3900,1.3700,1.3800,60743242,83757742.1700,-0.719400
2025-10-09,1.3800,1.3900,1.3600,1.3700,76755800,105481077.0000,-0.724600
2025-10-10,1.3600,1.3700,1.3500,1.3600,52465460,71408096.6000,-0.729900
2025-10-13,1.3300,1.3500,1.3200,1.3500,54117600,72470531.0000,-0.735300
2025-10-14,1.3500,1.4100,1.3500,1.3800,91782458,126539221.6700,2.222200
2025-10-15,1.3700,1.3900,1.3700,1.3800,58539823,80688628.7100,0.000000
2025-10-16,1.3800,1.3900,1.3700,1.3800,44709400,61580937.0000,0.000000
2025-10-17,1.3800,1.4200,1.3800,1.3900,86195079,120464300.8100,0.724600
2025-10-20,1.3900,1.3900,1.3700,1.3800,52474660,72501087.8000,-0.719400
