date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.0000,8.0800,7.4900,7.5400,111121445,853891891.3000,-9.375000
2025-01-03,7.5400,7.5900,6.9300,6.9700,89261133,639804726.7300,-7.559700
2025-01-06,6.9000,6.9700,6.5300,6.5800,68710804,461210069.8000,-5.595400
2025-01-07,6.6600,6.9600,6.6200,6.9500,78007866,529198020.4000,5.623100
2025-01-08,6.8200,7.0300,6.5800,6.9300,75344213,515273089.8000,-0.287800
2025-01-09,6.8700,7.1500,6.8300,7.0000,61228413,431556912.3400,1.010100
2025-01-10,7.0000,7.1900,6.6800,6.7000,61999084,432489908.0000,-4.285700
2025-01-13,6.5000,6.6700,6.3200,6.5200,46391467,300090229.6400,-2.686600
2025-01-14,6.6500,7.0400,6.5600,7.0400,68485523,469142663.6000,7.975500
2025-01-15,7.0700,7.1900,6.9600,7.0700,63473100,449452753.0000,0.426100
2025-01-16,7.1300,7.2400,6.9600,7.1000,54541900,387146167.0000,0.424300
2025-01-17,7.0900,7.3700,6.9400,7.1500,74333820,532045568.1600,0.704200
2025-01-20,7.1500,7.2300,7.0100,7.0900,47833820,339640912.0300,-0.839200
2025-01-21,7.1500,7.1600,6.8900,7.0500,40538803,284213330.9400,-0.564200
2025-01-22,6.9600,6.9700,6.7800,6.8000,39549087,271332855.0300,-3.546100
2025-01-23,6.8800,7.0400,6.7200,6.7300,42610371,293485665.1400,-1.029400
2025-01-24,6.7200,6.7900,6.6200,6.6900,34001624,227350412.3200,-0.594400
2025-01-27,6.7500,6.8200,6.5600,6.5600,24895108,166068777.9500,-1.943200
2025-02-05,6.7100,6.8800,6.6800,6.8100,39517054,268108214.0400,3.811000
2025-02-06,6.8100,7.1500,6.7100,7.1400,54088183,379177444.5400,4.845800
2025-02-07,7.1400,7.3000,7.0000,7.1800,64744075,465066984.7300,0.560200
2025-02-10,7.2000,7.6100,7.1500,7.6100,77377051,570259118.8100,5.988900
2025-02-11,7.6100,7.6200,7.3500,7.4000,57489601,426613413.2900,-2.759500
2025-02-12,7.3500,7.5900,7.3400,7.5400,54354900,405969034.5400,1.891900
2025-02-13,7.5400,7.5400,7.3100,7.3200,43481380,321235199.6000,-2.917800
2025-02-14,7.2700,7.3500,7.1700,7.2600,32064300,232451310.0000,-0.819700
2025-02-17,7.1700,7.4000,7.1700,7.3200,34300641,250507477.7000,0.826400
2025-02-18,7.3200,7.4300,7.0500,7.1000,48074200,348516086.0000,-3.005500
2025-02-19,7.0900,7.2800,7.0600,7.2400,35706639,257230267.2400,1.971800
2025-02-20,7.2300,7.2500,7.1100,7.1600,34021410,244273986.4000,-1.105000
2025-02-21,7.1600,7.4400,7.0600,7.3400,58365670,424351414.4000,2.514000
2025-02-24,7.3000,7.4200,7.2100,7.3300,39574200,289098185.0500,-0.136200
2025-02-25,7.2200,7.4800,7.1800,7.3600,48585848,358968196.6000,0.409300
2025-02-26,7.4400,7.8700,7.2600,7.6800,86643781,651598064.2400,4.347800
2025-02-27,7.6100,7.9500,7.5800,7.9000,101047270,787532356.3000,2.864600
2025-02-28,7.8500,7.8700,7.3000,7.3500,77051835,582062971.7700,-6.962000
2025-03-03,7.3600,7.4800,7.1400,7.2000,49855920,363070328.0000,-2.040800
2025-03-04,7.0800,7.4000,6.9900,7.3600,46949471,340061380.2800,2.222200
2025-03-05,7.3900,7.5400,7.1900,7.3000,41030549,301365838.6300,-0.815200
2025-03-06,7.3400,7.5000,7.3300,7.3900,46000100,340312235.6000,1.232900
2025-03-07,7.3400,7.4600,7.1700,7.3800,49967489,366018780.8100,-0.135300
2025-03-10,7.3400,7.3800,7.1900,7.2600,30078101,218518067.2700,-1.626000
2025-03-11,7.1600,7.3400,7.1200,7.3300,27925544,203169807.3600,0.964200
2025-03-12,7.3500,7.4000,7.2400,7.2600,32177101,235756531.2500,-0.955000
2025-03-13,7.2700,7.2700,7.0600,7.1100,29748001,212143995.1000,-2.066100
2025-03-14,7.1100,7.1800,7.0500,7.1700,20970663,149651601.3300,0.843900
2025-03-17,7.1400,7.3100,7.1300,7.2600,23941600,173537568.0000,1.255200
2025-03-18,7.2900,7.5000,7.2200,7.4500,52871080,392413678.0000,2.617100
2025-03-19,7.4500,7.5000,7.2500,7.2700,31484901,230763374.4100,-2.416100
2025-03-20,7.2700,7.3800,7.1800,7.1900,27748700,201408993.0000,-1.100400
2025-03-21,7.1200,7.1600,7.0100,7.0300,26287760,185888409.8000,-2.225300
2025-03-24,6.9600,7.0300,6.6800,6.8100,28800100,196204557.0000,-3.129400
2025-03-25,6.8900,6.9300,6.7200,6.7800,15191900,103186584.0000,-0.440500
2025-03-26,6.7300,6.8300,6.7300,6.7600,11864900,80516170.0000,-0.295000
2025-03-27,6.7600,6.8000,6.6000,6.7000,17673900,118567361.0000,-0.887600
2025-03-28,6.7000,6.7300,6.4900,6.4900,20634700,135789828.0000,-3.134300
2025-03-31,6.4600,6.4800,6.3100,6.4400,18548899,118348223.7600,-0.770400
2025-04-01,6.4300,6.5500,6.4000,6.4800,16166181,104575931.8300,0.621100
2025-04-02,6.4500,6.4800,6.3100,6.3200,16625200,106063558.0000,-2.469100
2025-04-03,6.1900,6.3500,6.1900,6.2400,15125500,94621029.0000,-1.265800
2025-04-07,5.8600,5.9200,5.6200,5.6200,16753844,95241945.5000,-9.935900
2025-04-08,5.4100,5.6800,5.2800,5.3800,32465706,176110009.0000,-4.270500
2025-04-09,5.2700,5.5900,4.8400,5.5600,39370086,210183735.1400,3.345700
2025-04-10,5.6300,5.8100,5.6200,5.6500,26430200,151075413.0000,1.618700
2025-04-11,5.5900,6.2200,5.5600,6.2200,19151700,116202769.0000,10.088500
2025-04-14,6.8400,6.8400,6.8400,6.8400,13280600,90839304.0000,9.967800
2025-04-15,7.0900,7.5200,6.7600,6.9900,143739712,1021938332.9900,2.193000
2025-04-16,6.4200,6.8200,6.3500,6.5700,94786394,623181029.8300,-6.008600
2025-04-17,6.3400,6.8000,6.3400,6.5900,78193271,519132406.3300,0.304400
2025-04-18,6.5800,6.6300,6.2000,6.2000,58929360,371751768.0000,-5.918100
2025-04-21,6.1300,6.7700,6.1300,6.3600,47454200,305022723.0000,2.580600
2025-04-22,6.3500,7.0000,6.3100,7.0000,53111546,361550482.2800,10.062900
2025-04-23,6.8800,7.0400,6.7800,6.8100,89145371,612467741.3500,-2.714300
2025-04-24,6.7800,6.9500,6.6800,6.7500,51135302,347164039.4400,-0.881100
2025-04-25,6.7500,7.3000,6.5900,6.9800,93730912,654321424.1800,3.407400
2025-04-28,6.7400,6.8500,6.6000,6.6500,53832010,360579874.6000,-4.727800
2025-04-29,6.6800,6.6800,6.5200,6.5400,32718900,214919740.0000,-1.654100
2025-04-30,6.4700,6.7000,6.4700,6.5600,33946300,223757784.0000,0.305800
2025-05-06,6.6100,6.8600,6.6100,6.8500,45159664,304265559.5600,4.420700
2025-05-07,6.9000,7.1700,6.7800,6.9700,65674304,456184694.3000,1.751800
2025-05-08,6.9200,7.1700,6.8500,7.1200,65729600,462783175.0000,2.152100
2025-05-09,7.0000,7.0400,6.8400,6.8600,40684100,280776929.0000,-3.651700
2025-05-12,6.9200,7.0400,6.8300,7.0200,36928900,256628792.0000,2.332400
2025-05-13,7.0900,7.1100,6.8600,6.8700,34458201,239150833.8600,-2.136800
2025-05-14,6.8700,6.9900,6.7800,6.9100,28630424,196758200.8800,0.582200
2025-05-15,6.8800,6.8800,6.6300,6.6400,30470330,204345884.7000,-3.907400
2025-05-16,6.6000,6.7800,6.6000,6.6800,23685176,158841864.6800,0.602400
2025-05-19,6.7200,6.8700,6.6500,6.8700,29649400,201200877.0000,2.844300
2025-05-20,6.8800,7.5600,6.7900,7.5600,89925215,659403634.2500,10.043700
2025-05-21,7.5600,7.5600,7.2800,7.3200,123080016,911843178.5000,-3.174600
2025-05-22,7.3600,7.5500,7.2800,7.4300,92659616,684802324.2800,1.502700
2025-05-23,7.3800,7.4000,7.1100,7.1300,63673365,461350433.2500,-4.037700
2025-05-26,7.2300,7.3600,7.1500,7.3100,48785040,355368332.0000,2.524500
2025-05-27,7.2000,7.5000,7.1900,7.4000,70899865,522582357.7200,1.231200
2025-05-28,7.2000,7.2700,6.9000,7.0200,74134860,521233608.4000,-5.135100
2025-05-29,6.9000,7.1500,6.8300,7.0800,52360560,367472878.8400,0.854700
2025-05-30,7.0000,7.0200,6.6900,6.7000,50630400,343206657.0000,-5.367200
2025-06-03,6.6500,6.7500,6.5800,6.6800,29279980,195283000.8000,-0.298500
2025-06-04,6.7000,6.7500,6.6500,6.7300,22242500,149316838.0000,0.748500
2025-06-05,6.7200,6.8900,6.6200,6.8400,40294220,272481026.5900,1.634500
2025-06-06,6.8400,7.2400,6.7000,6.9600,64731624,452871615.1800,1.754400
2025-06-09,6.9100,7.0000,6.8900,6.9600,34654022,240911021.7000,0.000000
2025-06-10,6.9600,6.9800,6.6800,6.7800,35796700,244006439.0000,-2.586200
2025-06-11,6.7900,6.9600,6.7600,6.8500,27086500,185524844.0000,1.032400
2025-06-12,6.7900,6.8800,6.7500,6.7800,20550600,139777067.0000,-1.021900
2025-06-13,6.7600,6.7600,6.5500,6.5600,31173100,206459099.0000,-3.244800
2025-06-16,6.5000,6.6200,6.4600,6.5900,15508300,101890801.0000,0.457300
2025-06-17,6.5900,6.7800,6.5800,6.7100,26489800,177037562.0000,1.820900
2025-06-18,6.6500,6.8000,6.5600,6.7300,25967800,173446040.0000,0.298100
2025-06-19,6.6700,6.7800,6.5900,6.6000,22582400,150851377.0000,-1.931600
2025-06-20,6.5600,6.6700,6.4100,6.5000,19964923,130604473.4200,-1.515200
2025-06-23,6.4100,6.7200,6.3700,6.6600,26330358,174426907.3300,2.461500
2025-06-24,6.6800,6.8200,6.6500,6.7600,28325296,191109625.0700,1.501500
2025-06-25,6.7600,7.4400,6.7200,7.0900,96279285,681865646.3000,4.881700
2025-06-26,7.0100,7.1500,6.9000,6.9700,68504014,480287061.0900,-1.692500
2025-06-27,7.0800,7.2900,7.0200,7.0600,56752350,402988763.5400,1.291200
2025-06-30,7.1600,7.3800,7.1100,7.1900,65450059,472485631.5500,1.841400
2025-07-01,7.2100,7.9000,7.2100,7.4200,126263073,948831672.9800,3.198900
2025-07-02,7.2700,7.3000,7.0300,7.0600,83752180,597334518.2000,-4.851800
2025-07-03,7.0700,7.7700,7.0700,7.7700,60783656,468744574.1200,10.056700
2025-07-04,7.9900,8.5500,7.6300,8.3300,301579523,2448349248.1800,7.207200
2025-07-07,7.8500,8.0700,7.8200,7.9100,188576360,1495561101.3300,-5.042000
2025-07-08,8.0100,8.1200,7.8400,7.9100,134569944,1069694431.1800,0.000000
2025-07-09,7.8600,7.9400,7.6200,7.6800,117175594,908503790.7200,-2.907700
2025-07-10,7.6600,7.8200,7.5400,7.6100,76341127,582845013.7300,-0.911500
2025-07-11,7.5500,7.6700,7.4500,7.5900,66659946,503968847.9600,-0.262800
2025-07-14,7.4200,7.5900,7.4200,7.4900,52156280,390578854.4000,-1.317500
2025-07-15,7.4900,7.5700,7.3100,7.3900,50574000,375367746.0000,-1.335100
2025-07-16,7.4500,7.8000,7.4100,7.6800,95045411,726124163.9500,3.924200
2025-07-17,7.7000,7.7000,7.5100,7.6300,54859030,416344158.7000,-0.651000
2025-07-18,7.5900,7.6500,7.4700,7.5900,50496100,380813950.0000,-0.524200
2025-07-21,7.5100,7.6500,7.5000,7.6400,41400002,314062204.4000,0.658800
2025-07-22,7.6000,7.8000,7.5300,7.6800,65445315,502279997.0200,0.523600
2025-07-23,7.6300,7.6400,7.4100,7.4200,50845480,381268770.2000,-3.385400
2025-07-24,7.3700,7.4900,7.3700,7.4400,33357200,248094552.8000,0.269500
2025-07-25,7.4400,7.6800,7.4200,7.6300,55744926,420351311.3200,2.553800
2025-07-28,7.6200,7.7000,7.5500,7.5900,45469300,346851231.0000,-0.524200
2025-07-29,7.5400,7.9800,7.4800,7.7600,103943600,808878281.0000,2.239800
2025-07-30,7.6800,7.9300,7.6100,7.7100,82012550,636807756.0800,-0.644300
2025-07-31,7.6100,7.7800,7.4400,7.4500,63988098,483114256.9600,-3.372200
2025-08-01,7.4000,7.5300,7.3800,7.4500,28888429,215066920.9000,0.000000
2025-08-04,7.3800,7.5200,7.3200,7.4700,28069999,208144893.5900,0.268500
2025-08-05,7.4500,7.5900,7.4400,7.5200,32076900,241246904.0000,0.669300
2025-08-06,7.5300,7.7700,7.4600,7.6700,52855702,403537975.2000,1.994700
2025-08-07,7.6800,8.4400,7.6700,8.4400,207660319,1717566315.1600,10.039100
2025-08-08,8.2700,8.3400,8.0700,8.0700,177756105,1452072640.0200,-4.383900
2025-08-11,8.1400,8.1900,8.0400,8.1600,88033930,715945808.6000,1.115200
2025-08-12,8.1400,8.4600,8.1200,8.2600,141941855,1173036275.8700,1.225500
2025-08-13,8.1900,8.3500,8.1300,8.1800,95966311,786278601.9400,-0.968500
2025-08-14,8.1500,8.3100,7.9100,7.9800,90143719,729641693.1900,-2.445000
2025-08-15,7.9300,8.1100,7.9100,8.0600,64227098,516011559.1000,1.002500
2025-08-18,8.1700,8.3800,8.1100,8.2400,96825558,799431467.3600,2.233300
2025-08-19,8.1900,8.3300,8.1300,8.2100,67520800,553871284.9300,-0.364100
2025-08-20,8.1300,8.4600,8.0100,8.3500,108284907,891166069.7000,1.705200
2025-08-21,8.2800,8.7500,8.2500,8.4800,134933352,1145077274.4100,1.556900
2025-08-22,8.3900,9.3300,8.3600,9.0200,231844583,2116603579.9900,6.367900
2025-08-25,8.9300,9.1900,8.8300,8.9500,184368364,1658663067.1900,-0.776100
2025-08-26,8.8200,9.2000,8.7300,8.9600,124262128,1117203367.0200,0.111700
2025-08-27,8.9600,9.4600,8.7700,9.1100,160239479,1456451587.5900,1.674100
2025-08-28,8.9000,9.9800,8.9000,9.7900,195230044,1871211057.3000,7.464300
2025-08-29,9.5000,9.5600,9.0500,9.1700,126378330,1167428653.3300,-6.333000
2025-09-01,9.2800,9.8600,9.0500,9.6000,131143705,1233020650.1300,4.689200
2025-09-02,9.5200,10.3500,9.4100,9.6700,149720874,1477393912.1100,0.729200
2025-09-03,9.5000,9.5700,8.9900,9.0000,109027584,1002170392.7100,-6.928600
2025-09-04,9.0100,9.0800,8.1000,8.2900,102335258,870537774.7100,-7.888900
2025-09-05,8.2900,8.5400,8.0700,8.4400,60984425,508370286.1100,1.809400
2025-09-08,8.4000,8.6900,8.3600,8.6100,58936821,504133900.0800,2.014200
