date,open,high,low,close,volume,amount,pctChg
2025-01-02,14.8500,15.0300,14.1100,14.2500,52763693,764606451.9200,-5.754000
2025-01-03,14.2300,14.2400,13.0200,13.1000,49405606,663649608.3700,-8.070200
2025-01-06,12.8400,13.4300,12.7300,13.1500,33568067,441616873.6500,0.381700
2025-01-07,13.1500,13.2700,12.8200,13.2200,31683600,413860606.0000,0.532300
2025-01-08,13.0200,13.2600,12.7600,13.0600,29722350,386949719.5000,-1.210300
2025-01-09,12.9300,13.1900,12.9000,12.9800,23086086,301404477.4200,-0.612600
2025-01-10,12.9600,13.0900,12.3000,12.3500,32488440,412867513.2700,-4.853600
2025-01-13,12.0300,12.3600,11.9800,12.2800,22416803,273504050.5200,-0.566800
2025-01-14,12.4200,13.2000,12.3100,13.1800,48883772,632010024.4400,7.329000
2025-01-15,13.1800,13.3600,13.0100,13.1200,29563087,389056792.0400,-0.455200
2025-01-16,13.2100,13.7500,13.1300,13.3600,43007406,577015754.0200,1.829300
2025-01-17,13.2700,13.6500,13.2100,13.4500,32083004,432291616.2000,0.673700
2025-01-20,13.5100,13.6700,13.1300,13.2100,40255204,538477976.6900,-1.784400
2025-01-21,13.3000,13.3300,12.9100,13.1000,23609751,308442964.5500,-0.832700
2025-01-22,13.3000,13.4500,13.1000,13.2600,35571747,472168121.6900,1.221400
2025-01-23,13.5800,13.8600,13.1100,13.1500,42684365,578186632.2100,-0.829600
2025-01-24,13.1000,13.3000,13.0100,13.2300,23055222,304213156.6400,0.608400
2025-01-27,13.2500,13.3400,12.7000,12.7100,21804300,282304989.0000,-3.930500
2025-02-05,12.7000,13.0700,12.6700,12.9600,21162200,273438624.0000,1.967000
2025-02-06,12.9100,13.2700,12.8000,13.2100,24938899,326664565.8600,1.929000
2025-02-07,13.1900,14.0000,13.1200,13.6900,57146137,782237977.5600,3.633600
2025-02-10,13.6000,13.8400,13.5300,13.7500,33618724,461305308.2400,0.438300
2025-02-11,13.7600,15.1300,13.4600,14.8000,107985050,1584559797.4300,7.636400
2025-02-12,14.5000,15.3400,14.4700,15.0800,93067828,1372806642.9800,1.891900
2025-02-13,14.8500,14.9800,14.5000,14.5000,65237399,959138165.0000,-3.846200
2025-02-14,14.3500,14.6200,14.2100,14.5800,42139700,608722663.4800,0.551700
2025-02-17,14.7000,14.8700,14.3000,14.4600,36687893,533346201.8500,-0.823000
2025-02-18,14.3200,14.4500,13.7600,13.8000,37077600,522892694.0000,-4.564300
2025-02-19,13.8100,14.0400,13.7500,13.9400,35093674,486635193.6000,1.014500
2025-02-20,13.7700,14.1500,13.7500,14.0600,31875116,444828481.4800,0.860800
2025-02-21,14.1700,14.4700,13.9600,14.2300,47438700,674077724.0500,1.209100
2025-02-24,14.0000,14.2100,13.9600,14.0800,28761450,405205545.5000,-1.054100
2025-02-25,13.8100,14.0300,13.7500,13.8600,23668900,328915598.0000,-1.562500
2025-02-26,13.8900,14.2900,13.8400,14.2800,40679068,572046426.5100,3.030300
2025-02-27,14.1400,14.3000,13.7200,14.0100,38935800,545071692.2200,-1.890800
2025-02-28,13.8400,14.1900,13.2100,13.2300,34081322,467194907.9400,-5.567500
2025-03-03,13.2300,13.4300,13.0600,13.2500,22448693,298212241.4600,0.151200
2025-03-04,13.2300,13.3900,13.1500,13.3700,16099693,214034967.3200,0.905700
2025-03-05,13.3100,13.4800,13.2000,13.3800,18019698,240342486.1500,0.074800
2025-03-06,13.5200,13.7300,13.4500,13.6600,28729208,391111271.0000,2.092700
2025-03-07,13.5300,13.5600,13.2400,13.3300,20527700,275066715.4800,-2.415800
2025-03-10,13.3800,13.4100,13.2800,13.4000,11847951,158154481.2600,0.525100
2025-03-11,13.2500,13.4600,13.2000,13.3900,12525203,167101455.9900,-0.074600
2025-03-12,13.4200,13.7600,13.3800,13.4500,23754702,321077689.8600,0.448100
2025-03-13,13.5500,14.1000,13.4600,13.4900,31900346,436274919.1800,0.297400
2025-03-14,13.4500,13.9500,13.4200,13.7800,43074139,591314315.6400,2.149700
2025-03-17,13.6800,13.6800,13.5100,13.5400,23859821,323569252.8000,-1.741700
2025-03-18,13.5600,13.6300,13.5100,13.6000,15882802,215439993.1200,0.443100
2025-03-19,13.6000,13.7000,13.5100,13.5500,15934700,216715760.5000,-0.367600
2025-03-20,13.5100,13.5500,13.2400,13.3100,19460707,259891397.4500,-1.771200
2025-03-21,13.2400,13.3600,12.9100,12.9300,18810500,246685757.0000,-2.855000
2025-03-24,12.8400,12.9400,12.4800,12.7100,20908410,264824404.2000,-1.701500
2025-03-25,12.7000,12.7400,12.5200,12.5800,10003093,126275973.0800,-1.022800
2025-03-26,12.5900,12.7500,12.5800,12.6300,9142670,115887191.1000,0.397500
2025-03-27,12.5500,12.7200,12.4600,12.5700,10563600,132879964.0000,-0.475100
2025-03-28,12.5800,12.7200,12.5300,12.6200,10816700,136495181.0000,0.397800
2025-03-31,12.5100,12.7400,12.3500,12.4800,12175100,151942302.2200,-1.109400
2025-04-01,12.4900,12.6200,12.3800,12.5100,10425009,130434309.7900,0.240400
2025-04-02,12.5500,12.7200,12.4900,12.5900,11601541,146380288.0500,0.639500
2025-04-03,12.4800,12.7100,12.4300,12.5800,10040702,126240991.1400,-0.079400
2025-04-07,11.9900,12.1900,11.3200,11.3200,18456659,212627787.3600,-10.015900
2025-04-08,11.3300,11.5400,10.7500,11.0200,24406900,271727182.0000,-2.650200
2025-04-09,10.8000,11.2500,10.2800,11.1500,23547758,256212822.5800,1.179700
2025-04-10,11.3400,11.5200,11.2000,11.2700,17371658,197927961.3600,1.076200
2025-04-11,11.2000,11.6400,11.1700,11.4200,18379300,209819905.0000,1.331000
2025-04-14,11.4500,11.6200,11.4000,11.4700,12593300,144552773.0000,0.437800
2025-04-15,11.4500,11.4900,11.3300,11.3800,8158576,92942476.4000,-0.784700
2025-04-16,11.3500,11.3500,10.9800,11.1300,11820800,131663626.0000,-2.196800
2025-04-17,11.0200,11.2500,11.0100,11.1100,8521005,95201266.9000,-0.179700
2025-04-18,11.1000,11.7600,11.0400,11.4400,21598144,245876684.9600,2.970300
2025-04-21,11.2900,11.6300,11.2800,11.4800,13772356,158170624.6900,0.349700
2025-04-22,11.4600,11.5600,11.4000,11.4900,12156700,139646792.8700,0.087100
2025-04-23,11.5100,11.5700,11.4000,11.4600,9329700,106927455.0000,-0.261100
2025-04-24,11.4600,11.4700,11.1700,11.1800,9944800,112488570.0000,-2.443300
2025-04-25,11.1800,11.3300,11.1600,11.1600,11426551,128418074.2200,-0.178900
2025-04-28,11.1600,11.1700,10.9400,10.9600,9740397,107232057.5600,-1.792100
2025-04-29,10.9600,11.1500,10.9300,11.0800,9885151,109252487.4500,1.094900
2025-04-30,11.0400,11.1600,10.9500,10.9600,12392178,136983463.1000,-1.083000
2025-05-06,11.0500,11.8600,11.0400,11.5800,34833378,401985393.3000,5.656900
2025-05-07,12.6600,12.7400,12.0700,12.1300,78813536,985622627.1000,4.749600
2025-05-08,11.8200,12.1800,11.8000,11.9200,46179736,553522034.0800,-1.731200
2025-05-09,11.8900,11.9700,11.5900,11.6100,23893520,279663349.0800,-2.600700
2025-05-12,11.7200,12.7700,11.6400,12.6000,68517730,846733119.8200,8.527100
2025-05-13,12.6500,13.2100,12.5000,12.5400,72721263,925168173.8600,-0.476200
2025-05-14,12.5500,13.7900,12.2800,13.7900,120660890,1598075871.8900,9.968100
2025-05-15,13.4500,13.9100,13.3200,13.3600,97730168,1325122078.3400,-3.118200
2025-05-16,13.3800,13.5100,13.0100,13.1400,48102546,631818158.5600,-1.646700
2025-05-19,13.1400,13.1400,12.9000,13.1000,31810207,414751380.1400,-0.304400
2025-05-20,12.9100,13.0500,12.4300,12.7500,51764448,658376818.8500,-2.671800
2025-05-21,12.6400,12.6900,12.5200,12.6400,26894602,338797023.1400,-0.862700
2025-05-22,12.6400,12.6400,12.4300,12.5000,20728794,259316053.4200,-1.107600
2025-05-23,12.5000,12.5300,12.0900,12.1500,27235094,335225800.5800,-2.800000
2025-05-26,12.0800,12.2700,12.0200,12.2700,16724003,203588689.3400,0.987700
2025-05-27,12.2500,12.2700,12.1300,12.2300,13625002,166304288.4400,-0.326000
2025-05-28,12.2800,12.3200,11.9500,12.0000,18155600,219555734.2400,-1.880600
2025-05-29,11.9900,12.2600,11.9600,12.2100,23901637,290449860.0300,1.750000
2025-05-30,12.1000,12.2400,12.0300,12.1100,16275500,196974533.0000,-0.819000
2025-06-03,11.9800,12.2100,11.9000,12.0700,18185793,219509943.7200,-0.330300
2025-06-04,12.0000,12.6400,12.0000,12.4200,48419193,601409905.5000,2.899800
2025-06-05,12.3600,12.9200,12.3600,12.6600,46281900,583080264.8000,1.932400
2025-06-06,12.6000,12.8000,12.4000,12.4700,24891452,312127135.5600,-1.500800
2025-06-09,12.6000,12.8400,12.5200,12.6700,33486796,424413405.5200,1.603800
2025-06-10,12.6800,12.6800,12.2100,12.4200,26672149,332232167.5200,-1.973200
2025-06-11,12.5200,13.1000,12.4700,12.8200,55844370,715748158.0200,3.220600
2025-06-12,12.6600,12.9500,12.6200,12.7100,29717850,379619914.4100,-0.858000
2025-06-13,12.6200,12.6900,12.3400,12.3800,25958888,323412863.0800,-2.596400
2025-06-16,12.2800,12.5800,12.2700,12.5500,17808000,222677927.0000,1.373200
2025-06-17,12.6500,12.7400,12.5300,12.7300,22425325,283801896.5000,1.434300
2025-06-18,12.6800,12.6900,12.4300,12.5300,16805677,210532748.5800,-1.571100
2025-06-19,12.5300,12.5300,12.0000,12.0200,24254500,295665534.9900,-4.070200
2025-06-20,12.0200,12.1200,11.7600,11.7700,16245400,193226604.0000,-2.079900
2025-06-23,11.6000,11.9800,11.6000,11.9300,12672694,150063253.7300,1.359400
2025-06-24,11.9400,12.9800,11.9400,12.7300,54526241,687616117.8100,6.705800
2025-06-25,12.7300,13.6000,12.6800,13.4300,82460804,1086214002.2700,5.498800
2025-06-26,13.4600,13.5000,13.1400,13.2500,62370869,831667351.9400,-1.340300
2025-06-27,13.4800,13.7400,13.2300,13.2700,53149100,714998949.0000,0.150900
2025-06-30,13.2500,13.3000,13.0200,13.1300,30691300,402267841.9800,-1.055000
2025-07-01,13.2200,13.2500,12.8900,12.9900,20647000,268246073.0000,-1.066300
2025-07-02,13.0500,13.0700,12.7500,12.8600,18675102,240285694.8000,-1.000800
2025-07-03,12.8700,12.9500,12.8000,12.8700,20078302,258406709.7400,0.077800
2025-07-04,12.8700,13.1000,12.7000,12.7500,31658000,407789134.0000,-0.932400
2025-07-07,12.6600,12.8400,12.6500,12.7600,14890401,190058932.8000,0.078400
2025-07-08,12.7800,13.0000,12.6800,12.9400,24145321,311253438.0600,1.410700
2025-07-09,12.7800,13.0000,12.7800,12.8400,21709702,279907309.7600,-0.772800
2025-07-10,12.8000,13.1400,12.7400,13.0300,32472802,422288541.0400,1.479800
2025-07-11,13.0700,13.7000,12.9300,13.3400,65115625,869136853.2200,2.379100
2025-07-14,13.3100,13.3900,13.0000,13.0400,30441700,398918684.0000,-2.248900
2025-07-15,13.0300,14.0000,13.0300,13.3700,69236295,937944039.7000,2.530700
2025-07-16,13.4500,14.3800,13.3700,13.8800,73142654,1012648444.6700,3.814500
2025-07-17,13.7100,13.8500,13.5600,13.7800,50305888,688016402.4700,-0.720500
2025-07-18,13.7100,13.7500,13.4700,13.5500,35450318,481534505.4700,-1.669100
2025-07-21,13.4600,13.7000,13.3300,13.5600,31033452,421185362.9800,0.073800
2025-07-22,13.5000,13.7000,13.3100,13.6400,36340058,490244735.3600,0.590000
2025-07-23,13.6800,13.8900,13.4700,13.5000,56039856,765907620.4500,-1.026400
2025-07-24,14.0100,14.8500,13.9500,14.8500,114260812,1672213372.8500,10.000000
2025-07-25,15.2100,16.0000,14.6700,14.7100,162857035,2497895917.1500,-0.942800
2025-07-28,14.6500,14.8300,14.1400,14.4600,80210244,1163790308.1600,-1.699500
2025-07-29,14.4600,15.1000,14.3500,14.9100,89669703,1323234143.7200,3.112000
2025-07-30,14.7800,14.9000,14.3700,14.5400,57828238,846289842.9300,-2.481600
2025-07-31,14.3800,14.5800,14.2300,14.3700,39047116,562688489.4900,-1.169200
2025-08-01,14.4400,14.6500,14.2900,14.3200,35586575,513522716.4900,-0.347900
2025-08-04,14.1200,14.2800,14.0600,14.2700,23059446,326843267.4300,-0.349200
2025-08-05,14.3000,14.4000,14.0800,14.1900,31863613,452351877.7500,-0.560600
2025-08-06,14.1300,14.6600,14.1000,14.6400,53801438,776719021.4700,3.171200
2025-08-07,14.5800,14.6500,14.3400,14.4600,37942830,549514697.5400,-1.229500
2025-08-08,14.3700,14.4000,14.1700,14.2600,25516365,364095392.6000,-1.383100
2025-08-11,14.2100,14.5900,14.1900,14.4700,36709074,530709968.6500,1.472700
2025-08-12,14.4700,15.0900,14.4200,14.7600,55630716,821159612.3200,2.004100
2025-08-13,14.7500,15.0400,14.5500,14.8400,63502695,940544416.6000,0.542000
2025-08-14,14.7500,14.9500,14.5000,14.5200,55006655,810320165.6800,-2.156300
2025-08-15,14.6100,15.8200,14.5800,15.3300,102925382,1566589094.6700,5.578500
2025-08-18,15.5700,15.7200,15.1000,15.3900,86069595,1324957460.7700,0.391400
2025-08-19,15.2300,15.4600,15.1300,15.2700,43087978,658374297.1800,-0.779700
2025-08-20,15.1900,15.4600,14.9800,15.4400,45450328,692754768.6800,1.113300
2025-08-21,15.4500,15.5000,15.0600,15.1400,35329523,539134909.7100,-1.943000
2025-08-22,15.1000,15.4700,15.0400,15.4700,49430281,759213585.4600,2.179700
2025-08-25,15.5000,15.7800,15.3200,15.4400,61267089,948035015.9700,-0.193900
2025-08-26,15.3300,15.7500,15.2800,15.5400,46680714,723185366.9600,0.647700
2025-08-27,15.6000,15.7400,14.9200,14.9700,48312323,743371306.6800,-3.668000
2025-08-28,15.0100,15.6800,14.9600,15.4100,54307384,831683770.2700,2.939200
2025-08-29,15.4200,15.5000,15.0400,15.0800,48471284,739007764.0300,-2.141500
2025-09-01,15.1200,15.1900,14.9700,15.1300,27154329,409816597.5100,0.331600
2025-09-02,15.1300,15.1300,14.6500,14.7300,34418740,509490769.5800,-2.643800
2025-09-03,14.8200,15.3000,14.1000,14.2600,43138874,637842616.0600,-3.190800
2025-09-04,14.2300,14.5300,14.1100,14.2900,32736548,469035277.4200,0.210400
2025-09-05,14.3000,14.5600,14.1000,14.5300,25708569,370040209.2400,1.679500
2025-09-08,14.4300,14.5500,14.3300,14.4100,19753826,284930697.2200,-0.825900
2025-09-09,14.3800,14.4500,14.2000,14.2300,19381443,277330512.8200,-1.249100
2025-09-10,14.2600,14.4400,14.2100,14.3200,16262488,233232977.8500,0.632500
2025-09-11,14.2800,14.6800,14.1400,14.6500,28054029,406682191.6600,2.304500
2025-09-12,14.6300,14.6600,14.4300,14.4500,19637176,285919299.7400,-1.365200
2025-09-15,14.3900,14.4800,14.2800,14.3300,17105602,246110345.5600,-0.830400
2025-09-16,14.3000,14.5600,14.2700,14.5400,17045591,246025323.6000,1.465500
2025-09-17,14.5000,14.6700,14.4400,14.6200,23761599,346078648.2200,0.550200
2025-09-18,14.5100,14.5200,14.0100,14.1300,29642923,423740231.2100,-3.351600
2025-09-19,14.1400,14.1600,13.7800,13.8500,18474938,257482110.2400,-1.981600
2025-09-22,13.9500,14.1300,13.8700,14.0900,15132503,211752956.0600,1.732900
2025-09-23,13.9800,14.0600,13.5300,13.8800,21102769,289960738.4600,-1.490400
2025-09-24,13.7300,14.1100,13.7300,14.0100,15966282,222845833.8000,0.936600
2025-09-25,14.0300,14.1900,13.9100,13.9700,14715290,206912659.7900,-0.285500
2025-09-26,13.8500,14.0400,13.8000,13.8100,10965057,152360701.5300,-1.145300
2025-09-29,13.8000,14.4900,13.7000,14.3300,33676480,477557448.8000,3.765400
2025-09-30,14.2500,14.2600,14.0900,14.1300,19767170,279664232.5800,-1.395700
2025-10-09,14.1300,14.1800,13.9200,14.1700,18351802,258446769.8600,0.283100
2025-10-10,14.3100,15.4600,14.2700,14.6400,75580346,1124591137.3900,3.316900
2025-10-13,13.9100,14.9800,13.9100,14.7100,57303058,829919388.6200,0.478100
2025-10-14,14.7500,14.7900,14.2600,14.2800,40608637,587924613.8400,-2.923200
2025-10-15,14.3000,14.4200,13.9700,14.2600,31111703,440837703.6400,-0.140100
2025-10-16,14.2100,14.2100,13.9700,14.0300,22271740,313349400.9800,-1.612900
2025-10-17,14.0200,14.1300,13.6500,13.6600,23529204,326559739.8000,-2.637200
2025-10-20,13.8100,13.8500,13.6100,13.6900,15782743,216536134.4400,0.219600
2025-10-21,13.7400,13.9000,13.6800,13.7800,20232478,278665389.5000,0.657400
