date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.8200,7.5700,6.6700,7.5700,115395558,851845523.7100,10.029100
2025-01-03,7.5900,7.9900,6.8900,7.6600,182082662,1349040607.6600,1.188900
2025-01-06,7.2000,7.5400,6.8900,6.9000,102984893,739264940.3900,-9.921700
2025-01-07,6.5600,7.2700,6.2300,6.9600,125915006,829640369.8200,0.869600
2025-01-08,6.7000,7.5200,6.6200,7.3500,139940111,995519429.1900,5.603400
2025-01-09,7.2000,7.5000,7.0400,7.2700,107384254,777919795.2200,-1.088400
2025-01-10,7.1400,7.2000,6.7200,6.7400,80479479,562276642.0000,-7.290200
2025-01-13,6.7400,7.1200,6.7400,6.9000,65622556,454294787.7600,2.373900
2025-01-14,6.7900,7.4900,6.7900,7.3200,108667666,780400484.0900,6.087000
2025-01-15,7.3400,7.7700,7.1800,7.5000,135510463,1009218085.9600,2.459000
2025-01-16,7.4400,8.1800,7.3000,7.9400,162450365,1269492634.7800,5.866700
2025-01-17,7.7700,7.8300,7.4000,7.5200,110875021,843595093.8000,-5.289700
2025-01-20,7.5300,7.7000,7.3200,7.4600,76377718,574312625.4600,-0.797900
2025-01-21,7.5000,7.9000,7.2200,7.8200,126655789,968868651.4100,4.825700
2025-01-22,7.6300,7.6300,7.2200,7.2700,92155633,683537946.6600,-7.033200
2025-01-23,7.4000,7.6800,7.2800,7.4000,84862062,631602129.6600,1.788200
2025-01-24,7.3400,7.3500,7.1000,7.2000,68372842,493726032.3400,-2.702700
2025-01-27,7.1600,7.2400,6.6000,6.6700,58309168,402989956.9600,-7.361100
2025-02-05,6.6900,6.8000,6.5100,6.7300,44480982,296719569.9900,0.899600
2025-02-06,6.7300,6.9800,6.5900,6.8900,62339988,422120253.8900,2.377400
2025-02-07,6.8500,7.0600,6.7700,6.8900,68275710,473520672.2600,0.000000
2025-02-10,6.9900,7.3200,6.9200,7.2600,96577004,688274767.6600,5.370100
2025-02-11,7.2100,7.5500,7.0500,7.3600,101172391,738650558.2400,1.377400
2025-02-12,7.2600,7.4800,7.2200,7.4400,86457200,636608879.0000,1.087000
2025-02-13,7.4800,8.1500,7.2800,7.7700,166162166,1279014122.8900,4.435500
2025-02-14,7.6700,7.6800,7.2700,7.4200,98646766,738163831.1600,-4.504500
2025-02-17,7.2500,7.6800,7.2500,7.5300,86433841,649582268.7800,1.482500
2025-02-18,7.5000,7.5800,7.0200,7.1000,74144110,538836813.7800,-5.710500
2025-02-19,7.0100,7.2500,6.9900,7.1600,44725138,319428279.4200,0.845100
2025-02-20,7.1500,7.3600,7.1200,7.2700,49896113,363470931.0600,1.536300
2025-02-21,7.2500,7.3000,7.0600,7.1700,52723132,377260987.7400,-1.375500
2025-02-24,7.3000,7.5600,7.2300,7.3200,100532829,743245779.4000,2.092100
2025-02-25,7.1500,7.2800,7.0400,7.1300,59727502,427067180.2800,-2.595600
2025-02-26,7.1300,7.1800,7.0700,7.1100,51896901,368561405.1100,-0.280500
2025-02-27,7.1100,7.4700,7.0800,7.3800,113325115,829851428.6000,3.797500
2025-02-28,7.2500,7.5500,7.1300,7.1500,81025000,591896488.7000,-3.116500
2025-03-03,7.1400,7.1500,6.8000,6.9600,62288385,433343198.7400,-2.657300
2025-03-04,6.9000,6.9400,6.7500,6.9400,43345458,295725125.2400,-0.287400
2025-03-05,6.9800,6.9900,6.8000,6.9000,34225351,235179902.8000,-0.576400
2025-03-06,6.9100,7.2000,6.8500,7.0900,63417481,445143578.3800,2.753600
2025-03-07,7.0000,7.0400,6.8800,6.9200,44244398,308217849.2700,-2.397700
2025-03-10,6.9200,6.9700,6.8600,6.9100,22231800,153504519.0000,-0.144500
2025-03-11,6.8500,6.9600,6.8000,6.9500,26261602,181213662.6600,0.578900
2025-03-12,7.0000,7.1500,6.9900,7.0100,40903699,288680438.9200,0.863300
2025-03-13,7.0000,7.0800,6.8600,6.8900,27181210,188606802.7000,-1.711800
2025-03-14,6.8800,7.2300,6.8700,7.1500,79199489,563299357.1300,3.773600
2025-03-17,7.2000,7.2400,7.0700,7.0800,58019600,414435846.0000,-0.979000
2025-03-18,7.0800,7.1100,6.9900,7.0300,35847600,252221524.0000,-0.706200
2025-03-19,7.0200,7.0400,6.9100,6.9300,27307270,189531475.4000,-1.422500
2025-03-20,6.9600,6.9900,6.8800,6.8900,28103000,194360002.0000,-0.577200
2025-03-21,6.9100,6.9200,6.7500,6.7900,27348598,186113083.4800,-1.451400
2025-03-24,6.7300,6.8200,6.5000,6.7500,27628096,184623504.7000,-0.589100
2025-03-25,6.7800,6.7800,6.6200,6.6800,15397954,102846146.6400,-1.037000
2025-03-26,6.6700,6.7100,6.6300,6.6900,13182700,88100820.0000,0.149700
2025-03-27,6.6900,6.7400,6.6200,6.7100,16633570,111318706.6000,0.299000
2025-03-28,6.6500,6.7100,6.5400,6.5400,18955700,125131731.0000,-2.533500
2025-03-31,6.5100,6.5100,6.2100,6.2700,23929036,150809900.6600,-4.128400
2025-04-01,6.2500,6.3200,6.2200,6.2500,16297230,102160801.9000,-0.319000
2025-04-02,6.2500,6.7400,6.2100,6.4900,41406599,269004922.5200,3.840000
2025-04-03,6.3600,6.5700,6.3500,6.4400,23049300,148862768.0000,-0.770400
2025-04-07,6.1800,6.3000,5.8000,5.8000,33621400,200824458.0000,-9.937900
2025-04-08,5.6000,6.3800,5.6000,6.3800,74020486,458120721.2100,10.000000
2025-04-09,6.4500,6.6400,5.9500,6.3900,70804709,446223634.4100,0.156700
2025-04-10,6.2800,7.0000,6.2600,6.8400,95376309,634737103.7700,7.042300
2025-04-11,6.6600,6.8800,6.5500,6.6800,68549301,459246300.4600,-2.339200
2025-04-14,6.6500,6.9500,6.6300,6.7800,64747110,440932953.9400,1.497000
2025-04-15,6.7400,6.9500,6.7200,6.8200,60881557,415886754.9900,0.590000
2025-04-16,6.7400,7.3500,6.6500,7.1600,119379408,836624070.7200,4.985300
2025-04-17,6.9900,7.5700,6.9000,7.3600,140485372,1017692727.5800,2.793300
2025-04-18,7.2000,7.3600,6.7800,6.8800,99352034,701707791.9200,-6.521700
2025-04-21,6.6500,6.9700,6.6500,6.8500,58822504,402100062.0600,-0.436000
2025-04-22,6.8100,6.9900,6.7100,6.7800,48984200,335169956.0000,-1.021900
2025-04-23,6.7400,6.8000,6.5800,6.5900,56190104,373576011.6800,-2.802400
2025-04-24,6.5800,6.6800,6.4600,6.5300,37416838,245031944.1400,-0.910500
2025-04-25,6.5600,6.5800,6.4600,6.4600,26903244,175384247.7600,-1.072000
2025-04-28,6.4600,6.5100,6.2700,6.3100,26263587,166306557.6800,-2.322000
2025-04-29,6.3000,6.4100,6.2700,6.3700,20679987,131697340.3000,0.950900
2025-04-30,6.3200,6.3900,6.3000,6.3100,22612980,143203456.2000,-0.941900
2025-05-06,6.3100,6.4500,6.3100,6.4500,26151980,167559071.2000,2.218700
2025-05-07,6.4800,6.5800,6.4200,6.4700,28674100,185755808.0000,0.310100
2025-05-08,6.4600,6.5800,6.3800,6.5700,32517388,211944239.1200,1.545600
2025-05-09,6.5500,6.6200,6.4500,6.4900,23569600,153484377.0000,-1.217700
2025-05-12,6.4700,6.5200,6.4100,6.4500,20591200,132544988.0000,-0.616300
2025-05-13,6.5100,6.5100,6.4000,6.4000,15569293,100124462.9500,-0.775200
2025-05-14,6.4100,6.4200,6.3200,6.4100,18117700,115375580.0000,0.156300
2025-05-15,6.4100,6.5900,6.3400,6.5300,43433794,282526226.3600,1.872100
2025-05-16,6.4800,6.4900,6.3600,6.4100,25448400,162806505.0000,-1.837700
2025-05-19,6.3800,6.4800,6.3400,6.4400,18021360,115651247.4000,0.468000
2025-05-20,6.4800,6.6200,6.4600,6.5600,45933700,301849735.0000,1.863400
2025-05-21,6.5100,6.6500,6.4200,6.4300,27915900,180706636.0000,-1.981700
2025-05-22,6.4000,6.4900,6.3300,6.3300,19525108,124456883.6400,-1.555200
2025-05-23,6.3200,6.3400,6.2500,6.2600,14896500,93608619.0000,-1.105800
2025-05-26,6.2600,6.4500,6.1800,6.3900,15843797,100372442.1000,2.076700
2025-05-27,6.3200,7.0000,6.3200,6.6000,77128095,513605480.5300,3.286400
2025-05-28,6.5000,6.9200,6.4400,6.6500,75256219,500983483.8900,0.757600
2025-05-29,6.5500,6.7200,6.5000,6.6200,49003619,323002963.1000,-0.451100
2025-05-30,6.5700,6.7400,6.5300,6.5500,32081100,212083783.0000,-1.057400
2025-06-03,6.4500,6.6400,6.3600,6.6200,31415494,205424109.2200,1.068700
2025-06-04,6.6000,6.9200,6.5700,6.7800,71142701,479528048.9300,2.416900
2025-06-05,6.7000,6.7300,6.5100,6.5400,52730420,347244747.6000,-3.539800
2025-06-06,6.5100,6.5500,6.4600,6.4700,21952060,142496081.0900,-1.070300
2025-06-09,6.4700,6.5100,6.4600,6.4900,18034988,116911214.3200,0.309100
2025-06-10,6.4700,6.5000,6.3500,6.4100,27515036,176621449.7600,-1.232700
2025-06-11,6.3800,6.4800,6.3800,6.4100,15910692,102246751.4800,0.000000
2025-06-12,6.4100,6.4100,6.3500,6.3800,16895249,107689288.1300,-0.468000
2025-06-13,6.3700,6.3700,6.2600,6.2700,17359900,109266891.0000,-1.724100
2025-06-16,6.2400,6.3300,6.2300,6.3000,9916400,62496166.0000,0.478500
2025-06-17,6.3300,6.3800,6.3100,6.3400,11257600,71410049.0000,0.634900
2025-06-18,6.2600,6.2800,6.1500,6.1800,20085800,124333134.0000,-2.523700
2025-06-19,6.1900,6.2000,5.9700,6.0000,22290498,135030278.8600,-2.912600
2025-06-20,5.9500,6.0500,5.9500,6.0000,8900000,53363825.0000,0.000000
2025-06-23,5.9300,6.0400,5.9100,6.0300,8771662,52601315.7600,0.500000
2025-06-24,6.0300,6.1300,6.0300,6.1200,11910962,72706177.8200,1.492500
2025-06-25,6.1200,6.1900,6.0900,6.1500,13336098,81975722.7100,0.490200
2025-06-26,6.1400,6.2100,6.1100,6.1700,16866111,103889675.8700,0.325200
2025-06-27,6.1500,6.2000,6.1300,6.1500,11404856,70258019.1700,-0.324100
2025-06-30,6.1700,6.1700,6.1300,6.1600,10611146,65223987.1600,0.162600
2025-07-01,6.1400,6.1700,6.1000,6.1400,11305000,69247245.2600,-0.324700
2025-07-02,6.1400,6.1800,6.1100,6.1700,12195396,75035884.4000,0.488600
2025-07-03,6.1700,6.1700,6.1200,6.1400,9050700,55518958.0000,-0.486200
2025-07-04,6.1300,6.1400,6.0600,6.0800,11826975,72079194.9600,-0.977200
2025-07-07,6.0700,6.1700,6.0600,6.0900,7131217,43538690.9400,0.164500
2025-07-08,6.1000,6.1300,6.0800,6.1200,8345900,51023601.0000,0.492600
2025-07-09,6.1200,6.1400,6.1000,6.1300,11472784,70259997.8300,0.163400
2025-07-10,6.1200,6.1700,6.1000,6.1500,12954597,79614802.5800,0.326300
2025-07-11,6.1500,6.1800,6.1300,6.1800,16391558,101049561.9000,0.487800
2025-07-14,6.1600,6.1700,6.1300,6.1400,10081900,61942259.0000,-0.647200
2025-07-15,6.1400,6.1400,6.0500,6.0700,13795896,83851627.7200,-1.140100
2025-07-16,6.0800,6.1100,6.0600,6.1000,7002862,42661633.5800,0.494200
2025-07-17,6.1000,6.1700,6.0900,6.1400,11230998,68891569.7700,0.655700
2025-07-18,6.1500,6.1600,6.1100,6.1300,8180400,50079949.0100,-0.162900
2025-07-21,6.1200,6.1800,6.1100,6.1800,18800897,115869401.5600,0.815700
2025-07-22,6.1900,6.2000,6.1300,6.1900,13983397,86099026.4600,0.161800
2025-07-23,6.2000,6.2400,6.1500,6.1600,19359499,120046287.7900,-0.484700
2025-07-24,6.1600,6.2100,6.1500,6.2100,16496600,102196011.0000,0.811700
2025-07-25,6.2500,6.2500,6.1800,6.2000,13856011,85988122.4200,-0.161000
2025-07-28,6.2200,6.2300,6.1800,6.1900,13745800,85254194.0000,-0.161300
2025-07-29,6.2000,6.2200,6.0900,6.1500,16027297,98296126.7300,-0.646200
2025-07-30,6.1400,6.3300,6.1300,6.2700,39217932,245123328.4000,1.951200
2025-07-31,6.2700,6.3400,6.1900,6.2400,25734606,160723117.1900,-0.478500
2025-08-01,6.2700,6.6000,6.2300,6.5400,83449906,537855686.9200,4.807700
2025-08-04,6.5400,6.5400,6.5400,6.5400,,,
2025-08-05,6.5400,6.5400,6.5400,6.5400,,,
2025-08-06,6.5400,6.5400,6.5400,6.5400,,,
2025-08-07,6.5400,6.5400,6.5400,6.5400,,,
2025-08-08,6.5400,6.5400,6.5400,6.5400,,,
2025-08-11,7.1900,7.1900,6.6200,6.6900,107399862,738069096.0900,2.293600
2025-08-12,6.6800,7.1600,6.4700,7.0300,115121072,793057321.3700,5.082200
2025-08-13,6.9100,6.9700,6.8000,6.8000,73109931,500651552.5000,-3.271700
2025-08-14,6.7200,6.7500,6.5100,6.5300,52519854,347496198.6700,-3.970600
2025-08-15,6.5100,6.5800,6.4700,6.5300,26571757,173387239.8200,0.771600
2025-08-18,6.5200,6.5700,6.4700,6.5400,41621276,271694518.7900,0.153100
2025-08-19,6.5300,6.8800,6.4800,6.7000,64101523,428094031.6900,2.446500
2025-08-20,6.6400,7.0800,6.5600,6.8600,81887366,558449519.6700,2.388100
2025-08-21,6.7900,6.9600,6.7000,6.7400,52142459,354667996.1900,-1.749300
