date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.7000,2.7800,2.6500,2.6800,66127001,179553606.6600,-1.470600
2025-01-03,2.7100,2.7200,2.5200,2.5400,67292601,174575275.6100,-5.223900
2025-01-06,2.5200,2.5600,2.4500,2.5300,58822200,147362320.0000,-0.393700
2025-01-07,2.5300,2.6000,2.5100,2.6000,60546700,154847579.0000,2.766800
2025-01-08,2.5900,2.6400,2.5000,2.6200,80681208,207359969.9600,0.769200
2025-01-09,2.5900,2.6500,2.5700,2.6000,48838008,127509139.0400,-0.763400
2025-01-10,2.5900,2.6000,2.4800,2.4900,47046401,119208375.5400,-4.230800
2025-01-13,2.4400,2.4900,2.3900,2.4700,39301100,96247625.0000,-0.803200
2025-01-14,2.5000,2.6100,2.4800,2.6100,55179300,140803241.0000,5.668000
2025-01-15,2.6100,2.6300,2.5500,2.6000,45419200,117729158.0000,-0.383100
2025-01-16,2.6100,2.7100,2.5900,2.6400,59623736,158034476.0400,1.538500
2025-01-17,2.6200,2.6700,2.5600,2.6200,55790645,145674462.8900,-0.757600
2025-01-20,2.6400,2.6600,2.5700,2.6400,46639136,122555167.6800,0.763400
2025-01-21,2.6400,2.6900,2.5700,2.5900,49863900,130346186.0000,-1.893900
2025-01-22,2.5800,2.5900,2.5200,2.5300,30735700,78178906.0000,-2.316600
2025-01-23,2.5400,2.6000,2.5000,2.5000,47881601,122010358.5100,-1.185800
2025-01-24,2.5000,2.5100,2.4200,2.4800,54444633,134149048.6000,-0.800000
2025-01-27,2.5100,2.5700,2.4900,2.5100,69850112,177452959.8700,1.209700
2025-02-05,2.5200,2.5500,2.4900,2.5200,35283100,88994655.0000,0.398400
2025-02-06,2.5300,2.6000,2.5000,2.5900,61813262,158348535.7400,2.777800
2025-02-07,2.5800,2.7400,2.5700,2.6600,80509801,214016829.6400,2.702700
2025-02-10,2.6700,2.7400,2.6700,2.7300,56502725,152725644.2600,2.631600
2025-02-11,2.7600,2.7700,2.6600,2.6900,50127124,134705301.3200,-1.465200
2025-02-12,2.7000,2.7700,2.6700,2.7500,62417700,170156057.0000,2.230500
2025-02-13,2.7500,2.9200,2.7400,2.8200,110635971,313127695.4500,2.545500
2025-02-14,2.7900,2.8000,2.7100,2.7200,66368217,181605721.7200,-3.546100
2025-02-17,2.7200,2.8300,2.7000,2.8000,66908616,186314445.4800,2.941200
2025-02-18,2.7900,2.8000,2.6900,2.7000,52638200,144123042.0000,-3.571400
2025-02-19,2.7100,2.7300,2.6900,2.7200,38165900,103397778.0000,0.740700
2025-02-20,2.7100,2.7500,2.6900,2.7400,40141500,109248347.0000,0.735300
2025-02-21,2.7300,2.7600,2.6800,2.7100,43352700,117275170.0000,-1.094900
2025-02-24,2.7100,2.8300,2.7000,2.7900,78213925,217680294.5200,2.952000
2025-02-25,2.7600,2.8100,2.7300,2.7800,49086101,136231861.8000,-0.358400
2025-02-26,2.7900,3.0600,2.7900,3.0600,143812107,425380745.1400,10.071900
2025-02-27,3.1100,3.1400,2.9500,3.0200,199788450,609063336.7400,-1.307200
2025-02-28,3.0300,3.1000,2.9200,2.9300,123466103,370746728.6200,-2.980100
2025-03-03,2.9500,3.0000,2.8900,2.9500,77435900,228894306.0000,0.682600
2025-03-04,2.9200,3.0900,2.9000,2.9800,99559122,298461269.2800,1.016900
2025-03-05,2.9500,2.9900,2.8600,2.9900,80631100,234974292.0000,0.335600
2025-03-06,2.9800,3.0300,2.9400,2.9800,61977213,184908597.7300,-0.334400
2025-03-07,2.9800,3.0800,2.9700,3.0400,102477000,311235339.0000,2.013400
2025-03-10,3.0300,3.0500,2.9300,2.9500,54086800,160794825.0000,-2.960500
2025-03-11,2.9100,2.9400,2.8800,2.9300,41416176,120282792.4000,-0.678000
2025-03-12,2.9400,2.9600,2.8900,2.9100,39334000,114676459.0000,-0.682600
2025-03-13,2.9100,2.9300,2.8300,2.9200,46026200,132037760.0000,0.343600
2025-03-14,2.9000,2.9400,2.8800,2.9300,40528284,118272094.8000,0.342500
2025-03-17,2.9300,3.0200,2.9300,2.9500,48433600,143800392.0000,0.682600
2025-03-18,2.9500,2.9700,2.9000,2.9300,30752000,90154680.0000,-0.678000
2025-03-19,2.9300,2.9300,2.8500,2.8600,35713301,102683914.8500,-2.389100
2025-03-20,2.8500,2.9200,2.8400,2.8600,32816724,94513954.3600,0.000000
2025-03-21,2.8400,2.9500,2.8400,2.8600,43276200,125227117.0000,0.000000
2025-03-24,2.8500,3.0200,2.7800,2.9800,92335739,266814807.7700,4.195800
2025-03-25,2.9300,2.9900,2.8900,2.9100,49765812,146332028.4000,-2.349000
2025-03-26,2.9000,2.9100,2.8500,2.8600,38233021,109961458.0600,-1.718200
2025-03-27,2.8500,2.8800,2.8000,2.8200,25972613,73497119.7700,-1.398600
2025-03-28,2.8200,2.8400,2.7900,2.8200,22424400,63065028.0000,0.000000
2025-03-31,2.8000,2.8000,2.7000,2.7100,27806640,76091447.0000,-3.900700
2025-04-01,2.7100,2.7300,2.6600,2.6800,22615700,61027533.0000,-1.107000
2025-04-02,2.6800,2.7500,2.6600,2.6900,20039301,53939062.6800,0.373100
2025-04-03,2.6800,2.7100,2.6700,2.6900,12229800,32927043.0000,0.000000
2025-04-07,2.5900,2.5900,2.4200,2.4200,36513933,89497844.5200,-10.037200
2025-04-08,2.3100,2.4200,2.2900,2.3300,49530010,115114530.1000,-3.719000
2025-04-09,2.3000,2.3800,2.1500,2.3600,49821000,113005526.9800,1.287600
2025-04-10,2.4000,2.4500,2.3800,2.3900,38818151,93878620.9300,1.271200
2025-04-11,2.3700,2.4300,2.3600,2.4000,21878600,52643875.0000,0.418400
2025-04-14,2.4200,2.4900,2.4200,2.4600,26780076,65773617.9600,2.500000
2025-04-15,2.4800,2.4800,2.4000,2.4200,19722576,47769837.1600,-1.626000
2025-04-16,2.4200,2.4300,2.3400,2.3800,20487076,48591752.8400,-1.652900
2025-04-17,2.3600,2.4300,2.3500,2.4000,18803801,45105381.3900,0.840300
2025-04-18,2.4100,2.4500,2.3800,2.4200,19747700,47610345.0000,0.833300
2025-04-21,2.4200,2.4700,2.4100,2.4300,23337901,56908633.4200,0.413200
2025-04-22,2.4300,2.4500,2.4000,2.4100,19466600,47086346.0000,-0.823000
2025-04-23,2.4200,2.4400,2.4100,2.4300,18618701,45216169.4300,0.829900
2025-04-24,2.4400,2.4600,2.4000,2.4300,24945248,60667330.1200,0.000000
