date,open,high,low,close,volume,amount,pctChg
2025-01-02,1.9900,2.0700,1.9600,2.0100,59652212,120511727.5600,0.500000
2025-01-03,2.0300,2.0400,1.8800,1.8900,63886041,123089525.5400,-5.970100
2025-01-06,1.8900,1.9100,1.8000,1.9100,55425884,103076700.4000,1.058200
2025-01-07,1.9200,1.9500,1.8900,1.9400,45459931,87186759.7900,1.570700
2025-01-08,1.9500,1.9700,1.8600,1.9200,48311884,92055806.2400,-1.030900
2025-01-09,1.9000,1.9700,1.8900,1.9300,44066551,84902883.0300,0.520800
2025-01-10,1.9300,1.9300,1.8300,1.8400,42398000,79597968.0000,-4.663200
2025-01-13,1.8200,1.8600,1.7700,1.8400,34485712,62650202.4500,0.000000
2025-01-14,1.8500,1.9500,1.8500,1.9500,49903630,95300895.1200,5.978300
2025-01-15,1.9500,1.9700,1.9000,1.9300,37232784,71764198.7500,-1.025600
2025-01-16,1.9400,2.0000,1.9200,1.9500,45613601,89584891.9600,1.036300
2025-01-17,1.9400,1.9500,1.8900,1.9100,31363036,60067381.7600,-2.051300
2025-01-20,1.9200,1.9500,1.8700,1.9300,33359220,64141366.6000,1.047100
2025-01-21,1.9300,1.9300,1.8600,1.8800,35678500,67318997.0000,-2.590700
2025-01-22,1.8700,1.8800,1.8100,1.8100,30501400,55829390.0000,-3.723400
2025-01-23,1.8500,1.8900,1.8000,1.8000,43558900,80388659.0000,-0.552500
2025-01-24,1.8000,1.8100,1.7600,1.7900,33232560,59351007.8000,-0.555600
2025-01-27,1.8000,1.8600,1.7800,1.7800,29783026,54102724.0400,-0.558700
2025-02-05,1.8000,1.8900,1.8000,1.8600,53022321,98438265.8500,4.494400
2025-02-06,1.8600,1.8900,1.8100,1.8800,45983781,85427288.6600,1.075300
2025-02-07,1.8800,1.9500,1.8800,1.9300,47418160,91213254.0000,2.659600
2025-02-10,1.9300,2.0200,1.9300,2.0100,54183501,107525123.4100,4.145100
2025-02-11,2.0300,2.0400,1.9500,1.9700,38023160,74903420.8000,-1.990000
2025-02-12,1.9800,2.0100,1.9600,1.9900,36197000,71779122.6000,1.015200
2025-02-13,1.9900,2.0500,1.9800,2.0100,53759538,108378140.0200,1.005000
2025-02-14,1.9900,2.0400,1.9400,1.9600,42272300,83306276.2000,-2.487600
2025-02-17,1.9400,2.1000,1.9400,2.0300,86069220,174442931.1700,3.571400
2025-02-18,2.0300,2.0500,1.9300,1.9300,60555180,119625823.4000,-4.926100
2025-02-19,1.9300,1.9600,1.9200,1.9400,33346760,64566203.0000,0.518100
2025-02-20,1.9400,1.9900,1.9200,1.9600,43035480,84465998.2000,1.030900
2025-02-21,1.9600,1.9700,1.9000,1.9300,45920610,88499288.3800,-1.530600
2025-02-24,1.9300,2.0600,1.9200,1.9900,88413682,177602725.9800,3.108800
2025-02-25,2.0200,2.1700,1.9900,2.0500,111147780,229871889.4000,3.015100
2025-02-26,2.0300,2.0800,2.0100,2.0400,67572941,137957833.2400,-0.487800
2025-02-27,2.0400,2.0600,1.9600,1.9900,61294700,122226730.2000,-2.451000
