date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.6300,11.7800,11.3800,11.4700,21362849,247390358.2000,-1.882000
2025-01-03,11.4600,11.7700,11.3900,11.4200,20727559,239800025.1100,-0.435900
2025-01-06,11.4100,11.6600,11.3000,11.6100,17859829,205920173.6300,1.663700
2025-01-07,11.5900,11.6200,11.3200,11.4700,16131300,184786085.0000,-1.205900
2025-01-08,11.4200,11.4300,10.9500,11.1500,25515605,284372118.5300,-2.789900
2025-01-09,11.1100,11.2200,11.0300,11.1000,10609600,118201961.0000,-0.448400
2025-01-10,11.0900,11.1600,10.9600,10.9600,10546653,116354991.3200,-1.261300
2025-01-13,10.8700,11.0700,10.8300,10.9700,11004035,120613165.9300,0.091200
2025-01-14,10.9600,11.2100,10.9200,11.1600,17337823,192112543.9900,1.732000
2025-01-15,11.1600,11.2000,11.0600,11.0700,10388881,115449206.6700,-0.806500
2025-01-16,11.1200,11.3200,11.1200,11.2100,14727176,165216292.4300,1.264700
2025-01-17,11.1700,11.5500,11.1500,11.5000,22045441,251165262.2800,2.587000
2025-01-20,11.5000,11.5900,11.3700,11.4100,15022521,171832394.4500,-0.782600
2025-01-21,11.4600,11.5000,11.2800,11.3600,11119400,126144642.0000,-0.438200
2025-01-22,11.3200,11.3700,11.2000,11.3500,8019400,90540839.0000,-0.088000
2025-01-23,11.3800,11.5100,11.2800,11.2900,11705500,133339109.8100,-0.528600
2025-01-24,11.2700,11.3800,11.2400,11.3600,10413421,117991035.5600,0.620000
2025-01-27,11.6300,11.9200,11.5700,11.8400,37426291,442231442.2800,4.225400
2025-02-05,11.8600,11.9100,11.6800,11.7600,19775800,233307252.0000,-0.675700
2025-02-06,11.7400,11.7800,11.5500,11.6600,25837343,300637651.5500,-0.850300
2025-02-07,11.6500,11.8000,11.5600,11.7300,22378609,261945410.3200,0.600300
2025-02-10,11.7300,11.8300,11.6400,11.6900,17448373,204071610.4500,-0.341000
2025-02-11,11.6600,11.9300,11.6500,11.8800,23992118,283067216.5300,1.625300
2025-02-12,11.8400,12.1700,11.8000,12.0500,30928869,372670506.2800,1.431000
2025-02-13,12.0500,12.1200,11.9100,11.9200,17797642,213772724.0300,-1.078800
2025-02-14,11.9200,11.9700,11.8000,11.8700,14397574,170945937.8100,-0.419500
2025-02-17,11.8900,11.9000,11.7200,11.8200,15686844,184958033.8700,-0.421200
2025-02-18,11.7900,11.9000,11.6800,11.7300,13692982,161646893.0900,-0.761400
2025-02-19,11.7300,11.7800,11.6300,11.7700,15352873,179720531.6400,0.341000
2025-02-20,11.7500,11.8100,11.6600,11.7700,14073558,165010917.9200,0.000000
2025-02-21,11.7600,11.8200,11.6500,11.7200,15775182,184656998.7800,-0.424800
2025-02-24,11.7600,11.8900,11.7300,11.7700,21088325,249261172.6100,0.426600
2025-02-25,11.7600,11.7700,11.6100,11.6500,19201379,224443710.9600,-1.019500
2025-02-26,11.6300,11.8300,11.6300,11.7200,15867819,185979311.9200,0.600900
2025-02-27,11.7200,11.7300,11.5200,11.6400,17150200,199263304.0000,-0.682600
2025-02-28,11.6000,11.6900,11.5100,11.5300,14490357,168070048.1200,-0.945000
2025-03-03,11.5500,11.7700,11.5500,11.6500,20384600,238341220.0000,1.040800
2025-03-04,11.6300,11.6900,11.5400,11.6500,11356702,132102741.2600,0.000000
2025-03-05,11.6400,11.6700,11.4400,11.5300,14546751,167438498.2100,-1.030000
2025-03-06,11.5600,11.6100,11.4800,11.5900,13864712,160248406.5800,0.520400
2025-03-07,11.5500,11.8100,11.5400,11.7400,20040136,234667935.3500,1.294200
2025-03-10,11.7500,11.8200,11.6900,11.8100,14136688,166147832.4400,0.596300
