date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.9400,7.1500,6.6200,6.8000,69731421,480901077.2000,-1.449300
2025-01-03,6.6000,7.4800,6.4600,7.4800,87010946,626452398.6300,10.000000
2025-01-06,7.5500,7.9000,7.2000,7.6000,119735159,899763135.8400,1.604300
2025-01-07,7.5000,8.2000,7.3900,7.7300,101570517,793381218.1800,1.710500
2025-01-08,7.8700,8.1500,7.5300,7.6300,101907935,800485405.6800,-1.293700
2025-01-09,7.4000,7.7200,7.0000,7.0600,105214523,768112218.4700,-7.470500
2025-01-10,7.2400,7.3600,6.5100,6.5500,92252465,640168301.6300,-7.223800
2025-01-13,6.4400,6.5700,6.2400,6.3100,54413762,346478193.0800,-3.664100
2025-01-14,6.3400,6.5800,6.3100,6.5600,56920953,369637414.1600,3.962000
2025-01-15,6.5000,6.5000,6.2400,6.2800,49664236,314278523.6800,-4.268300
2025-01-16,6.3100,6.5600,6.3000,6.4000,43933679,282099510.2500,1.910800
2025-01-17,6.3600,6.3600,6.1600,6.3100,33613116,210274939.6600,-1.406300
2025-01-20,6.3800,6.4900,6.3200,6.4000,34421294,220240481.7000,1.426300
2025-01-21,6.4900,6.6800,6.3800,6.5200,44509707,289513963.2400,1.875000
2025-01-22,6.4800,6.6800,6.4300,6.5900,38664780,254484552.9000,1.073600
2025-01-23,6.6100,6.7200,6.3700,6.3800,42828730,280650394.3000,-3.186600
2025-01-24,6.3500,6.5900,6.2900,6.5200,32244495,208200523.3500,2.194400
2025-01-27,6.4600,6.5100,6.2600,6.2800,25089100,159705480.0000,-3.681000
2025-02-05,6.3200,6.3300,6.1200,6.2000,23025798,142579717.2700,-1.273900
2025-02-06,6.1800,6.4200,6.1500,6.3800,28394821,178251690.6100,2.903200
2025-02-07,6.3400,6.4700,6.2900,6.3700,31686931,202322446.6300,-0.156700
2025-02-10,6.3700,6.4400,6.3500,6.4200,21827998,139498277.2700,0.784900
2025-02-11,6.3900,6.5200,6.3700,6.4900,26377623,169871402.8200,1.090300
2025-02-12,6.4500,6.5400,6.4100,6.5100,21715137,140713134.7100,0.308200
2025-02-13,6.4800,6.6000,6.4200,6.4600,23690239,154027614.9900,-0.768000
2025-02-14,6.4500,6.4700,6.3100,6.3500,20603321,131302703.8500,-1.702800
2025-02-17,6.3400,6.4600,6.3200,6.4200,15304090,97773082.0600,1.102400
2025-02-18,6.4200,6.4200,6.1600,6.1900,17821600,112182681.0000,-3.582600
2025-02-19,6.1900,6.3300,6.1700,6.2700,14858207,92641315.0200,1.292400
