date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.9500,13.0400,12.4700,12.6000,35955810,459722622.6200,-3.963400
2025-01-03,12.6500,12.7600,12.2100,12.2500,24612000,307310366.5400,-2.777800
2025-01-06,12.2500,12.5000,12.1500,12.3700,17931800,221182892.0000,0.979600
2025-01-07,12.3700,12.4400,12.2200,12.4200,16833201,207676837.2800,0.404200
2025-01-08,12.3300,12.4000,11.9100,12.2500,25647687,312002108.1800,-1.368800
2025-01-09,12.1600,12.3600,12.0600,12.2000,21295379,260027677.8000,-0.408200
2025-01-10,12.2000,12.8800,12.1500,12.4000,41948996,526337120.9700,1.639300
2025-01-13,12.4000,12.5400,12.1500,12.3200,27022062,333103598.9800,-0.645200
2025-01-14,12.3500,13.5500,12.3300,13.5500,77442147,1026542610.6500,9.983800
2025-01-15,13.8000,13.8800,13.4200,13.4500,72575892,988682191.0600,-0.738000
2025-01-16,13.5400,13.7500,13.3500,13.5500,39887094,540718347.2700,0.743500
2025-01-17,13.4500,13.7400,13.3500,13.6200,33216762,450217311.6300,0.516600
2025-01-20,13.7400,13.8000,13.5300,13.6200,32975978,449588810.5900,0.000000
2025-01-21,13.6200,13.8000,13.4200,13.7500,32712462,446287612.8700,0.954500
2025-01-22,13.7400,14.0100,13.6200,13.8500,57729691,798247889.7400,0.727300
2025-01-23,14.2500,14.5000,13.8200,13.8300,83973575,1186715725.9700,-0.144400
2025-01-24,13.8500,15.0000,13.8500,14.7800,110775721,1612199545.7600,6.869100
2025-01-27,14.8000,14.8700,14.0400,14.0700,62731686,895648973.8900,-4.803800
2025-02-05,14.2000,14.2500,13.7000,14.0200,54569944,766397613.0300,-0.355400
2025-02-06,13.9400,14.8500,13.9300,14.8300,79868576,1161787510.1100,5.777500
2025-02-07,14.8500,15.4200,14.6500,15.1500,111418917,1677461523.1900,2.157800
2025-02-10,15.1500,15.2300,14.8300,15.1200,60351527,906782837.8500,-0.198000
2025-02-11,15.1200,16.2000,14.9500,15.7100,92392490,1432760965.2500,3.902100
2025-02-12,16.2800,17.2800,15.8600,17.2800,144282673,2430588907.0200,9.993600
2025-02-13,17.2800,18.0000,16.6800,16.9000,169346174,2925313528.2100,-2.199100
2025-02-14,16.8000,17.0500,16.4000,16.6300,88655477,1474900319.1700,-1.597600
2025-02-17,16.7100,17.2300,16.5800,16.8100,82434380,1386463532.3000,1.082400
2025-02-18,16.8500,17.9500,16.5800,17.2900,118354989,2051382662.3400,2.855400
2025-02-19,17.2100,18.4800,17.0000,18.0700,110193824,1979609513.9100,4.511300
2025-02-20,18.1000,18.2000,17.5700,17.9600,87633503,1563281270.4300,-0.608700
2025-02-21,18.8000,19.7600,18.4900,19.7600,97779510,1884614129.8500,10.022300
2025-02-24,20.5200,21.7400,20.2000,20.9200,170749572,3575561907.1400,5.870400
