date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.4000,3.5500,3.3400,3.4300,74622504,258439347.6000,-0.290700
2025-01-03,3.4800,3.5100,3.1000,3.1600,102590400,331507604.0000,-7.871700
2025-01-06,3.1400,3.1500,2.9400,3.0600,76835500,234987666.5900,-3.164600
2025-01-07,3.0800,3.2200,3.0600,3.2200,80397904,253080147.6800,5.228800
2025-01-08,3.2200,3.2700,3.0800,3.2300,72229400,228869515.2000,0.310600
2025-01-09,3.2500,3.3300,3.2200,3.2600,60786600,198571373.0000,0.928800
2025-01-10,3.2600,3.3700,3.1200,3.1400,77071300,250444321.0000,-3.681000
2025-01-13,2.8300,2.8300,2.8300,2.8300,14538300,41143389.0000,-9.872600
2025-01-14,2.5500,2.9800,2.5500,2.9500,310117935,848726103.4000,4.240300
2025-01-15,2.7600,2.8800,2.7300,2.8100,230620294,645599468.1400,-4.745800
2025-01-16,2.8600,3.0900,2.8500,2.9900,261133206,784059775.3200,6.405700
2025-01-17,2.9200,2.9900,2.8400,2.8400,157392470,454196541.3000,-5.016700
2025-01-20,2.8800,2.9100,2.7500,2.8200,105717512,297472605.6800,-0.704200
2025-01-21,2.8000,2.8200,2.7000,2.7500,83317100,227986120.0000,-2.482300
2025-01-22,2.7400,2.7400,2.6600,2.6700,56027900,150238004.0000,-2.909100
2025-01-23,2.6700,2.7100,2.5400,2.5400,131296012,342653949.9000,-4.868900
2025-01-24,2.5300,2.5600,2.4400,2.5300,96188264,239929951.0800,-0.393700
2025-01-27,2.5400,2.5900,2.4900,2.4900,66715800,169114574.0000,-1.581000
2025-02-05,2.5200,2.6300,2.5200,2.5900,93138620,241400952.5800,4.016100
2025-02-06,2.6500,2.7300,2.5600,2.7200,127784914,338504495.2600,5.019300
2025-02-07,2.7300,2.9900,2.7300,2.9900,100905151,292725925.0300,9.926500
2025-02-10,3.1300,3.2900,3.0500,3.2900,245702060,779829907.2900,10.033400
2025-02-11,3.3500,3.6200,3.2100,3.4400,323763295,1114600826.3700,4.559300
2025-02-12,3.2700,3.4400,3.2700,3.3500,215878629,717877966.1100,-2.616300
2025-02-13,3.3300,3.5800,3.2800,3.4700,220603927,764049562.2300,3.582100
2025-02-14,3.4300,3.4300,3.2000,3.2400,170553730,556805785.3000,-6.628200
2025-02-17,3.2700,3.5600,3.2500,3.5600,145629118,504017365.8800,9.876500
2025-02-18,3.7600,3.9200,3.6500,3.6800,357587641,1348079448.1900,3.370800
2025-02-19,3.5700,3.8500,3.5700,3.8200,253587781,944850987.6700,3.804300
2025-02-20,3.7300,3.7400,3.6200,3.7000,153315915,564590455.6500,-3.141400
2025-02-21,3.6600,3.7000,3.5600,3.6400,139317369,504891591.1000,-1.621600
2025-02-24,3.6700,3.7400,3.6000,3.6900,144745620,531192567.8000,1.373600
2025-02-25,3.6000,3.6300,3.4800,3.5500,101457201,361914304.6100,-3.794000
2025-02-26,3.5300,3.6800,3.5000,3.5800,111027675,398812995.5400,0.845100
2025-02-27,3.6000,3.8600,3.5900,3.7100,169882819,633525151.4600,3.631300
2025-02-28,3.7200,3.7500,3.3400,3.3800,138512920,483705294.1600,-8.894900
2025-03-03,3.4000,3.4400,3.2500,3.2800,85894658,285815965.9800,-2.958600
2025-03-04,3.2500,3.3300,3.2100,3.3200,56898500,186639253.0000,1.219500
2025-03-05,3.3000,3.3500,3.2200,3.3500,75006763,246382304.8100,0.903600
2025-03-06,3.6900,3.6900,3.6900,3.6900,44341404,163619780.7600,10.149300
2025-03-07,3.8500,4.0600,3.8500,4.0600,229137866,917236364.1600,10.027100
2025-03-10,4.0600,4.3100,4.0100,4.0500,420882426,1746860429.0200,-0.246300
2025-03-11,3.8700,4.4600,3.8700,4.4600,344861711,1443789077.0100,10.123500
