date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.6300,6.1500,5.6000,5.9600,41202818,245796524.6800,6.619000
2025-01-03,5.9100,5.9500,5.6000,5.6900,26617761,151793367.9700,-4.530200
2025-01-06,5.6100,5.6100,5.1200,5.1200,21017270,109333641.3000,-10.017600
2025-01-07,5.0100,5.2700,5.0100,5.2100,16927486,86813307.5500,1.757800
2025-01-08,5.2100,5.3700,5.0600,5.2400,15053775,78749406.3400,0.575800
2025-01-09,5.2000,5.2600,5.1100,5.1400,8853700,45903575.0000,-1.908400
2025-01-10,5.1000,5.1800,4.9700,4.9700,8606200,43756345.0000,-3.307400
2025-01-13,4.8500,4.9500,4.7500,4.9300,12299673,59699388.9700,-0.804800
2025-01-14,4.9300,5.3700,4.9100,5.2600,16332500,84569060.0000,6.693700
2025-01-15,5.2600,5.5500,5.2000,5.3300,17949965,96474185.0500,1.330800
2025-01-16,5.3500,5.4200,5.2300,5.3100,11994999,63934370.6500,-0.375200
2025-01-17,5.3000,5.3700,5.2000,5.3400,7943265,42039419.1000,0.565000
2025-01-20,5.3700,5.4500,5.2000,5.4200,9524200,51241997.3500,1.498100
2025-01-21,5.6200,5.6800,5.2800,5.3500,15216485,82098279.7500,-1.291500
2025-01-22,5.3500,5.4400,5.2100,5.2500,8198985,43452397.7000,-1.869200
2025-01-23,5.3600,5.4000,5.2600,5.2600,8561985,45706508.0500,0.190500
2025-01-24,5.3000,5.3600,5.1900,5.3300,8664885,45759253.0500,1.330800
2025-01-27,5.3400,5.4500,5.2700,5.3200,7435985,39933407.3000,-0.187600
2025-02-05,5.3500,5.4100,5.3200,5.3700,7313100,39246358.0000,0.939800
2025-02-06,5.3300,5.4100,5.2400,5.4100,9555800,51118636.0000,0.744900
2025-02-07,5.4000,5.5700,5.3800,5.5100,14066900,77420411.0000,1.848400
2025-02-10,5.5500,5.6800,5.5300,5.6800,11281600,63069702.0000,3.085300
2025-02-11,5.6800,5.7000,5.5200,5.5400,8685200,48186579.0000,-2.464800
2025-02-12,5.5300,5.5500,5.4400,5.5100,9473900,51998891.0000,-0.541500
2025-02-13,5.5100,5.5300,5.4400,5.4500,7961067,43642605.1500,-1.088900
2025-02-14,5.4200,5.5400,5.3300,5.3600,10465400,56580174.0000,-1.651400
2025-02-17,5.3600,5.5200,5.3600,5.4700,9378867,51155746.8100,2.052200
2025-02-18,5.4700,5.5100,5.2200,5.2400,10838100,57987671.0000,-4.204800
2025-02-19,5.2400,5.2800,5.1900,5.2700,8177601,42849903.2300,0.572500
2025-02-20,5.2700,5.3500,5.2300,5.2800,8301501,43917685.2300,0.189800
2025-02-21,5.2900,5.3200,5.1300,5.2200,9139092,47429740.1100,-1.136400
2025-02-24,5.2300,5.3200,5.1800,5.2300,10368115,54478178.3000,0.191600
2025-02-25,5.2200,5.3400,5.1400,5.2200,9715900,51026228.0000,-0.191200
2025-02-26,5.2300,5.3200,5.2200,5.2700,8227200,43242674.0000,0.957900
2025-02-27,5.3000,5.3500,5.0900,5.1800,12457300,64760563.0000,-1.707800
