date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.6600,8.7300,8.3800,8.4700,7751128,66395167.7600,-2.194000
2025-01-03,8.4800,8.6600,8.3200,8.3300,7439243,63170288.1000,-1.652900
2025-01-06,8.3200,8.5500,8.2500,8.4300,6632700,55820038.0000,1.200500
2025-01-07,8.4300,8.4700,8.2800,8.4500,4761100,39973718.0000,0.237200
2025-01-08,8.4200,8.4400,8.1200,8.2500,7781696,64155623.0000,-2.366900
2025-01-09,8.2200,8.2900,8.1800,8.2200,4717100,38910778.0000,-0.363600
2025-01-10,8.2600,8.3100,8.1400,8.1400,4610600,37835643.0000,-0.973200
2025-01-13,8.0700,8.2600,8.0200,8.2400,6120500,50088201.0000,1.228500
2025-01-14,8.2800,8.3900,8.2400,8.3700,8719917,72539618.9500,1.577700
2025-01-15,8.3400,8.3800,8.2500,8.2900,6685717,55526752.9300,-0.955800
2025-01-16,8.3800,8.4300,8.2600,8.3500,6431888,53746745.0400,0.723800
2025-01-17,8.3200,8.4200,8.2900,8.3900,4780500,39973289.0000,0.479000
2025-01-20,8.4300,8.4600,8.3800,8.4000,4135600,34787963.0000,0.119200
2025-01-21,8.4300,8.4500,8.2600,8.3200,3913300,32518752.0000,-0.952400
2025-01-22,8.2800,8.2800,8.1800,8.2700,3661300,30147616.0000,-0.601000
2025-01-23,8.3700,8.4300,8.2900,8.3200,9050700,75784696.0000,0.604600
2025-01-24,8.3200,8.4200,8.2800,8.3900,5392519,45049653.7600,0.841300
2025-01-27,8.4100,8.5700,8.4000,8.4800,5934300,50508207.0000,1.072700
2025-02-05,8.5400,8.5400,8.3600,8.4000,5348800,45086450.0000,-0.943400
2025-02-06,8.3800,8.5100,8.3500,8.5100,4559286,38475111.7200,1.309500
2025-02-07,8.5300,8.7100,8.4800,8.7100,7301625,62996750.7200,2.350200
2025-02-10,8.7100,8.7600,8.6300,8.6800,6146657,53329346.0500,-0.344400
2025-02-11,8.6800,8.7200,8.5500,8.6200,4779110,41110299.6000,-0.691200
2025-02-12,8.6100,8.7500,8.5500,8.6800,5175529,44723129.2400,0.696100
2025-02-13,8.6700,8.7900,8.6000,8.6300,5722446,49765134.2500,-0.576000
2025-02-14,8.6200,8.6800,8.5600,8.6100,3987557,34394787.9100,-0.231700
2025-02-17,8.6000,8.6000,8.4900,8.5500,5528691,47214552.4100,-0.696900
2025-02-18,8.5700,8.6100,8.4300,8.4700,5188400,44260905.0000,-0.935700
2025-02-19,8.4700,8.5700,8.4400,8.5500,3967800,33764657.0000,0.944500
2025-02-20,8.5500,8.5900,8.4900,8.5300,4599100,39297508.0000,-0.233900
2025-02-21,8.5600,8.6500,8.5100,8.5700,5375271,46046143.6400,0.468900
2025-02-24,8.5500,8.6800,8.5300,8.6300,7799917,67179190.3700,0.700100
2025-02-25,8.5800,8.6800,8.5200,8.6400,5061958,43641464.6100,0.115900
2025-02-26,8.6500,8.8700,8.6400,8.8200,9213910,81045714.4100,2.083300
2025-02-27,8.8400,8.8400,8.6700,8.7600,6427857,56231382.3100,-0.680300
2025-02-28,8.7200,8.7800,8.5600,8.5800,5516464,47798391.2400,-2.054800
2025-03-03,8.6300,8.9500,8.6200,8.8200,11955410,105568059.5300,2.797200
2025-03-04,8.8500,8.8500,8.7000,8.7500,7057291,61711248.1800,-0.793700
2025-03-05,8.7500,8.7700,8.5500,8.6600,7182706,61955283.8100,-1.028600
2025-03-06,8.6900,8.7400,8.6000,8.6700,7398500,63954604.0000,0.115500
2025-03-07,8.6300,8.8600,8.6000,8.7700,10374900,91104535.0000,1.153400
2025-03-10,8.8500,8.8600,8.7300,8.7800,5228181,45895391.7500,0.114000
2025-03-11,8.7500,9.0100,8.6500,8.9800,12158700,107929927.0900,2.277900
2025-03-12,8.9700,8.9800,8.8800,8.9300,6820681,60863866.5200,-0.556800
2025-03-13,8.9400,8.9600,8.8100,8.9400,6459100,57326986.0000,0.112000
2025-03-14,8.9500,9.0500,8.9200,9.0300,9310362,83697823.2400,1.006700
2025-03-17,9.0000,9.0200,8.9200,8.9400,6602700,59089825.0900,-0.996700
