date,open,high,low,close,volume,amount,pctChg
2025-01-02,15.8300,16.9900,15.8300,16.3500,7218220,119429555.6500,3.284900
2025-01-03,16.2900,17.2600,15.7500,16.8400,9565354,159808630.7800,2.996900
2025-01-06,16.8500,17.8600,15.9500,16.9800,9606780,162723652.2000,0.831400
2025-01-07,16.7900,17.1000,16.2300,16.9100,7004367,116646799.7600,-0.412200
2025-01-08,16.6900,16.8300,16.0100,16.5600,5644120,92812523.2000,-2.069800
2025-01-09,16.4100,16.8300,16.2100,16.2700,4428747,72805044.6600,-1.751200
2025-01-10,16.2900,16.3900,15.3700,15.3900,5773300,91422934.8000,-5.408700
2025-01-13,15.1600,15.1800,14.6100,14.9300,3189020,47505899.6000,-2.989000
2025-01-14,15.0000,15.6000,15.0000,15.5800,3528500,54234956.0000,4.353700
2025-01-15,15.7000,17.1400,15.7000,17.1400,6956715,116690267.3000,10.012800
2025-01-16,16.8700,17.6600,16.7400,17.0300,13169306,226115766.1800,-0.641800
2025-01-17,16.7800,18.3000,16.7800,17.4400,14950480,261450213.8000,2.407500
2025-01-20,17.4500,17.6800,17.1600,17.2700,9340120,162494523.0000,-0.974800
2025-01-21,17.4000,17.5000,16.7600,17.1300,6218060,105733149.2000,-0.810700
2025-01-22,17.1300,17.2400,16.7300,17.0300,4856600,82298293.6000,-0.583800
2025-01-23,17.1500,17.2100,16.6200,16.6200,5433910,91712171.1000,-2.407500
2025-01-24,16.6300,16.8800,16.4700,16.8800,3905563,65289343.4600,1.564400
2025-01-27,16.8900,17.1700,16.7300,16.8800,4390980,74416210.0000,0.000000
2025-02-05,16.8700,16.8800,15.8800,16.0600,6278560,101556556.6000,-4.857800
2025-02-06,16.0500,16.4400,15.9200,16.3700,4289391,69794189.6200,1.930300
2025-02-07,16.4400,16.8000,16.2500,16.6500,4060100,67169711.6000,1.710400
2025-02-10,16.6500,16.8000,16.4200,16.7200,3063520,50855163.4000,0.420400
2025-02-11,16.7100,16.9400,16.6300,16.8000,3437500,57627274.8000,0.478500
2025-02-12,16.8100,16.9600,16.5500,16.6400,2810000,46825233.0000,-0.952400
2025-02-13,16.6400,16.6400,16.1900,16.3300,2729720,44673865.2000,-1.863000
2025-02-14,16.2200,16.4000,16.0500,16.2600,2494020,40462823.6000,-0.428700
2025-02-17,16.2500,16.4500,16.1500,16.3200,2513240,40919724.0000,0.369000
2025-02-18,16.3400,16.4600,15.5500,15.5900,3848620,61295365.2000,-4.473000
2025-02-19,15.6000,15.8800,15.6000,15.8800,2211360,34936434.6000,1.860200
2025-02-20,15.8500,16.0800,15.6500,15.8900,2664560,42239113.2000,0.063000
2025-02-21,15.9300,15.9500,15.5100,15.6200,2743640,42907924.4000,-1.699200
2025-02-24,15.6200,15.7500,15.4100,15.6100,2392340,37241468.0000,-0.064000
2025-02-25,15.4900,15.5400,15.3000,15.3600,1723403,26572455.2800,-1.601500
2025-02-26,15.3900,15.8700,15.3900,15.6100,2866839,44855209.6000,1.627600
2025-02-27,15.6100,16.1000,15.6100,16.0500,5642750,89729158.0200,2.818700
2025-02-28,15.9000,16.3500,15.6800,15.7400,5022300,79815029.8000,-1.931500
2025-03-03,15.8500,16.1600,15.4400,15.5700,3531760,55725572.0000,-1.080100
2025-03-04,15.4300,15.6500,15.3300,15.5300,2169180,33646106.6000,-0.256900
2025-03-05,15.5400,15.6500,15.1500,15.3000,2467008,37639456.0400,-1.481000
2025-03-06,15.3600,15.3700,15.2000,15.3600,2154640,32969423.2000,0.392200
2025-03-07,15.3200,15.5200,15.2000,15.3700,2673863,41070059.7500,0.065100
2025-03-10,15.3400,15.5100,15.2900,15.4600,1482240,22813013.6000,0.585600
2025-03-11,15.3300,15.4600,15.1700,15.4600,1515060,23198785.6000,0.000000
2025-03-12,15.4200,16.0800,15.4200,15.8200,3739420,58775499.8000,2.328600
2025-03-13,15.8600,16.1900,15.6300,15.9900,4482720,71414173.8000,1.074600
2025-03-14,15.9900,16.5500,15.9000,16.3500,5964860,97192694.6000,2.251400
2025-03-17,16.4100,16.6500,16.1200,16.1600,4741540,77335623.6000,-1.162100
2025-03-18,16.2300,17.0000,15.9200,16.8500,7294820,120422217.6000,4.269800
2025-03-19,16.8600,16.8600,16.4700,16.5800,3134320,52086596.6000,-1.602400
2025-03-20,16.6000,16.7400,16.3800,16.3900,2205520,36314293.8000,-1.146000
2025-03-21,16.3700,16.4000,16.0000,16.1000,2066074,33442619.4300,-1.769400
2025-03-24,16.1800,16.6600,15.9800,16.6500,5326500,87204869.4500,3.416100
2025-03-25,16.5100,16.6400,16.0300,16.3000,3644888,59290745.5200,-2.102100
2025-03-26,16.3100,16.6400,16.2000,16.4500,2757560,45445500.0000,0.920200
2025-03-27,16.4400,16.6600,16.1800,16.2700,2490020,40851271.6000,-1.094200
2025-03-28,16.2900,16.5000,15.8100,15.8300,3427300,55152159.8000,-2.704400
